3ca69b18b383682b7ec51cfd906cc85683a26de8c88f24c433e1d0a645e6056c,caa504119b169b367dd4bca0a2c878d8c03826036b96ad72c25d11ee6c7ea5ec,30bd04476aa8cf6ba3059fb3c01235c05f3b098a7f4fad0eec50b2656c8d9601,945a35fa1f89eb07a7126bcaa5afd1db4b530894199277075bf35f8a9796ca73,a3233dd612f1a47a62982119f10b9615bf55d50fbec15319052eba105d912efc,14b56ed3f8024c72839972bb362a938264b83091b5c0b9e1b064fdf0651a362e,c3065c4e65fdb48cd496d6c055e755a259d2291378c8323b46a1d68fb95a9f7b,cea7ace792b64d392fc27c448ea8a8d4bbc159e1a1e420f87af16900e7555bff,1abea73281cb8eee8959f61476cb83900aedbdddb6d681a0823bf490f356ea9a,d55c167d9fc39c2575b39dec31a02c40faa8a068b8728beb8b001090f89d40f4,2bc9bab6f1e1d1bf09712e4848a4f5c14570b766e930c994f537224025445834,196272d432c21f16403461b314d3be3a1915cc272f589aa3cd00026648349bc4,fd73fc3851a4393fe865cd8aa3fb0de9c9efc357bcf776a3fb2dfdd7add60f07,bcfd88e1d15bd609c4a22a9198a322075f1627324d85ccdf50b679481627ce6c,1f961aad2689df8098dc2bd912a33756c7c47774301930c0e84d660945119d8c,ebf91694240396c38c6b12b0060ccf3f49864a57521dc885b8a23bf6bbe2af66,3e78c1acacfda111e2f1e6420e8fc7101245d8a24e4806760624f4202cc91c65,10999fc9e98c42e421dc3450a63d5756229cd47700837307f4207683a75e1233,9760f92c7988bd8d7464ac74695b238103878eb9caecb67549d0702ab976979a
"10","94002","12","2","2","21951","91002","1","8","1","140001","4","25001","200","1","32005","2","1","500000"
"15","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","700","2","32005","2","5","750000"
"20","0","0","1","4","140001","91002","1","8","2","25001","2","94002","300","2","32005","12","750000","0"
"25","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","700","2","32005","2","5","750000"
"30","0","0","1","4","140001","91002","1","8","2","25001","2","94002","500","3","32005","12","750000","0"
"35","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","1000","3","32005","2","5","1000000"
"40","0","0","1","4","140001","90008","1","2","2","25001","2","94002","1000","4","32005","12","1000000","0"
"45","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","1250","4","32005","2","5","2000000"
"50","0","0","1","4","140001","90008","1","2","2","25001","2","94002","1500","4","32005","12","2000000","0"
"5","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","500","1","32006","2","10","500000"
"10","94002","12","2","2","21951","91002","1","8","1","140001","4","25001","200","1","32006","2","1","500000"
"15","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","700","2","32006","2","5","750000"
"20","0","0","1","4","140001","91002","1","8","2","25001","2","94002","300","2","32006","12","750000","0"
"25","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","700","2","32006","2","5","750000"
"30","0","0","1","4","140001","91002","1","8","2","25001","2","94002","500","3","32006","12","750000","0"
"35","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","1000","3","32006","2","5","1000000"
"40","0","0","1","4","140001","90008","1","2","2","25001","2","94002","1000","4","32006","12","1000000","0"
"45","94002","12","2","4","140000","90008","1","2","1","140001","4","90005","1250","4","32006","2","5","2000000"
"50","0","0","1","4","140001","90008","1","2","2","25001","2","94002","1500","4","32006","12","2000000","0"
"5","0","0","10","4","140001","90008","1","2","15","90005","2","94002","500","1","32007","12","500000","0"
"10","94002","12","5","2","21951","91002","1","8","1","140001","4","25001","100","1","32007","2","1","500000"
"15","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1000","2","32007","12","750000","0"
"20","0","0","1","4","140001","91002","1","8","5","25001","2","94002","150","2","32007","12","750000","0"
"25","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1500","2","32007","12","750000","0"
"30","94002","12","5","2","90008","91002","1","8","3000","140001","4","25001","250","3","32007","2","1","750000"
"35","0","0","5","4","140001","90008","1","2","15","90005","2","94002","3500","3","32007","12","1000000","0"
"40","0","0","1","4","140001","90008","1","2","5","25001","2","94002","4000","4","32007","12","1000000","0"
"45","0","0","5","4","140001","90008","1","2","15","90005","2","94002","4500","4","32007","12","2000000","0"
"50","0","0","1","4","140001","90008","1","2","5","25001","2","94002","5000","4","32007","12","2000000","0"
"5","0","0","10","4","140001","90008","1","2","15","90005","2","94002","500","1","32008","12","500000","0"
"10","94002","12","5","2","21951","91002","1","8","1","140001","4","25001","100","1","32008","2","1","500000"
"15","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1000","2","32008","12","750000","0"
"20","0","0","1","4","140001","91002","1","8","5","25001","2","94002","150","2","32008","12","750000","0"
"25","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1500","2","32008","12","750000","0"
"30","94002","12","5","2","90008","91002","1","8","3000","140001","4","25001","250","3","32008","2","1","750000"
"35","0","0","5","4","140001","90008","1","2","15","90005","2","94002","3500","3","32008","12","1000000","0"
"40","0","0","1","4","140001","90008","1","2","5","25001","2","94002","4000","4","32008","12","1000000","0"
"45","0","0","5","4","140001","90008","1","2","15","90005","2","94002","4500","4","32008","12","2000000","0"
"50","0","0","1","4","140001","90008","1","2","5","25001","2","94002","5000","4","32008","12","2000000","0"
"5","0","0","10","4","140001","90008","1","2","15","90005","2","94002","500","1","32009","12","500000","0"
"10","94002","12","5","2","21951","91002","1","8","1","140001","4","25001","100","1","32009","2","1","500000"
"15","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1000","2","32009","12","750000","0"
"20","0","0","1","4","140001","91002","1","8","5","25001","2","94002","150","2","32009","12","750000","0"
"25","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1500","2","32009","12","750000","0"
"30","94002","12","5","2","90008","91002","1","8","3000","140001","4","25001","250","3","32009","2","1","750000"
"35","0","0","5","4","140001","90008","1","2","15","90005","2","94002","3500","3","32009","12","1000000","0"
"40","0","0","1","4","140001","90008","1","2","5","25001","2","94002","4000","4","32009","12","1000000","0"
"45","0","0","5","4","140001","90008","1","2","15","90005","2","94002","4500","4","32009","12","2000000","0"
"50","0","0","1","4","140001","90008","1","2","5","25001","2","94002","5000","4","32009","12","2000000","0"
"5","0","0","10","4","140001","90008","1","2","15","90005","2","94002","500","1","32010","12","500000","0"
"10","94002","12","5","2","21951","91002","1","8","1","140001","4","25001","100","1","32010","2","1","500000"
"15","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1000","2","32010","12","750000","0"
"20","0","0","1","4","140001","91002","1","8","5","25001","2","94002","150","2","32010","12","750000","0"
"25","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1500","2","32010","12","750000","0"
"30","94002","12","5","2","90008","91002","1","8","3000","140001","4","25001","250","3","32010","2","1","750000"
"35","94002","12","15","2","90008","4101401","1","18","3500","140001","4","90005","1","3","32010","2","5","1000000"
"40","0","0","1","4","140001","90008","1","2","5","25001","2","94002","4000","4","32010","12","1000000","0"
"45","94002","12","15","2","90008","4109401","1","18","4500","140001","4","90005","1","4","32010","2","5","2000000"
"50","0","0","1","4","140001","90008","1","2","5","25001","2","94002","5000","4","32010","12","2000000","0"
"5","0","0","10","4","140001","90008","1","2","15","90005","2","94002","500","1","32011","12","500000","0"
"10","94002","12","5","2","21951","91002","1","8","1","140001","4","25001","100","1","32011","2","1","500000"
"15","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1000","2","32011","12","750000","0"
"20","0","0","1","4","140001","91002","1","8","5","25001","2","94002","150","2","32011","12","750000","0"
"25","0","0","5","4","140001","90008","1","2","15","90005","2","94002","1500","2","32011","12","750000","0"
"30","94002","12","5","2","90008","91002","1","8","3000","140001","4","25001","250","3","32011","2","1","750000"
"35","94002","12","15","2","90008","4301401","1","18","3500","140001","4","90005","1","3","32011","2","5","1000000"
"40","0","0","1","4","140001","90008","1","2","5","25001","2","94002","4000","4","32011","12","1000000","0"
"45","94002","12","15","2","90008","4303401","1","18","4500","140001","4","90005","1","4","32011","2","5","2000000"
"50","0","0","1","4","140001","90008","1","2","5","25001","2","94002","5000","4","32011","12","2000000","0"
