5e327052e95d9e4de4f79ec559e3078f6ee5f1ea378cacbe38563ecbc676958f,486ea0e5343e2770eea30948d935ebf25f6e36c74fac367f44a192cade97e83d,7916da714e23d431ed27d115bac3be5743caa289e74d65e62e332a2af5a2eb32,532afd8d838b321f3cbfea049a39b6f47f8f1c23a33b935b27fcfd48925f2efb,fd6bfc8701f7f373e565fa9b302d47c14f22cb5d0fc7af7c46b61dba691686c8,6e1dbc0249940f81afe7b135c27f01a90d7bb23d992afd371b21ccabe85e8512,4ea0b710e51f40f7d3be952b704191ae86b2c52c6da4a9d9c28c9ca155217fc8,4763a2227257a330ae1c9c5a0519196cdd8982fd32e3ac98fdf88f146a7eb7e5,fc51028d4e76d554245bd7b0fe616712e7a5b00e7dab840f47722d7fb6b57fed,96bb7081ccb88c64e8aff52298e9e36517949d4c219a0380277c0a1ea4f0d9e8,df8f8a363ccbcb67ad0102e93530eae228ee0e1f44ba9999f6972573881f86ce,4c373b962e750e8b9d6493617040a69c725f19d61e3b31d2f25d91ce5ffaa736,05c37003f03d51ead02c8f1343a036a6e113e58b1c67c1236184686581c45e28
"23","野豬雙胞胎","2018-11-19 15:00:00","野豬雙胞胎","1000","","23","","-1","","","20",""
"24","吸血鬼獵人with伊莉亞","2018-11-19 15:00:00","吸血鬼獵人with伊莉亞","1000","","24","","-1","","","20",""
"25","加爾格","2018-11-19 15:00:00","加爾格","1000","","25","","-1","","","20",""
"26","Peaceful*沖繩雜炒","2018-11-19 15:00:00","Peaceful*沖繩雜炒","1500","","26","","-1","","","20",""
"27","天蠍毒者","2018-11-19 15:00:00","天蠍毒者","1000","","27","","-1","","","20",""
"28","暮光破壞者","2018-11-19 15:00:00","暮光破壞者","1000","","28","","-1","","","20",""
"29","奧拉姆","2018-11-19 15:00:00","奧拉姆","1000","","29","","-1","","","20",""
"30","最強對吧，對吧？","2018-11-19 15:00:00","最強對吧，對吧？","1500","","30","","-1","","","20",""
"31","冰海之地","2018-11-19 15:00:00","冰海之地","1000","","31","","-1","","","20",""
"32","冰天雪地","2018-12-19 15:00:00","冰天雪地","1000","","32","","-1","","","20",""
"33","涼爽的風","2018-12-19 15:00:00","涼爽的風","1000","","33","","-1","","","20",""
"34","加爾基諾司","2018-12-19 15:00:00","加爾基諾司","1000","","34","","-1","","","20",""
"35","危險的假期！海岸邊的美食家公主","2018-12-19 15:00:00","危險的假期！海岸邊的美食家公主","1000","","35","","-1","","","20",""
"36","天塔帕斯","2018-12-19 15:00:00","天塔帕斯","1000","","36","","-1","","","20",""
"37","充滿笑容的家","2018-12-19 15:00:00","充滿笑容的家","1500","","37","","-1","","","20",""
"38","人馬座","2018-12-19 15:00:00","人馬座","1000","","38","","-1","","","20",""
"39","忘却的頌歌","2018-12-19 15:00:00","忘却的頌歌","1000","","39","","-1","","","20",""
"40","霧奇","2018-12-19 15:00:00","霧奇","1000","","40","","-1","","","20",""
"41","Ding Dong Holy Night♪","2018-12-19 15:00:00","Ding Dong Holy Night♪","1500","","41","","-1","","","20",""
"42","險峻枯原","2019-01-18 15:00:00","險峻枯原","1000","","42","","-1","","","20",""
"43","奧爾獅","2019-01-18 15:00:00","奧爾獅","1000","","43","","-1","","","20",""
"44","珠希和美冬的無人島0盧幣生活","2019-01-18 15:00:00","珠希和美冬的無人島0盧幣生活","1000","","44","","-1","","","20",""
"45","島鯨","2019-01-18 15:00:00","島鯨","1000","","45","","-1","","","20",""
"46","閃亮亮☆Happiness！","2019-01-18 15:00:00","閃亮亮☆Happiness！","1500","","46","","-1","","","18",""
"47","新的出航","2019-01-18 15:00:00","新的出航","1000","","47","","-1","","","20",""
"48","阿爾珈提","2019-01-18 15:00:00","阿爾珈提","1000","","48","","-1","","","20",""
"49","新春破曉之星大危機！","2019-01-18 15:00:00","新春破曉之星大危機！","1000","","49","","-1","","","20",""
"50","邪餅神鏡餅","2019-01-18 15:00:00","邪餅神鏡餅","1000","","50","","-1","","","20",""
"51","TwinkleStars","2019-01-18 15:00:00","TwinkleStars","1500","","51","","-1","","","20",""
"52","酷熱沙漠","2019-02-15 15:00:00","酷熱沙漠","1000","","52","","-1","","","20",""
"53","美杜莎","2019-02-15 15:00:00","美杜莎","1000","","53","","-1","","","20",""
"54","黑鐵的亡靈（Nightmare）","2019-02-15 15:00:00","黑鐵的亡靈（Nightmare）","1000","","54","","-1","","","20",""
"55","亡靈鎧甲","2019-02-15 15:00:00","亡靈鎧甲","1000","","55","","-1","","","20",""
"56","Aloofness Code","2019-02-15 15:00:00","Aloofness Code","1500","","56","","-1","","","20",""
"57","Absolute Secret","2019-02-15 15:00:00","Absolute Secret","1500","","57","","2008015","","","20",""
"58","水之里歐斯","2019-02-15 15:00:00","水之里歐斯","1000","","58","","-1","","","20",""
"59","情人節之戰！正中紅心的甜蜜戰鬥","2019-02-15 15:00:00","情人節之戰！正中紅心的甜蜜戰鬥","1000","","59","","-1","","","20",""
"60","醜陋可愛","2019-02-15 15:00:00","醜陋可愛","1000","","60","","-1","","","20",""
"61","SUPER CHOCOLATE","2019-02-15 15:00:00","SUPER CHOCOLATE","1500","","61","","-1","","","20",""
"62","砂海綠洲","2019-03-19 15:00:00","砂海綠洲","1000","","62","","-1","","","20",""
"63","不可思議的森林","2019-03-19 15:00:00","不可思議的森林","1000","","63","","-1","","","20",""
"64","托爾披頓","2019-03-19 15:00:00","托爾披頓","1000","","64","","-1","","","20",""
"65","王都的名偵探　嘆息的追緝者","2019-03-19 15:00:00","王都的名偵探　嘆息的追緝者","1000","","65","","-1","","","20",""
"66","哀嘆之女神","2019-03-19 15:00:00","哀嘆之女神","1000","","66","","-1","","","20",""
"67","未解明的心意","2019-03-19 15:00:00","未解明的心意","1500","","67","","-1","","","20",""
"68","機械莉瑪來襲！王都毀滅前的倒數","2019-04-19 15:00:00","機械莉瑪來襲！王都毀滅前的倒數","1000","","68","","-1","","","20",""
"69","機械莉瑪","2019-04-19 15:00:00","機械莉瑪","1000","","69","","-1","","","20",""
"70","機械莉瑪~終焉~","2019-04-19 15:00:00","機械莉瑪~終焉~","1000","","70","","-1","","","20",""
"71","在阿斯特朗盛開的雙輪之花","2019-04-19 15:00:00","在阿斯特朗盛開的雙輪之花","1000","","71","","-1","","","20",""
"72","元核‧巨靈","2019-04-19 15:00:00","元核‧巨靈","1000","","72","","-1","","","20",""
"73","Crossing Destiny","2019-04-19 15:00:00","Crossing Destiny","1500","","73","","-1","","","20",""
"74","潛入岩峰","2019-05-17 15:00:00","潛入岩峰","1000","","74","","-1","","","20",""
"75","將軍道中記　白翼的武士","2019-05-17 15:00:00","將軍道中記　白翼的武士","1000","","75","","-1","","","20",""
"76","惡代官","2019-05-17 15:00:00","惡代官","1000","","76","","-1","","","20",""
"77","白翼的榮耀","2019-05-17 15:00:00","白翼的榮耀","1500","","77","","-1","","","20",""
"78","火山山麓","2019-10-01 16:00:00","火山山麓","1000","","78","","-1","","","20",""
"79","險惡荒地","2019-10-01 16:00:00","險惡荒地","1000","","79","","-1","","","20",""
"80","怠惰的狂人","2019-10-01 16:00:00","怠惰的狂人","1000","","80","","-1","","","20",""
"81","鼓聲響動的森林","2019-10-15 16:00:00","鼓聲響動的森林","1000","","81","","-1","","","20",""
"82","鈴奈的彩虹舞臺！","2019-10-15 16:00:00","鈴奈的彩虹舞臺！","1000","","82","","-1","","","20",""
"83","雨神大人","2019-10-15 16:00:00","雨神大人","1000","","83","","-1","","","20",""
"84","踮腳尖的First Kiss","2019-10-15 16:00:00","踮腳尖的First Kiss","1500","","84","","-1","","","20",""
"85","哥哥爭奪戰！　幫忙靜流","2019-10-15 16:00:00","哥哥爭奪戰！　幫忙靜流","1000","","85","","-1","","","20",""
"86","哥哥爭奪戰！　幫忙惠理子","2019-10-15 16:00:00","哥哥爭奪戰！　幫忙惠理子","1000","","86","","-1","","","20",""
"87","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","2019-10-15 16:00:00","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","1000","","87","","-1","","","20",""
"88","奄美魔物","2019-10-15 16:00:00","奄美魔物","1000","","88","","-1","","","20",""
"89","We Are Golden","2019-10-15 16:00:00","We Are Golden","1500","","89","","-1","","","20",""
"90","空花大迴轉","2019-12-12 16:00:00","空花大旋轉","1000","","90","","-1","","","20",""
"91","森林的膽小鬼與神聖學院的問題兒童","2019-12-12 16:00:00","森林的膽小鬼與神聖學院的問題兒童","1000","","91","","-1","","","20",""
"92","劇毒曼德拉草","2019-12-12 16:00:00","劇毒曼德拉草","1000","","92","","-1","","","20",""
"93","好朋友新感覺","2019-12-12 16:00:00","好朋友新感覺","1500","","93","","-1","","","20",""
"94","跨越危險之根","2019-12-12 16:00:00","跨越危險之根","1000","","94","","-1","","","20",""
"95","香織的靈魂式空手道場","2019-12-12 16:00:00","香織的靈魂式空手道場","1000","","95","","-1","","","20",""
"96","小小勇敢的萬聖節之夜！","2019-12-12 16:00:00","小小勇敢的萬聖節之夜！","1000","","96","","-1","","","20",""
"97","幻影男爵","2019-12-12 16:00:00","幻影男爵","1000","","97","","-1","","","20",""
"98","惡作劇狂熱","2019-12-12 16:00:00","惡作劇狂熱","1500","","98","","-1","","","20",""
"94","泥濘森林的前方","2020-02-18 16:00:00","泥濘森林的前方","1000","","99","","-1","","","20",""
"95","大激戰！龍人們的接龍競賽","2020-02-18 16:00:00","大激戰！龍人們的接龍競賽","1000","","100","","-1","","","20",""
"96","龍的探索者們","2020-02-18 16:00:00","龍的探索者們","1000","","101","","-1","","","20",""
"97","似龍生物","2020-02-18 16:00:00","似龍生物","1000","","102","","-1","","","20",""
"98","in flames","2020-02-18 16:00:00","in flames","1500","","103","","-1","","","20",""
"104","獲得全新力量的試煉","2020-02-18 16:00:00","獲得全新力量的試煉","1000","","104","","-1","","","20",""
"105","禮物大恐慌！　蘭德索爾的聖誕老人們","2020-02-18 16:00:00","禮物大恐慌！　蘭德索爾的聖誕老人們","1000","","105","","-1","","","20",""
"106","復仇者馴鹿","2020-02-18 16:00:00","復仇者馴鹿","1000","","106","","-1","","","20",""
"107","Call Me Darling！","2020-02-18 16:00:00","Call Me Darling！","1500","","107","","-1","","","20",""
"108","王都終末決戰","2020-04-20 16:00:00","王都終末決戰","1000","","108","","2015007","","","20",""
"109","與侍奉皇帝之徒的戰鬥","2020-04-20 16:00:00","與侍奉皇帝之徒的戰鬥","1000","","109","","2015007","","","20",""
"110","與神的決戰","2020-04-20 16:00:00","與神的決戰","1000","","110","","2015007","","","20",""
"111","狂奔！　蘭德索爾的公會競速賽","2020-04-20 16:00:00","狂奔！　蘭德索爾的公會競速賽","1000","","111","","-1","","","20",""
"112","山神大人","2020-04-20 16:00:00","山神大人","1000","","112","","-1","","","20",""
"113","SAI＊KOU起跑衝刺","2020-04-20 16:00:00","SAI＊KOU起跑衝刺","1500","","113","","-1","","","20",""
"114","遙望著大海","2020-04-20 16:00:00","遙望著大海","1000","","114","","-1","","","20",""
"115","魔法少女　兩人是Misty&Purely","2020-04-20 16:00:00","魔法少女　兩人是Misty&Purely","1000","","115","","-1","","","20",""
"116","反逆獸","2020-04-20 16:00:00","反逆獸","1000","","116","","-1","","","20",""
"117","枝葉流光下的蒙太奇","2020-04-20 16:00:00","枝葉流光下的蒙太奇","1500","","117","","-1","","","20",""
"118","目標成為偶像！","2020-09-30 16:00:00","目標成為偶像！","1000","","118","","-1","","","20",""
"119","回憶的足跡","2020-09-30 16:00:00","回憶的足跡","1000","","119","","-1","","","20",""
"120","公主騎士","2020-06-18 10:00:00","公主騎士","1000","","120","","-1","","","20",""
"121","恩賜的財團與神聖學院的問題兒童","2020-06-18 10:00:00","恩賜的財團與神聖學院的問題兒童","1000","","121","","-1","","","20",""
"122","好朋友X","2020-06-18 10:00:00","好朋友X","1000","","122","","-1","","","20",""
"123","青春翻轉家","2020-06-18 10:00:00","青春翻轉家","1500","","123","","-1","","","20",""
"124","密林暗處潛伏者","2020-06-18 10:00:00","密林暗處潛伏者","1000","","124","","-1","","","20",""
"125","Mirage Game","2020-06-18 10:00:00","Mirage Game","1500","","125","","2101001","","","20",""
"126","Yes！ Precious Harmony！","2020-06-18 10:00:00","Yes！ Precious Harmony！","1500","","126","","2101014","","","20",""
"127","啾啾大恐慌！　保衛起司大作戰！","2020-05-15 15:00:00","啾啾大恐慌！　保衛起司大作戰！","1000","","127","","-1","","","20",""
"128","牧場的四農士　貧窮農場奮鬥記！","2020-05-15 15:00:00","牧場的四農士　貧窮農場奮鬥記！","1000","","128","","-1","","","20",""
"129","忍者首領半藏","2020-05-15 15:00:00","忍者首領半藏","1000","","129","","-1","","","20",""
"130","Heartful Place","2020-05-15 15:00:00","Heartful Place","1500","","130","","-1","","","20",""
"131","不可思議之國的璃乃 小小愛麗絲與希望的繪本","2020-06-17 15:00:00","不可思議之國的璃乃 小小愛麗絲與希望的繪本","1000","","131","","-1","","","20",""
"132","暗黑之王賈巴沃克","2020-06-17 15:00:00","暗黑之王賈巴沃克","1000","","132","","-1","","","20",""
"133","童話故事就在夢中","2020-06-17 15:00:00","童話故事就在夢中","1500","","133","","-1","","","20",""
"134","幽靜森林","2020-06-17 15:00:00","幽靜森林","1000","","134","","-1","","","20",""
"135","七夕劍客旅情譚 天際川流夏之戀","2020-07-15 15:00:00","七夕劍客旅情譚 天際川流夏之戀","1000","","135","","-1","","","20",""
"136","覺醒‧花心星","2020-07-15 15:00:00","覺醒‧花心星","1000","","136","","-1","","","20",""
"137","黃昏太平旅路之歌","2020-07-15 15:00:00","黃昏太平旅路之歌","1500","","137","","-1","","","20",""
"138","美里的夏日聲援！　追夢的盛夏棒球隊","2020-11-12 12:00:00","美里的夏日聲援！　追夢的盛夏棒球隊","1000","","138","","-1","","","20",""
"139","海岸暴君‧鮫吉","2020-11-12 12:00:00","海岸暴君‧鮫吉","1000","","139","","-1","","","20",""
"140","猛訓打擊道！　美里的全壘打訓練場","2020-11-12 12:00:00","猛訓打擊道！　美里的全壘打訓練場","1000","","140","","-1","","","20",""
"141","目標全壘打！","2020-11-12 12:00:00","目標全壘打！","1000","","141","","-1","","","20",""
"142","夏天的回憶","2020-11-12 12:00:00","夏天的回憶","1000","","142","","-1","","","20",""
"143","那個夏天的記憶","2020-11-12 12:00:00","那個夏天的記憶","1500","","143","","-1","","","20",""
"144","清澈的河水聲","2020-11-12 12:00:00","清澈的河水聲","1000","","144","","-1","","","20",""
"145","Happy‧Change‧Angels","2020-11-12 12:00:00","Happy‧Change‧Angels","1000","","145","","-1","","","20",""
"146","失控的純潔之弓","2020-11-12 12:00:00","失控的純潔之弓","1000","","146","","-1","","","20",""
"147","吶吶Please！","2020-11-12 12:00:00","吶吶Please！","1500","","147","","-1","","","20",""
"148","迴盪的尖叫！萬聖鬼怪狂歡節","2021-01-12 12:00:00","迴盪的尖叫！萬聖鬼怪狂歡節","1000","","148","","-1","","","20",""
"149","驚叫鬼魂教父","2021-01-12 12:00:00","驚叫鬼魂教父","1000","","149","","-1","","","20",""
"150","Paradox","2021-01-12 12:00:00","Paradox","1500","","150","","-1","","","20",""
"151","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","2021-01-12 12:00:00","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","1000","","151","","-1","","","20",""
"152","反逆獸 de M","2021-01-12 12:00:00","反逆獸 de M","1000","","152","","-1","","","20",""
"153","閃耀吧！Lovely★Dreamy","2021-01-12 12:00:00","閃耀吧！Lovely★Dreamy","1500","","153","","-1","","","20",""
"154","跨越斷崖　前進山麓","2021-01-12 12:00:00","跨越斷崖　前進山麓","1000","","154","","-1","","","20",""
"155","名媛初登夢想秘境　聖誕夜的戀愛遊戲","2020-12-21 15:00:00","名媛初登夢想秘境　聖誕夜的戀愛遊戲","1000","","155","","-1","","","20",""
"156","被操控的雪人","2020-12-21 15:00:00","被操控的雪人","1000","","156","","-1","","","20",""
"157","Holy Passion Roses","2020-12-21 15:00:00","Holy Passion Roses","1500","","157","","-1","","","20",""
"158","新春美食家公主！　賭上關鍵一擲的少女們","2021-01-22 15:00:00","新春美食家公主！　賭上關鍵一擲的少女們","1000","","158","","-1","","","20",""
"159","究極金槍鮪","2021-01-22 15:00:00","究極金槍鮪","1000","","159","","-1","","","20",""
"160","Brand New Sunrise","2021-01-22 15:00:00","Brand New Sunrise","1500","","160","","-1","","","20",""
"161","無比珍貴的日常","2021-02-15 15:00:00","無比珍貴的日常","1000","","161","","-1","","","20",""
"162","離別與決意","2021-02-15 15:00:00","離別與決意","1000","","162","","-1","","","20",""
"163","黑風之精靈","2021-02-15 15:00:00","黑風之精靈","1000","","163","","-1","","","20",""
"164","心的思念 ～心的思念～","2021-02-15 15:00:00","心的思念 ～心的思念～","1500","","164","","-1","","","20",""
"165","灰姑娘課程　璀璨的日子有著蘋果的滋味","2021-06-01 15:00:00","灰姑娘課程　璀璨的日子有著蘋果的滋味","1000","","165","","-1","","","20",""
"166","魔物的公主","2021-06-01 15:00:00","魔物的公主","1000","","166","","-1","","","20",""
"167","戀愛閃亮魔法☆彡","2021-06-01 15:00:00","戀愛閃亮魔法☆彡","1500","","167","","-1","","","18",""
"168","鋼鐵聖女與神聖學院的問題兒童","2021-06-01 15:00:00","鋼鐵聖女與神聖學院的問題兒童","1000","","168","","-1","","","20",""
"169","無名的藝術","2021-06-01 15:00:00","無名的藝術","1000","","169","","-1","","","20",""
"170","無敵DREAMING","2021-06-01 15:00:00","無敵DREAMING","1500","","170","","-1","","","20",""
"171","祈梨ＳＯＳ！！　踏上時空旅行的龍人族","2021-07-12 12:00:00","祈梨ＳＯＳ！！　踏上時空旅行的龍人族","1000","","171","","-1","","","20",""
"172","爆裂‧時間儀","2021-07-12 12:00:00","爆裂‧時間儀","1000","","172","","-1","","","20",""
"173","Seize The Day！","2021-07-12 12:00:00","Seize The Day！","1500","","173","","-1","","","20",""
"174","心電感應！碧與玩具朋友們","2021-10-07 12:00:00","心電感應！碧與玩具朋友們","1000","","174","","-1","","","20",""
"175","究極機械玩具王","2021-10-07 12:00:00","究極機械玩具王","1000","","175","","-1","","","20",""
"176","邊緣人的朋友進行曲","2021-10-07 12:00:00","邊緣人的朋友進行曲","1500","","176","","-1","","","20",""
"177","於飛舞的沙塵之中","2021-10-07 12:00:00","於飛舞的沙塵之中","1000","","177","","-1","","","20",""
"178","永不完結的夏日計畫　盛夏的雙人獨佔樂園","2021-10-07 12:00:00","永不完結的夏日計畫　盛夏的雙人獨佔樂園","1000","","178","","-1","","","20",""
"179","暑假作業","2021-10-07 12:00:00","暑假作業","1000","","179","","-1","","","20",""
"180","Only Only You","2021-10-07 12:00:00","Only Only You","1500","","180","","-1","","","20",""
"181","慈樂之音的夏日演唱會　Just a moment！","2021-12-09 12:00:00","慈樂之音的夏日演唱會　Just a moment！","1000","","181","","-1","","","20",""
"182","女王歌唱水母","2021-12-09 12:00:00","女王歌唱水母","1000","","182","","-1","","","20",""
"183","Just a Moment！","2021-12-09 12:00:00","Just a moment！","1500","","183","","-1","","","20",""
"184","Shining Future （Battle Arrange Ver.）","2021-12-09 12:00:00","Shining Future 戰鬥編曲版本","1500","","184","","-1","","","20",""
"185","大江戶的非法病歷　Dr.深月的診療室","2021-12-09 12:00:00","大江戶的非法病歷　Dr.深月的診療室","1000","","185","","-1","","","20",""
"186","基古魯博士","2021-12-09 12:00:00","基古魯博士","1000","","186","","-1","","","20",""
"187","Narcistration♡","2021-12-09 12:00:00","Narcistration♡","1500","","187","","-1","","","20",""
"188","軍團之戰","2021-12-17 16:00:00","軍團之戰","1000","","188","","2109007","","","20",""
"189","VS憤怒軍團　與阿澤爾德的戰鬥","2021-12-17 16:00:00","VS憤怒軍團　與阿澤爾德的戰鬥","1000","","189","","2109007","","","20",""
"190","VS憤怒軍團　與卡里莎的戰鬥","2021-12-17 16:00:00","VS憤怒軍團　與卡里莎的戰鬥","1000","","190","","2109007","","","20",""
"191","VS憤怒軍團　與贊恩的戰鬥","2021-12-17 16:00:00","VS憤怒軍團　與贊恩的戰鬥","1000","","191","","2109007","","","20",""
"192","VS憤怒軍團　與美空的戰鬥","2021-12-17 16:00:00","VS憤怒軍團　與美空的戰鬥","1000","","192","","2109007","","","20",""
"193","VS憤怒軍團　與蘭法的戰鬥","2021-12-17 16:00:00","VS憤怒軍團　與蘭法的戰鬥","1000","","193","","2109007","","","20",""
"194","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","2021-12-09 12:00:00","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","1000","","194","","-1","","","20",""
"195","哀暴小棉花糖","2021-12-09 12:00:00","哀暴小棉花糖","1000","","195","","-1","","","20",""
"196","Halloween Monster Jam ！！！","2021-12-09 12:00:00","Halloween Monster Jam ！！！","1500","","196","","-1","","","20",""
"197","魔法少女外傳　黑暗魔法★三人組！","2022-01-25 12:00:00","魔法少女外傳　魔法的★黑色魅力！","1000","","197","","-1","","","20",""
"198","反逆獸‧三重","2022-01-25 12:00:00","反逆獸‧三重","1000","","198","","-1","","","20",""
"199","GREEDY LOVE","2022-01-25 12:00:00","GREEDY LOVE","1500","","199","","-1","","","20",""
"200","聖誕布丁快樂！　飛舞的少女與飽含真心的點心","2021-12-15 15:00:00","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心","1000","","200","","-1","","","20",""
"201","孤伶伶的聖誕夜妖精","2021-12-15 15:00:00","孤伶伶的聖誕夜妖精","1000","","201","","-1","","","20",""
"202","宮子廚房　通往究極之路","2021-12-15 15:00:00","宮子廚房 通往究極之路","1000","","202","","-1","","","20",""
"203","布丁‧聖‧代‧聖誕節來的！","2021-12-15 15:00:00","布丁聖代聖誕節來的","1500","","203","","-1","","","20",""
"204","新春美食回憶　雪菲的跑腿大作戰！","2022-01-15 15:00:00","新春美食回憶雪菲的跑腿大作戰","1000","","204","","-1","","","20",""
"205","邪牛神哞猛","2022-01-15 15:00:00","邪牛神哞猛","1000","","205","","-1","","","20",""
"206","Ice Wings","2022-01-15 15:00:00","Ice Wings","1500","","206","","-1","","","20",""
"207","尋找線索","2022-02-15 15:00:00","尋找線索","1000","","207","","-1","","","20",""
"208","到大家所度過的世界","2022-02-15 15:00:00","到大家所度過的世界","1000","","208","","-1","","","20",""
"209","超載力量","2022-02-15 15:00:00","超載力量","1000","","209","","-1","","","20",""
"210","Asymmetric World","2022-02-15 15:00:00","Asymmetric World","1500","","210","","-1","","","20",""
"211","大家的情感","2022-02-15 15:00:00","大家的情感","1000","","211","","-1","","","20",""
"212","Sweet Tiny Stage！ 新進女演員與小小淑女","2022-03-15 15:00:00","Sweet Tiny Stage！ 新進女演員與小小淑女","1000","","212","","-1","","","20",""
"213","仇鼠‧怒髮衝冠的啾二","2022-03-15 15:00:00","仇鼠‧怒髮衝冠的啾二","1000","","213","","-1","","","20",""
"214","Happy Anniv.特別版 蘭德索爾猜謎連結！","2022-03-15 15:00:00","Happy Anniv.特別版 蘭德索爾猜謎連結！","1000","","214","","-1","","","20",""
"215","Thinking Time！","2022-03-15 15:00:00","Thinking Time！","1000","","215","","-1","","","20",""
"216","聽得見音樂劇嗎？","2022-03-15 15:00:00","聽得見音樂劇嗎？","1500","","216","","-1","","","20",""
"217","Crossing Truth","2022-03-15 15:00:00","Crossing Truth","1500","","217","","2109012","","","20",""
"218","交出寶物！透明怪盜雙人組","2022-04-15 15:00:00","交出寶物！透明怪盜雙人組","1000","","218","","-1","","","20",""
"219","貪婪暴君‧賭場王","2022-04-15 15:00:00","貪婪暴君‧賭場王","1000","","219","","-1","","","20",""
"220","Secret Longing","2022-04-15 15:00:00","Secret Longing","1500","","220","","-1","","","20",""
"221"," Episode of Pirate　海盜島上被詛咒的遺寶","2022-05-15 15:00:00","海盜篇章　海盜島受詛咒的遺寶","1000","","221","","-1","","","20",""
"222","受解放的寶藏守護者","2022-05-15 15:00:00","受解放的寶藏守護者","1000","","222","","-1","","","20",""
"223","無敵海盜","2022-05-15 15:00:00","無敵海盜","1500","","223","","-1","","","20",""
"224","莊嚴的熱沙","2022-05-15 15:00:00","莊嚴的熱沙","1000","","224","","-1","","","20",""
"225","Enjoy＆Refresh！　天差地遠的女孩露營","2022-06-15 15:00:00","Enjoy＆Refresh！　天差地遠的女孩露營","1000","","225","","-1","","","20",""
"226","阿斯特賴亞牛肝菌","2022-06-15 15:00:00","阿斯特賴亞牛肝菌","1000","","226","","-1","","","20",""
