c2a74ce2b0b723e6294b7e0974401652e47faeb8c75a436f2abeec78179c0d1d,c7b18895d372e21c18135dc02e052ed40f09b3fec8a9fdf1bd9ced3ad8cefd6c,f07412470e7cb8eee76f4003e4a9773513f4acc24095eb0fbd9d0580c319df2c,e005c25cd32adbc10ab82e7be0115290e789692fe1dc5b1907be6d96b92199da,547a439eee08affca6e4e7f43d0edc436657512a1962d10808b6f925e7c21a37,a061e442f03945c9d5251d4954ef518fbcfd269e53a58230b61600d0a6de7167,af937db9d4b17acb98b537a1732384e5d8c1174e2c94a42dcde0e69429a3a1a6,7e6f9ad4323ed6a9413298bd8835a167d9eabf07489e5ec9a3b61e7dd845d998,e814656ce74325497e47ab3666127141693f730c8c5b5f8dcd6e18c86a345981,ce6d12d101af4e3040ec656df528c9149492376f86a1d41b7f4473cb92a197d5,89d7f9a5d99c9afb5ea71c96d1117da450ed9270f252287a8a579a45227b741f
"1","","drama_talk_doubt_loop","6","drama_talk_doubt_in","3","0","","0.2","129911","6009"
"","","0","6","vo_minigame_1013_top_talk_6_001","21","0","","","vo_minigame_1013","6010"
"0","0","1","6","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","11","4","0.8","0","129911","6011"
"","","","6","","91","","","","0","6012"
"","","","6","drama_idle_doubt","3","1","","0.2","129911","6013"
"1","","drama_talk_surprise_loop_shy","6","drama_talk_surprise_in_shy","3","0","","0.2","129811","6014"
"","","0","6","vo_minigame_1013_top_talk_6_002","21","0","","","vo_minigame_1013","6015"
"0","0","1","6","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","11","7","0.3","0","129811","6016"
"","","","6","","91","","","","0","6017"
"","","","6","drama_idle","3","1","","0.2","129911","6018"
"","","","6","drama_idle","3","1","","0.2","129811","6019"
"-224","1","167","7","129811","1","100","drama_idle","1.65","1","7001"
"-224","0","-49","7","129911","1","100","drama_idle","1.65","1","7002"
"","","","7","drama_idle","3","1","","0.2","129811","7003"
"1","","drama_talk_arm_crossed_loop","7","drama_talk_arm_crossed_in","3","0","","0.2","129911","7004"
"","","0","7","vo_minigame_1013_top_talk_7_000","21","0","","","vo_minigame_1013","7005"
"0","0","1","7","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","11","5","0.3","0","129911","7006"
"","","","7","","91","","","","0","7007"
"","","","7","drama_idle_arm_crossed","3","1","","0.2","129911","7008"
"1","","drama_talk_guts2_loop","7","drama_talk_guts2_in","3","0","","0.2","129811","7009"
"","","0","7","vo_minigame_1013_top_talk_7_001","21","0","","","vo_minigame_1013","7010"
"0","0","1","7","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","11","5","0","0","129811","7011"
"","","","7","","91","","","","0","7012"
"","","","7","drama_idle_guts2","3","1","","0.2","129811","7013"
"","","","7","drama_talk_thinking","3","1","","0.2","129911","7014"
"","","0","7","vo_minigame_1013_top_talk_7_002","21","0","","","vo_minigame_1013","7015"
"0","0","1","7","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","11","5","0.5","0","129911","7016"
"","","","7","","91","","","","0","7017"
"","","","7","drama_idle","3","1","","0.2","129811","7018"
"","","","7","drama_idle","3","1","","0.2","129911","7019"
"-224","1","167","8","129811","1","100","drama_idle","1.65","1","8001"
"-224","0","-49","8","129911","1","100","drama_idle","1.65","1","8002"
"","","","8","drama_idle","3","1","","0.2","129911","8003"
"1","","drama_talk_doya_loop_smile","8","drama_talk_doya_in_smile","3","0","","0.2","129811","8004"
"","","0","8","vo_minigame_1013_top_talk_8_000","21","0","","","vo_minigame_1013","8005"
"0","0","1","8","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","11","6","0.3","0","129811","8006"
"","","","8","","91","","","","0","8007"
"","","","8","drama_idle_doya_smile","3","1","","0.2","129811","8008"
"1","","drama_talk_arm_crossed_loop","8","drama_talk_arm_crossed_in","3","0","","0.2","129911","8009"
"","","0","8","vo_minigame_1013_top_talk_8_001","21","0","","","vo_minigame_1013","8010"
"0","0","1","8","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","11","4","0.8","0","129911","8011"
"","","","8","","91","","","","0","8012"
"","","","8","drama_idle_arm_crossed","3","1","","0.2","129911","8013"
"","","","8","drama_talk_anger","3","1","","0.2","129811","8014"
"","","0","8","vo_minigame_1013_top_talk_8_002","21","0","","","vo_minigame_1013","8015"
"0","0","1","8","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","11","7","0.3","0","129811","8016"
"","","","8","","91","","","","0","8017"
"","","","8","drama_idle","3","1","","0.2","129811","8018"
"","","","8","drama_idle","3","1","","0.2","129911","8019"
"-224","1","167","30","129811","1","100","drama_idle","1.65","1","30001"
"-224","0","-49","30","129911","1","100","drama_idle","1.65","1","30002"
"","","","30","drama_idle","3","1","","0.2","129811","30003"
"","","","30","drama_idle","3","1","","0.2","129911","30004"
"","","","30","0","93","","","","0.5","30005"
"","","","30","","26","","","","2","30006"
"0.9","","1.2","30","10","121","1.2","","3","-80","30007"
"","0.2","","30","drama_joy_eriko","3","0","","0.2","129911","30008"
"","","","30","1","140","0","","","1","30009"
"-224","1","167","31","129811","1","100","drama_idle","1.65","1","31001"
"-224","0","-49","31","129911","1","100","drama_idle","1.65","1","31002"
"","","","31","drama_idle","3","1","","0.2","129811","31003"
"","","","31","drama_idle","3","1","","0.2","129911","31004"
"","","","31","0","93","","","","0.5","31005"
"","","","31","","26","","","","2","31006"
"0.9","","1.2","31","10","121","1.2","","3","-80","31007"
"","0.2","","31","drama_joy_makoto","3","0","","0.2","129811","31008"
"","","","31","2","140","0","","","1","31009"
"28","1","320","32","1","5","1","drama_talk_1","0.28","0","32001"
"28","0","228","32","2","5","0","drama_talk_2","0.28","0","32002"
"64","1","45","32","3","5","90","drama_swing","0.26","0","32003"
"-23","0","-187","32","4","5","91","drama_streach","0.3","0","32004"
"","","","32","0","93","","","","1","32005"
"","","","32","drama_joy","3","0","","0.2","1","32006"
"","","","32","drama_joy","3","0","","0.2","2","32007"
"","","","32","drama_joy","3","0","","0.2","3","32008"
"","","","32","drama_joy","3","0","","0.2","4","32009"
"","","","32","0","93","","","","1.5","32010"
"28","1","320","33","1","5","1","drama_talk_1","0.28","0","33001"
"28","0","228","33","2","5","0","drama_talk_2","0.28","0","33002"
"64","1","45","33","3","5","90","drama_swing","0.26","0","33003"
"-23","0","-187","33","4","5","91","drama_streach","0.3","0","33004"
