0f4e3c20520c68d6d51b1e5fcbfe040a5e499872f070ec8e836366394af29f23,aa88030074c0ae03a6c03a86da14e7216242e8b9d00867b2192ec782f79303a0,8e6722ca5195383681a02beb61053039ae81ca3d4550da878666dee9c668a9f4,632b151cdf19b77cf9c4de3fa55c7efa6b97c4225c5ac90dbe3a86e0c0e6224a,3c8d53eee96a1daff7877ef84069571a7776c2974bf056ff9e56f5c427391302,389fe261e44e2fe9fc76e4c4bd15b4cd8992d142e6ed5f63b75d7fd52afadbf3,23387ae50978e62cee919a95e95c40f1cc465b073d7e2de421a181cafd605649,ac2a7fe23559e23772f763c4ce8d0a05f4e2f26a88b2f96d1bf3fad84a955190,1bda5a8fbf780639bc869e739e443c73d67f003c580f733390b4786931253a0d,006730a3b3437a743f6622370809e9684f6c27c67d15a74945873d60e84869b3,9c4dd305f839b9689fb472fdff4fb6c6c8bfcc9f2a4235e2ed685dcff1439198
"0","6","105004","","1","105","0.1","1","1","1","1"
"0","6","105005","","1","105","0.1","100211","1","1","1"
"0","6","105006","","1","105","0.1","105811","1","1","1"
"","93","105007","","","105","","0.2","","","0"
"","21","105008","","0","105","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_5_009"
"0","11","105009","0","6","105","0","100211","0","0","因為周邊有很多種類，\n在集齊所有種類之前，\n我們要加油喔！"
"","3","105010","","1","105","0.2","1","","","cgg_idle_reaction1"
"","3","105011","","1","105","0.2","100211","","","cgg_talk_normal"
"","93","105012","","","105","","2.4","","","0"
"","3","105013","","1","105","0.2","100211","","","cgg_talk_joy3"
"","93","105014","","","105","","1.1","","","0"
"0.2","3","105015","","0","105","0.2","1","1","cgg_idle_reaction1","cgg_talk_handsup"
"","91","105016","","","105","","105009","","",""
"","3","105017","","1","105","0.2","100211","","","cgg_idle_def"
"","21","105018","","0","105","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_5_010"
"0","11","105019","0","6","105","0","105811","0","0","蒐集到的周邊能裝飾\n在櫃子上，之後再來\n仔細鑑賞喔♪\n太讚了吧☆"
"0","3","105020","","0","105","0.2","1","0","cgg_idle_arm_crossed","cgg_talk_arm_crossed"
"","3","105021","","1","105","0.2","105811","","","cgg_talk_joy1"
"","93","105022","","","105","","5","","","0"
"0","3","105023","","0","105","0.2","1","1","cgg_idle_guts2","cgg_talk_guts2"
"0.2","3","105024","","0","105","0.2","105811","1","cgg_idle_def","cgg_jump_def_N"
"","91","105025","","","105","","105019","","",""
"","93","105026","","","105","","0.5","","","0"
"","3","105027","","1","105","0.2","1","","","cgg_idle_normal"
"","3","105028","","1","105","0.2","100211","","","cgg_talk_joy3"
"","12","105029","","1.4","105","0.2","100211","","","10"
"","93","105030","","","105","","3","","","0"
"","3","105031","","1","105","0.2","100211","","","cgg_idle_def"
"0","3","105032","","0","105","0.2","105811","1","cgg_idle_guts_anger","cgg_talk_guts_anger"
"","12","105033","","1.4","105","0.2","105811","","","4"
"","93","105034","","","105","","3","","","0"
"","3","105035","","1","105","0.2","105811","","","cgg_idle_def"
"0","3","105036","","0","105","0.2","1","1","cgg_idle_guts2","cgg_talk_guts2"
"","12","105037","","1.4","105","0.2","1","","","7"
"","93","105038","","","105","","3","","","0"
"","101","105039","","","105","","105027","","","0"
"","22","105040","","","105","","0","","","0.5"
"0","6","105041","","1","105","0.1","1","0","1","1"
"0","6","105042","","1","105","0.1","100211","0","1","1"
"0","6","105043","","1","105","0.1","105811","0","1","1"
"","93","105044","","","105","","0.1","","","0"
"","3","105045","","1","105","0","1","","","cgg_idle_normal"
"","3","105046","","1","105","0","100211","","","cgg_idle_def"
"","3","105047","","1","105","0","105811","","","cgg_idle_def"
"0","5","106001","cgg_idle_normal","100","106","160","1","-230","-420","1"
"1","1","106002","cgg_idle_def","100","106","1.6","1","-230","420","110911"
"0","6","106003","","1","106","0.1","1","1","1","1"
"0","6","106004","","1","106","0.1","110911","1","1","1"
"","93","106005","","","106","","0.2","","","0"
"","21","106006","","0","106","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_6_011"
"0","11","106007","0","5","106","0","110911","0","0","咦……騙人的吧，\n學長……你居然還沒\n完全收齊慈樂之音的\n周邊，太扯了吧。"
"","3","106008","","1","106","0.2","1","","","cgg_idle_reaction2"
"","3","106009","","0","106","0.2","110911","","","cgg_shock"
"","93","106010","","","106","","1","","","0"
"","3","106011","","1","106","0.2","110911","","","cgg_idle_bitter2"
"","93","106012","","","106","","4.2","","","0"
"0","3","106013","","0","106","0.2","1","1","cgg_idle_shock","cgg_shock"
"","91","106014","","","106","","106007","","",""
"","21","106015","","0","106","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_6_012"
"0","11","106016","0","5","106","0","110911","0","0","請你差不多一點，\n既然有空悠哉地和\n一般美少女聊天，\n還不趕快繼續抽啊！"
"0","3","106017","","1","106","0.2","110911","1","","cgg_talk_tsun_pain"
"","93","106018","","","106","","0.7","","","0"
"0","3","106019","","0","106","0.2","1","1","cgg_idle_surprise2","cgg_surprise2"
"","93","106020","","","106","","1.3","","","0"
"0","3","106021","","1","106","0.2","110911","1","","cgg_talk_joy1_sad"
"","93","106022","","","106","","3","","","0"
"","3","106023","","0","106","0.2","110911","1","cgg_idle_guts_anger","cgg_talk_guts_anger"
"","93","106024","","","106","","0.7","","","0"
"0","3","106025","","0","106","0.2","1","1","cgg_idle_guts2","cgg_talk_guts2"
"","91","106026","","","106","","106016","","",""
"","93","106027","","","106","","0.5","","","0"
"","3","106028","","1","106","0.2","110911","","","cgg_idle_def"
"0","3","106029","","0","106","0.2","1","1","cgg_idle_doya","cgg_talk_doya"
"","12","106030","","1.4","106","0.2","1","","","6"
"","93","106031","","","106","","3","","","0"
"","3","106032","","1","106","0.2","1","","","cgg_idle_normal"
"0","3","106033","","0","106","0.2","110911","1","cgg_idle_guts_anger","cgg_talk_guts_anger"
"","12","106034","","1.4","106","0.2","110911","","","11"
"","93","106035","","","106","","3","","","0"
"","3","106036","","1","106","0.2","110911","","","cgg_idle_def"
"0","3","106037","","0","106","0.2","1","1","cgg_idle_surprise1","cgg_surprise1"
"","12","106038","","1.4","106","0.2","1","","","4"
"","93","106039","","","106","","3","","","0"
"","3","106040","","1","106","0.2","1","","","cgg_idle_normal"
"","3","106041","","1","106","0.2","110911","","","cgg_talk_joy3_blink"
"","12","106042","","1.4","106","0.2","110911","","","10"
"","93","106043","","","106","","3","","","0"
"","101","106044","","","106","","106028","","","0"
"","22","106045","","","106","","0","","","0.5"
"0","6","106046","","1","106","0.1","1","0","1","1"
"0","6","106047","","1","106","0.1","110911","0","1","1"
"","93","106048","","","106","","0.1","","","0"
"","3","106049","","1","106","0","1","","","cgg_idle_normal"
"","3","106050","","1","106","0","110911","","","cgg_idle_def"
"0","5","201001","cgg_idle_normal","100","201","160","1","-230","-420","1"
"1","1","201002","cgg_idle_def","100","201","1.6","1","-230","420","100411"
"0","6","201003","","1","201","0.1","1","1","1","1"
"0","6","201004","","1","201","0.1","100411","1","1","1"
"","93","201005","","","201","","0.2","","","0"
"","21","201006","","0","201","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_7_013"
"0","11","201007","0","6","201","0","100411","0","0","那個那個，哥哥！\n你蒐集到差不多\n一半的周邊囉！\n只差一點了呢！"
"","3","201008","","1","201","0.2","1","","","cgg_idle_reaction2"
"","3","201009","","1","201","0.2","100411","","","cgg_talk_joy1_normal"
"","93","201010","","","201","","1.3","","","0"
"0","3","201011","","0","201","0.2","1","1","cgg_idle_doya","cgg_talk_doya"
"","3","201012","","1","201","0.2","100411","","","cgg_talk_surprise_kira"
"","93","201013","","","201","","2.7","","","0"
"0.2","3","201014","","0","201","0.2","1","1","cgg_idle_reaction1","cgg_talk_handsup"
"0","3","201015","","0","201","0.2","100411","1","cgg_idle_guts","cgg_talk_guts"
"","91","201016","","","201","","201007","","",""
"","93","201017","","","201","","0.5","","","0"
"","3","201018","","1","201","0.2","100411","","","cgg_idle_def"
"","3","201019","","1","201","0.2","1","","","cgg_idle_surprise3"
"","12","201020","","1.4","201","0.2","1","","","6"
"","93","201021","","","201","","3","","","0"
"","3","201022","","1","201","0.2","1","","","cgg_idle_normal"
"","3","201023","","1","201","0.2","100411","","","cgg_talk_surprise_kira"
"","12","201024","","1.4","201","0.2","100411","","","7"
"","93","201025","","","201","","3","","","0"
"","3","201026","","1","201","0.2","100411","","","cgg_idle_def"
"0","3","201027","","0","201","0.2","1","1","cgg_idle_reaction1","cgg_talk_handsup"
"","12","201028","","1.4","201","0.2","1","","","11"
"","93","201029","","","201","","3","","","0"
"","3","201030","","1","201","0.2","1","","","cgg_idle_normal"
"","3","201031","","1","201","0.2","100411","","","cgg_talk_joy1"
"","12","201032","","1.4","201","0.2","100411","","","10"
"","93","201033","","","201","","3","","","0"
"","101","201034","","","201","","201018","","","0"
"","22","201035","","","201","","0","","","0.5"
"0","6","201036","","1","201","0.1","1","0","1","1"
"0","6","201037","","1","201","0.1","100411","0","1","1"
"","93","201038","","","201","","0.1","","","0"
"","3","201039","","1","201","0","1","","","cgg_idle_normal"
"","3","201040","","1","201","0","100411","","","cgg_idle_def"
"0","5","202001","cgg_idle_normal","100","202","160","1","-230","-420","1"
"1","1","202002","cgg_idle_def","100","202","1.6","1","-230","420","102011"
"0","6","202003","","1","202","0.1","1","1","1","1"
"0","6","202004","","1","202","0.1","102011","1","1","1"
"","93","202005","","","202","","0.2","","","0"
"","21","202006","","0","202","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_8_014"
"0","11","202007","0","4","202","0","102011","0","0","好厲害喔～♪\n真想看看\n全部收齊的樣子～♪"
"","3","202008","","1","202","0.2","1","","","cgg_idle_reaction1"
"","3","202009","","1","202","0.2","102011","","","cgg_talk_joy3"
"","93","202010","","","202","","2","","","0"
"","3","202011","","1","202","0.2","1","","","cgg_idle_nod"
"","3","202012","","1","202","0.2","102011","","","cgg_talk_wish"
"","91","202013","","","202","","202007","","",""
"","93","202014","","","202","","0.5","","","0"
"","3","202015","","1","202","0.2","102011","","","cgg_idle_def"
"","3","202016","","1","202","0.2","1","","","cgg_idle_reaction3"
"","12","202017","","1.4","202","0.2","1","","","6"
"","93","202018","","","202","","3","","","0"
"","3","202019","","1","202","0.2","1","","","cgg_idle_normal"
"","3","202020","","1","202","0.2","102011","","","cgg_talk_joy1_normal"
"","12","202021","","1.4","202","0.2","102011","","","11"
"","93","202022","","","202","","3","","","0"
"","3","202023","","1","202","0.2","102011","","","cgg_idle_def"
"0","3","202024","","0","202","0.2","1","1","cgg_idle_guts2","cgg_talk_guts2"
"","12","202025","","1.4","202","0.2","1","","","11"
"","93","202026","","","202","","3","","","0"
"","3","202027","","1","202","0.2","1","","","cgg_idle_normal"
"","3","202028","","1","202","0.2","102011","","","cgg_talk_joy3"
"","12","202029","","1.4","202","0.2","102011","","","7"
"","93","202030","","","202","","3","","","0"
"","101","202031","","","202","","202015","","","0"
"","22","202032","","","202","","0","","","0.5"
"0","6","202033","","1","202","0.1","1","0","1","1"
"0","6","202034","","1","202","0.1","102011","0","1","1"
"","93","202035","","","202","","0.1","","","0"
"","3","202036","","1","202","0","1","","","cgg_idle_normal"
"","3","202037","","1","202","0","102011","","","cgg_idle_def"
"0","5","203001","cgg_idle_normal","100","203","160","1","-230","-420","1"
"1","1","203002","cgg_idle_def","100","203","1.6","1","-230","420","103611"
"0","6","203003","","1","203","0.1","1","1","1","1"
"0","6","203004","","1","203","0.1","103611","1","1","1"
"","93","203005","","","203","","0.2","","","0"
"","21","203006","","0","203","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_9_015"
"0","11","203007","0","6","203","0","103611","0","0","只差一點了呢。\n要是全部集齊，\n我會誇獎你的。\n……請你加油。"
"0","3","203008","","0","203","0.2","1","1","cgg_idle_arm_crossed","cgg_talk_arm_crossed"
"","3","203009","","1","203","0.2","103611","","","cgg_talk_normal"
"","93","203010","","","203","","1.9","","","0"
"","3","203011","","1","203","0.2","1","","","cgg_idle_surprise1"
"","3","203012","","1","203","0.2","103611","","","cgg_talk_joy3_blink"
"","93","203013","","","203","","3.1","","","0"
"0","3","203014","","0","203","0.2","1","1","cgg_idle_guts2","cgg_talk_guts2"
"","3","203015","","1","203","0.2","103611","","","cgg_talk_surprise_dere"
"","91","203016","","","203","","203007","","",""
"","93","203017","","","203","","0.5","","","0"
"","3","203018","","1","203","0.2","103611","","","cgg_idle_def"
"0","3","203019","","0","203","0.2","1","1","cgg_idle_nod","cgg_talk_nod"
"","12","203020","","1.4","203","0.2","1","","","6"
"","93","203021","","","203","","3","","","0"
"","3","203022","","1","203","0.2","1","","","cgg_idle_normal"
"","3","203023","","1","203","0.2","103611","","","cgg_talk_joy1"
"","12","203024","","1.4","203","0.2","103611","","","10"
"","93","203025","","","203","","3","","","0"
"","3","203026","","1","203","0.2","103611","","","cgg_idle_def"
"0","3","203027","","0","203","0.2","1","1","cgg_idle_guts1","cgg_talk_guts1"
"","12","203028","","1.4","203","0.2","1","","","4"
"","93","203029","","","203","","3","","","0"
"","3","203030","","1","203","0.2","1","","","cgg_idle_normal"
"","3","203031","","1","203","0.2","103611","","","cgg_talk_joy3_dere"
"","12","203032","","1.4","203","0.2","103611","","","7"
"","93","203033","","","203","","3","","","0"
"","101","203034","","","203","","203018","","","0"
"","22","203035","","","203","","0","","","0.5"
"0","6","203036","","1","203","0.1","1","0","1","1"
"0","6","203037","","1","203","0.1","103611","0","1","1"
"","93","203038","","","203","","0.1","","","0"
"","3","203039","","1","203","0","1","","","cgg_idle_normal"
"","3","203040","","1","203","0","103611","","","cgg_idle_def"
"0","5","204001","cgg_idle_normal","100","204","160","1","-230","-420","1"
"1","1","204002","cgg_idle_def","100","204","1.6","1","-230","420","102811"
"0","6","204003","","1","204","0.1","1","1","1","1"
"0","6","204004","","1","204","0.1","102811","1","1","1"
"","93","204005","","","204","","0.2","","","0"
"","21","204006","","0","204","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_10_016"
"0","11","204007","0","6","204","0","102811","0","0","你蒐集到這麼多\n周邊了？真厲害……\n我要不要\n也來試試呢？"
"0","3","204008","","0","204","0.2","1","1","cgg_idle_doya","cgg_talk_doya"
"0","3","204009","","0","204","0.2","102811","1","cgg_talk_surprise1","cgg_surprise"
"","93","204010","","","204","","2.5","","","0"
"","3","204011","","1","204","0.2","1","","","cgg_idle_reaction5"
"","3","204012","","1","204","0.2","102811","","","cgg_talk_bitter"
"","91","204013","","","204","","204007","","",""
"","93","204014","","","204","","0.5","","","0"
"","3","204015","","1","204","0.2","102811","","","cgg_idle_def"
"0","3","204016","","0","204","0.2","1","1","cgg_idle_doya","cgg_talk_doya"
"","12","204017","","1.4","204","0.2","1","","","6"
"","93","204018","","","204","","3","","","0"
"","3","204019","","1","204","0.2","1","","","cgg_idle_normal"
