b281cbafb924166fcfb89579b5eb506b9a26d8e492c28f088f25727f6506c81b,af2531f1d035a6ee7c0ef02d1b461866b9b742768eddb246ace083b2b6c4917d,8e57d7ddfc1a258c15d827ff43a8a1d01f3dda07bd9be718d78c54d226cf8bea,890d64d053af07e4fe7c1ebd384bd6ec80da785e02a8ef68ccaf10886a602d05,8f525411748507372458ecf2543b3e02dbb7a0e761d0785a5b0cf3acd1f427b0,1493e0e9665963c119d7f40f194fb5eb6e0a7606b978c45b62907998bccaa77a,42a08a40bed3b3f43ed4586cac286d05368a8aefccbcb919e6e056491d177252,c2d8eb89c03f3d5b7cf014b6b36fc7676f37a8d1c25144a145576c0ce96c42ae,ee7e9d7297999485497659489a997cbe28b6285b50f38a60e066c2e7b04f8f9a,c6a93a50c02b3fab093dcfd19ed30e79083705727b3ce420d9e91ee46b23a8af,f7b8195b77263b3c9f7c868b17964ae2f2691c6ce6cbd4017014fc9960c43fe3,e9410d6de9382b5f3c8e594aa01e4627b15edcacbc8dda2fad77f12771957e41,575380353834c418631159b6069357937e59083389dec4a148a0e1db2b530da2,c9a629b430815da2508197d8f4487184a8e152da7a573e9f2b5cb143b79dabdf,0c63aa07fb7d1811ec5a9f342c05c917f472ef12fbebbe8bff89487c9708c964,48cf059021186d33990730a0b653f17170e0eddf30ccb21e4ac3fb78218039f5,312e41e2f29d6518c4173785e10ebec1d732937def9447ab31700e1bc855cb74,7986b66adea872852cc09a50e08bcfd2531e4605380dbb1f89281dc800a05d8f,018af5b4242967a0675ec1cb10aa2b833425a46bc2e05a079abb9078dae30b9c
"140000","90005","500","32005","140001","2","10","500000","90008","5","94002","1","12","1","2","1","4","2","4"
"21951","25001","200","32005","140001","8","1","500000","91002","10","94002","1","12","1","2","1","2","2","4"
"140000","90005","700","32005","140001","2","5","750000","90008","15","94002","1","12","2","2","1","4","2","4"
"140001","94002","300","32005","25001","8","750000","0","91002","20","0","2","0","2","1","1","4","12","2"
"140000","90005","700","32005","140001","2","5","750000","90008","25","94002","1","12","2","2","1","4","2","4"
"140001","94002","500","32005","25001","8","750000","0","91002","30","0","2","0","3","1","1","4","12","2"
"140000","90005","1000","32005","140001","2","5","1000000","90008","35","94002","1","12","3","2","1","4","2","4"
"140001","94002","1000","32005","25001","2","1000000","0","90008","40","0","2","0","4","1","1","4","12","2"
"140000","90005","1250","32005","140001","2","5","2000000","90008","45","94002","1","12","4","2","1","4","2","4"
"140001","94002","1500","32005","25001","2","2000000","0","90008","50","0","2","0","4","1","1","4","12","2"
"140000","90005","500","32006","140001","2","10","500000","90008","5","94002","1","12","1","2","1","4","2","4"
"21951","25001","200","32006","140001","8","1","500000","91002","10","94002","1","12","1","2","1","2","2","4"
"140000","90005","700","32006","140001","2","5","750000","90008","15","94002","1","12","2","2","1","4","2","4"
"140001","94002","300","32006","25001","8","750000","0","91002","20","0","2","0","2","1","1","4","12","2"
"140000","90005","700","32006","140001","2","5","750000","90008","25","94002","1","12","2","2","1","4","2","4"
"140001","94002","500","32006","25001","8","750000","0","91002","30","0","2","0","3","1","1","4","12","2"
"140000","90005","1000","32006","140001","2","5","1000000","90008","35","94002","1","12","3","2","1","4","2","4"
"140001","94002","1000","32006","25001","2","1000000","0","90008","40","0","2","0","4","1","1","4","12","2"
"140000","90005","1250","32006","140001","2","5","2000000","90008","45","94002","1","12","4","2","1","4","2","4"
"140001","94002","1500","32006","25001","2","2000000","0","90008","50","0","2","0","4","1","1","4","12","2"
"140001","94002","500","32007","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32007","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32007","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32007","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32007","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32007","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"140001","94002","3500","32007","90005","2","1000000","0","90008","35","0","15","0","3","5","1","4","12","2"
"140001","94002","4000","32007","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"140001","94002","4500","32007","90005","2","2000000","0","90008","45","0","15","0","4","5","1","4","12","2"
"140001","94002","5000","32007","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32008","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32008","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32008","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32008","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32008","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32008","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"140001","94002","3500","32008","90005","2","1000000","0","90008","35","0","15","0","3","5","1","4","12","2"
"140001","94002","4000","32008","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"140001","94002","4500","32008","90005","2","2000000","0","90008","45","0","15","0","4","5","1","4","12","2"
"140001","94002","5000","32008","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32009","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32009","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32009","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32009","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32009","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32009","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"140001","94002","3500","32009","90005","2","1000000","0","90008","35","0","15","0","3","5","1","4","12","2"
"140001","94002","4000","32009","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"140001","94002","4500","32009","90005","2","2000000","0","90008","45","0","15","0","4","5","1","4","12","2"
"140001","94002","5000","32009","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32010","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32010","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32010","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32010","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32010","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32010","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"90008","90005","1","32010","140001","18","5","1000000","4101401","35","94002","3500","12","3","15","1","2","2","4"
"140001","94002","4000","32010","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"90008","90005","1","32010","140001","18","5","2000000","4109401","45","94002","4500","12","4","15","1","2","2","4"
"140001","94002","5000","32010","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32011","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32011","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32011","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32011","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32011","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32011","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"90008","90005","1","32011","140001","18","5","1000000","4301401","35","94002","3500","12","3","15","1","2","2","4"
"140001","94002","4000","32011","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"90008","90005","1","32011","140001","18","5","2000000","4303401","45","94002","4500","12","4","15","1","2","2","4"
"140001","94002","5000","32011","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32012","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32012","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32012","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32012","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32012","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32012","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"90008","90005","1","32012","140001","18","5","1000000","4201401","35","94002","3500","12","3","15","1","2","2","4"
"140001","94002","4000","32012","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"90008","90005","1","32012","140001","18","5","2000000","4204401","45","94002","4500","12","4","15","1","2","2","4"
"140001","94002","5000","32012","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32013","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32013","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32013","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32013","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32013","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32013","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"90008","90005","1","32013","140001","18","5","1000000","4110401","35","94002","3500","12","3","15","1","2","2","4"
"140001","94002","4000","32013","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"90008","90005","1","32013","140001","18","5","2000000","4102401","45","94002","4500","12","4","15","1","2","2","4"
"140001","94002","5000","32013","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
"140001","94002","500","32014","90005","2","500000","0","90008","5","0","15","0","1","10","1","4","12","2"
"21951","25001","100","32014","140001","8","1","500000","91002","10","94002","1","12","1","5","1","2","2","4"
"140001","94002","1000","32014","90005","2","750000","0","90008","15","0","15","0","2","5","1","4","12","2"
"140001","94002","150","32014","25001","8","750000","0","91002","20","0","5","0","2","1","1","4","12","2"
"140001","94002","1500","32014","90005","2","750000","0","90008","25","0","15","0","2","5","1","4","12","2"
"90008","25001","250","32014","140001","8","1","750000","91002","30","94002","3000","12","3","5","1","2","2","4"
"90008","90005","1","32014","140001","18","5","1000000","4203401","35","94002","3500","12","3","15","1","2","2","4"
"140001","94002","4000","32014","25001","2","1000000","0","90008","40","0","5","0","4","1","1","4","12","2"
"90008","90005","1","32014","140001","18","5","2000000","4202401","45","94002","4500","12","4","15","1","2","2","4"
"140001","94002","5000","32014","25001","2","2000000","0","90008","50","0","5","0","4","1","1","4","12","2"
