0a45a374828b7471f75ded7617069c74c6c185bdd3921b86b9160d88f04e2cd5,7bfd07cc9b497359e91c719fc4d0916b086c181d78d6023f6b001ebc27aa98eb,a00ea6dc514aeeb967f0f6673ce7478aa6351618daeed27b0e4dceda454195b4,6c20fac9727425fbacc56ea070b674c29129329824c9c00cbd9e1dd6aadf3ad8,f9be5d74dfccb37aa8a72949b7800073f357b30dd20f3c17c224030b148f118c,250053748cc2b8ea8b37fce13e887a0ceefba08ba5b33095f0802b1c51b24718,6b52b879a2c997c92eca82e6298173ce7402ec19e9cd0955fef0fc4c8e188d39,f2368674e53240b067bd47d0b469250492d891de870c9ad1de53498ff28df7e2,d3e1c8779a4b73c5d98f37dd346d8af770284fab4f0fca26f117da7caf4b1e6f,1840f81189ab7e93e48721c6008ab9c365f802825501d60e4131362dacd8a36d,0c652e65e25e26e3e0a54f45f54d93b7b3f43e48e2456efeccc320e1d8f1bb7f,eee729380b01d474c34a874aec1fb552c5f4b88aadd2c4923244238e4d6f7c36
"0","0","vo_ske_0302","vo_ske","0","11","1005803","0","100580311","0","0","2"
"1.185","421","0","0","2","12","1005803","0","100580312","163","0","1"
"0","0","0","0","0","13","1005803","1","100580313","0","1.185","4"
"0.952","0","0","0","3","14","1005803","0","100580314","0","0","1"
"0","0","0","0","0","15","1005803","1","100580315","0","1.747","4"
"0.961","295","0","0","3","16","1005803","0","100580316","0","0","1"
"0","0","0","0","0","17","1005803","1","100580317","0","2.398","4"
"0","0","vo_ske_0303","vo_ske","0","18","1005803","0","100580318","0","0","2"
"1.401","150","0","0","4","19","1005803","0","100580319","0","0","1"
"0","0","0","0","0","20","1005803","1","100580320","0","1.935","4"
"1.288","356","0","0","4","21","1005803","0","100580321","150","0","1"
"0","0","0","0","0","22","1005803","1","100580322","0","2.418","4"
"0","0","vo_ske_0304","vo_ske","0","23","1005803","0","100580323","0","0","2"
"0.619","0","0","0","5","24","1005803","0","100580324","0","0","1"
"0","0","0","0","0","25","1005803","1","100580325","0","1.407","4"
"2.1","0","0","0","5","26","1005803","0","100580326","0","0","1"
"0","0","0","0","0","27","1005803","1","100580327","0","4.561","4"
"0","0","vo_ske_0305","vo_ske","0","28","1005803","0","100580328","0","0","2"
"2.309","318","0","0","5","29","1005803","0","100580329","0","0","1"
"0","0","0","0","0","30","1005803","1","100580330","0","3.378","4"
"0.664","101","0","0","6","31","1005803","0","100580331","0","0","1"
"0","0","0","0","0","32","1005803","1","100580332","0","1.555","4"
"1.706","366","0","0","6","33","1005803","0","100580333","101","0","1"
"0","0","0","0","0","34","1005803","1","100580334","0","4.399","4"
"0","0","vo_ske_0306","vo_ske","0","35","1005803","0","100580335","0","0","2"
"2.137","209","0","0","7","36","1005803","0","100580336","0","0","1"
"0","0","0","0","0","37","1005803","1","100580337","0","3.014","4"
"0.788","382","0","0","7","38","1005803","0","100580338","209","0","1"
"0","0","0","0","0","39","1005803","1","100580339","0","2.288","4"
"0","0","vo_ske_0307","vo_ske","0","40","1005803","0","100580340","0","0","2"
"2.054","290","0","0","8","41","1005803","0","100580341","0","0","1"
"0","0","0","0","0","42","1005803","1","100580342","0","2.931","4"
"0.801","410","0","0","8","43","1005803","0","100580343","290","0","1"
"0","0","0","0","0","44","1005803","1","100580344","0","1.48","4"
"2.75","347","0","0","9","45","1005803","0","100580345","0","0","1"
"0","0","0","0","0","46","1005803","1","100580346","0","5.052","4"
"0","0","vo_ske_0308","vo_ske","0","47","1005803","0","100580347","0","0","2"
"0.527","60","0","0","10","48","1005803","0","100580348","0","0","1"
"0","0","0","0","0","49","1005803","1","100580349","0","1.38","4"
"1.473","230","0","0","10","50","1005803","0","100580350","60","0","1"
"0","0","0","0","0","51","1005803","1","100580351","0","1.759","4"
"0.68","354","0","0","10","52","1005803","0","100580352","230","0","1"
"0","0","0","0","0","53","1005803","1","100580353","0","1.838","4"
"0","0","vo_ske_0309","vo_ske","0","54","1005803","0","100580354","0","0","2"
"0.477","71","0","0","11","55","1005803","0","100580355","0","0","1"
"0","0","0","0","0","56","1005803","1","100580356","0","1.108","4"
"2.144","323","0","0","11","57","1005803","0","100580357","71","0","1"
"0","0","0","0","0","58","1005803","1","100580358","0","3.802","4"
"0","0","vo_ske_0310","vo_ske","0","59","1005803","0","100580359","0","0","2"
"1.251","93","0","0","12","60","1005803","0","100580360","0","0","1"
"0","0","0","0","0","61","1005803","1","100580361","0","2.672","4"
"0.65","247","0","0","12","62","1005803","0","100580362","93","0","1"
"0","0","0","0","0","63","1005803","1","100580363","0","1.349","4"
"0.589","375","0","0","12","64","1005803","0","100580364","247","0","1"
"0","0","0","0","0","65","1005803","1","100580365","0","3.089","4"
"0","0","0","0","0","1","1005804","1","100580401","0","0.8","4"
"0","0","vo_ske_0401","vo_ske","0","2","1005804","0","100580402","0","0","2"
"1.769","186","0","0","1","3","1005804","0","100580403","0","0","1"
"0","0","0","0","0","4","1005804","1","100580404","0","3.723","4"
"0","0","vo_ske_0402","vo_ske","0","5","1005804","0","100580405","0","0","2"
"0.818","106","0","0","2","6","1005804","0","100580406","0","0","1"
"0","0","0","0","0","7","1005804","1","100580407","0","1.553","4"
"1.87","258","0","0","2","8","1005804","0","100580408","106","0","1"
"0","0","0","0","0","9","1005804","1","100580409","0","2.537","4"
"0.487","410","0","0","2","10","1005804","0","100580410","258","0","1"
"0","0","0","0","0","11","1005804","1","100580411","0","0.487","4"
"0.822","77","0","0","3","12","1005804","0","100580412","0","0","1"
"0","0","0","0","0","13","1005804","1","100580413","0","2.459","4"
"1.696","400","0","0","3","14","1005804","0","100580414","77","0","1"
"0","0","0","0","0","15","1005804","1","100580415","0","2.551","4"
"0.688","400","0","0","3","16","1005804","0","100580416","400","0","1"
"0","0","0","0","0","17","1005804","1","100580417","0","1.121","4"
"1.807","0","0","0","4","18","1005804","0","100580418","0","0","1"
"0","0","0","0","0","19","1005804","1","100580419","0","4.87","4"
"0","0","vo_ske_0403","vo_ske","0","20","1005804","0","100580420","0","0","2"
"0.78","93","0","0","4","21","1005804","0","100580421","0","0","1"
"0","0","0","0","0","22","1005804","1","100580422","0","2.288","4"
"1.497","324","0","0","4","23","1005804","0","100580423","93","0","1"
"0","0","0","0","0","24","1005804","1","100580424","0","3.177","4"
"0","0","vo_ske_0404","vo_ske","0","25","1005804","0","100580425","0","0","2"
"0.729","114","0","0","5","26","1005804","0","100580426","0","0","1"
"0","0","0","0","0","27","1005804","1","100580427","0","1.799","4"
"0.823","192","0","0","5","28","1005804","0","100580428","114","0","1"
"0","0","0","0","0","29","1005804","1","100580429","0","1.447","4"
"0.982","287","0","0","5","30","1005804","0","100580430","192","0","1"
"0","0","0","0","0","31","1005804","1","100580431","0","1.587","4"
"0.639","430","0","0","5","32","1005804","0","100580432","287","0","1"
"0","0","0","0","0","33","1005804","1","100580433","0","0.639","4"
"1.712","0","0","0","6","34","1005804","0","100580434","0","0","1"
"0","0","0","0","0","35","1005804","1","100580435","0","3.735","4"
"0","0","vo_ske_0405","vo_ske","0","36","1005804","0","100580436","0","0","2"
"0.793","201","0","0","6","37","1005804","0","100580437","0","0","1"
"0","0","0","0","0","38","1005804","1","100580438","0","2.073","4"
"0.405","201","0","0","6","39","1005804","0","100580439","201","0","1"
"0","0","0","0","0","40","1005804","1","100580440","0","1.081","4"
"0.962","293","0","0","6","41","1005804","0","100580441","201","0","1"
"0","0","0","0","0","42","1005804","1","100580442","0","3.994","4"
"0","0","vo_ske_0406","vo_ske","0","43","1005804","0","100580443","0","0","2"
"0.869","259","0","0","7","44","1005804","0","100580444","0","0","1"
"0","0","0","0","0","45","1005804","1","100580445","0","2.298","4"
"0","0","vo_ske_0407","vo_ske","0","46","1005804","0","100580446","0","0","2"
"1.07","389","0","0","7","47","1005804","0","100580447","259","0","1"
"0","0","0","0","0","48","1005804","1","100580448","0","2.401","4"
"0","0","vo_ske_0408","vo_ske","0","49","1005804","0","100580449","0","0","2"
"0.939","167","0","0","8","50","1005804","0","100580450","0","0","1"
"0","0","0","0","0","51","1005804","1","100580451","0","0.939","4"
"0.816","167","0","0","8","52","1005804","0","100580452","167","0","1"
"0","0","0","0","0","53","1005804","1","100580453","0","2.428","4"
"0","0","vo_ske_0409","vo_ske","0","54","1005804","0","100580454","0","0","2"
"0.626","211","0","0","8","55","1005804","0","100580455","167","0","1"
"0","0","0","0","0","56","1005804","1","100580456","0","1.776","4"
"1.439","390","0","0","8","57","1005804","0","100580457","211","0","1"
"0","0","0","0","0","58","1005804","1","100580458","0","1.439","4"
"0.447","60","0","0","9","59","1005804","0","100580459","0","0","1"
"0","0","0","0","0","60","1005804","1","100580460","0","2.012","4"
"0","0","vo_ske_0410","vo_ske","0","61","1005804","0","100580461","0","0","2"
"0.504","155","0","0","9","62","1005804","0","100580462","60","0","1"
"0","0","0","0","0","63","1005804","1","100580463","0","1.659","4"
"0.488","335","0","0","9","64","1005804","0","100580464","155","0","1"
"0","0","0","0","0","65","1005804","1","100580465","0","3.099","4"
"0","0","vo_ske_0411","vo_ske","0","66","1005804","0","100580466","0","0","2"
"0.743","93","0","0","10","67","1005804","0","100580467","0","0","1"
"0","0","0","0","0","68","1005804","1","100580468","0","1.683","4"
"2.16","319","0","0","10","69","1005804","0","100580469","93","0","1"
"0","0","0","0","0","70","1005804","1","100580470","0","3.689","4"
"1.846","284","0","0","11","71","1005804","0","100580471","0","0","1"
"0","0","0","0","0","72","1005804","1","100580472","0","4.239","4"
"0","0","vo_ske_0412","vo_ske","0","73","1005804","0","100580473","0","0","2"
"0.584","90","0","0","12","74","1005804","0","100580474","0","0","1"
"0","0","0","0","0","75","1005804","1","100580475","0","1.837","4"
"1.393","330","0","0","12","76","1005804","0","100580476","90","0","1"
"0","0","0","0","0","77","1005804","1","100580477","0","3.893","4"
"0","0","0","0","0","1","1005805","1","100580501","0","0.8","4"
"0","0","vo_ske_0501","vo_ske","0","2","1005805","0","100580502","0","0","2"
"1.013","136","0","0","1","3","1005805","0","100580503","0","0","1"
"0","0","0","0","0","4","1005805","1","100580504","0","1.598","4"
"1.062","399","0","0","1","5","1005805","0","100580505","136","0","1"
"0","0","0","0","0","6","1005805","1","100580506","0","2.428","4"
"0","0","vo_ske_0502","vo_ske","0","7","1005805","0","100580507","0","0","2"
"1.244","137","0","0","2","8","1005805","0","100580508","0","0","1"
"0","0","0","0","0","9","1005805","1","100580509","0","1.839","4"
"1.989","357","0","0","2","10","1005805","0","100580510","137","0","1"
"0","0","0","0","0","11","1005805","1","100580511","0","3.898","4"
"0","0","vo_ske_0503","vo_ske","0","12","1005805","0","100580512","0","0","2"
"1.43","220","0","0","3","13","1005805","0","100580513","0","0","1"
"0","0","0","0","0","14","1005805","1","100580514","0","1.915","4"
"0.906","365","0","0","3","15","1005805","0","100580515","220","0","1"
"0","0","0","0","0","16","1005805","1","100580516","0","2.75","4"
"0","0","vo_ske_0504","vo_ske","0","17","1005805","0","100580517","0","0","2"
"1.11","100","0","0","4","18","1005805","0","100580518","0","0","1"
"0","0","0","0","0","19","1005805","1","100580519","0","1.656","4"
"1.445","320","0","0","4","20","1005805","0","100580520","100","0","1"
"0","0","0","0","0","21","1005805","1","100580521","0","1.899","4"
"0.574","408","0","0","4","22","1005805","0","100580522","320","0","1"
"0","0","0","0","0","23","1005805","1","100580523","0","2.491","4"
"0","0","vo_ske_0505","vo_ske","0","24","1005805","0","100580524","0","0","2"
"1.192","167","0","0","5","25","1005805","0","100580525","0","0","1"
"0","0","0","0","0","26","1005805","1","100580526","0","1.943","4"
"0.864","316","0","0","5","27","1005805","0","100580527","167","0","1"
"0","0","0","0","0","28","1005805","1","100580528","0","1.47","4"
"0.713","376","0","0","5","29","1005805","0","100580529","316","0","1"
"0","0","0","0","0","30","1005805","1","100580530","0","3.073","4"
"0","0","vo_ske_0506","vo_ske","0","31","1005805","0","100580531","0","0","2"
"1.159","139","0","0","6","32","1005805","0","100580532","0","0","1"
"0","0","0","0","0","33","1005805","1","100580533","0","1.779","4"
"1.634","391","0","0","6","34","1005805","0","100580534","139","0","1"
"0","0","0","0","0","35","1005805","1","100580535","0","5.206","4"
"0","0","vo_ske_0507","vo_ske","0","36","1005805","0","100580536","0","0","2"
"1.363","202","0","0","7","37","1005805","0","100580537","0","0","1"
"0","0","0","0","0","38","1005805","1","100580538","0","2.334","4"
"1.128","343","0","0","7","39","1005805","0","100580539","202","0","1"
"0","0","0","0","0","40","1005805","1","100580540","0","3.267","4"
"0","0","vo_ske_0508","vo_ske","0","41","1005805","0","100580541","0","0","2"
"2.341","319","0","0","8","42","1005805","0","100580542","0","0","1"
"0","0","0","0","0","43","1005805","1","100580543","0","3.817","4"
"0.614","413","0","0","8","44","1005805","0","100580544","319","0","1"
"0","0","0","0","0","45","1005805","1","100580545","0","1.798","4"
"1.942","286","0","0","9","46","1005805","0","100580546","0","0","1"
"0","0","0","0","0","47","1005805","1","100580547","0","4.447","4"
"0","0","vo_ske_0509","vo_ske","0","48","1005805","0","100580548","0","0","2"
"0.441","95","0","0","10","49","1005805","0","100580549","0","0","1"
"0","0","0","0","0","50","1005805","1","100580550","0","1.691","4"
"2.177","382","0","0","10","51","1005805","0","100580551","95","0","1"
"0","0","0","0","0","52","1005805","1","100580552","0","4.215","4"
"0","0","vo_ske_0510","vo_ske","0","53","1005805","0","100580553","0","0","2"
"1.116","154","0","0","11","54","1005805","0","100580554","0","0","1"
"0","0","0","0","0","55","1005805","1","100580555","0","2.252","4"
"2.025","380","0","0","11","56","1005805","0","100580556","154","0","1"
"0","0","0","0","0","57","1005805","1","100580557","0","4.486","4"
"0","0","vo_ske_0511","vo_ske","0","58","1005805","0","100580558","0","0","2"
"0.473","93","0","0","12","59","1005805","0","100580559","0","0","1"
"0","0","0","0","0","60","1005805","1","100580560","0","1.015","4"
"0.759","164","0","0","12","61","1005805","0","100580561","93","0","1"
"0","0","0","0","0","62","1005805","1","100580562","0","2.172","4"
"2.606","362","0","0","13","63","1005805","0","100580563","0","0","1"
"0","0","0","0","0","64","1005805","1","100580564","0","5.313","4"
"0","0","vo_ske_0512","vo_ske","0","65","1005805","0","100580565","0","0","2"
"1.072","113","0","0","14","66","1005805","0","100580566","0","0","1"
"0","0","0","0","0","67","1005805","1","100580567","0","2.416","4"
"1.331","362","0","0","14","68","1005805","0","100580568","113","0","1"
"0","0","0","0","0","69","1005805","1","100580569","0","3.831","4"
"0","0","0","0","0","1","1005901","1","100590101","0","0.8","4"
"0","0","vo_ske_0601","vo_ske","0","2","1005901","0","100590102","0","0","2"
"1.86","320","0","0","1","3","1005901","0","100590103","0","0","1"
"0","0","0","0","0","4","1005901","1","100590104","0","2.5","4"
"1.2","380","0","0","1","5","1005901","0","100590105","320","0","1"
"0","0","0","0","0","6","1005901","1","100590106","0","3.1","4"
"0","0","vo_ske_0602","vo_ske","0","7","1005901","0","100590107","0","0","2"
"2.2","287","0","0","2","8","1005901","0","100590108","0","0","1"
"0","0","0","0","0","9","1005901","1","100590109","0","3.3","4"
"0.9","410","0","0","2","10","1005901","0","100590110","287","0","1"
"0","0","0","0","0","11","1005901","1","100590111","0","1.5","4"
"1.5","288","0","0","3","12","1005901","0","100590112","0","0","1"
"0","0","0","0","0","13","1005901","1","100590113","0","3.7","4"
"0","0","vo_ske_0603","vo_ske","0","14","1005901","0","100590114","0","0","2"
"1.5","410","0","0","3","15","1005901","0","100590115","288","0","1"
"0","0","0","0","0","16","1005901","1","100590116","0","1.5","4"
"0.3","87","0","0","4","17","1005901","0","100590117","0","0","1"
"0","0","0","0","0","18","1005901","1","100590118","0","1.5","4"
"0.8","246","0","0","4","19","1005901","0","100590119","87","0","1"
"0","0","0","0","0","20","1005901","1","100590120","0","1.5","4"
"1.9","378","0","0","4","21","1005901","0","100590121","246","0","1"
"0","0","0","0","0","22","1005901","1","100590122","0","4.5","4"
"0","0","vo_ske_0604","vo_ske","0","23","1005901","0","100590123","0","0","2"
"2.3","171","0","0","5","24","1005901","0","100590124","0","0","1"
"0","0","0","0","0","25","1005901","1","100590125","0","3.3","4"
"1.1","309","0","0","5","26","1005901","0","100590126","171","0","1"
"0","0","0","0","0","27","1005901","1","100590127","0","1.1","4"
"1.1","410","0","0","5","28","1005901","0","100590128","309","0","1"
"0","0","0","0","0","29","1005901","1","100590129","0","3.9","4"
"0","0","vo_ske_0605","vo_ske","0","30","1005901","0","100590130","0","0","2"
"0.5","52","0","0","6","31","1005901","0","100590131","0","0","1"
"0","0","0","0","0","32","1005901","1","100590132","0","1.7","4"
"1.2","109","0","0","6","33","1005901","0","100590133","52","0","1"
"0","0","0","0","0","34","1005901","1","100590134","0","1.9","4"
"0.9","292","0","0","6","35","1005901","0","100590135","109","0","1"
"0","0","0","0","0","36","1005901","1","100590136","0","2.6","4"
"0","0","vo_ske_0606","vo_ske","0","37","1005901","0","100590137","0","0","2"
"1.6","180","0","0","7","38","1005901","0","100590138","0","0","1"
"0","0","0","0","0","39","1005901","1","100590139","0","2","4"
"1","350","0","0","7","40","1005901","0","100590140","180","0","1"
"0","0","0","0","0","41","1005901","1","100590141","0","1","4"
"1.3","0","0","0","8","42","1005901","0","100590142","0","0","1"
"0","0","0","0","0","43","1005901","1","100590143","0","2.2","4"
"1.4","372","0","0","8","44","1005901","0","100590144","0","0","1"
"0","0","0","0","0","45","1005901","1","100590145","0","4","4"
"0","0","vo_ske_0607","vo_ske","0","46","1005901","0","100590146","0","0","2"
"1.1","130","0","0","9","47","1005901","0","100590147","0","0","1"
"0","0","0","0","0","48","1005901","1","100590148","0","1.8","4"
"1","253","0","0","9","49","1005901","0","100590149","130","0","1"
"0","0","0","0","0","50","1005901","1","100590150","0","2.3","4"
"1.4","400","0","0","9","51","1005901","0","100590151","253","0","1"
"0","0","0","0","0","52","1005901","1","100590152","0","3.4","4"
