dabe5b3d5121274ac68b4ee26a492f0378022f9ac05b2ed6dfcc81f7ef5504e1,2c642d18c2afd22ecedf0b165c72b054cbbc9a3996b6396f1f5ce2733d2b9856,3f628855456a248fa33398331e77bbf6afdecdf83e213b78816713e5b2279f80,7e43a9d3ad0fa1e1f7e08b52bf224b2878c5b902ada7278f6fe02b15f055663f,13310357539ad8e97accb05d089eb9119e4223d191c15c642ab75b1f6c19dbfe,da2efefb44e5b7a24a749d59db837132be4795f44332f35d4a4f35a20331c462,37413c05902bf640fed6d54558d3cc5a73b523f3c1f2336263c2936cfc4865de,cacfe9b789c33ac1fb7bf579bf1353b1db4c6302e08f4cf45360f3402799d162,ace3b926161f5934754c794f0adc7d1062d21b4ea2ed83165a5cfb198ac2874e
"6","250","5","1003","20022","6005","2005","讓闇屬性的屬性等級提升到250","129"
"6","300","5","1003","20022","6006","2006","讓闇屬性的屬性等級提升到300","129"
"6","350","5","1003","20022","6007","2007","讓闇屬性的屬性等級提升到350","129"
"6","400","5","1003","20022","6008","2008","讓闇屬性的屬性等級提升到400","129"
"6","450","5","1003","20022","6009","2009","讓闇屬性的屬性等級提升到450","129"
"6","500","5","1003","20022","6010","2010","讓闇屬性的屬性等級提升到500","129"
"6","550","5","1003","20022","6011","2006","讓闇屬性的屬性等級提升到550","129"
"6","600","5","1003","20022","6012","2007","讓闇屬性的屬性等級提升到600","129"
"6","650","5","1003","20022","6013","2008","讓闇屬性的屬性等級提升到650","129"
"6","700","5","1003","20022","6014","2009","讓闇屬性的屬性等級提升到700","129"
"6","750","5","1003","20022","6015","2010","讓闇屬性的屬性等級提升到750","129"
"7","10","0","1004","20023","7001","7001","完成強化10個節點","129"
"7","20","0","1004","20023","7002","7002","完成強化20個節點","129"
"7","30","0","1004","20023","7003","7003","完成強化30個節點","129"
"7","40","0","1004","20023","7004","7004","完成強化40個節點","129"
"7","50","0","1004","20023","7005","7005","完成強化50個節點","129"
"7","60","0","1004","20023","7006","7006","完成強化60個節點","129"
"7","70","0","1004","20023","7007","7007","完成強化70個節點","129"
"7","80","0","1004","20023","7008","7008","完成強化80個節點","129"
"7","90","0","1004","20023","7009","7009","完成強化90個節點","129"
"7","100","0","1004","20023","7010","7010","完成強化100個節點","129"
"7","110","0","1004","20023","7011","7011","完成強化110個節點","129"
"7","120","0","1004","20023","7012","7012","完成強化120個節點","129"
"7","130","0","1004","20023","7013","7013","完成強化130個節點","129"
"7","140","0","1004","20023","7014","7014","完成強化140個節點","129"
"7","150","0","1004","20023","7015","7015","完成強化150個節點","129"
"7","160","0","1004","20023","7016","7016","完成強化160個節點","129"
"7","170","0","1004","20023","7017","7017","完成強化170個節點","129"
"7","180","0","1004","20023","7018","7018","完成強化180個節點","129"
"7","190","0","1004","20023","7019","7019","完成強化190個節點","129"
"7","200","0","1004","20023","7020","7020","完成強化200個節點","129"
"7","210","0","1004","20023","7021","7021","完成強化210個節點","129"
"7","222","0","1004","20023","7022","7022","完成強化222個節點","129"
"7","250","0","1004","20023","7023","7022","完成強化250個節點","129"
"7","275","0","1004","20023","7024","7022","完成強化275個節點","129"
"7","300","0","1004","20023","7025","7022","完成強化300個節點","129"
"7","325","0","1004","20023","7026","7022","完成強化325個節點","129"
"7","350","0","1004","20023","7027","7022","完成強化350個節點","129"
"7","375","0","1004","20023","7028","7022","完成強化375個節點","129"
"7","400","0","1004","20023","7029","7022","完成強化400個節點","129"
"7","430","0","1004","20023","7030","7022","完成強化430個節點","129"
"8","5","0","1005","20024","8001","8001","完成強化5個節點","129"
"8","10","0","1005","20024","8002","8002","完成強化10個節點","129"
"8","15","0","1005","20024","8003","8003","完成強化15個節點","129"
"8","20","0","1005","20024","8004","8004","完成強化20個節點","129"
"8","25","0","1005","20024","8005","8005","完成強化25個節點","129"
"8","33","0","1005","20024","8006","8006","完成強化33個節點","129"
"8","40","0","1005","20024","8007","8007","完成強化40個節點","129"
"8","50","0","1005","20024","8008","8007","完成強化50個節點","129"
"8","60","0","1005","20024","8009","8007","完成強化60個節點","129"
"8","66","0","1005","20024","8010","8007","完成強化66個節點","129"
"8","80","0","1005","20024","8011","8007","完成強化80個節點","129"
"8","90","0","1005","20024","8012","8007","完成強化90個節點","129"
"8","96","0","1005","20024","8013","8007","完成強化96個節點","129"
"9","4","1","1012","20031","9101","9001","讓４個攻擊者專精提升到等級１以上","129"
"9","4","2","1012","20031","9102","9002","讓４個攻擊者專精提升到等級２以上","129"
"9","4","3","1012","20031","9103","9003","讓４個攻擊者專精提升到等級３以上","129"
"9","4","4","1012","20031","9104","9004","讓４個攻擊者專精提升到等級４以上","129"
"9","4","5","1012","20031","9105","9005","讓４個攻擊者專精提升到等級５以上","129"
"10","4","1","1012","20032","9201","9001","讓４個破防者專精提升到等級１以上","129"
"10","4","2","1012","20032","9202","9002","讓４個破防者專精提升到等級２以上","129"
"10","4","3","1012","20032","9203","9003","讓４個破防者專精提升到等級３以上","129"
"10","4","4","1012","20032","9204","9004","讓４個破防者專精提升到等級４以上","129"
"10","4","5","1012","20032","9205","9005","讓４個破防者專精提升到等級５以上","129"
"11","4","1","1012","20033","9301","9001","讓４個增益者專精提升到等級１以上","129"
"11","4","2","1012","20033","9302","9002","讓４個增益者專精提升到等級２以上","129"
"11","4","3","1012","20033","9303","9003","讓４個增益者專精提升到等級３以上","129"
"11","4","4","1012","20033","9304","9004","讓４個增益者專精提升到等級４以上","129"
"11","4","5","1012","20033","9305","9005","讓４個增益者專精提升到等級５以上","129"
"12","4","1","1012","20034","9401","9001","讓４個減益者專精提升到等級１以上","129"
"12","4","2","1012","20034","9402","9002","讓４個減益者專精提升到等級２以上","129"
"12","4","3","1012","20034","9403","9003","讓４個減益者專精提升到等級３以上","129"
"12","4","4","1012","20034","9404","9004","讓４個減益者專精提升到等級４以上","129"
"12","4","5","1012","20034","9405","9005","讓４個減益者專精提升到等級５以上","129"
"13","4","1","1012","20035","9501","9001","讓４個增幅者專精提升到等級１以上","129"
"13","4","2","1012","20035","9502","9002","讓４個增幅者專精提升到等級２以上","129"
"13","4","3","1012","20035","9503","9003","讓４個增幅者專精提升到等級３以上","129"
"13","4","4","1012","20035","9504","9004","讓４個增幅者專精提升到等級４以上","129"
"13","4","5","1012","20035","9505","9005","讓４個增幅者專精提升到等級５以上","129"
"14","4","1","1012","20036","9601","9001","讓４個治療者專精提升到等級１以上","129"
"14","4","2","1012","20036","9602","9002","讓４個治療者專精提升到等級２以上","129"
"14","4","3","1012","20036","9603","9003","讓４個治療者專精提升到等級３以上","129"
"14","4","4","1012","20036","9604","9004","讓４個治療者專精提升到等級４以上","129"
"14","4","5","1012","20036","9605","9005","讓４個治療者專精提升到等級５以上","129"
"15","4","1","1012","20037","9701","9001","讓４個掩護者專精提升到等級１以上","129"
"15","4","2","1012","20037","9702","9002","讓４個掩護者專精提升到等級２以上","129"
"15","4","3","1012","20037","9703","9003","讓４個掩護者專精提升到等級３以上","129"
"15","4","4","1012","20037","9704","9004","讓４個掩護者專精提升到等級４以上","129"
"15","4","5","1012","20037","9705","9005","讓４個掩護者專精提升到等級５以上","129"
"16","4","1","1012","20038","9801","9001","讓４個妨礙者專精提升到等級１以上","129"
"16","4","2","1012","20038","9802","9002","讓４個妨礙者專精提升到等級２以上","129"
"16","4","3","1012","20038","9803","9003","讓４個妨礙者專精提升到等級３以上","129"
"16","4","4","1012","20038","9804","9004","讓４個妨礙者專精提升到等級４以上","129"
"16","4","5","1012","20038","9805","9005","讓４個妨礙者專精提升到等級５以上","129"
