973f28e6268f0367c973f8f79308989309882bd5d9b680bf350f95ac607fdf33,52b35f0377d8d368e97df2aa38fb13e65ba0bdb39928a5c51bbe35d8f5a0face,2125a0f6276917740dfbb5d1fb33c8718d247d22923d4bf39e2da01d46cd6039,4c9259dda23fd24cba8351e0b8c38df7b379e48cea958d5201bd790fbb549c7d,aa571b6b8e11165f0aaa0dd0b9b9d2a5046aea3962e853f84853caf13e6c9fa6,b7209262cffc6ff664a5399780fdf07a872ee5711d9d20491624055490534be3,91fc72fb7516c14fd9164cd15588198214a2a9b0e71f141847bbfa344af815bb,dac44974619a1e31febc2acf8404fe588dd297e3b33bff62a8e7437adc168ade
"3","1002903","還是好好地被罵一次比較好。","ㄧ","1","ㄩ","禊的惡作劇道具","10029"
"1","1003000","瓜科的大型果實。綠色條紋的外皮，紅色果肉與黑色種子令人印象深刻。","ㄧ","1","ㄨㄚ","西瓜","10030"
"2","1003001","用來表示夏天感覺的東西。除了西瓜，其他還有大海或煙火等。","ㄧㄚ","1","ㄧㄥ","夏天風情","10030"
"2","1003002","某些食物吃了會有消暑的感覺。","ㄧㄥ","1","ㄨㄛ","清涼退火","10030"
"1","1003100","馬科的大型哺乳類。由於力量強大，還能快速跑步，大家很常將其作為家畜或賽馬。","ㄚ","1","ㄚ","馬","10031"
"1","1003101","馬科的哺乳類。和馬比起來雖然小，但力量強大，作為勞動力很受人重視。","ㄩ","1","ㄗ","驢子","10031"
"2","1003102","用馬的種類將品種改良成競賽用的類型。","ㄨㄣ","1","ㄚ","純種馬","10031"
"3","1003103","戰隊競賽時登場的馬型魔物。","ㄥ","1","ㄧㄢ","夢魘","10031"
"1","1003200","為了坐下用的家具。也有顯示職位、地位的意義。","ㄧ","1","ㄗ","椅子","10032"
"2","1003201","放在室內，平時使用的道具總稱。","ㄧㄚ","1","ㄩ","家具","10032"
"2","1003202","小學生使用的課桌椅。","ㄧㄠ","1","ㄧ","小學椅","10032"
"3","1003203","放在公會小屋的家具或裝飾品。從豪華的設計到獨特的物品，其變化非常豐富。","ㄨㄥ","1","ㄩ","公會小屋道具","10032"
"1","1003300","在陸地之外的凹陷處會不斷蓄滿水的地方。","ㄞ","1","ㄞ","海","10033"
"1","1003301","陸地和大海相連的地方。","ㄧㄢ","1","ㄢ","淺灘","10033"
"2","1003302","受到月球引力影響，海水往陸地推移或遠離的現象。","ㄠ","1","ㄧ","潮汐","10033"
"2","1003303","海浪受岸邊地形影響被打散時所出現的四濺水花。","ㄤ","1","ㄨㄚ","浪花","10033"
"3","1003304","雖然是可以從蘭德索爾徒步到達的受歡迎海灘，但是常出現魔物，意外的很危險。","ㄚ","1","ㄢ","瑪爾傑海岸","10033"
"1","1003400","包覆在貝類外側的殼。掉在沙灘上會讓人不自覺想收集。","ㄟ","1","ㄜ","貝殼","10034"
"2","1003401","有著堅硬外骨骼的節肢動物。蝦、蟹，還有水蚤都算在內。","ㄧㄚ","1","ㄟ","甲殼類","10034"
"3","1003402","蘭德索爾的所到之處出現的魔物。外觀像鎧甲一樣堅硬，是難對付的敵人。","ㄧ","1","ㄕ","寄居蟹騎士","10034"
"1","1003500","一般是指木管樂器。分為直笛與橫笛。","ㄧ","1","ㄧ","笛","10035"
"1","1003501","木管樂器之一。不能用來玩擊劍遊戲。","ㄓ","1","ㄧ","直笛","10035"
"2","1003502","樂器分類中的一種。吹入氣息，震動管內的空氣來發出聲音。","ㄨㄢ","1","ㄧ","管樂器","10035"
"2","1003503","以直立方式吹奏的笛子。直笛或單簧管等。","ㄨ","1","ㄧ","豎笛","10035"
"1","1003600","在一疊紙上印刷文字或圖畫後裝訂成冊的東西。","ㄨ","1","ㄣ","書本","10036"
"1","1003601","寫下文字或圖畫用的文具。","ㄧ","1","ㄧ","筆記","10036"
"2","1003602","創作的故事。有戀愛、歷史、推理等，種類繁多。","ㄧㄠ","1","ㄨㄛ","小說","10036"
"3","1003603","是書嗎？還是魔杖？","ㄞ","1","ㄨ","凱留的魔導書","10036"
"1","1003700","魚類一般的稱呼方式。傳說吃了會變聰明。","ㄩ","1","ㄩ","魚","10037"
"1","1003701","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。","ㄧㄠ","1","ㄩ","小魚","10037"
"2","1003702","魚的一種。又大又美味的高級魚。說到壽司就是這個。","ㄨㄟ","1","ㄩ","鮪魚","10037"
"2","1003703","生活在海洋中的生命體。","ㄞ","1","ㄨ","海洋生物","10037"
"1","1003800","是樹木。","ㄨ","1","ㄨ","樹","10038"
"2","1003801","用來當聖誕樹的針葉樹。大株的還會長到40公尺。","ㄢ","1","ㄨ","杉木","10038"
"2","1003802","雖然不清楚是何時開始及為什麼，但是聖誕老公公送禮的日子。","ㄥ","1","ㄧㄝ","聖誕節","10038"
"2","1003803","耶誕節時的標誌裝飾物，將燈飾、彩帶等飾品掛在樹上而成。","ㄧㄝ","1","ㄨ","耶誕樹","10038"
"2","1003804","聖誕節前一天的夜晚，也指聖誕節天亮前的深夜。","ㄧㄥ","1","ㄧㄝ","平安夜","10038"
"3","1003805","和千歌一起，在聖夜於咲戀育幼院發生的奇蹟故事。","ㄨㄤ","1","ㄜ","忘却的頌歌","10038"
"1","1003900","有棍子的糖果。","ㄤ","1","ㄤ","棒棒糖","10039"
"2","1003901","甜甜的很好吃，含在口中的感覺最棒了！","ㄧㄢ","1","ㄕ","甜食","10039"
"3","1003902","光是拿著，那畫面就像一幅畫。","ㄜ","1","ㄧㄣ","克蘿依的點心","10039"
"1","1004000","上面是柔軟的，用波浪管製成的玩具。被打到會發出滑稽的聲音。","ㄨㄢ","1","ㄨㄟ","玩具槌","10040"
"2","1004001","上面是由金屬製成的鈍器。被打到會很痛。","ㄧㄝ","1","ㄨㄟ","鐵鎚","10040"
"2","1004002","小槌子。搖晃它可能會出現各種東西，也可能不會出現。","ㄧㄠ","1","ㄨㄟ","小槌","10040"
"3","1004003","祈梨的武器。動作很可愛，但進行的攻擊很兇狠。","ㄧ","1","ㄧ","祈梨的武器","10040"
"1","1004100","在夜空發光的天體。","ㄧㄥ","1","ㄧㄥ","星星","10041"
"2","1004101","星形的海洋生物。不適合食用。","ㄞ","1","ㄧㄥ","海星","10041"
"2","1004102","發光模樣的一種表現。","ㄧㄤ","1","ㄧㄥ","亮晶晶","10041"
"2","1004103","初音的必殺技","ㄧㄡ","1","ㄧㄥ","流星","10041"
"3","1004104","不從空中看的話不會知道。","ㄢ","1","ㄨㄤ","蘭德索爾的形狀","10041"
"1","1004200","戴在頭上的飾品。","ㄠ","1","ㄗ","帽子","10042"
"1","1004201","謹守禮儀的男士，也可以指社經地位高的人士。","ㄣ","1","ㄕ","紳士","10042"
"2","1004202","「帽子」的種類之一。","ㄧ","1","ㄠ","禮帽","10042"
"1","1004300","裝飲料等的容器。","ㄟ","1","ㄗ","杯子","10043"
"1","1004301","以可可樹的果實製成的飲品。","ㄜ","1","ㄜ","可可","10043"
"2","1004302","「杯子」的種類之一。","ㄚ","1","ㄟ","馬克杯","10043"
"2","1004303","混合巧克力的咖啡。","ㄛ","1","ㄚ","摩卡","10043"
"1","1004400","會汪汪叫的動物。","ㄡ","1","ㄡ","狗","10044"
"1","1004401","「狗」的別種說法。","ㄩㄢ","1","ㄩㄢ","犬","10044"
"2","1004402","「狗」的同類。野生之力。","ㄤ","1","ㄤ","狼","10044"
"2","1004403","哈士奇的暱稱。","ㄩㄝ","1","ㄩㄝ","月月","10044"
"2","1004404","非常像狼的大型犬種，可以當作寵物，如果你可以接受牠許多讓人哭笑不得的行為。","ㄚ","1","ㄧ","哈士奇","10044"
"1","1004500","輕飄飄的布。","ㄧ","1","ㄗ","旗子","10045"
"2","1004501","軍隊在戰鬥時使用的旗子，用以分辨敵我，也可以當作下達指令的工具。","ㄢ","1","ㄧ","戰旗","10045"
"2","1004502","用來傳遞訊息的旗子，通常是透過暗號或旗語來運作。","ㄧㄣ","1","ㄧ","信號旗","10045"
"1","1004600","很棒的點心。甜甜的很好吃。","ㄢ","1","ㄠ","蛋糕","10046"
"2","1004601","很棒的食物。","ㄧㄢ","1","ㄧㄣ","點心","10046"
"2","1004602","準備好要唱生日快樂歌了嗎？","ㄥ","1","ㄜ","生日快樂","10046"
"3","1004603","羈絆的深遠不只是共同渡過的時間。卡路里也是羈絆的證明……","ㄧ","1","ㄨ","羈絆點數","10046"
"3","1004604","大家的最愛，就不說是什麼了，直接加上30羈絆值。","ㄨㄥ","1","ㄠ","綜合莓果蛋糕","10046"
"1","1004700","將聲音轉換成信號的裝置。","ㄞ","1","ㄥ","麥克風","10047"
"2","1004701","麥克風是唱歌的必需品！","ㄤ","1","ㄜ","唱歌","10047"
"2","1004702","在舞台上現場演奏。","ㄧㄢ","1","ㄨㄟ","演唱會","10047"
"2","1004703","要是沒有這個就無法開始。","ㄡ","1","ㄧㄣ","偶像的必備物品","10047"
"3","1004704","望的專用裝備。有慈樂之音的標誌！","ㄢ","1","ㄥ","閃耀麥克風","10047"
"1","1004800","能襯出嘴唇的化妝品。","ㄡ","1","ㄨㄥ","口紅","10048"
"1","1004801","抹在嘴唇上，用來保護嘴唇的保養品。","ㄨㄣ","1","ㄠ","唇膏","10048"
"2","1004802","為了美觀而塗抹在臉上的物品。","ㄨㄚ","1","ㄧㄣ","化妝品","10048"
"1","1004900","將穀物蒸煮後的東西。也是吉祥物。","ㄧㄢ","1","ㄠ","年糕","10049"
"1","1004901","「年糕」的別種說法。","ㄚ","1","ㄨ","麻糬","10049"
"2","1004902","新年時可以供奉神佛，一大一小相疊的糯米糕。","ㄧㄥ","1","ㄧㄥ","鏡餅","10049"
"2","1004903","年糕的主要營養素。小心不要吃太多。","ㄢ","1","ㄨ","碳水化合物","10049"
"2","1004904","以糯米製成的點心。","ㄨㄛ","1","ㄠ","糯米糕","10049"
"1","1005000","嬌小又長著翅膀的種族。","ㄧㄠ","1","ㄧㄥ","妖精","10050"
"3","1005001","住在公會小屋的惡作劇妖精。","ㄧㄝ","1","ㄧㄚ","涅比亞","10050"
"1","1005100","主要是避雨用的傘。","ㄩ","1","ㄢ","雨傘","10051"
"2","1005101","主要是遮陽用的傘。","ㄜ","1","ㄢ","遮陽傘","10051"
"2","1005102","主要是遮陽用的傘。","ㄧㄤ","1","ㄢ","陽傘","10051"
"3","1005103","盛夏時海灘公主的必需品！","ㄢ","1","ㄖ","貪吃佩可夏日","10051"
"1","1005200","為了產生亂數用的道具。","ㄞ","1","ㄗ","骰子","10052"
"2","1005201","賭博。骰子上的數字讓人一喜一憂。","ㄨ","1","ㄛ","賭博","10052"
"2","1005202","一般的骰子形狀。","ㄧㄡ","1","ㄧ","六面體","10052"
"2","1005203","使用骰子的桌遊。","ㄚ","1","ㄨㄥ","大富翁","10052"
"2","1005204","一種以骰子進行的賭博遊戲，許多香腸攤老闆都對這個遊戲有自己的見解。","ㄧ","1","ㄚ","洗八啦","10052"
"1","1005300","將無法言喻的心意化為文字。","ㄧㄣ","1","ㄧㄣ","信","10053"
"2","1005301","透過郵遞系統移動的書信或包裹。","ㄧㄡ","1","ㄧㄢ","郵件","10053"
"2","1005302","用來傳達愛意的信。","ㄧㄥ","1","ㄨ","情書","10053"
"2","1005303","用來傳遞訊息的文件。","ㄨ","1","ㄧㄣ","書信","10053"
"2","1005304","古代利用鴿子傳遞訊息的方法。","ㄟ","1","ㄨ","飛鴿傳書","10053"
"1","1005400","是一串的。旁邊的好像很酸。","ㄨ","1","ㄠ","葡萄","10054"
"1","1005401","紫色的葡萄，說到葡萄，還是紫色的最常見。","ㄗ","1","ㄠ","紫葡萄","10054"
"2","1005402","「葡萄」的種類之一。","ㄩ","1","ㄥ","巨峰","10054"
"1","1005500","有著鬆軟的毛。","ㄧㄢ","1","ㄧㄤ","綿羊","10055"
"1","1005501","對小孩子說羊的時候，有時候會這麼說。","ㄧㄤ","1","ㄧㄝ","羊咩咩","10055"
"2","1005502","白色的羊。","ㄞ","1","ㄧㄤ","白羊","10055"
"2","1005503","真可愛呀～♪","ㄚ","1","ㄧㄤ","瑪莉有隻小綿羊","10055"
"1","1005600","用豆子製成的東國料理。","ㄡ","1","ㄨ","豆腐","10056"
"2","1005601","「豆腐」的種類之一。野性的口感。","ㄨ","1","ㄨ","木綿豆腐","10056"
"2","1005602","代表性的豆腐料理。","ㄧㄤ","1","ㄨ","涼拌豆腐","10056"
"2","1005603","杏仁做成的形狀像豆腐的甜品。","ㄧㄥ","1","ㄨ","杏仁豆腐","10056"
"1","1005700","不會飛的鳥。會嗄嗄的叫。","ㄧㄚ","1","ㄗ","鴨子","10057"
"2","1005701","也有會飛的鳥。也有不會飛的鳥。","ㄧㄠ","1","ㄟ","鳥類","10057"
"2","1005702","依水而生的鳥類。","ㄨㄟ","1","ㄧㄠ","水鳥","10057"
"1","1005800","在空中飛的昆蟲。","ㄧㄥ","1","ㄧㄥ","蜻蜓","10058"
"2","1005801","「蜻蜓」的種類之一。","ㄧㄢ","1","ㄧㄥ","晏蜓","10058"
"2","1005802","六支腳的動物。","ㄨㄣ","1","ㄨㄥ","昆蟲","10058"
"2","1005803","「蜻蜓」的英文稱呼，直譯後的意思，很厲害吧。","ㄟ","1","ㄨㄥ","飛龍","10058"
"1","1005900","高等植物的營養器官。","ㄧㄝ","1","ㄗ","葉子","10059"
"1","1005901","樹木的葉子。","ㄨ","1","ㄧㄝ","樹葉","10059"
"2","1005902","綠色的葉子。","ㄩ","1","ㄧㄝ","綠葉","10059"
"3","1005903","碧可以毫無顧慮聊天的少數的朋友。是朋友。","ㄧ","1","ㄧㄡ","碧的朋友","10059"
"1","1006000","戴在手指上的飾品。","ㄧㄝ","1","ㄓ","戒指","10060"
"1","1006001","鑲有鑽石的戒指。","ㄨㄢ","1","ㄧㄝ","鑽戒","10060"
