46c4c161c5acdf55cffc170a51a39a08e2930bd12e5f5317c54e5344996b3025,c8759f608bdbb8f7e707c5cb2f6f7352f1435901b937345b5d7abb5a5b2faf20,61b44c387e618226f48e8ad3c52a777c2151953742972e144a9a9d04abba1c34,11d6a7222e83acddeb74282e86d1620e358df52ede7f76184e52d87935c6dfb4,a278fc1e1c6edcd6564434707b806daf6af54673a86e6e9e289ea73a44d997f6,cff93c62c1c23a54ee9d52d849ec2338bc7108feda33e539436c8df680ffefdb,acb5af20fc00d58059933d37e78bb328f685dd3a638abf0e8fe5967123af2023,58b68aa77a4750c0ac74e6e4497d1df2ade2f21f9eb632fbe54b069a49dfefd7,1e76835e93066ed4b5037720e1c0d12b41aa891fe1eb299feac03c6d69a64371,0d6851b7d0b527f061e12ce5c027d6539a25fcb3c8b763f7811de6930f42625b,711ddce914b91d131f8ab734bb3dcc0a3ab9d11a014461e88c7286c16890c165
"1","1","3","1200120008","","","106011","20012","","0.2","travel_topdrama_r_2000_talk_anger_shy"
"0","","21","1200120009","","","vo_travel_talk","20012","0","","vo_travel_talk_20001_01"
"10","1","11","1200120010","0","0","106011","20012","1","0","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！"
"","","91","1200120011","","","0","20012","","",""
"1","","3","1200120012","","","106011","20012","","0.2","travel_topdrama_r_2000_idle_sad_shy"
"0","1","3","1200120013","","","105811","20012","travel_topdrama_r_2000_talk_smile_loop","0.2","travel_topdrama_r_2000_talk_smile_in"
"0","","21","1200120014","","","vo_travel_talk","20012","0","","vo_travel_talk_20001_02"
"10","1","11","1200120015","0","0","105811","20012","1","0","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪"
"","","91","1200120016","","","0","20012","","",""
"1","","3","1200120017","","","105811","20012","","0.2","travel_topdrama_r_2000_idle_smile"
"","","112","1200120018","","","","20012","","",""
"","","91","1200120019","","","0","20012","","",""
"101","-68","1","1200210001","1","travel_topdrama_r_2000_idle_normal","1","20021","42","0.8","100211"
"102","-68","1","1200210002","0","travel_topdrama_r_2002_sitting_loop","1","20021","-42","0.8","100111"
"100","-68","5","1200210003","0","travel_topdrama_r_2002_sitting_loop","3","20021","-42","0.8","3"
"110","-75","5","1200210004","0","mana","0","20021","0","1","0"
"","","91","1200210005","","","0","20021","","",""
"","","93","1200210006","","","10","20021","","","0"
"","","101","1200210007","","","1200210006","20021","","",""
"0","","3","1200210008","","","0","20021","","0","none"
"","","91","1200210009","","","0","20021","","",""
"","","13","1200220001","","","100211","20022","","","103"
"","","13","1200220002","","","100111","20022","","","104"
"1","1","3","1200220003","","","100211","20022","","0.2","travel_topdrama_r_2000_talk_normal"
"0","","21","1200220004","","","vo_travel_talk","20022","0","","vo_travel_talk_20002_00"
"10","1","11","1200220005","0","0","100211","20022","1","0","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？"
"","","91","1200220006","","","0","20022","","",""
"1","","3","1200220007","","","100211","20022","","0.2","travel_topdrama_r_2000_idle_normal"
"0","","21","1200220008","","","vo_travel_talk","20022","0","","vo_travel_talk_20002_01"
"10","1","11","1200220009","0","0","100111","20022","1","0","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪"
"","","91","1200220010","","","0","20022","","",""
"0","1","3","1200220011","","","100211","20022","travel_topdrama_r_2000_talk_wish_loop_joy","0.2","travel_topdrama_r_2000_talk_wish_in_joy"
"0","","21","1200220012","","","vo_travel_talk","20022","0","","vo_travel_talk_20002_02"
"10","1","11","1200220013","0","0","100211","20022","1","0","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？"
"","","91","1200220014","","","0","20022","","",""
"1","","3","1200220015","","","100211","20022","","0.2","travel_topdrama_r_2000_idle_wish_joy"
"","","112","1200220016","","","","20022","","",""
"","","91","1200220017","","","0","20022","","",""
"101","-68","1","1200310001","0","travel_topdrama_r_2000_idle_doya","1","20031","-42","0.8","100411"
"102","-68","1","1200310002","1","travel_topdrama_r_2000_idle_normal","1","20031","42","0.8","102011"
"110","-75","5","1200310003","0","mana","0","20031","0","1","0"
"","","91","1200310004","","","0","20031","","",""
"","","93","1200310005","","","10","20031","","","0"
"","","101","1200310006","","","1200310005","20031","","",""
"0","","3","1200310007","","","0","20031","","0","none"
"","","91","1200310008","","","0","20031","","",""
"","","13","1200320001","","","100411","20032","","","103"
"","","13","1200320002","","","102011","20032","","","104"
"0","1","3","1200320003","","","100411","20032","travel_topdrama_r_2000_talk_doya_loop","0.2","travel_topdrama_r_2000_talk_doya_in"
"0","","21","1200320004","","","vo_travel_talk","20032","0","","vo_travel_talk_20003_00"
"10","1","11","1200320005","0","0","100411","20032","1","0","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪"
"","","91","1200320006","","","0","20032","","",""
"1","","3","1200320007","","","100411","20032","","0.2","travel_topdrama_r_2000_idle_doya"
"0","1","3","1200320008","","","102011","20032","travel_topdrama_r_2000_talk_wish_loop","0.2","travel_topdrama_r_2000_talk_wish_in"
"0","","21","1200320009","","","vo_travel_talk","20032","0","","vo_travel_talk_20003_01"
"10","1","11","1200320010","0","0","102011","20032","1","0","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？"
"","","91","1200320011","","","0","20032","","",""
"1","","3","1200320012","","","102011","20032","","0.2","travel_topdrama_r_2000_idle_wish"
"0","1","3","1200320013","","","100411","20032","travel_topdrama_r_2000_talk_sad_loop_surprise2","0.2","travel_topdrama_r_2000_talk_sad_in_surprise2"
"0","","21","1200320014","","","vo_travel_talk","20032","0","","vo_travel_talk_20003_02"
"10","1","11","1200320015","0","0","100411","20032","1","0","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！"
"","","91","1200320016","","","0","20032","","",""
"1","","3","1200320017","","","100411","20032","","0.2","travel_topdrama_r_2000_idle_sad_surprise2"
"","","112","1200320018","","","","20032","","",""
"","","91","1200320019","","","0","20032","","",""
"101","-68","1","1200410001","1","travel_topdrama_r_2000_idle_normal","1","20041","42","0.8","105311"
"102","-68","1","1200410002","0","travel_topdrama_r_2000_idle_wish","1","20041","-42","0.8","104511"
"110","-75","5","1200410003","0","mana","0","20041","0","1","0"
"","","91","1200410004","","","0","20041","","",""
"","","93","1200410005","","","10","20041","","","0"
"","","101","1200410006","","","1200410005","20041","","",""
"0","","3","1200410007","","","0","20041","","0","none"
"","","91","1200410008","","","0","20041","","",""
"","","13","1200420001","","","105311","20042","","","103"
"","","13","1200420002","","","104511","20042","","","104"
"0","1","3","1200420003","","","105311","20042","travel_topdrama_r_2000_talk_surprise_loop_sad","0.2","travel_topdrama_r_2000_talk_surprise_in_sad"
"0","","21","1200420004","","","vo_travel_talk","20042","0","","vo_travel_talk_20004_00"
"10","1","11","1200420005","0","0","105311","20042","1","0","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？"
"","","91","1200420006","","","0","20042","","",""
"1","","3","1200420007","","","105311","20042","","0.2","travel_topdrama_r_2000_idle_surprise_sad"
"1","1","3","1200420008","","","104511","20042","","0.2","travel_topdrama_r_2000_talk_wish_loop"
"0","","21","1200420009","","","vo_travel_talk","20042","0","","vo_travel_talk_20004_01"
"10","1","11","1200420010","0","0","104511","20042","1","0","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪"
"","","91","1200420011","","","0","20042","","",""
"1","","3","1200420012","","","104511","20042","","0.2","travel_topdrama_r_2000_idle_wish"
"0","1","3","1200420013","","","105311","20042","travel_topdrama_r_2000_talk_doya_loop_sad","0.2","travel_topdrama_r_2000_talk_doya_in_sad"
"0","","21","1200420014","","","vo_travel_talk","20042","0","","vo_travel_talk_20004_02"
"10","1","11","1200420015","0","0","105311","20042","1","0","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！"
"","","91","1200420016","","","0","20042","","",""
"1","","3","1200420017","","","105311","20042","","0.2","travel_topdrama_r_2000_idle_doya_sad"
"","","112","1200420018","","","","20042","","",""
"","","91","1200420019","","","0","20042","","",""
"101","-68","1","1200510001","0","travel_topdrama_r_2000_idle_thinking","1","20051","-42","0.8","100911"
"102","-68","1","1200510002","1","travel_topdrama_r_2000_idle_arm_crossed","1","20051","42","0.8","105611"
"110","-75","5","1200510003","0","mana","0","20051","0","1","0"
"","","91","1200510004","","","0","20051","","",""
"","","93","1200510005","","","10","20051","","","0"
"","","101","1200510006","","","1200510005","20051","","",""
"0","","3","1200510007","","","0","20051","","0","none"
"","","91","1200510008","","","0","20051","","",""
"","","13","1200520001","","","100911","20052","","","103"
"","","13","1200520002","","","105611","20052","","","104"
"1","1","3","1200520003","","","100911","20052","","0.2","travel_topdrama_r_2000_talk_thinking"
"0","","21","1200520004","","","vo_travel_talk","20052","0","","vo_travel_talk_20005_00"
"10","1","11","1200520005","0","0","100911","20052","1","0","潛在我內心的黑暗在訴說著……\n眾多的命運的線條會複雜的纏繞著，\n這趟旅程將會成為壯大的冒險記！"
"","","91","1200520006","","","0","20052","","",""
"1","","3","1200520007","","","100911","20052","","0.2","travel_topdrama_r_2000_idle_thinking"
"0","1","3","1200520008","","","105611","20052","travel_topdrama_r_2000_talk_arm_crossed_loop","0.2","travel_topdrama_r_2000_talk_arm_crossed_in"
"0","","21","1200520009","","","vo_travel_talk","20052","0","","vo_travel_talk_20005_01"
"10","1","11","1200520010","0","0","105611","20052","1","0","這樣啊。\n那麼首先，妳可以先接受\n去收集柴火的命運嗎？"
"","","91","1200520011","","","0","20052","","",""
"1","","3","1200520012","","","105611","20052","","0.2","travel_topdrama_r_2000_idle_arm_crossed"
"0","1","3","1200520013","","","100911","20052","travel_topdrama_r_2000_talk_doya_loop","0.2","travel_topdrama_r_2000_talk_doya_in_blink"
"0","","21","1200520014","","","vo_travel_talk","20052","0","","vo_travel_talk_20005_02"
"10","1","11","1200520015","0","0","100911","20052","1","0","哼，那命運的話早就已經接受了！\n……但是，那個，完全收集不全。\n可以的話能幫個忙嗎？"
"","","91","1200520016","","","0","20052","","",""
"1","","3","1200520017","","","100911","20052","","0.2","travel_topdrama_r_2000_idle_doya"
"","","112","1200520018","","","","20052","","",""
"","","91","1200520019","","","0","20052","","",""
"101","-68","1","1200610001","1","travel_topdrama_r_2000_idle_kyapi","1","20061","42","0.8","110911"
"102","-68","1","1200610002","0","travel_topdrama_r_2000_idle_doya_sad","1","20061","-42","0.8","110811"
"110","-75","5","1200610003","0","mana","0","20061","0","1","0"
"","","91","1200610004","","","0","20061","","",""
"","","93","1200610005","","","10","20061","","","0"
"","","101","1200610006","","","1200610005","20061","","",""
"0","","3","1200610007","","","0","20061","","0","none"
"","","91","1200610008","","","0","20061","","",""
"","","13","1200620001","","","110911","20062","","","103"
"","","13","1200620002","","","110811","20062","","","104"
"0","1","3","1200620003","","","110911","20062","travel_topdrama_r_2000_talk_kyapi_loop","0.2","travel_topdrama_r_2000_talk_kyapi_in"
"0","","21","1200620004","","","vo_travel_talk","20062","0","","vo_travel_talk_20006_00"
"10","1","11","1200620005","0","0","110911","20062","1","0","切嚕～☆\n切嚕切啦，切唎啪，\n切切唎啵噗！"
"","","91","1200620006","","","0","20062","","",""
"1","","3","1200620007","","","110911","20062","","0.2","travel_topdrama_r_2000_idle_kyapi"
"0","1","3","1200620008","","","110811","20062","travel_topdrama_r_2000_talk_doya_loop_sad","0.2","travel_topdrama_r_2000_talk_doya_in_sad"
"0","","21","1200620009","","","vo_travel_talk","20062","0","","vo_travel_talk_20006_01"
"10","1","11","1200620010","0","0","110811","20062","1","0","那個啊。我是不介意啦。\n你那腦筋很差的怪聲剛才引來\n了一大堆魔物的事情，已經忘掉了嗎？"
"","","91","1200620011","","","0","20062","","",""
"1","","3","1200620012","","","110811","20062","","0.2","travel_topdrama_r_2000_idle_doya_sad"
"1","1","3","1200620013","","","110911","20062","","0.2","travel_topdrama_r_2000_talk_normal2"
"0","","21","1200620014","","","vo_travel_talk","20062","0","","vo_travel_talk_20006_02"
"10","1","11","1200620015","0","0","110911","20062","1","0","……那個時候\n真的是非常的抱歉。"
"","","91","1200620016","","","0","20062","","",""
"1","","3","1200620017","","","110911","20062","","0.2","travel_topdrama_r_2000_idle_normal"
"","","112","1200620018","","","","20062","","",""
"","","91","1200620019","","","0","20062","","",""
"101","-68","1","1200710001","1","travel_topdrama_r_2000_idle_smile","1","20071","42","0.8","102911"
"102","-68","1","1200710002","0","travel_topdrama_r_2000_idle_sad","1","20071","-42","0.8","105411"
"110","-75","5","1200710003","0","mana","0","20071","0","1","0"
"","","91","1200710004","","","0","20071","","",""
"","","93","1200710005","","","10","20071","","","0"
"","","101","1200710006","","","1200710005","20071","","",""
"0","","3","1200710007","","","0","20071","","0","none"
"","","91","1200710008","","","0","20071","","",""
"","","13","1200720001","","","102911","20072","","","103"
"","","13","1200720002","","","105411","20072","","","104"
"0","1","3","1200720003","","","102911","20072","travel_topdrama_r_2000_talk_smile_loop","0.2","travel_topdrama_r_2000_talk_smile_in"
"0","","21","1200720004","","","vo_travel_talk","20072","0","","vo_travel_talk_20007_00"
"10","1","11","1200720005","0","0","102911","20072","1","0","這附近的地形，\n應該滿適合練習跳舞的吧？\n能陪我練習舞步嗎？"
"","","91","1200720006","","","0","20072","","",""
"1","","3","1200720007","","","102911","20072","","0.2","travel_topdrama_r_2000_idle_smile"
"0","1","3","1200720008","0.2","","105411","20072","travel_topdrama_r_2000_talk_sad_loop","0.2","travel_topdrama_r_2007_dance"
"0","","21","1200720009","","","vo_travel_talk","20072","0","","vo_travel_talk_20007_01"
"10","1","11","1200720010","0","0","105411","20072","1","0","咦，這樣的感覺嗎？\n……哇哇，差點失去平衡！？\n還挺困難的呢……"
"","","91","1200720011","","","0","20072","","",""
"1","","3","1200720012","","","105411","20072","","0.2","travel_topdrama_r_2000_idle_sad"
"0","1","3","1200720013","","","102911","20072","travel_topdrama_r_2000_talk_smile_loop","0.2","travel_topdrama_r_2000_talk_smile_in"
"0","","21","1200720014","","","vo_travel_talk","20072","0","","vo_travel_talk_20007_02"
"10","1","11","1200720015","0","0","102911","20072","1","0","也就是說這是不錯的練習呢！\n在去演唱會前，為了不忘記這地方，\n要把這地方寫下來呢♪"
"","","91","1200720016","","","0","20072","","",""
"1","","3","1200720017","","","102911","20072","","0.2","travel_topdrama_r_2000_idle_smile"
"","","112","1200720018","","","","20072","","",""
"","","91","1200720019","","","0","20072","","",""
"101","-68","1","1200810001","1","travel_topdrama_r_2000_idle_sad","1","20081","42","0.8","104711"
"102","-68","1","1200810002","0","travel_topdrama_r_2000_idle_doya","1","20081","-42","0.8","107111"
"110","-75","5","1200810003","0","mana","0","20081","0","1","0"
"","","91","1200810004","","","0","20081","","",""
"","","93","1200810005","","","10","20081","","","0"
"","","101","1200810006","","","1200810005","20081","","",""
"0","","3","1200810007","","","0","20081","","0","none"
"","","91","1200810008","","","0","20081","","",""
"","","13","1200820001","","","104711","20082","","","103"
"","","13","1200820002","","","107111","20082","","","104"
"0","1","3","1200820003","","","104711","20082","travel_topdrama_r_2000_talk_sad_loop","0.2","travel_topdrama_r_2000_talk_sad_in"
"0","","21","1200820004","","","vo_travel_talk","20082","0","","vo_travel_talk_20008_00"
"10","1","11","1200820005","0","0","104711","20082","1","0","雖然有幾次離開王宮的機會，\n果然還是靜不下來呢……\n發生什麼事的時候也很難對應。"
"","","91","1200820006","","","0","20082","","",""
"1","","3","1200820007","","","104711","20082","","0.2","travel_topdrama_r_2000_idle_sad"
"0","1","3","1200820008","","","107111","20082","travel_topdrama_r_2000_talk_doya_loop","0.2","travel_topdrama_r_2000_talk_doya_in"
"0","","21","1200820009","","","vo_travel_talk","20082","0","","vo_travel_talk_20008_01"
"10","1","11","1200820010","0","0","107111","20082","1","0","現在才在擔心也沒意義吧？\n放鬆心情好好享受這趟旅行吧。\n旅程還很長的呢☆"
"","","91","1200820011","","","0","20082","","",""
"1","","3","1200820012","","","107111","20082","","0.2","travel_topdrama_r_2000_idle_doya"
"0","1","3","1200820013","","","104711","20082","travel_topdrama_r_2000_talk_guts_loop","0.2","travel_topdrama_r_2000_talk_guts_in"
"0","","21","1200820014","","","vo_travel_talk","20082","0","","vo_travel_talk_20008_02"
"10","1","11","1200820015","0","0","104711","20082","1","0","謝謝妳，克莉絲。\n王宮也有優秀的部下在，\n現在還是集中在面前的工作上吧。"
"","","91","1200820016","","","0","20082","","",""
"1","","3","1200820017","","","104711","20082","","0.2","travel_topdrama_r_2000_idle_guts"
"","","112","1200820018","","","","20082","","",""
"","","91","1200820019","","","0","20082","","",""
"101","-68","1","1200910001","1","travel_topdrama_r_2000_idle_guts2","1","20091","42","0.8","104011"
"102","-68","1","1200910002","0","travel_topdrama_r_2000_idle_smile","1","20091","-42","0.8","101511"
"110","-75","5","1200910003","0","mana","0","20091","0","1","0"
"","","91","1200910004","","","0","20091","","",""
"","","93","1200910005","","","10","20091","","","0"
"","","101","1200910006","","","1200910005","20091","","",""
"0","","3","1200910007","","","0","20091","","0","none"
"","","91","1200910008","","","0","20091","","",""
"","","13","1200920001","","","104011","20092","","","103"
"","","13","1200920002","","","101511","20092","","","104"
"0","1","3","1200920003","","","104011","20092","travel_topdrama_r_2000_talk_guts2_loop","0.2","travel_topdrama_r_2000_talk_guts2_in"
"0","","21","1200920004","","","vo_travel_talk","20092","0","","vo_travel_talk_20009_00"
"10","1","11","1200920005","0","0","104011","20092","1","0","這次的冒險有許多公會\n會參加對吧……？\n難道這是，交朋友的好機會……？"
"","","91","1200920006","","","0","20092","","",""
"1","","3","1200920007","","","104011","20092","","0.2","travel_topdrama_r_2000_idle_guts2"
"0","1","3","1200920008","","","101511","20092","travel_topdrama_r_2000_talk_wish_loop_joy","0.2","travel_topdrama_r_2000_talk_wish_in_joy"
"0","","21","1200920009","","","vo_travel_talk","20092","0","","vo_travel_talk_20009_01"
"10","1","11","1200920010","0","0","101511","20092","1","0","呵呵，是啊～\n一定會有不少的邂逅，\n試著多跟人搭話如何～？"
"","","91","1200920011","","","0","20092","","",""
"1","","3","1200920012","","","101511","20092","","0.2","travel_topdrama_r_2000_idle_wish_joy"
"0","1","3","1200920013","","","104011","20092","travel_topdrama_r_2000_talk_surprise_loop_sad","0.2","travel_topdrama_r_2000_talk_surprise_in_sad"
"0","","21","1200920014","","","vo_travel_talk","20092","0","","vo_travel_talk_20009_02"
"10","1","11","1200920015","0","0","104011","20092","1","0","多……跟人搭話……！？\n一瞬間就喪失自信了……\n果然還是走在邊邊就好了……"
"","","91","1200920016","","","0","20092","","",""
"1","","3","1200920017","","","104011","20092","","0.2","travel_topdrama_r_2000_idle_surprise_sad"
"","","112","1200920018","","","","20092","","",""
"","","91","1200920019","","","0","20092","","",""
"101","-68","1","1201010001","1","travel_topdrama_r_2000_idle_sad","1","20101","42","0.8","102611"
"102","-68","1","1201010002","0","travel_topdrama_r_2000_idle_doya_sad","1","20101","-42","0.8","103311"
"110","-75","5","1201010003","0","mana","0","20101","0","1","0"
"","","91","1201010004","","","0","20101","","",""
"","","93","1201010005","","","10","20101","","","0"
"","","101","1201010006","","","1201010005","20101","","",""
"0","","3","1201010007","","","0","20101","","0","none"
"","","91","1201010008","","","0","20101","","",""
"","","13","1201020001","","","102611","20102","","","103"
"","","13","1201020002","","","103311","20102","","","104"
"0","1","3","1201020003","","","102611","20102","travel_topdrama_r_2000_talk_sad_loop","0.2","travel_topdrama_r_2000_talk_sad_in"
"0","","21","1201020004","","","vo_travel_talk","20102","0","","vo_travel_talk_20010_00"
"10","1","11","1201020005","0","0","102611","20102","1","0","呼……呼……！\n已經走了好久了啊～！\n想回家了啦～想懶懶散散地度過～！"
"","","91","1201020006","","","0","20102","","",""
"1","","3","1201020007","","","102611","20102","","0.2","travel_topdrama_r_2000_idle_sad"
"0","1","3","1201020008","","","103311","20102","travel_topdrama_r_2000_talk_doya_loop_sad","0.2","travel_topdrama_r_2000_talk_doya_in_sad"
"0","","21","1201020009","","","vo_travel_talk","20102","0","","vo_travel_talk_20010_01"
"10","1","11","1201020010","0","0","103311","20102","1","0","在說什麼呀～！\n鈴鈴最需要多走走，\n重新鍛鍊身體！"
"","","91","1201020011","","","0","20102","","",""
"1","","3","1201020012","","","103311","20102","","0.2","travel_topdrama_r_2000_idle_doya_sad"
"1","1","3","1201020013","","","102611","20102","","0.2","travel_topdrama_r_2000_talk_dead"
"0","","21","1201020014","","","vo_travel_talk","20102","0","","vo_travel_talk_20010_02"
"10","1","11","1201020015","0","0","102611","20102","1","0","那種事情完全不需要啦……！\n總之讓我休息！休息～！\n不吃個橡子的話，我的腳會開始痠痛的～！"
"","","91","1201020016","","","0","20102","","",""
"1","","3","1201020017","","","102611","20102","","0.2","travel_topdrama_r_2000_idle_dead"
"","","112","1201020018","","","","20102","","",""
"","","91","1201020019","","","0","20102","","",""
"101","-68","1","1201110001","1","travel_topdrama_r_2000_idle_smile","1","20111","42","0.8","104911"
"102","-68","1","1201110002","0","travel_topdrama_r_2000_idle_normal","1","20111","-42","0.8","101111"
"110","-75","5","1201110003","0","mana","0","20111","0","1","0"
"","","91","1201110004","","","0","20111","","",""
"","","93","1201110005","","","10","20111","","","0"
"","","101","1201110006","","","1201110005","20111","","",""
"0","","3","1201110007","","","0","20111","","0","none"
"","","91","1201110008","","","0","20111","","",""
"","","13","1201120001","","","104911","20112","","","103"
"","","13","1201120002","","","101111","20112","","","104"
"0","1","3","1201120003","","","104911","20112","travel_topdrama_r_2000_talk_smile_loop","0.2","travel_topdrama_r_2000_talk_smile_in"
"0","","21","1201120004","","","vo_travel_talk","20112","0","","vo_travel_talk_20011_00"
"10","1","11","1201120005","0","0","104911","20112","1","0","不知道路上有沒有掉什麼好東西呢～？\n能讓弟弟興奮過頭，讓他瞬間忘掉\n最喜歡姐姐以外的感情的寶物之類的。"
"","","91","1201120006","","","0","20112","","",""
"1","","3","1201120007","","","104911","20112","","0.2","travel_topdrama_r_2000_idle_smile"
"0","1","3","1201120008","","","101111","20112","travel_topdrama_r_2000_talk_shock","0.2","travel_topdrama_r_2000_shock_in"
"0","","21","1201120009","","","vo_travel_talk","20112","0","","vo_travel_talk_20011_01"
"10","1","11","1201120010","0","0","101111","20112","1","0","不不不，靜流姐？\n那根本就是受詛咒的裝備了，\n真的發現了也別帶回去喔。"
"","","91","1201120011","","","0","20112","","",""
"1","","3","1201120012","","","101111","20112","","0.2","travel_topdrama_r_2000_idle_normal"
"0","1","3","1201120013","","","104911","20112","travel_topdrama_r_2000_talk_wish_loop_joy","0.2","travel_topdrama_r_2000_talk_wish_in_joy"
"0","","21","1201120014","","","vo_travel_talk","20112","0","","vo_travel_talk_20011_02"
"10","1","11","1201120015","0","0","104911","20112","1","0","唉……算了，也行。\n就算不依靠那種東西，弟弟\n也是最喜歡姐姐的呢♪"
"","","91","1201120016","","","0","20112","","",""
"1","","3","1201120017","","","104911","20112","","0.2","travel_topdrama_r_2000_idle_wish_joy"
"","","112","1201120018","","","","20112","","",""
"","","91","1201120019","","","0","20112","","",""
"101","-68","1","1201210001","1","travel_topdrama_r_2000_idle_sad","1","20121","42","0.8","101011"
"102","-68","1","1201210002","0","travel_topdrama_r_2000_idle_guts2_joy","1","20121","-42","0.8","101711"
"103","-68","5","1201210003","0","travel_topdrama_r_2012_empty","3","20121","-42","0.8","3"
"110","-75","5","1201210004","0","mana","0","20121","0","1","0"
"","","91","1201210005","","","0","20121","","",""
"","","93","1201210006","","","10","20121","","","0"
"","","101","1201210007","","","1201210006","20121","","",""
"0","","3","1201210008","","","0","20121","","0","none"
"","","91","1201210009","","","0","20121","","",""
"","","13","1201220001","","","101011","20122","","","104"
"","","13","1201220002","","","101711","20122","","","105"
"0","1","3","1201220003","","","101011","20122","travel_topdrama_r_2000_talk_sad_loop","0.2","travel_topdrama_r_2000_talk_sad_in"
"0","","21","1201220004","","","vo_travel_talk","20122","0","","vo_travel_talk_20012_00"
"10","1","11","1201220005","0","0","101011","20122","1","0","冒險還真辛苦呢～\n人家已經有點累了，\n香織還很有精神呢～？"
"","","91","1201220006","","","0","20122","","",""
"1","","3","1201220007","","","101011","20122","","0.2","travel_topdrama_r_2000_idle_sad"
"0","1","3","1201220008","","","101711","20122","travel_topdrama_r_2012_raise_loop_talk","0.2","travel_topdrama_r_2012_raise_in"
"0","1","3","1201220009","","","3","20122","travel_topdrama_r_2012_raise_loop_talk","0.2","travel_topdrama_r_2012_raise_in"
"0","","21","1201220010","","","vo_travel_talk","20122","0","","vo_travel_talk_20012_01"
"10","1","11","1201220011","0","0","101711","20122","1","0","都是多虧開口笑呢～♪\n又甜又吃得飽肚子，\n也分一些給真步吧～"
"","","91","1201220012","","","0","20122","","",""
"1","","3","1201220013","","","101711","20122","","0.2","travel_topdrama_r_2012_raise_loop_idle"
"1","","3","1201220014","","","3","20122","","0.2","travel_topdrama_r_2012_raise_loop_talk"
"0","1","3","1201220015","","","101011","20122","travel_topdrama_r_2000_talk_smile_loop","0.2","travel_topdrama_r_2000_talk_smile_in"
"0","","21","1201220016","","","vo_travel_talk","20122","0","","vo_travel_talk_20012_02"
"10","1","11","1201220017","0","0","101011","20122","1","0","謝謝妳呀～♪\n把這給吃下去，人家也要像香織\n一樣有精神的繼續冒險～♪"
"","","91","1201220018","","","0","20122","","",""
"1","","3","1201220019","","","101011","20122","","0.2","travel_topdrama_r_2000_idle_smile"
"","","112","1201220020","","","","20122","","",""
"","","91","1201220021","","","0","20122","","",""
"101","-68","1","1201310001","1","travel_topdrama_r_2000_idle_doya","1","20131","42","0.8","104411"
