cfb0fa5781618ce3e9ac48fe6a24529b8e4514402b0a22c7d559a961eab2048a,161f8ba4be492a273adbe3d1a72ce22df76ad06f46fccce25ce8bfead43ce27a,4a70f011ba46f80a61df1d1ac15620ac33c5fadc6abac333d447cbc5f5ee8f81,f25df19f950e149509f59a5d738fc08f84525d85919065db8c84a1bcd3a46e60,9a4455b1af8f5a58540ec859196fb62a463920dba43e8f6aafc6cf4355e89f25
"14","心跳加速","2099/08/01 14:59:59","2023/01/20 16:00:00","112401"
"15","怎、怎麼回事！","2099/08/01 14:59:59","2023/01/20 16:00:00","112501"
"16","這很簡單啊","2099/08/01 14:59:59","2023/01/20 16:00:00","112601"
"17","真幸福♪","2099/08/01 14:59:59","2023/01/20 16:00:00","112701"
"18","各位同志們！","2099/08/01 14:59:59","2023/01/20 16:00:00","112801"
"19","很順利呢～♪","2099/08/01 14:59:59","2023/01/20 16:00:00","112901"
"20","好棒棒♪","2099/08/01 14:59:59","2023/01/20 16:00:00","113001"
"21","我不會輸的/才沒有","2099/08/01 14:59:59","2023/01/20 16:00:00","113101"
"22","最高效率","2099/08/01 14:59:59","2023/01/20 16:00:00","113201"
"23","這是祕密","2099/08/01 14:59:59","2023/01/20 16:00:00","113301"
"24","登台！","2099/08/01 14:59:59","2023/01/20 16:00:00","113401"
