57777b6f93f12e3b485c160aec6a10d003e86c793e29b3be2b2344ceed51d137,d6daae810d36f717ce84a55dec4d5d13cee965f94772ea27e280e63fa82606a8,4445244554d1d1e0c0d8dcb10f5a7cb240ff8ba59121fe172b59410071d8fc2c,411927d759b2c8e058632c8d2bc8e3efae3b2e232a934fcea7ed8cd978c81648,8028948f2532aeb856a24e44ff0c411c1e24a9254879b591f77b4799e96b517a,3be1da392232eac162d0a8ea0a2e0e20cb5ef0ef8a4dc9b66e27649b2e4abcae,afc9bcb137d5a3fcc1fd4e0798479048905a292989004e2a6b4076c5b88a76e2,d707a7908b820f6cafa78b4fd90c9c88320d3227b9ca4fe2ccb9913e590b4bb9,c2adeaabfe5f85762923d68bf9c5a8c37eb76d7c7e2cff07878a716dfa384d68,57ac076362a7eb7110174fc9c50066adc07a0928c505752b14c2a4e93252fe00,f4d59f294a28a2919651d69cbb46f2e823083e690202e01ca8f1f02fe8683f63
"0","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","1","129911","5","5","0","0.8","11","5006","0"
"","","","0","","5","","","91","5007",""
"0.2","drama_idle_thinking","","129911","1","5","","","3","5008",""
"0.2","drama_talk_wonder_in","drama_talk_wonder_loop","129811","0","5","1","","3","5009",""
"","vo_minigame_1013_top_talk_5_001","0","vo_minigame_1013","0","5","","","21","5010",""
"0","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","1","129811","5","5","0","0.3","11","5011","0"
"","","","0","","5","","","91","5012",""
"0.2","drama_idle_wonder","","129811","1","5","","","3","5013",""
"0.2","drama_talk_memory","","129911","1","5","","","3","5014",""
"","vo_minigame_1013_top_talk_5_002","0","vo_minigame_1013","0","5","","","21","5015",""
"0","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","1","129911","4","5","0","0.5","11","5016","0"
"","","","0","","5","","","91","5017",""
"0.2","drama_idle","","129811","1","5","","","3","5018",""
"0.2","drama_idle","","129911","1","5","","","3","5019",""
"1.65","129811","167","1","100","6","-224","drama_idle","1","6001","1"
"1.65","129911","-49","1","100","6","-224","drama_idle","1","6002","0"
"0.2","drama_idle","","129911","1","6","","","3","6003",""
"0.2","drama_talk_thinking_shy","","129811","1","6","","","3","6004",""
"","vo_minigame_1013_top_talk_6_000","0","vo_minigame_1013","0","6","","","21","6005",""
"0","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","1","129811","6","6","0","0.3","11","6006","0"
"","","","0","","6","","","91","6007",""
"0.2","drama_idle_thinking_shy","","129811","1","6","","","3","6008",""
"0.2","drama_talk_doubt_in","drama_talk_doubt_loop","129911","0","6","1","","3","6009",""
"","vo_minigame_1013_top_talk_6_001","0","vo_minigame_1013","0","6","","","21","6010",""
"0","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","1","129911","4","6","0","0.8","11","6011","0"
"","","","0","","6","","","91","6012",""
"0.2","drama_idle_doubt","","129911","1","6","","","3","6013",""
"0.2","drama_talk_surprise_in_shy","drama_talk_surprise_loop_shy","129811","0","6","1","","3","6014",""
"","vo_minigame_1013_top_talk_6_002","0","vo_minigame_1013","0","6","","","21","6015",""
"0","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","1","129811","7","6","0","0.3","11","6016","0"
"","","","0","","6","","","91","6017",""
"0.2","drama_idle","","129911","1","6","","","3","6018",""
"0.2","drama_idle","","129811","1","6","","","3","6019",""
"1.65","129811","167","1","100","7","-224","drama_idle","1","7001","1"
"1.65","129911","-49","1","100","7","-224","drama_idle","1","7002","0"
"0.2","drama_idle","","129811","1","7","","","3","7003",""
"0.2","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","129911","0","7","1","","3","7004",""
"","vo_minigame_1013_top_talk_7_000","0","vo_minigame_1013","0","7","","","21","7005",""
"0","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","1","129911","5","7","0","0.3","11","7006","0"
"","","","0","","7","","","91","7007",""
"0.2","drama_idle_arm_crossed","","129911","1","7","","","3","7008",""
"0.2","drama_talk_guts2_in","drama_talk_guts2_loop","129811","0","7","1","","3","7009",""
"","vo_minigame_1013_top_talk_7_001","0","vo_minigame_1013","0","7","","","21","7010",""
"0","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","1","129811","5","7","0","0","11","7011","0"
"","","","0","","7","","","91","7012",""
"0.2","drama_idle_guts2","","129811","1","7","","","3","7013",""
"0.2","drama_talk_thinking","","129911","1","7","","","3","7014",""
"","vo_minigame_1013_top_talk_7_002","0","vo_minigame_1013","0","7","","","21","7015",""
"0","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","1","129911","5","7","0","0.5","11","7016","0"
"","","","0","","7","","","91","7017",""
"0.2","drama_idle","","129811","1","7","","","3","7018",""
"0.2","drama_idle","","129911","1","7","","","3","7019",""
"1.65","129811","167","1","100","8","-224","drama_idle","1","8001","1"
"1.65","129911","-49","1","100","8","-224","drama_idle","1","8002","0"
"0.2","drama_idle","","129911","1","8","","","3","8003",""
"0.2","drama_talk_doya_in_smile","drama_talk_doya_loop_smile","129811","0","8","1","","3","8004",""
"","vo_minigame_1013_top_talk_8_000","0","vo_minigame_1013","0","8","","","21","8005",""
"0","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","1","129811","6","8","0","0.3","11","8006","0"
"","","","0","","8","","","91","8007",""
"0.2","drama_idle_doya_smile","","129811","1","8","","","3","8008",""
"0.2","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","129911","0","8","1","","3","8009",""
"","vo_minigame_1013_top_talk_8_001","0","vo_minigame_1013","0","8","","","21","8010",""
"0","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","1","129911","4","8","0","0.8","11","8011","0"
"","","","0","","8","","","91","8012",""
"0.2","drama_idle_arm_crossed","","129911","1","8","","","3","8013",""
"0.2","drama_talk_anger","","129811","1","8","","","3","8014",""
"","vo_minigame_1013_top_talk_8_002","0","vo_minigame_1013","0","8","","","21","8015",""
"0","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","1","129811","7","8","0","0.3","11","8016","0"
"","","","0","","8","","","91","8017",""
"0.2","drama_idle","","129811","1","8","","","3","8018",""
"0.2","drama_idle","","129911","1","8","","","3","8019",""
"1.65","129811","167","1","100","30","-224","drama_idle","1","30001","1"
"1.65","129911","-49","1","100","30","-224","drama_idle","1","30002","0"
"0.2","drama_idle","","129811","1","30","","","3","30003",""
"0.2","drama_idle","","129911","1","30","","","3","30004",""
"","0","","0.5","","30","","","93","30005",""
"","","","2","","30","","","26","30006",""
"3","10","1.2","-80","1.2","30","0.9","","121","30007",""
"0.2","drama_joy_eriko","","129911","0","30","","","3","30008","0.2"
"","1","","1","0","30","","","140","30009",""
"1.65","129811","167","1","100","31","-224","drama_idle","1","31001","1"
"1.65","129911","-49","1","100","31","-224","drama_idle","1","31002","0"
"0.2","drama_idle","","129811","1","31","","","3","31003",""
"0.2","drama_idle","","129911","1","31","","","3","31004",""
"","0","","0.5","","31","","","93","31005",""
"","","","2","","31","","","26","31006",""
"3","10","1.2","-80","1.2","31","0.9","","121","31007",""
"0.2","drama_joy_makoto","","129811","0","31","","","3","31008","0.2"
"","2","","1","0","31","","","140","31009",""
"0.28","1","320","0","1","32","28","drama_talk_1","5","32001","1"
"0.28","2","228","0","0","32","28","drama_talk_2","5","32002","0"
"0.26","3","45","0","90","32","64","drama_swing","5","32003","1"
"0.3","4","-187","0","91","32","-23","drama_streach","5","32004","0"
"","0","","1","","32","","","93","32005",""
"0.2","drama_joy","","1","0","32","","","3","32006",""
"0.2","drama_joy","","2","0","32","","","3","32007",""
"0.2","drama_joy","","3","0","32","","","3","32008",""
"0.2","drama_joy","","4","0","32","","","3","32009",""
"","0","","1.5","","32","","","93","32010",""
"0.28","1","320","0","1","33","28","drama_talk_1","5","33001","1"
"0.28","2","228","0","0","33","28","drama_talk_2","5","33002","0"
"0.26","3","45","0","90","33","64","drama_swing","5","33003","1"
"0.3","4","-187","0","91","33","-23","drama_streach","5","33004","0"
