14cca31adaac927acfa1fb1dc8d3a185ca28abd272e9b5189248f8f90e820292,bb06f283f24e7993714cf6e6d322dcb4c2f167bfe95e4f712b4ef73e4e106682,82e44805b77b19590fec62e93b6c076cbb415f0196af63234248a7f4efc13bfc,5ef882a5f1cd86a1d49c4b8d4146ca0658a7dd7d8b6208bb70f1d251c907c756,e121de12cedac266de1e1ec54b2c6efd6d5898dc648e7b9cd20a175531886278,44a288ea76a723ef2e65baaa9a7da8a48371cf85d05c337729da51069921e170,2faa4e7443c7ba6e9f2f8aefaa9f03d18c3e717023902e6058aab883228b0c91,f4233f883887065058ebc3357fa8d29a161993fcfd3f4393b7bbe0921a7a1cbe,8040a2965db3c387da3616eab92bf68c4b0f76e0ae54fbb6128ed54a88e5254f,750edcd432bfcd1d0d21a39c1c7b174af708a7cd6282169818dd9d0fce16194d,6406a65dc706bbde2c570bf09bf8a69a4c554f0165a4be0190b88de1ee9368ba,f1a8c99631d07f083228244dc61a3e92e03e4e78078f9659b4618a02cdcc0199,895f2addce4c67a2e129a090cf29280a9f87af40baf620cf02157d9ac95c93c7,7d3f3fb78c5fa46aa41684a826d3c3cbfb164620cead61c4dbbd1c2ecd6e4222,70dafc950ca3f35b8464df0149392b2897a7c8fe669e30f1c42cac8a47d1b10c,3cb96ba2b9c4dc5b03acd5ba563a84fa6b13c73442c54c5ea107e99adeb5299b,e17e79883e310bcce1189352b3e2c50fbb42dfb5ec1edb9b2769dd66717c24c0,f5b6509cd6677326c59a11b8a15858ea7878c9c76a11c1142919661cea15ce08,b037f5e41cfd4ef8cc6caa27f697e72fa250f31a2281d6e9b56cec77fa0ab3d0,8920b370c7c67b602a75bb821d3e92fbd44d437c70c0d8c0d07895e2b2ffd025,ebce7bd5d4a339246df110d27a184f384b1a5714e470e38e950fdbc66560999f,ff56c8caacb220d753d7f3a61eae0e19a59a6d18e3c6325c9e3fb0dcb3da0732
"250","101161","0.7","0.6","1","bgm_M64","10040101","-30","-480","0","1","101161","210","10","1","-120","1004","1","0","-30","0.8","1"
"0","101161","1","0.75","1","bgm_M64","10040102","-30","-260","0","1","101161","200","10","1","-120","1004","2","0","0","1.2","2"
"100","101161","1","0.9","1","bgm_M64","10040103","-30","-20","-15","1","101161","200","0","1","55","1004","3","-30","-10","1.4","3"
"0","101161","1","0.9","1","bgm_M64","10040104","-30","180","0","1","101161","200","0","1","-30","1004","4","-30","0","1.3","4"
"200","101162","0.9","0.9","1","bgm_M55","10040105","-30","470","-40","1","101162","250","0","1","-60","1004","5","-50","-30","1.2","5"
"250","101161","0.7","0.6","1","bgm_M64","10050101","-30","-480","0","1","101171","210","10","1","-120","1005","1","0","-30","0.8","1"
"0","101161","1","0.75","1","bgm_M64","10050102","-30","-260","0","1","101171","200","10","1","-120","1005","2","0","0","1.2","2"
"100","101161","1","0.9","1","bgm_M64","10050103","-30","-20","-15","1","101171","200","0","1","45","1005","3","-30","-10","1.4","3"
"0","101161","1","0.7","1","bgm_M64","10050104","-30","190","0","1","101171","200","0","1","-70","1005","4","0","0","1","4"
"200","101162","1","1","1","bgm_M55","10050105","-30","445","-40","1","101172","240","0","1","-25","1005","5","-30","0","1.3","5"
"250","101161","0.7","0.6","1","bgm_M64","10060101","-30","-480","0","1","101191","210","10","1","-120","1006","1","0","-30","0.8","1"
"0","101161","1","0.75","1","bgm_M64","10060102","-30","-260","0","1","101191","200","10","1","-100","1006","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10060103","-30","-10","-15","1","101191","200","0","1","65","1006","3","0","-10","1.1","3"
"0","101161","1","0.8","1","bgm_M64","10060104","-30","190","0","1","101191","200","0","1","-110","1006","4","0","0","1.2","4"
"270","101162","1","0.9","1","bgm_M55","10060105","-30","485","0","1","101192","280","-10","1","-70","1006","5","-50","-45","1.15","5"
"250","101161","0.7","0.6","1","bgm_M64","10070101","-30","-480","0","1","101201","210","10","1","-120","1007","1","0","-30","0.8","1"
"120","101161","1","0.9","1","bgm_M64","10070102","-30","-260","0","1","101201","240","10","1","-120","1007","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10070103","-30","-10","-15","1","101201","200","0","1","65","1007","3","0","-10","1.1","3"
"100","101161","1","0.9","1","bgm_M64","10070104","-30","190","0","1","101201","200","0","1","-110","1007","4","0","0","1.2","4"
"270","101162","1","1","1","bgm_M55","10070105","-30","475","-20","1","101202","250","10","1","-30","1007","5","-50","-45","1.45","5"
"250","101161","0.7","0.6","1","bgm_M64","10080101","-30","-480","0","1","101291","210","10","1","-120","1008","1","0","-30","0.8","1"
"120","101161","1","0.9","1","bgm_M64","10080102","-30","-260","0","1","101291","240","10","1","-120","1008","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10080103","-30","-40","-15","1","101291","200","0","1","65","1008","3","0","-10","1.1","3"
"100","101161","1.3","0.9","1","bgm_M64","10080104","-30","150","0","1","101291","200","0","1","-110","1008","4","0","0","1.3","4"
"45","101162","1.3","1.1","1","bgm_M55","10080105","-30","490","-20","1","101292","230","30","1","-15","1008","5","15","30","1.45","5"
"250","101161","0.7","0.6","1","bgm_M64","10090101","-30","-480","0","1","101301","210","10","1","-120","1009","1","0","-30","0.8","1"
"120","101161","1","0.75","1","bgm_M64","10090102","-30","-260","0","1","101301","200","10","1","-120","1009","2","0","0","1.2","2"
"100","101161","2.2","1.55","1","bgm_M64","10090103","-30","-50","-15","1","101301","200","0","1","100","1009","3","0","-10","2.3","3"
"100","101161","1.3","1","1","bgm_M64","10090104","-30","180","0","1","101301","200","0","1","-100","1009","4","15","0","1.3","4"
"200","101162","1.1","1","1","bgm_M55","10090105","-30","470","-20","1","101302","270","10","1","-55","1009","5","-15","-30","1.2","5"
"170","101161","0.9","0.575","1","bgm_M64","10100101","-30","-450","0","1","101441","210","10","1","-130","1010","1","-25","-30","1","1"
"120","101161","1","0.75","1","bgm_M64","10100102","-30","-250","0","1","101441","200","10","1","-120","1010","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10100103","-30","-10","-15","1","101441","200","0","1","50","1010","3","0","-10","1.1","3"
"0","101161","1","0.9","1","bgm_M64","10100104","-30","180","0","1","101441","200","0","1","-100","1010","4","-30","0","1.3","4"
"200","101162","1.1","0.95","1","bgm_M55","10100105","-30","470","-20","1","101442","270","10","1","-70","1010","5","-35","-30","1.2","5"
"170","101451","0.9","0.575","1","bgm_M64","10110101","-30","-450","0","1","101451","210","10","1","-130","1011","1","-25","-30","1","1"
"120","101451","1","0.75","1","bgm_M64","10110102","-30","-250","0","1","101451","200","10","1","-120","1011","2","0","0","1.2","2"
"100","101451","1","0.9","1","bgm_M64","10110103","-30","-20","-15","1","101451","200","0","1","50","1011","3","-30","-10","1.4","3"
"100","101451","0.8","0.65","1","bgm_M64","10110104","-30","200","0","1","101451","220","0","1","-100","1011","4","20","0","0.9","4"
"200","101452","1.4","1.25","1","bgm_M55","10110105","-30","510","0","1","101452","290","0","1","-70","1011","5","-35","-50","1.55","5"
"170","101451","0.9","0.575","1","bgm_M64","10120101","-30","-450","0","1","101561","210","10","1","-130","1012","1","-25","-30","1","1"
"120","101451","1","0.9","1","bgm_M64","10120102","-30","-240","0","1","101561","240","0","1","-120","1012","2","0","0","1.2","2"
"100","101451","0.8","0.6","1","bgm_M64","10120103","-30","-30","-5","1","101561","200","5","1","60","1012","3","0","-10","0.9","3"
"100","101451","1.2","0.9","1","bgm_M64","10120104","-30","180","0","1","101561","200","0","1","-100","1012","4","-30","0","1.5","4"
"400","101452","1.35","1.25","1","bgm_M55","10120105","-30","460","0","1","101562","290","0","1","-70","1012","5","-60","-50","1.55","5"
"250","101001","0.7","0.6","1","bgm_M64","10130101","-30","-480","0","1","101001","210","10","1","-120","1013","1","0","-30","0.8","1"
"0","101001","1","0.75","1","bgm_M64","10130102","-30","-260","0","1","101001","200","10","1","-120","1013","2","0","0","1.2","2"
"100","101001","1","0.7","1","bgm_M64","10130103","-30","-40","-13","1","101001","200","0","1","0","1013","3","0","-10","1.1","3"
"0","101001","1","0.7","1","bgm_M64","10130104","-30","240","0","1","101001","200","0","1","-50","1013","4","0","0","1.2","4"
"200","101011","1","1.2","1","bgm_M55","10130105","-30","480","0","1","101011","250","0","1","-40","1013","5","0","0","1.3","5"
"170","101041","0.9","0.575","1","bgm_M64","10140101","-30","-450","0","1","101041","210","10","1","-130","1014","1","-25","-30","1","1"
"120","101041","1","0.75","1","bgm_M64","10140102","-30","-250","0","1","101041","200","10","1","-120","1014","2","0","0","1.2","2"
"100","101041","2.2","1.55","1","bgm_M64","10140103","-30","-50","-15","1","101041","200","0","1","100","1014","3","0","-10","2.3","3"
"0","101041","1","0.7","1","bgm_M64","10140104","-30","190","0","1","101041","200","0","1","-70","1014","4","0","0","1","4"
"200","101042","1.6","1.4","1","bgm_M55","10140105","-30","440","0","1","101042","250","0","1","0","1014","5","0","0","1.8","5"
"250","101161","0.7","0.6","1","bgm_M64","10150101","-30","-470","0","1","101041","210","10","1","-125","1015","1","0","-30","0.8","1"
"120","101161","1","0.75","1","bgm_M64","10150102","-30","-210","0","1","101041","200","10","1","-95","1015","2","0","0","1.2","2"
"100","101161","1","0.9","1","bgm_M64","10150103","-30","50","-15","1","101041","200","0","1","-120","1015","3","-30","-10","1.4","3"
"150","101162","1","0.7","1","bgm_M64","10150104","-30","195","0","1","101041","200","0","1","35","1015","4","43","0","1","4"
"150","101161","1.35","1.1","1","bgm_M55","10150105","-30","450","0","1","101042","210","0","1","-55","1015","5","-50","0","1.8","5"
"250","101451","0.85","0.6","1","bgm_M64","10160101","-30","-480","0","1","101161","210","10","1","-120","1016","1","0","0","0.8","1"
"0","101451","1.1","0.75","1","bgm_M64","10160102","-30","-260","0","1","101161","200","10","1","-100","1016","2","0","0","1.2","2"
"100","101451","1","0.8","1","bgm_M64","10160103","-30","-10","-15","1","101161","200","0","1","65","1016","3","0","-10","1.1","3"
"0","101451","0.85","0.8","1","bgm_M64","10160104","-30","190","0","1","101161","200","0","1","-110","1016","4","0","0","1","4"
"270","101452","1","0.9","1","bgm_M55","10160105","-30","485","0","1","101162","280","-10","1","-70","1016","5","-50","-45","1.15","5"
"250","101171","0.7","0.6","1","bgm_M64","10170101","-30","-480","0","1","101171","210","10","1","-120","1017","1","0","-30","0.8","1"
"0","101171","0.7","0.6","1","bgm_M64","10170102","-30","-260","0","1","101171","240","10","1","-120","1017","2","0","0","1","2"
"0","101171","1","0.9","1","bgm_M64","10170103","-30","-10","-15","1","101171","200","0","1","65","1017","3","-30","-10","1.4","3"
"100","101171","1","0.9","1","bgm_M64","10170104","-30","190","0","1","101171","200","0","1","-110","1017","4","-30","0","1.3","4"
"270","101172","1","1","1","bgm_M55","10170105","-30","475","-20","1","101172","250","10","1","-30","1017","5","-50","0","1.45","5"
"100","101171","0.7","0.6","1","bgm_M64","10180101","-30","-480","0","1","101191","210","10","1","-120","1018","1","0","-30","0.8","1"
"100","101171","1","0.75","1","bgm_M64","10180102","-30","-260","0","1","101191","200","10","1","-100","1018","2","0","0","1.2","2"
"100","101171","0.8","0.6","1","bgm_M64","10180103","-30","-10","-5","1","101191","200","5","1","65","1018","3","0","-10","0.9","3"
"100","101171","1","0.9","1","bgm_M64","10180104","-30","190","-30","1","101191","200","0","1","-110","1018","4","0","0","1.2","4"
"100","101172","1","1.1","1","bgm_M55","10180105","-30","485","0","1","101192","280","-10","1","-70","1018","5","-50","-45","1.3","5"
"100","101161","0.85","0.6","1","bgm_M64","10190101","-30","-480","0","1","101201","210","10","1","-120","1019","1","0","0","0.8","1"
"100","101161","1.1","0.75","1","bgm_M64","10190102","-30","-260","0","1","101201","240","10","1","-120","1019","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10190103","-30","-10","-15","1","101201","200","0","1","65","1019","3","0","-10","1.1","3"
"100","101161","1","0.7","1","bgm_M64","10190104","-30","190","0","1","101201","200","0","1","-110","1019","4","43","0","1","4"
"100","101162","1","1","1","bgm_M55","10190105","-30","475","-20","1","101202","250","10","1","-30","1019","5","-50","-45","1.45","5"
"100","101161","0.85","0.6","1","bgm_M64","10200101","-30","-480","0","1","101291","210","10","1","-120","1020","1","0","0","0.8","1"
"100","101161","1.1","0.75","1","bgm_M64","10200102","-30","-260","0","1","101291","240","10","1","-120","1020","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10200103","-30","-40","-15","1","101291","200","0","1","65","1020","3","0","-10","1.1","3"
"100","101161","1","0.8","1","bgm_M64","10200104","-30","150","0","1","101291","200","0","1","-110","1020","4","-30","0","1.5","4"
"100","101162","1","1.1","1","bgm_M55","10200105","-30","490","-20","1","101292","230","30","1","-15","1020","5","15","30","1.45","5"
"100","101161","0.7","0.58","1","bgm_M64","10210101","-30","-480","0","1","101301","210","10","1","-120","1021","1","0","-30","0.8","1"
"100","101161","1","0.9","1","bgm_M64","10210102","-30","-260","0","1","101301","200","10","1","-120","1021","2","0","0","1.2","2"
"100","101161","1","0.93","1","bgm_M64","10210103","-30","-50","0","1","101301","200","-10","1","100","1021","3","-30","-10","1.4","3"
"100","101161","1.3","0.9","1","bgm_M64","10210104","-30","180","0","1","101301","200","0","1","-100","1021","4","15","0","1.3","4"
"100","101162","1.1","1","1","bgm_M55","10210105","-30","470","-20","1","101302","270","10","1","-55","1021","5","-15","-30","1.2","5"
"100","101161","0.85","0.575","1","bgm_M64","10220101","-30","-450","0","1","101441","210","10","1","-130","1022","1","0","0","0.8","1"
"100","101161","1.1","0.75","1","bgm_M64","10220102","-30","-250","0","1","101441","200","10","1","-120","1022","2","0","0","1.2","2"
"100","101161","1.1","0.8","1","bgm_M64","10220103","-30","-10","-15","1","101441","200","0","1","50","1022","3","0","-10","1.2","3"
"100","101161","1.3","0.9","1","bgm_M64","10220104","-30","180","0","1","101441","200","0","1","-100","1022","4","15","0","1.3","4"
"100","101162","1.1","0.95","1","bgm_M55","10220105","-30","470","-20","1","101442","230","10","1","-70","1022","5","-35","-30","1.2","5"
"100","101451","0.7","0.58","1","bgm_M64","10230101","-30","-450","0","1","101451","210","10","1","-130","1023","1","0","-30","0.8","1"
"100","101451","1","0.9","1","bgm_M64","10230102","-30","-250","0","1","101451","200","10","1","-120","1023","2","0","0","1.2","2"
"100","101451","1","0.9","1","bgm_M64","10230103","-30","-20","-15","1","101451","200","0","1","50","1023","3","-30","-10","1.4","3"
"100","101451","0.85","0.8","1","bgm_M64","10230104","-30","200","0","1","101451","200","0","1","-100","1023","4","0","0","1","4"
"100","101452","1.4","1.25","1","bgm_M55","10230105","-30","510","0","1","101452","290","0","1","-70","1023","5","-35","-50","1.55","5"
"100","101451","0.7","0.58","1","bgm_M64","10240101","-30","-450","0","1","101561","210","10","1","-130","1024","1","0","-30","0.8","1"
"100","101451","1.1","0.75","1","bgm_M64","10240102","-30","-240","0","1","101561","240","0","1","-120","1024","2","0","0","1.2","2"
"100","101451","1","0.65","1","bgm_M64","10240103","-30","-30","-5","1","101561","200","5","1","60","1024","3","0","-10","1.1","3"
"100","101451","1","0.7","1","bgm_M64","10240104","-30","180","0","1","101561","200","0","1","-100","1024","4","0","0","1.2","4"
"400","101452","1.35","1.25","1","bgm_M55","10240105","-30","460","0","1","101562","290","0","1","-70","1024","5","-60","-50","1.55","5"
"100","101451","0.7","0.58","1","bgm_M64","10250101","-30","-480","0","1","101001","210","10","1","-120","1025","1","0","-30","0.8","1"
"100","101451","1.1","0.75","1","bgm_M64","10250102","-30","-260","0","1","101001","200","10","1","-120","1025","2","0","0","1.2","2"
"100","101451","0.8","0.6","1","bgm_M64","10250103","-30","-40","-13","1","101001","200","0","1","0","1025","3","0","-10","0.9","3"
"100","101451","1","0.8","1","bgm_M64","10250104","-30","240","0","1","101001","200","0","1","-50","1025","4","-30","0","1.5","4"
"100","101452","1","1.2","1","bgm_M55","10250105","-30","480","0","1","101011","250","0","1","-40","1025","5","0","0","1.3","5"
"170","101021","0.9","0.575","1","bgm_M64","10260101","-30","-450","0","1","101021","210","10","1","-130","1026","1","-25","-30","1","1"
"120","101021","1","0.75","1","bgm_M64","10260102","-30","-250","0","1","101021","200","10","1","-120","1026","2","0","0","1.2","2"
"100","101021","2.2","1.55","1","bgm_M64","10260103","-30","-50","-15","1","101021","200","0","1","100","1026","3","0","-10","2.3","3"
"150","101021","1","0.7","1","bgm_M64","10260104","-30","190","0","1","101021","200","0","1","-70","1026","4","43","0","1","4"
"200","101031","1.6","1.4","1","bgm_M55","10260105","-30","440","0","1","101031","220","0","1","0","1026","5","0","0","1.8","5"
"250","101161","0.7","0.6","1","bgm_M64","10270101","-30","-470","0","1","101041","210","10","1","-125","1027","1","0","-30","0.8","1"
"120","101161","1","0.75","1","bgm_M64","10270102","-30","-210","0","1","101041","200","10","1","-95","1027","2","0","0","1.2","2"
"100","101161","1","0.75","1","bgm_M64","10270103","-30","50","-15","1","101041","200","10","1","-120","1027","3","-10","-10","1.2","3"
"100","101162","1","0.7","1","bgm_M64","10270104","-30","195","0","1","101041","200","0","1","35","1027","4","20","0","1.1","4"
"150","101161","1.35","1.1","1.3","bgm_M55","10270105","-30","450","0","1","101042","210","0","1","-55","1027","5","-50","0","1.8","5"
"250","101161","0.85","0.6","1","bgm_M64","10280101","-30","-480","0","1","101161","210","10","1","-120","1028","1","0","0","0.8","1"
"0","101161","1.1","0.75","1","bgm_M64","10280102","-30","-260","0","1","101161","200","10","1","-100","1028","2","0","0","1.2","2"
"100","101161","1","0.65","1","bgm_M64","10280103","-30","-10","-5","1","101161","200","5","1","65","1028","3","0","-10","1.1","3"
"100","101161","1.3","0.9","1","bgm_M64","10280104","-30","190","0","1","101161","200","0","1","-110","1028","4","0","0","1.35","4"
"270","101162","1","0.9","1.3","bgm_M55","10280105","-30","485","-40","1","101162","280","-10","1","-70","1028","5","-50","-45","1.15","5"
"250","101171","0.7","0.6","1","bgm_M64","10290101","-30","-480","0","1","101171","210","10","1","-120","1029","1","0","-30","0.8","1"
"0","101171","0.7","0.6","1","bgm_M64","10290102","-30","-260","0","1","101171","240","10","1","-120","1029","2","0","0","1","2"
"0","101171","1","0.9","1","bgm_M64","10290103","-30","-10","-15","1","101171","200","0","1","65","1029","3","-30","-10","1.4","3"
"100","101171","1","0.9","1","bgm_M64","10290104","-30","190","0","1","101171","200","0","1","-110","1029","4","-30","0","1.3","4"
"270","101172","1","1","1","bgm_M55","10290105","-30","475","-20","1","101172","250","10","1","-30","1029","5","-50","0","1.45","5"
"100","101171","0.7","0.6","1","bgm_M64","10300101","-30","-480","0","1","101191","210","10","1","-120","1030","1","0","-30","0.8","1"
"100","101171","1","0.8","1","bgm_M64","10300102","-30","-260","0","1","101191","200","10","1","-100","1030","2","0","0","1.2","2"
"100","101171","0.8","0.6","1","bgm_M64","10300103","-30","-10","-5","1","101191","200","5","1","65","1030","3","0","-10","0.9","3"
"100","101171","1","0.9","1","bgm_M64","10300104","-30","190","0","1","101191","200","0","1","-110","1030","4","0","0","1.2","4"
"200","101172","1","1.1","1","bgm_M55","10300105","-30","485","0","1.2","101192","280","-10","1","-70","1030","5","-50","-45","1.3","5"
"100","101161","0.85","0.6","1","bgm_M64","10310101","-30","-480","0","1","101201","210","10","1","-120","1031","1","0","0","0.8","1"
"100","101161","1.1","0.75","1","bgm_M64","10310102","-30","-260","0","1","101201","240","10","1","-120","1031","2","0","0","1.2","2"
"100","101161","1","0.8","1","bgm_M64","10310103","-30","-10","-15","1","101201","200","0","1","65","1031","3","0","-10","1.1","3"
"100","101161","1","0.7","1","bgm_M64","10310104","-30","190","0","1","101201","200","0","1","-110","1031","4","43","0","1","4"
"100","101162","1","1","1","bgm_M55","10310105","-30","475","-20","1","101202","250","10","1","-30","1031","5","-50","-45","1.45","5"
"100","101291","0.85","0.6","1","bgm_M64","10320101","-30","-480","0","1","101291","210","10","1","-120","1032","1","0","0","0.8","1"
"100","101291","1.1","0.75","1","bgm_M64","10320102","-30","-260","0","1","101291","240","10","1","-120","1032","2","0","0","1.2","2"
"100","101291","1","0.9","1","bgm_M64","10320103","-30","-40","-15","1","101291","200","0","1","65","1032","3","0","-10","1.3","3"
"100","101291","1","0.8","1","bgm_M64","10320104","-30","150","0","1","101291","200","0","1","-110","1032","4","-30","0","1.3","4"
"100","101292","1","1.1","1","bgm_M55","10320105","-30","490","-20","1","101292","230","30","1","-15","1032","5","15","30","1.45","5"
"100","101301","0.7","0.58","1","bgm_M64","10330101","-30","-480","0","1","101301","210","10","1","-120","1033","1","0","-30","0.8","1"
"100","101301","1","0.9","1","bgm_M64","10330102","-30","-260","0","1","101301","200","10","1","-120","1033","2","0","0","1.2","2"
"200","101301","1","0.93","1","bgm_M64","10330103","-30","-50","0","1","101301","200","-10","1","100","1033","3","-30","-10","1.4","3"
"100","101301","1","0.9","1","bgm_M64","10330104","-30","100","0","1","101301","200","0","1","-100","1033","4","15","0","1.3","4"
"100","101302","1.1","1","1","bgm_M55","10330105","-30","470","-20","1","101302","270","10","1","-55","1033","5","-15","-30","1.2","5"
"100","101161","0.85","0.575","1","bgm_M64","10340101","-30","-450","0","1","101441","210","10","1","-130","1034","1","0","0","0.8","1"
"200","101161","0.7","0.75","1","bgm_M64","10340102","-30","-250","0","1","101441","200","10","1","-120","1034","2","0","0","1","2"
"100","101161","1.1","0.8","1","bgm_M64","10340103","-30","-10","-15","1","101441","200","0","1","50","1034","3","0","-10","1.2","3"
"150","101161","1","0.9","1","bgm_M64","10340104","-30","180","0","1","101441","200","0","1","-100","1034","4","43","0","1","4"
"100","101162","1.1","0.95","1","bgm_M55","10340105","-30","470","-20","1","101442","230","10","1","-70","1034","5","-35","-30","1.2","5"
"100","101451","0.7","0.58","1","bgm_M64","10350101","-30","-450","0","1","101451","210","10","1","-130","1035","1","0","-30","0.8","1"
"100","101451","1","0.9","1","bgm_M64","10350102","-30","-250","0","1","101451","200","10","1","-120","1035","2","0","0","1.2","2"
"100","101451","1","0.9","1","bgm_M64","10350103","-30","-20","-15","1","101451","200","0","1","50","1035","3","-30","-10","1.4","3"
"100","101451","0.85","0.8","1","bgm_M64","10350104","-30","200","0","1","101451","200","0","1","-100","1035","4","0","0","1","4"
"100","101452","1.4","1.25","1","bgm_M55","10350105","-30","510","0","1.2","101452","290","0","1","-70","1035","5","-35","-50","1.55","5"
"100","101451","0.7","0.58","1","bgm_M64","10360101","-30","-450","0","1","101561","210","10","1","-130","1036","1","0","-30","0.8","1"
"100","101451","1.1","0.75","1","bgm_M64","10360102","-30","-240","0","1","101561","240","0","1","-120","1036","2","0","0","1.2","2"
"100","101451","1","0.65","1","bgm_M64","10360103","-30","-30","-5","1","101561","200","5","1","60","1036","3","0","-10","1.1","3"
"100","101451","1","1.1","1","bgm_M64","10360104","-30","180","0","1","101561","200","0","1","-100","1036","4","0","0","1.2","4"
"400","101452","1.35","1.25","1","bgm_M55","10360105","-30","460","0","1.4","101562","290","0","1","-70","1036","5","-60","-50","1.55","5"
"100","101451","0.7","0.58","1","bgm_M64","10370101","-30","-480","0","1","101001","210","10","1","-120","1037","1","0","-30","0.8","1"
"100","101451","1.1","0.75","1","bgm_M64","10370102","-30","-260","0","1","101001","200","10","1","-120","1037","2","0","0","1.2","2"
"150","101451","0.55","0.6","1","bgm_M64","10370103","-30","-40","-13","1.4","101001","200","0","1","0","1037","3","-50","-60","0.9","3"
"100","101451","1","0.8","1","bgm_M64","10370104","-30","240","0","1","101001","200","0","1","-50","1037","4","-30","0","1.3","4"
"100","101452","1","1.2","1","bgm_M55","10370105","-30","480","0","1.2","101011","250","0","1","-40","1037","5","0","0","1.3","5"
"170","101021","0.9","0.575","1","bgm_M64","10380101","-30","-450","0","1","101021","210","10","1","-110","1038","1","-25","-30","1","1"
"120","101021","1","0.75","1","bgm_M64","10380102","-30","-250","0","1","101021","200","10","1","-120","1038","2","0","0","1.2","2"
