ecc970bee923faa6438214b97455d375f22dcb93e589265cc08005afcd702728,57e39a8dd22a8e5d4bf9259ddf9ed0cf2d711febcc9c364b852ea52da5e1ab63,6ac7cf770c4370fa1689fd3e91f068edbbd8b975343a17b123526e414072b372,062bb252eac31bf0a380f871df865b0f6873ddd201fb202029884842b427f8f9,9cd6228b2fa93a4514dbea7b16ed46d2ab6fd0937b6297810dec17fd0b9018a3,fe7ae7b78b1bc8e20d9c4eb7372207dfa7153a2b22f609eb85b3c641772f48ab,8caba80404a972b94a9412ff17312a9f425cfe45c7119aaa1037dc59150ccb4f,8dff3d25615b4ff09191303e88c4ca2f5a15202141848d950348f1c511c5ea3a,f5ff534ea11e99b2c7b00fea83827ce0351da80cfcc8715560040c5a4c318389,3b3fc33b2b237ed2f596b2398eecee1c4d4c1455c413f24b7e728505f1113e61,a3446d80b1b71b749332a54745152ee9972e65274de066ba355d719acdb726af
"-250","2","0","851","1.75","18510006","cmn_surfing","5","44","6","-1100"
"-125","3","0","851","1.75","18510007","cmn_surfing","5","44","6","-1350"
"1","1","","851","1","18510008","","31","-850","11","-125"
"1","2","","851","1","18510009","","31","-1100","11","-250"
"1","3","","851","1","18510010","","31","-1350","11","-125"
"","2350","","851","","18510011","","2","-125","107511","6"
"","2100","","851","","18510012","","2","-250","107611","6"
"","1850","","851","","18510013","","2","-125","107811","6"
"","2350","","851","","18510014","","2","-125","1","6"
"","2100","","851","","18510015","","2","-250","2","6"
"","1850","","851","","18510016","","2","-125","3","6"
"","2350","","851","","18510017","","33","-125","1","6"
"","2100","","851","","18510018","","33","-250","2","6"
"","1850","","851","","18510019","","33","-125","3","6"
"","se_10053800_surfing_wave","","851","","18510020","","23","","se_10053800",""
"","","","851","","18510021","","93","","0.3",""
"","vo_fpc_85101","","851","","18510022","","21","","vo_fpc","0"
"","se_fpc_water_random","","852","","18520001","","23","","se_10053800",""
"-125","122411","0","852","1.75","18520002","cmn_swm_flutterKick_floatRing","1","13","1","-850"
"-250","122511","0","852","1.75","18520003","cmn_swm_flutterKick_floatRing","1","33","1","-1100"
"-125","122611","0","852","1.75","18520004","cmn_swm_flutterKick_floatRing","1","13","1","-1350"
"-125","1","0","852","1.75","18520005","cmn_swm_flutterKick_floatRing","5","12","1","-850"
"-250","2","0","852","1.75","18520006","cmn_swm_flutterKick_floatRing_blue","5","32","1","-1100"
"-125","3","0","852","1.75","18520007","cmn_swm_flutterKick_floatRing_pink","5","12","1","-1350"
"1","1","","852","1","18520008","","31","-850","7","-125"
"1","2","","852","1","18520009","","31","-1100","1","-250"
"1","3","","852","1","18520010","","31","-1350","7","-125"
"","1750","","852","","18520011","","2","-125","122411","10"
"","1500","","852","","18520012","","2","-250","122511","10"
"","1250","","852","","18520013","","2","-125","122611","10"
"","1750","","852","","18520014","","2","-125","1","10"
"","1500","","852","","18520015","","2","-250","2","10"
"","1250","","852","","18520016","","2","-125","3","10"
"","1750","","852","","18520017","","33","-125","1","10"
"","1500","","852","","18520018","","33","-250","2","10"
"","1250","","852","","18520019","","33","-125","3","10"
"","se_fpc_water_random","","853","","18530001","","23","","se_10053800",""
"-125","117211","0","853","1.75","18530002","cmn_swm_breastStroke","1","12","1","-850"
"-250","117311","0","853","1.75","18530003","cmn_swm_breastStroke","1","32","1","-1100"
"-125","117411","0","853","1.75","18530004","cmn_swm_breastStroke","1","12","1","-1350"
"1","1","","853","1","18530005","","31","-850","2","-125"
"1","2","","853","1","18530006","","31","-1100","2","-250"
"1","3","","853","1","18530007","","31","-1350","2","-125"
"","1750","","853","","18530008","","2","-125","117211","10"
"","1500","","853","","18530009","","2","-250","117311","10"
"","1250","","853","","18530010","","2","-125","117411","10"
"","1750","","853","","18530011","","33","-125","1","10"
"","1500","","853","","18530012","","33","-250","2","10"
"","1250","","853","","18530013","","33","-125","3","10"
"","se_fpc_water_random","","854","","18540001","","23","","se_10053800",""
"-125","122711","0","854","1.75","18540002","cmn_swm_flutterKick_floatRing","1","13","1","-850"
"-250","122811","0","854","1.75","18540003","cmn_swm_flutterKick_floatRing","1","33","1","-1100"
"-125","122911","0","854","1.75","18540004","cmn_swm_flutterKick_floatRing","1","13","1","-1350"
"-125","1","0","854","1.75","18540005","cmn_swm_flutterKick_floatBoad","5","12","1","-850"
"-250","2","0","854","1.75","18540006","cmn_swm_flutterKick_floatBoad_blue","5","32","1","-1100"
"-125","3","0","854","1.75","18540007","cmn_swm_flutterKick_floatBoad","5","12","1","-1350"
"1","1","","854","1","18540008","","31","-850","7","-125"
"1","2","","854","1","18540009","","31","-1100","1","-250"
"1","3","","854","1","18540010","","31","-1350","7","-125"
"","1750","","854","","18540011","","2","-125","122711","10"
"","1500","","854","","18540012","","2","-250","122811","10"
"","1250","","854","","18540013","","2","-125","122911","10"
"","1750","","854","","18540014","","2","-125","1","10"
"","1500","","854","","18540015","","2","-250","2","10"
"","1250","","854","","18540016","","2","-125","3","10"
"","1750","","854","","18540017","","33","-125","1","10"
"","1500","","854","","18540018","","33","-250","2","10"
"","1250","","854","","18540019","","33","-125","3","10"
"","se_fpc_water_random","","855","","18550001","","23","","se_10053800",""
"-125","113411","0","855","1.75","18550002","cmn_swm_flutterKick_floatRing","1","13","1","-850"
"-250","113511","0","855","1.75","18550003","cmn_swm_flutterKick_floatRing","1","33","1","-1100"
"-125","1","0","855","1.75","18550004","cmn_swm_flutterKick_floatBoad","5","12","1","-850"
"-250","2","0","855","1.75","18550005","cmn_swm_flutterKick_floatBoad_blue","5","32","1","-1100"
"1","1","","855","1","18550006","","31","-850","7","-125"
"1","2","","855","1","18550007","","31","-1100","1","-250"
"","1750","","855","","18550008","","2","-125","113411","10"
"","1500","","855","","18550009","","2","-250","113511","10"
"","1750","","855","","18550010","","2","-125","1","10"
"","1500","","855","","18550011","","2","-250","2","10"
"","1750","","855","","18550012","","33","-125","1","10"
"","1500","","855","","18550013","","33","-250","2","10"
"","se_fpc_water_random","","856","","18560001","","23","","se_10053800",""
"-125","110311","0","856","1.75","18560002","cmn_swm_tread","1","13","1","-850"
"-250","107711","0","856","1.75","18560003","cmn_swm_tread","1","33","1","-1100"
"-125","1","0","856","1.75","18560004","cmn_swm_tread_pink","5","12","1","-850"
"-250","2","0","856","1.75","18560005","cmn_swm_tread","5","32","1","-1100"
"1","1","","856","1","18560006","","31","-850","13","-125"
"1","2","","856","1","18560007","","31","-1100","3","-250"
"","1750","","856","","18560008","","2","-125","110311","13.5"
"","1500","","856","","18560009","","2","-250","107711","13.5"
"","1750","","856","","18560010","","2","-125","1","13.5"
"","1500","","856","","18560011","","2","-250","2","13.5"
"","1750","","856","","18560012","","33","-125","1","13.5"
"","1500","","856","","18560013","","33","-250","2","13.5"
"","se_fpc_water_random","","857","","18570001","","23","","se_10053800",""
"-125","110411","0","857","1.75","18570002","cmn_swm_tread","1","13","1","-850"
"-250","110511","0","857","1.75","18570003","cmn_swm_tread","1","33","1","-1100"
"-125","115711","0","857","1.75","18570004","cmn_swm_tread","1","13","1","-1350"
"-250","110611","0","857","1.75","18570005","cmn_boat_relax","1","33","1","-1600"
"-125","1","0","857","1.75","18570006","cmn_swm_tread_blue","5","12","1","-850"
"-250","2","0","857","1.75","18570007","cmn_swm_tread","5","32","1","-1100"
"-125","3","0","857","1.75","18570008","cmn_swm_tread_pink","5","12","1","-1350"
"-250","4","0","857","1.75","18570009","cmn_boat_idle_l","5","32","2","-1600"
"1","1","","857","1","18570010","","31","-850","13","-125"
"1","2","","857","1","18570011","","31","-1100","3","-250"
"1","3","","857","1","18570012","","31","-1350","13","-125"
"1","4","","857","1","18570013","","31","-1600","116","-250"
"","1750","","857","","18570014","","2","-125","110411","13.5"
"","1500","","857","","18570015","","2","-250","110511","13.5"
"","1250","","857","","18570016","","2","-125","115711","13.5"
"","1000","","857","","18570017","","2","-250","110611","13.5"
"","1750","","857","","18570018","","2","-125","1","13.5"
"","1500","","857","","18570019","","2","-250","2","13.5"
"","1250","","857","","18570020","","2","-125","3","13.5"
"","1000","","857","","18570021","","2","-250","4","13.5"
"","1750","","857","","18570022","","33","-125","1","13.5"
"","1500","","857","","18570023","","33","-250","2","13.5"
"","1250","","857","","18570024","","33","-125","3","13.5"
"","1000","","857","","18570025","","33","-250","4","13.5"
"","se_fpc_water_random","","858","","18580001","","23","","se_10053800",""
"-125","126711","0","858","1.75","18580002","cmn_swm_tread","1","13","1","-850"
"-125","126711","0","858","1.75","18580003","cmn_swm_tread","1","13","1","-850"
"-250","126811","0","858","1.75","18580004","cmn_swm_tread","1","33","1","-1100"
"-125","108011","0","858","1.75","18580005","cmn_swm_tread","1","13","1","-1350"
"-250","107911","0","858","1.75","18580006","cmn_boat_cat","1","33","1","-1600"
"-125","1","0","858","1.75","18580007","cmn_swm_tread_pink","5","12","1","-850"
"-250","2","0","858","1.75","18580008","cmn_swm_tread","5","32","1","-1100"
"-125","3","0","858","1.75","18580009","cmn_swm_tread_blue","5","12","1","-1350"
"-250","4","0","858","1.75","18580010","cmn_boat_idle_l","5","32","2","-1600"
"1","1","","858","1","18580011","","31","-850","13","-125"
"1","2","","858","1","18580012","","31","-1100","3","-250"
"1","3","","858","1","18580013","","31","-1350","13","-125"
"1","4","","858","1","18580014","","31","-1600","116","-250"
"","1750","","858","","18580015","","2","-125","126711","13.5"
"","1500","","858","","18580016","","2","-250","126811","13.5"
"","1250","","858","","18580017","","2","-125","108011","13.5"
"","1000","","858","","18580018","","2","-250","107911","13.5"
"","1750","","858","","18580019","","2","-125","1","13.5"
"","1500","","858","","18580020","","2","-250","2","13.5"
"","1250","","858","","18580021","","2","-125","3","13.5"
"","1000","","858","","18580022","","2","-250","4","13.5"
"","1750","","858","","18580023","","33","-125","1","13.5"
"","1500","","858","","18580024","","33","-250","2","13.5"
"","1250","","858","","18580025","","33","-125","3","13.5"
"","1000","","858","","18580026","","33","-250","4","13.5"
"","se_fpc_water_random","","859","","18590001","","23","","se_10053800",""
"-125","113111","0","859","1.75","18590002","cmn_surfing","1","45","1","-850"
"-250","113211","0","859","1.75","18590003","cmn_surfing","1","45","1","-1100"
"-125","113311","0","859","1.75","18590004","cmn_surfing","1","45","1","-1350"
"-250","117011","0","859","1.75","18590005","cmn_surfing","1","45","1","-1600"
"-125","1","0","859","1.75","18590006","cmn_surfing","5","44","6","-850"
"-250","2","0","859","1.75","18590007","cmn_surfing","5","44","6","-1100"
"-125","3","0","859","1.75","18590008","cmn_surfing","5","44","6","-1350"
"-250","4","0","859","1.75","18590009","cmn_surfing","5","44","6","-1600"
"1","1","","859","1","18590010","","31","-850","11","-125"
"1","2","","859","1","18590011","","31","-1100","11","-250"
"1","3","","859","1","18590012","","31","-1350","11","-125"
"1","4","","859","1","18590013","","31","-1600","11","-250"
"","2350","","859","","18590014","","2","-125","113111","6"
"","2100","","859","","18590015","","2","-250","113211","6"
"","1850","","859","","18590016","","2","-125","113311","6"
"","1600","","859","","18590017","","2","-250","117011","6"
"","2350","","859","","18590018","","2","-125","1","6"
"","2100","","859","","18590019","","2","-250","2","6"
"","1850","","859","","18590020","","2","-125","3","6"
"","1600","","859","","18590021","","2","-250","4","6"
"","2350","","859","","18590022","","33","-125","1","6"
"","2100","","859","","18590023","","33","-250","2","6"
"","1850","","859","","18590024","","33","-125","3","6"
"","1600","","859","","18590025","","33","-250","4","6"
"","se_10053800_surfing_wave","","859","","18590026","","23","","se_10053800",""
"","","","859","","18590027","","93","","0.3",""
"","vo_fpc_85901","","859","","18590028","","21","","vo_fpc","0"
"","se_fpc_water_random","","860","","18600001","","23","","se_10053800",""
"-180","110011","0","860","1.75","18600002","cmn_boat_relax_l","1","23","1","-850"
"-180","110111","0","860","1.75","18600003","cmn_boat_relax","1","23","1","-1200"
"-180","1","0","860","1.75","18600004","cmn_boat_idle_blue","5","22","2","-850"
"-180","2","0","860","1.75","18600005","cmn_boat_idle_l","5","22","2","-1200"
"1","1","","860","1","18600006","","31","-850","116","-180"
"1","2","","860","1","18600007","","31","-1200","116","-180"
"","1750","","860","","18600008","","2","-180","110011","13.5"
"","1400","","860","","18600009","","2","-180","110111","13.5"
"","1750","","860","","18600010","","2","-180","1","13.5"
"","1400","","860","","18600011","","2","-180","2","13.5"
"","1750","","860","","18600012","","33","-180","1","13.5"
"","1400","","860","","18600013","","33","-180","2","13.5"
"","","","860","","18600014","","93","","2.7",""
"","vo_fpc_86001","","860","","18600015","","21","","vo_fpc","0"
"","se_fpc_water_random","","861","","18610001","","23","","se_10053800",""
"-125","129511","0","861","1.75","18610002","cmn_swm_tread","1","13","1","-850"
"-250","129411","0","861","1.75","18610003","cmn_swm_tread","1","33","1","-1100"
"-125","129311","0","861","1.75","18610004","cmn_swm_tread","1","13","1","-1350"
"-125","1","0","861","1.75","18610005","cmn_swm_tread_pink","5","12","1","-850"
"-250","2","0","861","1.75","18610006","cmn_swm_tread_blue","5","32","1","-1100"
"-125","3","0","861","1.75","18610007","cmn_swm_tread","5","12","1","-1350"
"1","1","","861","1","18610008","","31","-850","13","-125"
"1","2","","861","1","18610009","","31","-1100","3","-250"
"1","3","","861","1","18610010","","31","-1350","13","-125"
"","1750","","861","","18610011","","2","-125","129511","13.5"
"","1500","","861","","18610012","","2","-250","129411","13.5"
"","1250","","861","","18610013","","2","-125","129311","13.5"
"","1750","","861","","18610014","","2","-125","1","13.5"
"","1500","","861","","18610015","","2","-250","2","13.5"
"","1250","","861","","18610016","","2","-125","3","13.5"
"","1750","","861","","18610017","","33","-125","1","13.5"
"","1500","","861","","18610018","","33","-250","2","13.5"
"","1250","","861","","18610019","","33","-125","3","13.5"
"","se_fpc_water_random","","862","","18620001","","23","","se_10053800",""
"-125","126711","0","862","1.75","18620002","cmn_swm_tread","1","13","1","-850"
"-250","126811","0","862","1.75","18620003","cmn_swm_tread","1","33","1","-1100"
"-180","21","0","862","1.66","18620004","02_neneka_floatRing","5","22","21","-1350"
"-125","1","0","862","1.75","18620005","cmn_swm_tread","5","12","1","-850"
"-250","2","0","862","1.75","18620006","cmn_swm_tread_blue","5","32","1","-1100"
"1","1","","862","1","18620007","","31","-850","13","-125"
"1","2","","862","1","18620008","","31","-1100","3","-250"
"1","3","","862","1","18620009","","31","-1350","102","-180"
"","1750","","862","","18620010","","2","-125","126711","13.5"
"","1500","","862","","18620011","","2","-250","126811","13.5"
"","1250","","862","","18620012","","2","-180","21","13.5"
"","1750","","862","","18620013","","2","-125","1","13.5"
"","1500","","862","","18620014","","2","-250","2","13.5"
"","1750","","862","","18620015","","33","-125","1","13.5"
"","1500","","862","","18620016","","33","-250","2","13.5"
"","1250","","862","","18620017","","33","-180","3","13.5"
"","se_fpc_water_random","","863","","18630001","","23","","se_10053800",""
"-180","126911","1","863","1.75","18630002","cmn_float","1","22","1","-1100"
"-125","127011","0","863","1.75","18630003","cmn_float","1","12","1","-1350"
"-180","127111","0","863","1.75","18630004","cmn_float","1","22","1","-1600"
"1","2","","863","1","18630005","","31","-1070","6","-180"
"1","3","","863","1","18630006","","31","-1350","6","-125"
"1","4","","863","1","18630007","","31","-1600","6","-180"
"","1500","","863","","18630008","","2","-180","126911","13.5"
"","1250","","863","","18630009","","2","-125","127011","13.5"
"","1000","","863","","18630010","","2","-180","127111","13.5"
"","1530","","863","","18630011","","33","-180","2","13.5"
"","1250","","863","","18630012","","33","-125","3","13.5"
"","1000","","863","","18630013","","33","-180","4","13.5"
"","","","863","","18630014","","93","","2.3",""
"","vo_fpc_86301","","863","","18630015","","21","","vo_fpc","0"
"","se_fpc_water_random","","864","","18640001","","23","","se_10053800",""
"-125","107811","0","864","1.75","18640002","cmn_surfing","1","45","1","-850"
"-250","110011","0","864","1.75","18640003","cmn_surfing","1","45","1","-1100"
"-125","1","0","864","1.75","18640004","cmn_surfing","5","44","6","-850"
"-250","2","0","864","1.75","18640005","cmn_surfing","5","44","6","-1100"
"1","1","","864","1","18640006","","31","-850","11","-125"
"1","2","","864","1","18640007","","31","-1100","11","-250"
"","2350","","864","","18640008","","2","-125","107811","6"
"","2100","","864","","18640009","","2","-250","110011","6"
"","2350","","864","","18640010","","2","-125","1","6"
"","2100","","864","","18640011","","2","-250","2","6"
"","2350","","864","","18640012","","33","-125","1","6"
"","2100","","864","","18640013","","33","-250","2","6"
"","se_10053800_surfing_wave","","864","","18640014","","23","","se_10053800",""
"","","","864","","18640015","","93","","0.2",""
"","vo_fpc_86401","","864","","18640016","","21","","vo_fpc","0"
"","se_fpc_water_random","","865","","18650001","","23","","se_10053800",""
"-125","110311","0","865","1.75","18650002","cmn_swm_flutterKick_floatRing","1","13","1","-850"
"-250","113111","0","865","1.75","18650003","cmn_swm_flutterKick_floatRing","1","33","1","-1100"
"-125","1","0","865","1.75","18650004","cmn_swm_flutterKick_floatRing_pink","5","12","1","-850"
"-250","2","0","865","1.75","18650005","cmn_swm_flutterKick_floatRing_blue","5","32","1","-1100"
"1","1","","865","1","18650006","","31","-850","7","-125"
"1","2","","865","1","18650007","","31","-1100","1","-250"
"","1750","","865","","18650008","","2","-125","110311","10"
"","1500","","865","","18650009","","2","-250","113111","10"
"","1750","","865","","18650010","","2","-125","1","10"
"","1500","","865","","18650011","","2","-250","2","10"
"","1750","","865","","18650012","","33","-125","1","10"
"","1500","","865","","18650013","","33","-250","2","10"
"","se_fpc_water_random","","866","","18660001","","23","","se_10053800",""
"-125","113411","0","866","1.75","18660002","cmn_swm_flutterKick_floatRing","1","13","1","-850"
"-250","115711","0","866","1.75","18660003","cmn_swm_flutterKick_floatRing","1","33","1","-1100"
"-125","1","0","866","1.75","18660004","cmn_swm_flutterKick_floatRing_pink","5","12","1","-850"
"-250","2","0","866","1.75","18660005","cmn_swm_flutterKick_floatRing_blue","5","32","1","-1100"
"1","1","","866","1","18660006","","31","-850","7","-125"
"1","2","","866","1","18660007","","31","-1100","1","-250"
"","1750","","866","","18660008","","2","-125","113411","10"
"","1500","","866","","18660009","","2","-250","115711","10"
"","1750","","866","","18660010","","2","-125","1","10"
"","1500","","866","","18660011","","2","-250","2","10"
"","1750","","866","","18660012","","33","-125","1","10"
"","1500","","866","","18660013","","33","-250","2","10"
"","se_fpc_water_random","","867","","18670001","","23","","se_10053800",""
"-125","113211","0","867","1.75","18670002","cmn_swm_tread","1","13","1","-850"
"-250","127111","0","867","1.75","18670003","cmn_swm_tread","1","33","1","-1100"
"-125","1","0","867","1.75","18670004","cmn_swm_tread_pink","5","12","1","-850"
"-250","2","0","867","1.75","18670005","cmn_swm_tread_blue","5","32","1","-1100"
"1","1","","867","1","18670006","","31","-850","13","-125"
"1","2","","867","1","18670007","","31","-1100","3","-250"
"","1750","","867","","18670008","","2","-125","113211","13.5"
"","1500","","867","","18670009","","2","-250","127111","13.5"
"","1750","","867","","18670010","","2","-125","1","13.5"
"","1500","","867","","18670011","","2","-250","2","13.5"
"","1750","","867","","18670012","","33","-125","1","13.5"
"","1500","","867","","18670013","","33","-250","2","13.5"
"","se_fpc_water_random","","868","","18680001","","23","","se_10053800",""
"-125","117011","0","868","1.75","18680002","cmn_swm_diving","1","12","1","-850"
"-180","117111","0","868","1.75","18680003","cmn_swm_diving","1","22","1","-1100"
"1","1","","868","1","18680004","","31","-850","9","-125"
"1","2","","868","1","18680005","","31","-1100","9","-180"
"","1750","","868","","18680006","","2","-125","117011","13.5"
"","1500","","868","","18680007","","2","-180","117111","13.5"
"","1750","","868","","18680008","","33","-125","1","13.5"
"","1500","","868","","18680009","","33","-180","2","13.5"
"","se_fpc_water_random","","869","","18690001","","23","","se_10053800",""
"-125","110511","0","869","1.75","18690002","cmn_swm_flutterKick_floatRing","1","13","1","-850"
"-250","110011","0","869","1.75","18690003","cmn_swm_flutterKick_floatRing","1","33","1","-1100"
"-125","1","0","869","1.75","18690004","cmn_swm_flutterKick_floatBoad","5","12","1","-850"
"-250","2","0","869","1.75","18690005","cmn_swm_flutterKick_floatBoad_blue","5","32","1","-1100"
"1","1","","869","1","18690006","","31","-850","7","-125"
"1","2","","869","1","18690007","","31","-1100","1","-250"
