c45e76ca6c99da987316579082e9cc57e23c71680a346cae890e355f09cfee2b,baafe8481768d51aa3452e3d076eebfc4e83349d7235d7b513a633aa544899f4,ddf6d87b3215b19bdce21040ddf48288384ed87bf4fffa3127d98b54c93807b2,517889967efd558d7e021b9acc7595724e5dc5269ba5064c551a1f42b5f3c346,9d7c01e6f50e738f57b950b34b3bcf9ea87fbf4e9c06b7e27ee50d6cdf3d0d99,0cdf202b5246b16b38c8a0beec5beffd08635f0b238186c3bf40f65d8a69d418
"550104520","550104521","0","550104522","74004505","0"
"550105102","550105103","550105105","550105101","74005101","550105104"
"550105202","550105203","550105205","550105201","74005102","550105204"
"550105302","550105303","550105305","550105301","74005103","550105304"
"550105402","550105403","550105405","550105401","74005104","550105404"
"550105502","550105503","550105505","550105501","74005105","550105504"
"550105107","550105108","550105110","550105106","74005201","550105109"
"550105207","550105208","550105210","550105206","74005202","550105209"
"550105308","550105309","550105311","550105307","74005203","550105310"
"550105408","550105409","550105411","550105407","74005204","550105410"
"550105508","550105509","550105511","550105507","74005205","550105510"
"0","0","0","550105111","74005301","0"
"550105212","550105213","0","550105211","74005302","0"
"550105314","550105315","0","550105313","74005303","0"
"550105414","550105416","0","550105413","74005304","550105415"
"550105514","550105516","0","550105513","74005305","550105515"
"0","0","0","550105116","74005401","0"
"550105219","550105220","0","550105218","74005402","0"
"550105321","550105322","0","550105320","74005403","0"
"550105422","550105424","0","550105421","74005404","550105423"
"550105522","550105524","0","550105521","74005405","550105523"
"0","0","0","550105118","74005501","0"
"550105223","550105224","0","550105222","74005502","0"
"550105325","550105326","0","550105324","74005503","0"
"550105427","550105429","0","550105426","74005504","550105428"
"550105527","550105529","0","550105526","74005505","550105528"
"550106102","550106103","550106105","550106101","74006101","550106104"
"550106202","550106203","550106205","550106201","74006102","550106204"
"550106302","550106303","550106305","550106301","74006103","550106304"
"550106402","550106403","550106405","550106401","74006104","550106404"
"550106502","550106503","550106505","550106501","74006105","550106504"
"550106107","550106108","550106110","550106106","74006201","550106109"
"550106207","550106208","550106210","550106206","74006202","550106209"
"550106307","550106308","550106310","550106306","74006203","550106309"
"550106408","550106409","550106411","550106407","74006204","550106410"
"550106508","550106509","550106511","550106507","74006205","550106510"
"550106113","550106114","550106111","550106112","74006301","550106115"
"550106213","550106214","550106211","550106212","74006302","550106215"
"550106313","550106314","550106311","550106312","74006303","550106315"
"0","0","0","550106413","74006304","0"
"0","0","0","550106513","74006305","0"
"0","0","0","550106116","74006401","0"
"0","0","0","550106217","74006402","0"
"0","0","0","550106317","74006403","0"
"550106417","550106418","550106415","550106416","74006404","550106419"
"0","0","0","550106515","74006405","0"
"0","0","0","550106118","74006501","0"
"0","0","0","550106220","74006502","0"
"0","0","0","550106320","74006503","0"
"0","0","0","550106422","74006504","0"
"0","0","0","550106518","74006505","0"
