31665d14c43d449cf19cdceabb08cb34f7e97c38473c64fb25b2357e9a4cecfa,664278e30ac58fb8d3a8a49d35c4a4bb5db92778386d890c597037d50824d384,cb067146badaa9c8edaa3570f9b24d699e1e08ad7bc6acd3fd363ef0aa4da13b,010237b6afb11a5a8dc4d1adca31a068e42a7778c1d1e8e0786602dd8d3711d8,4a7365e714c3005b9e55133f5271508679a05e0e104591c34e0fafe73f32879f,5f2bccb61597e2154b6d5d0062b44d5d72ea5d22c075f86371ac0c71bb5648f6,c14d42cb7c453ab3b4ff6af987ba2bb179dbcafcebdd016f7fe09877c8240409,1b304cf20d81467f25ec540d5f62706c1a11c696663c324572e19f2259e7b063,ea210863044b3be18a30ab70085899211d5198357f44deb8fea24920d5993728,bd4447c433cc75fd3668e4f818c0e9d5dd4ec535ecf80c97ab870afc9b332e2f,c9a83bf30b971a2df5498b9c35932d7ee9b7d26344d979aed39893546c85525e
"10401","10401","","1","1041","","1","1010410002","-350","5","31"
"10402","10402","","1","1041","","0","1010410003","-350","5","31"
"10403","10403","","1","1041","","0","1010410004","-350","5","31"
"10001","10001","","1","1041","","0","1010410005","-525","50","31"
"1000001","1","travel_exdrama_r_104_fishingIdle","-150","1041","0","1.46","1010410006","12","-450","1"
"1000002","1","travel_exdrama_r_104_idle_B","-125","1041","0","1.46","1010410007","10","-200","1"
"1","2","travel_exdrama_r_104_fishingIdle","-150","1041","0","1.46","1010410008","11","-450","5"
"10","4","none","-150","1041","0","1","1010410009","20","-350","5"
"se_travel_finish_bridge_rare","se_travel","","","1042","","","1010420001","0","","23"
"travel_exdrama_r_104_fishingCatch","1000001","","1","1042","0.2","0.2","1010420002","0","travel_exdrama_r_104_fishingIdle","3"
"travel_exdrama_r_104_glad_B","1000002","","1","1042","0.2","0.2","1010420003","0","travel_exdrama_r_104_idle_B","3"
"travel_exdrama_r_104_fishingCatch","1","","1","1042","0.2","0.2","1010420004","0","travel_exdrama_r_104_fishingIdle","3"
"fish","10","","1","1042","0","0","1010420005","0","none","3"
"1","10402","","","1042","","","1010420006","","","32"
"0","1.25","","","1042","","","1010420007","","","93"
"0","10402","","","1042","","","1010420008","","","32"
"se_travel_finish_bridge_event","se_travel","","","1043","","","1010430001","0","","23"
"travel_exdrama_r_104_fishingBig","1000001","","1","1043","0","0","1010430002","0","travel_exdrama_r_104_fishingIdle","3"
"travel_exdrama_r_104_surprise_B","1000002","","1","1043","0","0","1010430003","0","travel_exdrama_r_104_idle_B","3"
"travel_exdrama_r_104_fishingBig","1","","1","1043","0","0","1010430004","0","travel_exdrama_r_104_fishingIdle","3"
"1","10403","","","1043","","","1010430005","","","32"
"1","10001","","","1043","","","1010430006","","","32"
"0","3","","","1043","","","1010430007","","","93"
"0","10403","","","1043","","","1010430008","","","32"
"0","10001","","","1043","","","1010430009","","","32"
"1","1000002","","","1044","","","1010440001","","","4"
"travel_exdrama_r_104_fishing_finish","1000001","","0","1044","0","0","1010440002","0","","3"
"travel_exdrama_r_finish_A_front","1000002","","0","1044","0","0","1010440003","0","","3"
"travel_exdrama_r_104_fishing_finish","1","","0","1044","0","0.2","1010440004","0","","3"
"10500","10500","","1","1051","","1","1010510001","-350","5","31"
"10501","10501","","1","1051","","0","1010510002","-350","-200","31"
"10001","10001","","1","1051","","0","1010510003","-525","50","31"
"1000001","1","travel_exdrama_r_105_netSearch","-200","1051","0","1.46","1010510004","1","-470","1"
"1000002","1","travel_exdrama_r_105_binoculars","-220","1051","0","1.46","1010510005","2","-200","1"
"1","1","travel_exdrama_r_105_netSearch","-200","1051","0","1.46","1010510006","5","-470","5"
"2","1","travel_exdrama_r_105_binoculars","-220","1051","0","1.46","1010510007","3","-200","5"
"10","3","idle","-230","1051","0","1.46","1010510008","4","-350","5"
"travel_exdrama_r_105_netFind_A","1000001","","1","1052","0.1","0.2","1010520001","0","travel_exdrama_r_105_netSearch","3"
"travel_exdrama_r_105_binocularsFind_A","1000002","","1","1052","0.2","0.2","1010520002","0","travel_exdrama_r_105_binoculars","3"
"travel_exdrama_r_105_netFind_A","1","","1","1052","0.1","0.2","1010520003","0","travel_exdrama_r_105_netSearch","3"
"travel_exdrama_r_105_binocularsFind_A","2","","1","1052","0.2","0.2","1010520004","0","travel_exdrama_r_105_binoculars","3"
"beetle","10","","1","1052","0.2","0.2","1010520005","0","idle","3"
"1","10501","","","1052","","","1010520006","","","32"
"0","1.2","","","1052","","","1010520007","","","93"
"0","10501","","","1052","","","1010520008","","","32"
"se_travel_finish_insects_event","se_travel","","","1053","","","1010530001","0","","23"
"travel_exdrama_r_105_netFind_B","1000001","","1","1053","0","0.2","1010530002","0","travel_exdrama_r_105_netSearch","3"
"travel_exdrama_r_105_binocularsFind_B","1000002","","1","1053","0","0.2","1010530003","0","travel_exdrama_r_105_binoculars","3"
"travel_exdrama_r_105_netFind_B","1","","1","1053","0","0.2","1010530004","0","travel_exdrama_r_105_netSearch","3"
"travel_exdrama_r_105_binocularsFind_B","2","","1","1053","0","0.2","1010530005","0","travel_exdrama_r_105_binoculars","3"
"butterfly","10","","1","1053","0","0.2","1010530006","0","idle","3"
"1","10501","","","1053","","","1010530007","","","32"
"1","10001","","","1053","","","1010530008","","","32"
"0","2.6","","","1053","","","1010530009","","","93"
"0","10501","","","1053","","","1010530010","","","32"
"1","10501","","","1053","","","1010530011","","","32"
"0","0.4","","","1053","","","1010530012","","","93"
"0","10501","","","1053","","","1010530013","","","32"
"0","10001","","","1053","","","1010530014","","","32"
"1","1000002","","","1054","","","1010540001","","","4"
"1","2","","","1054","","","1010540002","","","4"
"travel_exdrama_r_finish_B_hand","1000001","","0","1054","0","0","1010540003","0","","3"
"travel_exdrama_r_finish_B","1000002","","0","1054","0","0","1010540004","0","","3"
"travel_exdrama_r_105_net_finish","1","","0","1054","0","0","1010540005","0","","3"
"travel_exdrama_r_105_binoculars_finish","2","","0","1054","0","0","1010540006","0","","3"
"stop","10","","0","1054","0","0","1010540007","0","","3"
"10600","10600","","1","1061","","1","1010610001","-350","5","31"
"10601","10601","","1","1061","","0","1010610002","-350","5","31"
"10602","10602","","1","1061","","0","1010610003","-350","5","31"
"10603","10603","","1","1061","","0","1010610004","-350","5","31"
"10604","10604","","1","1061","","1","1010610005","-350","5","31"
"10605","10605","","1","1061","","1","1010610006","-350","5","31"
"10001","10001","","1","1061","","0","1010610007","-525","50","31"
"1000001","1","travel_exdrama_r_106_idle_A","-224","1061","0","1.46","1010610008","18","-497","1"
"1000002","1","travel_exdrama_r_106_idle_B","-116","1061","0","1.46","1010610009","2","-208","1"
"1","1","travel_exdrama_r_106_idle_A","-224","1061","0","1.46","1010610010","30","-497","5"
"2","1","travel_exdrama_r_000_none","-116","1061","0","1.46","1010610011","3","-208","5"
"se_travel_finish_beach_rare","se_travel","","","1062","","","1010620001","0","","23"
"travel_exdrama_r_106_rare_A","1000001","","1","1062","0.2","0","1010620002","0","travel_exdrama_r_106_idle_A","3"
"travel_exdrama_r_106_rare_B","1000002","","1","1062","0.2","0","1010620003","0","travel_exdrama_r_106_idle_B","3"
"travel_exdrama_r_106_rare_A","1","","1","1062","0.2","0","1010620004","0","travel_exdrama_r_106_idle_A","3"
"travel_exdrama_r_106_rare_B","2","","0","1062","0.2","0","1010620005","0","travel_exdrama_r_000_none","3"
"1","10603","","","1062","","","1010620006","","","32"
"0","1.2","","","1062","","","1010620007","","","93"
"0","10603","","","1062","","","1010620008","","","32"
"se_travel_finish_beach_event","se_travel","","","1063","","","1010630001","0","","23"
"travel_exdrama_r_106_memory_A","1000001","","1","1063","0","0","1010630002","0","travel_exdrama_r_106_idle_A","3"
"travel_exdrama_r_106_memory_B","1000002","","1","1063","0","0","1010630003","0","travel_exdrama_r_106_idle_B","3"
"travel_exdrama_r_106_memory_A","1","","1","1063","0","0","1010630004","0","travel_exdrama_r_106_idle_A","3"
"1","10601","","","1063","","","1010630005","","","32"
"1","10602","","","1063","","","1010630006","","","32"
"1","10001","","","1063","","","1010630007","","","32"
"0","3","","","1063","","","1010630008","","","93"
"0","10601","","","1063","","","1010630009","","","32"
"0","10602","","","1063","","","1010630010","","","32"
"0","10001","","","1063","","","1010630011","","","32"
"1","1000002","","","1064","","","1010640001","","","4"
"1","1000001","","","1064","","","1010640002","","","4"
"1","2","","","1064","","","1010640003","","","4"
"travel_exdrama_r_106_finish_A","1000001","","","1064","0","0","1010640004","0","","3"
"travel_exdrama_r_106_finish_B","1000002","","","1064","0","0","1010640005","0","","3"
"travel_exdrama_r_106_rare_A","1","","","1064","0","0","1010640006","0","","3"
"travel_exdrama_r_000_none","2","","","1064","0","0","1010640007","0","","3"
"10700","10700","","1","1071","","1","1010710001","-350","5","31"
"10701","10701","","1","1071","","1","1010710002","-350","5","31"
"10702","10702","","1","1071","","0","1010710003","-350","5","31"
"10703","10703","","1","1071","","0","1010710004","-350","5","31"
"10001","10001","","1","1071","","0","1010710005","-525","50","31"
"1000001","1","travel_exdrama_r_107_dig_A","-170","1071","0","1.46","1010710006","32","-470","1"
"1000002","1","travel_exdrama_r_107_dig_B","-170","1071","1","1.46","1010710007","30","-215","1"
"1","1","travel_exdrama_r_107_dig_A","-170","1071","0","1.46","1010710008","33","-470","5"
"10","1","travel_exdrama_r_107_dig_B","-170","1071","1","1.46","1010710009","31","-215","5"
"se_travel_finish_raredrop","se_travel","","","1072","","","1010720001","0","","23"
"travel_exdrama_r_107_joy","1000001","","1","1072","0.2","0.2","1010720002","0","travel_exdrama_r_107_dig_A","3"
"travel_exdrama_r_107_joy","1000002","","1","1072","0.2","0.2","1010720003","0","travel_exdrama_r_107_dig_B","3"
"travel_exdrama_r_107_joy","1","","1","1072","0.2","0.2","1010720004","0","travel_exdrama_r_107_dig_A","3"
"travel_exdrama_r_107_joy","10","","1","1072","0.2","0.2","1010720005","0","travel_exdrama_r_107_dig_B","3"
"0","10701","","","1072","","","1010720006","","","32"
"1","10702","","","1072","","","1010720007","","","32"
"0","1.4","","","1072","","","1010720008","","","93"
"1","10701","","","1072","","","1010720009","","","32"
"0","10702","","","1072","","","1010720010","","","32"
"se_travel_finish_memory_event","se_travel","","","1073","","","1010730001","0","","23"
"travel_exdrama_r_107_surprise_A","1000001","","1","1073","0","0.2","1010730002","0","travel_exdrama_r_107_dig_A","3"
"travel_exdrama_r_107_surprise_B","1000002","","1","1073","0","0.2","1010730003","0","travel_exdrama_r_107_dig_B","3"
"travel_exdrama_r_107_surprise_A","1","","1","1073","0","0.2","1010730004","0","travel_exdrama_r_107_dig_A","3"
"travel_exdrama_r_107_surprise_B","10","","1","1073","0","0.2","1010730005","0","travel_exdrama_r_107_dig_B","3"
"1","10703","","","1073","","","1010730006","","","32"
"1","10001","","","1073","","","1010730007","","","32"
"0","10701","","","1073","","","1010730008","","","32"
"0","3","","","1073","","","1010730009","","","93"
"0","10703","","","1073","","","1010730010","","","32"
"0","10001","","","1073","","","1010730011","","","32"
"1","10701","","","1073","","","1010730012","","","32"
"1","1000002","","","1074","","","1010740001","","","4"
"1","10","","","1074","","","1010740002","","","4"
"travel_exdrama_r_finish_B_hand","1000001","","0","1074","0","0","1010740003","0","","3"
"travel_exdrama_r_finish_B_hand","1000002","","0","1074","0","0","1010740004","0","","3"
"travel_exdrama_r_107_finish_A","1","","0","1074","0","0","1010740005","0","","3"
"travel_exdrama_r_107_finish_A","10","","0","1074","0","0","1010740006","0","","3"
"0","10701","","","1074","","","1010740007","","","32"
"10800","10800","","1","1081","","1","1010810001","-350","5","31"
"10401","10401","","1","1081","","1","1010810002","-350","5","31"
"10402","10402","","1","1081","","0","1010810003","-350","5","31"
"10403","10403","","1","1081","","0","1010810004","-350","5","31"
"10001","10001","","1","1081","","0","1010810005","-525","50","31"
"1000001","1","travel_exdrama_r_104_fishingIdle","-150","1081","0","1.46","1010810006","12","-450","1"
"1000002","1","travel_exdrama_r_104_idle_B","-125","1081","0","1.46","1010810007","10","-200","1"
"1","2","travel_exdrama_r_104_fishingIdle","-150","1081","0","1.46","1010810008","11","-450","5"
"10","4","none","-150","1081","0","1","1010810009","20","-350","5"
"se_travel_finish_bridge_rare","se_travel","","","1082","","","1010820001","0","","23"
"travel_exdrama_r_104_fishingCatch","1000001","","1","1082","0.2","0.2","1010820002","0","travel_exdrama_r_104_fishingIdle","3"
"travel_exdrama_r_104_glad_B","1000002","","1","1082","0.2","0.2","1010820003","0","travel_exdrama_r_104_idle_B","3"
"travel_exdrama_r_104_fishingCatch","1","","1","1082","0.2","0.2","1010820004","0","travel_exdrama_r_104_fishingIdle","3"
"fish","10","","1","1082","0","0","1010820005","0","none","3"
"1","10402","","","1082","","","1010820006","","","32"
"0","1.25","","","1082","","","1010820007","","","93"
"0","10402","","","1082","","","1010820008","","","32"
"se_travel_finish_bridge_event","se_travel","","","1083","","","1010830001","0","","23"
"travel_exdrama_r_104_fishingBig","1000001","","1","1083","0","0","1010830002","0","travel_exdrama_r_104_fishingIdle","3"
"travel_exdrama_r_104_surprise_B","1000002","","1","1083","0","0","1010830003","0","travel_exdrama_r_104_idle_B","3"
"travel_exdrama_r_104_fishingBig","1","","1","1083","0","0","1010830004","0","travel_exdrama_r_104_fishingIdle","3"
