5d01e74cd0447683486551fd8a5fa2da20d003896c815986e6d8af948c11abd1,b1486df4eda571fca9abb8f6945270142e4b7e44be57c8bde4ccc7f815dbe6a3,2263979595adc905c0ab7e5487769d4003b8bd0171c8658de08e154f0264aa0e,d245df6d23401138d0513c91b349300891e1fff348af72aee046548a7cf5e465,65395ca24adb72896a467d7c6a20e38d4c6de96ecee88a1800b6dcd7bf98c700,39f7e2e7b5a68ed134aa8202c0f0ef7fc090f36f8a3655afdb1ef052e675cba7,ef89a2bd04f81a566c0e503743be4a28f677a1739cefbb569fe9ff85edc4e39b,4839beeddbe70a4ef8b5ad2ef873b19184589f29ed2a2494050d5533e85bef8e
"0","1","0","1","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","1","42","52031"
"0","1","0","2","【料理】移動時可以跳過料理格","10","43","52032"
"0","1","0","1","【料理】移動時可以跳過里程格","8","44","52034"
"0","1","0","1","【料理】第1回合投擲骰子一定會丟出「12」，第2、3回合一定會丟出「1」","1","45","52036"
"0","1","0","2","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","6","46","52037"
"0","1","0","1","【料理】骰子增加成為兩個","1","47","52038"
"0","1","0","3","【料理】將「里程格」變成「商店格子」。","11","48","52039"
"0","3","0","1","取得最大n里程","99","1001","1"
"0","3","0","1","重新擲1次骰子","99","1002","2"
"0","3","0","1","重新擲1次骰子_有效回合2","99","1003","3"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","126501","11001","1001"
"0","3","0","1","【夥伴】取得最大1000里程","105301","11002","1002"
"0","3","0","1","【夥伴】取得1個料理","126401","11003","1003"
"0","3","0","1","【夥伴】重新擲1次骰子","100501","11004","1004"
"0","3","0","1","【夥伴】重新擲2次骰子","101301","11005","1005"
"0","3","0","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","104301","11006","1006"
"0","3","0","1","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","102701","11007","1007"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","100901","11008","1008"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","105101","11009","1009"
"0","3","0","1","【夥伴】取得最大1000里程","101801","11010","1010"
"0","3","0","1","【夥伴】可以選擇使用骰子的正面或背面","129701","11011","1011"
"0","3","0","1","【夥伴】重新擲1次骰子","101601","11012","1012"
"0","3","0","1","【夥伴】重新擲2次骰子","105601","11013","1013"
"0","3","0","1","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","102001","11014","1014"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","129601","11015","1015"
"0","3","0","1","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","100401","11016","1016"
"0","3","0","1","【夥伴】骰子擲出偶數時，多前進1格。","127701","11017","1017"
"0","3","0","1","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","127801","11018","1018"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","104801","11019","1019"
"0","3","0","1","【夥伴】重新擲2次骰子","104701","11020","1020"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","105001","11021","1021"
"0","3","0","1","【夥伴】取得最大2000里程","103201","11022","1022"
"0","3","0","1","【夥伴】取得1張抽獎券","130901","11023","1023"
"0","3","0","1","【夥伴】取得1個料理","102501","11024","1024"
"0","3","0","1","【夥伴】可以選擇使用骰子的正面或背面","100801","11025","1025"
"0","3","0","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","123301","11026","1026"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","104601","11027","1027"
"0","3","0","1","【夥伴】重新擲2次骰子","118101","11028","1028"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","103401","11029","1029"
"0","3","0","1","【夥伴】取得最大2000里程","118001","11030","1030"
"0","3","0","1","【夥伴】取得1張抽獎券","102801","11031","1031"
"0","3","0","1","【夥伴】取得1個料理","100201","11032","1032"
"0","3","0","1","【夥伴】骰子擲出奇數時，多前進1格。","101201","11033","1033"
"0","3","0","1","【夥伴】重新擲1次骰子","118201","11034","1034"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","106101","11035","1035"
"0","3","0","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","103101","11036","1036"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","103301","11037","1037"
"0","3","0","1","【夥伴】取得最大2000里程","103601","11038","1038"
"0","3","0","1","【夥伴】取得1張抽獎券","133001","11039","1039"
"0","3","0","1","【夥伴】取得1個料理","133101","11040","1040"
"0","3","0","1","【夥伴】可以選擇使用骰子的正面或背面","106801","11041","1041"
"0","3","0","1","【夥伴】重新擲1次骰子","107101","11042","1042"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","107001","11043","1043"
"0","3","0","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","106501","11044","1044"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","111001","11045","1045"
"0","3","0","1","【夥伴】取得最大2000里程","134901","11046","1046"
"0","3","0","1","【夥伴】取得1張抽獎券","105401","11047","1047"
"0","3","0","1","【夥伴】取得1個料理","134701","11048","1048"
"0","3","0","1","【夥伴】可以選擇使用骰子的正面或背面","100101","11049","1049"
"0","3","0","1","【夥伴】重新擲1次骰子","100701","11050","1050"
"0","3","0","1","【夥伴】追加投擲骰子直到數字合計為7以上","103001","11051","1051"
"0","3","0","1","【夥伴】骰子擲出偶數時，多前進1格。","101401","11052","1052"
"0","3","0","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","135901","11053","1053"
"0","3","0","1","【夥伴】取得最大2000里程","102601","11054","1054"
"0","3","0","1","【夥伴】取得1張抽獎券","132401","11055","1055"
"0","3","0","1","【夥伴】取得1個料理","135801","11056","1056"
