a6f6749b39a23a680d38c38f879208b1b9dabd9f1b6046452c917423886ea435,80f8898bf03e39662acc58e261e095d35c61900b772d65207cd49ed529156f7a,0e76955cc87de5aaec4d3f86ba4e19d927fee0bc9d5b22aab76bf6b54be2384b,faab27e9e6bb46fe78b7ff175cec63d0b802efe6fe3e8eb392e2a21275bb604e,d42c4a50b276efc0b38517d6205fe4eea3c833176f42847a8d014973ceaf36f7,6794aefb2305f766cf232a8bad79b260f07baf46d0682f31c1e6be6d45c21197,3e8f6e15640c5864cbc95d6d76058fc72f6d59ad2e9e2e37ed965d2f1b72452a,2a9565fb777ef94056230b8b700b0e9abf71602a8d1c2ec578252e029d1f5a2a,6fffcae6b98b9e281c19378cd156ac9fbbdb6438888c127f10883ebcbc3a31c7,1c25f97951618de8eda5936866e785028b31249ccd692dab1ba135107b7b0022,5004a85e0aa7660dbd726d92e2f993ef8c3bd2f8b43c17c6e3d36ff7b5868c07,8edb1adad4938c66275d89142f6ef3b3ef8984870db1c1c96ae9717fe173f056,0b7ace57e7dac5254c2ecdddcbd23266551cc8986a239f3797e166259f12e50c,de9ea4eca4b27bd3f67dcddb64563e404c4b805b2a42859b5b1abfe4ffe02eab,129863e992683bd7db83bfd6ff595275383abf96ca553ae68c3869dad3677186,bf1d2125d48526be574984b34fb5937737665f0e1267dfe813af1c23b642b266,187ed8f82ffcdb7093fcd00cf2b27c0671bdebea9bfda812fe9b23d29fcc2626,f6f046b7c7cc95fc4ca47d8a2445bd98aacb81280266b3f27f598f96c81d7d71,fdd7fbbd3b0de680a1b2067683e85eb471026438185c8bcdd8a85c9db6dc4127,e407c23573727ab3ccfe294af2ff2dd9540b10c2af3458457c49f006a70f94cb,2074c67516a3ac5ae4bbde63aef443e886b7f6159e28f3164fb1b97c14242e2b,11cb58959152e48e857e9d06cef326cbe1c82f9d13d9669a675aa4c4b72f3321
"5","1003","0","101042","210","101042","450","1","-50","1.8","1.35","-30","1.1","1","1","5","0","0","150","-55","10030105","bgm_M55"
"1","1004","10","101161","210","101161","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10040101","bgm_M64"
"2","1004","10","101161","200","101161","-260","1","0","1.2","1","-30","0.75","1","1","2","0","0","0","-120","10040102","bgm_M64"
"3","1004","0","101161","200","101161","-20","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","100","55","10040103","bgm_M64"
"4","1004","0","101161","200","101161","180","1","-30","1.3","1","-30","0.9","1","1","4","0","0","0","-30","10040104","bgm_M64"
"5","1004","0","101162","250","101162","470","1","-50","1.2","0.9","-30","0.9","1","1","5","-30","-40","200","-60","10040105","bgm_M55"
"1","1005","10","101161","210","101171","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10050101","bgm_M64"
"2","1005","10","101161","200","101171","-260","1","0","1.2","1","-30","0.75","1","1","2","0","0","0","-120","10050102","bgm_M64"
"3","1005","0","101161","200","101171","-20","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","100","45","10050103","bgm_M64"
"4","1005","0","101161","200","101171","190","1","0","1","1","-30","0.7","1","1","4","0","0","0","-70","10050104","bgm_M64"
"5","1005","0","101162","240","101172","445","1","-30","1.3","1","-30","1","1","1","5","0","-40","200","-25","10050105","bgm_M55"
"1","1006","10","101161","210","101191","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10060101","bgm_M64"
"2","1006","10","101161","200","101191","-260","1","0","1.2","1","-30","0.75","1","1","2","0","0","0","-100","10060102","bgm_M64"
"3","1006","0","101161","200","101191","-10","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10060103","bgm_M64"
"4","1006","0","101161","200","101191","190","1","0","1.2","1","-30","0.8","1","1","4","0","0","0","-110","10060104","bgm_M64"
"5","1006","-10","101162","280","101192","485","1","-50","1.15","1","-30","0.9","1","1","5","-45","0","270","-70","10060105","bgm_M55"
"1","1007","10","101161","210","101201","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10070101","bgm_M64"
"2","1007","10","101161","240","101201","-260","1","0","1.2","1","-30","0.9","1","1","2","0","0","120","-120","10070102","bgm_M64"
"3","1007","0","101161","200","101201","-10","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10070103","bgm_M64"
"4","1007","0","101161","200","101201","190","1","0","1.2","1","-30","0.9","1","1","4","0","0","100","-110","10070104","bgm_M64"
"5","1007","10","101162","250","101202","475","1","-50","1.45","1","-30","1","1","1","5","-45","-20","270","-30","10070105","bgm_M55"
"1","1008","10","101161","210","101291","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10080101","bgm_M64"
"2","1008","10","101161","240","101291","-260","1","0","1.2","1","-30","0.9","1","1","2","0","0","120","-120","10080102","bgm_M64"
"3","1008","0","101161","200","101291","-40","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10080103","bgm_M64"
"4","1008","0","101161","200","101291","150","1","0","1.3","1.3","-30","0.9","1","1","4","0","0","100","-110","10080104","bgm_M64"
"5","1008","30","101162","230","101292","490","1","15","1.45","1.3","-30","1.1","1","1","5","30","-20","45","-15","10080105","bgm_M55"
"1","1009","10","101161","210","101301","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10090101","bgm_M64"
"2","1009","10","101161","200","101301","-260","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-120","10090102","bgm_M64"
"3","1009","0","101161","200","101301","-50","1","0","2.3","2.2","-30","1.55","1","1","3","-10","-15","100","100","10090103","bgm_M64"
"4","1009","0","101161","200","101301","180","1","15","1.3","1.3","-30","1","1","1","4","0","0","100","-100","10090104","bgm_M64"
"5","1009","10","101162","270","101302","470","1","-15","1.2","1.1","-30","1","1","1","5","-30","-20","200","-55","10090105","bgm_M55"
"1","1010","10","101161","210","101441","-450","1","-25","1","0.9","-30","0.575","1","1","1","-30","0","170","-130","10100101","bgm_M64"
"2","1010","10","101161","200","101441","-250","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-120","10100102","bgm_M64"
"3","1010","0","101161","200","101441","-10","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","50","10100103","bgm_M64"
"4","1010","0","101161","200","101441","180","1","-30","1.3","1","-30","0.9","1","1","4","0","0","0","-100","10100104","bgm_M64"
"5","1010","10","101162","270","101442","470","1","-35","1.2","1.1","-30","0.95","1","1","5","-30","-20","200","-70","10100105","bgm_M55"
"1","1011","10","101451","210","101451","-450","1","-25","1","0.9","-30","0.575","1","1","1","-30","0","170","-130","10110101","bgm_M64"
"2","1011","10","101451","200","101451","-250","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-120","10110102","bgm_M64"
"3","1011","0","101451","200","101451","-20","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","100","50","10110103","bgm_M64"
"4","1011","0","101451","220","101451","200","1","20","0.9","0.8","-30","0.65","1","1","4","0","0","100","-100","10110104","bgm_M64"
"5","1011","0","101452","290","101452","510","1","-35","1.55","1.4","-30","1.25","1","1","5","-50","0","200","-70","10110105","bgm_M55"
"1","1012","10","101451","210","101561","-450","1","-25","1","0.9","-30","0.575","1","1","1","-30","0","170","-130","10120101","bgm_M64"
"2","1012","0","101451","240","101561","-240","1","0","1.2","1","-30","0.9","1","1","2","0","0","120","-120","10120102","bgm_M64"
"3","1012","5","101451","200","101561","-30","1","0","0.9","0.8","-30","0.6","1","1","3","-10","-5","100","60","10120103","bgm_M64"
"4","1012","0","101451","200","101561","180","1","-30","1.5","1.2","-30","0.9","1","1","4","0","0","100","-100","10120104","bgm_M64"
"5","1012","0","101452","290","101562","460","1","-60","1.55","1.35","-30","1.25","1","1","5","-50","0","400","-70","10120105","bgm_M55"
"1","1013","10","101001","210","101001","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10130101","bgm_M64"
"2","1013","10","101001","200","101001","-260","1","0","1.2","1","-30","0.75","1","1","2","0","0","0","-120","10130102","bgm_M64"
"3","1013","0","101001","200","101001","-40","1","0","1.1","1","-30","0.7","1","1","3","-10","-13","100","0","10130103","bgm_M64"
"4","1013","0","101001","200","101001","240","1","0","1.2","1","-30","0.7","1","1","4","0","0","0","-50","10130104","bgm_M64"
"5","1013","0","101011","250","101011","480","1","0","1.3","1","-30","1.2","1","1","5","0","0","200","-40","10130105","bgm_M55"
"1","1014","10","101041","210","101041","-450","1","-25","1","0.9","-30","0.575","1","1","1","-30","0","170","-130","10140101","bgm_M64"
"2","1014","10","101041","200","101041","-250","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-120","10140102","bgm_M64"
"3","1014","0","101041","200","101041","-50","1","0","2.3","2.2","-30","1.55","1","1","3","-10","-15","100","100","10140103","bgm_M64"
"4","1014","0","101041","200","101041","190","1","0","1","1","-30","0.7","1","1","4","0","0","0","-70","10140104","bgm_M64"
"5","1014","0","101042","250","101042","440","1","0","1.8","1.6","-30","1.4","1","1","5","0","0","200","0","10140105","bgm_M55"
"1","1015","10","101161","210","101041","-470","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-125","10150101","bgm_M64"
"2","1015","10","101161","200","101041","-210","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-95","10150102","bgm_M64"
"3","1015","0","101161","200","101041","50","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","100","-120","10150103","bgm_M64"
"4","1015","0","101162","200","101041","195","1","43","1","1","-30","0.7","1","1","4","0","0","150","35","10150104","bgm_M64"
"5","1015","0","101161","210","101042","450","1","-50","1.8","1.35","-30","1.1","1","1","5","0","0","150","-55","10150105","bgm_M55"
"1","1016","10","101451","210","101161","-480","1","0","0.8","0.85","-30","0.6","1","1","1","0","0","250","-120","10160101","bgm_M64"
"2","1016","10","101451","200","101161","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","0","-100","10160102","bgm_M64"
"3","1016","0","101451","200","101161","-10","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10160103","bgm_M64"
"4","1016","0","101451","200","101161","190","1","0","1","0.85","-30","0.8","1","1","4","0","0","0","-110","10160104","bgm_M64"
"5","1016","-10","101452","280","101162","485","1","-50","1.15","1","-30","0.9","1","1","5","-45","0","270","-70","10160105","bgm_M55"
"1","1017","10","101171","210","101171","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10170101","bgm_M64"
"2","1017","10","101171","240","101171","-260","1","0","1","0.7","-30","0.6","1","1","2","0","0","0","-120","10170102","bgm_M64"
"3","1017","0","101171","200","101171","-10","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","0","65","10170103","bgm_M64"
"4","1017","0","101171","200","101171","190","1","-30","1.3","1","-30","0.9","1","1","4","0","0","100","-110","10170104","bgm_M64"
"5","1017","10","101172","250","101172","475","1","-50","1.45","1","-30","1","1","1","5","0","-20","270","-30","10170105","bgm_M55"
"1","1018","10","101171","210","101191","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","100","-120","10180101","bgm_M64"
"2","1018","10","101171","200","101191","-260","1","0","1.2","1","-30","0.75","1","1","2","0","0","100","-100","10180102","bgm_M64"
"3","1018","5","101171","200","101191","-10","1","0","0.9","0.8","-30","0.6","1","1","3","-10","-5","100","65","10180103","bgm_M64"
"4","1018","0","101171","200","101191","190","1","0","1.2","1","-30","0.9","1","1","4","0","-30","100","-110","10180104","bgm_M64"
"5","1018","-10","101172","280","101192","485","1","-50","1.3","1","-30","1.1","1","1","5","-45","0","100","-70","10180105","bgm_M55"
"1","1019","10","101161","210","101201","-480","1","0","0.8","0.85","-30","0.6","1","1","1","0","0","100","-120","10190101","bgm_M64"
"2","1019","10","101161","240","101201","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10190102","bgm_M64"
"3","1019","0","101161","200","101201","-10","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10190103","bgm_M64"
"4","1019","0","101161","200","101201","190","1","43","1","1","-30","0.7","1","1","4","0","0","100","-110","10190104","bgm_M64"
"5","1019","10","101162","250","101202","475","1","-50","1.45","1","-30","1","1","1","5","-45","-20","100","-30","10190105","bgm_M55"
"1","1020","10","101161","210","101291","-480","1","0","0.8","0.85","-30","0.6","1","1","1","0","0","100","-120","10200101","bgm_M64"
"2","1020","10","101161","240","101291","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10200102","bgm_M64"
"3","1020","0","101161","200","101291","-40","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10200103","bgm_M64"
"4","1020","0","101161","200","101291","150","1","-30","1.5","1","-30","0.8","1","1","4","0","0","100","-110","10200104","bgm_M64"
"5","1020","30","101162","230","101292","490","1","15","1.45","1","-30","1.1","1","1","5","30","-20","100","-15","10200105","bgm_M55"
"1","1021","10","101161","210","101301","-480","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-120","10210101","bgm_M64"
"2","1021","10","101161","200","101301","-260","1","0","1.2","1","-30","0.9","1","1","2","0","0","100","-120","10210102","bgm_M64"
"3","1021","-10","101161","200","101301","-50","1","-30","1.4","1","-30","0.93","1","1","3","-10","0","100","100","10210103","bgm_M64"
"4","1021","0","101161","200","101301","180","1","15","1.3","1.3","-30","0.9","1","1","4","0","0","100","-100","10210104","bgm_M64"
"5","1021","10","101162","270","101302","470","1","-15","1.2","1.1","-30","1","1","1","5","-30","-20","100","-55","10210105","bgm_M55"
"1","1022","10","101161","210","101441","-450","1","0","0.8","0.85","-30","0.575","1","1","1","0","0","100","-130","10220101","bgm_M64"
"2","1022","10","101161","200","101441","-250","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10220102","bgm_M64"
"3","1022","0","101161","200","101441","-10","1","0","1.2","1.1","-30","0.8","1","1","3","-10","-15","100","50","10220103","bgm_M64"
"4","1022","0","101161","200","101441","180","1","15","1.3","1.3","-30","0.9","1","1","4","0","0","100","-100","10220104","bgm_M64"
"5","1022","10","101162","230","101442","470","1","-35","1.2","1.1","-30","0.95","1","1","5","-30","-20","100","-70","10220105","bgm_M55"
"1","1023","10","101451","210","101451","-450","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-130","10230101","bgm_M64"
"2","1023","10","101451","200","101451","-250","1","0","1.2","1","-30","0.9","1","1","2","0","0","100","-120","10230102","bgm_M64"
"3","1023","0","101451","200","101451","-20","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","100","50","10230103","bgm_M64"
"4","1023","0","101451","200","101451","200","1","0","1","0.85","-30","0.8","1","1","4","0","0","100","-100","10230104","bgm_M64"
"5","1023","0","101452","290","101452","510","1","-35","1.55","1.4","-30","1.25","1","1","5","-50","0","100","-70","10230105","bgm_M55"
"1","1024","10","101451","210","101561","-450","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-130","10240101","bgm_M64"
"2","1024","0","101451","240","101561","-240","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10240102","bgm_M64"
"3","1024","5","101451","200","101561","-30","1","0","1.1","1","-30","0.65","1","1","3","-10","-5","100","60","10240103","bgm_M64"
"4","1024","0","101451","200","101561","180","1","0","1.2","1","-30","0.7","1","1","4","0","0","100","-100","10240104","bgm_M64"
"5","1024","0","101452","290","101562","460","1","-60","1.55","1.35","-30","1.25","1","1","5","-50","0","400","-70","10240105","bgm_M55"
"1","1025","10","101451","210","101001","-480","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-120","10250101","bgm_M64"
"2","1025","10","101451","200","101001","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10250102","bgm_M64"
"3","1025","0","101451","200","101001","-40","1","0","0.9","0.8","-30","0.6","1","1","3","-10","-13","100","0","10250103","bgm_M64"
"4","1025","0","101451","200","101001","240","1","-30","1.5","1","-30","0.8","1","1","4","0","0","100","-50","10250104","bgm_M64"
"5","1025","0","101452","250","101011","480","1","0","1.3","1","-30","1.2","1","1","5","0","0","100","-40","10250105","bgm_M55"
"1","1026","10","101021","210","101021","-450","1","-25","1","0.9","-30","0.575","1","1","1","-30","0","170","-130","10260101","bgm_M64"
"2","1026","10","101021","200","101021","-250","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-120","10260102","bgm_M64"
"3","1026","0","101021","200","101021","-50","1","0","2.3","2.2","-30","1.55","1","1","3","-10","-15","100","100","10260103","bgm_M64"
"4","1026","0","101021","200","101021","190","1","43","1","1","-30","0.7","1","1","4","0","0","150","-70","10260104","bgm_M64"
"5","1026","0","101031","220","101031","440","1","0","1.8","1.6","-30","1.4","1","1","5","0","0","200","0","10260105","bgm_M55"
"1","1027","10","101161","210","101041","-470","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-125","10270101","bgm_M64"
"2","1027","10","101161","200","101041","-210","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-95","10270102","bgm_M64"
"3","1027","10","101161","200","101041","50","1","-10","1.2","1","-30","0.75","1","1","3","-10","-15","100","-120","10270103","bgm_M64"
"4","1027","0","101162","200","101041","195","1","20","1.1","1","-30","0.7","1","1","4","0","0","100","35","10270104","bgm_M64"
"5","1027","0","101161","210","101042","450","1","-50","1.8","1.35","-30","1.1","1","1.3","5","0","0","150","-55","10270105","bgm_M55"
"1","1028","10","101161","210","101161","-480","1","0","0.8","0.85","-30","0.6","1","1","1","0","0","250","-120","10280101","bgm_M64"
"2","1028","10","101161","200","101161","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","0","-100","10280102","bgm_M64"
"3","1028","5","101161","200","101161","-10","1","0","1.1","1","-30","0.65","1","1","3","-10","-5","100","65","10280103","bgm_M64"
"4","1028","0","101161","200","101161","190","1","0","1.35","1.3","-30","0.9","1","1","4","0","0","100","-110","10280104","bgm_M64"
"5","1028","-10","101162","280","101162","485","1","-50","1.15","1","-30","0.9","1","1.3","5","-45","-40","270","-70","10280105","bgm_M55"
"1","1029","10","101171","210","101171","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","250","-120","10290101","bgm_M64"
"2","1029","10","101171","240","101171","-260","1","0","1","0.7","-30","0.6","1","1","2","0","0","0","-120","10290102","bgm_M64"
"3","1029","0","101171","200","101171","-10","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","0","65","10290103","bgm_M64"
"4","1029","0","101171","200","101171","190","1","-30","1.3","1","-30","0.9","1","1","4","0","0","100","-110","10290104","bgm_M64"
"5","1029","10","101172","250","101172","475","1","-50","1.45","1","-30","1","1","1","5","0","-20","270","-30","10290105","bgm_M55"
"1","1030","10","101171","210","101191","-480","1","0","0.8","0.7","-30","0.6","1","1","1","-30","0","100","-120","10300101","bgm_M64"
"2","1030","10","101171","200","101191","-260","1","0","1.2","1","-30","0.8","1","1","2","0","0","100","-100","10300102","bgm_M64"
"3","1030","5","101171","200","101191","-10","1","0","0.9","0.8","-30","0.6","1","1","3","-10","-5","100","65","10300103","bgm_M64"
"4","1030","0","101171","200","101191","190","1","0","1.2","1","-30","0.9","1","1","4","0","0","100","-110","10300104","bgm_M64"
"5","1030","-10","101172","280","101192","485","1","-50","1.3","1","-30","1.1","1.2","1","5","-45","0","200","-70","10300105","bgm_M55"
"1","1031","10","101161","210","101201","-480","1","0","0.8","0.85","-30","0.6","1","1","1","0","0","100","-120","10310101","bgm_M64"
"2","1031","10","101161","240","101201","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10310102","bgm_M64"
"3","1031","0","101161","200","101201","-10","1","0","1.1","1","-30","0.8","1","1","3","-10","-15","100","65","10310103","bgm_M64"
"4","1031","0","101161","200","101201","190","1","43","1","1","-30","0.7","1","1","4","0","0","100","-110","10310104","bgm_M64"
"5","1031","10","101162","250","101202","475","1","-50","1.45","1","-30","1","1","1","5","-45","-20","100","-30","10310105","bgm_M55"
"1","1032","10","101291","210","101291","-480","1","0","0.8","0.85","-30","0.6","1","1","1","0","0","100","-120","10320101","bgm_M64"
"2","1032","10","101291","240","101291","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10320102","bgm_M64"
"3","1032","0","101291","200","101291","-40","1","0","1.3","1","-30","0.9","1","1","3","-10","-15","100","65","10320103","bgm_M64"
"4","1032","0","101291","200","101291","150","1","-30","1.3","1","-30","0.8","1","1","4","0","0","100","-110","10320104","bgm_M64"
"5","1032","30","101292","230","101292","490","1","15","1.45","1","-30","1.1","1","1","5","30","-20","100","-15","10320105","bgm_M55"
"1","1033","10","101301","210","101301","-480","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-120","10330101","bgm_M64"
"2","1033","10","101301","200","101301","-260","1","0","1.2","1","-30","0.9","1","1","2","0","0","100","-120","10330102","bgm_M64"
"3","1033","-10","101301","200","101301","-50","1","-30","1.4","1","-30","0.93","1","1","3","-10","0","200","100","10330103","bgm_M64"
"4","1033","0","101301","200","101301","100","1","15","1.3","1","-30","0.9","1","1","4","0","0","100","-100","10330104","bgm_M64"
"5","1033","10","101302","270","101302","470","1","-15","1.2","1.1","-30","1","1","1","5","-30","-20","100","-55","10330105","bgm_M55"
"1","1034","10","101161","210","101441","-450","1","0","0.8","0.85","-30","0.575","1","1","1","0","0","100","-130","10340101","bgm_M64"
"2","1034","10","101161","200","101441","-250","1","0","1","0.7","-30","0.75","1","1","2","0","0","200","-120","10340102","bgm_M64"
"3","1034","0","101161","200","101441","-10","1","0","1.2","1.1","-30","0.8","1","1","3","-10","-15","100","50","10340103","bgm_M64"
"4","1034","0","101161","200","101441","180","1","43","1","1","-30","0.9","1","1","4","0","0","150","-100","10340104","bgm_M64"
"5","1034","10","101162","230","101442","470","1","-35","1.2","1.1","-30","0.95","1","1","5","-30","-20","100","-70","10340105","bgm_M55"
"1","1035","10","101451","210","101451","-450","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-130","10350101","bgm_M64"
"2","1035","10","101451","200","101451","-250","1","0","1.2","1","-30","0.9","1","1","2","0","0","100","-120","10350102","bgm_M64"
"3","1035","0","101451","200","101451","-20","1","-30","1.4","1","-30","0.9","1","1","3","-10","-15","100","50","10350103","bgm_M64"
"4","1035","0","101451","200","101451","200","1","0","1","0.85","-30","0.8","1","1","4","0","0","100","-100","10350104","bgm_M64"
"5","1035","0","101452","290","101452","510","1","-35","1.55","1.4","-30","1.25","1.2","1","5","-50","0","100","-70","10350105","bgm_M55"
"1","1036","10","101451","210","101561","-450","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-130","10360101","bgm_M64"
"2","1036","0","101451","240","101561","-240","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10360102","bgm_M64"
"3","1036","5","101451","200","101561","-30","1","0","1.1","1","-30","0.65","1","1","3","-10","-5","100","60","10360103","bgm_M64"
"4","1036","0","101451","200","101561","180","1","0","1.2","1","-30","1.1","1","1","4","0","0","100","-100","10360104","bgm_M64"
"5","1036","0","101452","290","101562","460","1","-60","1.55","1.35","-30","1.25","1.4","1","5","-50","0","400","-70","10360105","bgm_M55"
"1","1037","10","101451","210","101001","-480","1","0","0.8","0.7","-30","0.58","1","1","1","-30","0","100","-120","10370101","bgm_M64"
"2","1037","10","101451","200","101001","-260","1","0","1.2","1.1","-30","0.75","1","1","2","0","0","100","-120","10370102","bgm_M64"
"3","1037","0","101451","200","101001","-40","1","-50","0.9","0.55","-30","0.6","1.4","1","3","-60","-13","150","0","10370103","bgm_M64"
"4","1037","0","101451","200","101001","240","1","-30","1.3","1","-30","0.8","1","1","4","0","0","100","-50","10370104","bgm_M64"
"5","1037","0","101452","250","101011","480","1","0","1.3","1","-30","1.2","1.2","1","5","0","0","100","-40","10370105","bgm_M55"
"1","1038","10","101021","210","101021","-450","1","-25","1","0.9","-30","0.575","1","1","1","-30","0","170","-110","10380101","bgm_M64"
"2","1038","10","101021","200","101021","-250","1","0","1.2","1","-30","0.75","1","1","2","0","0","120","-120","10380102","bgm_M64"
"3","1038","0","101021","200","101021","-50","1","0","1.2","1.1","-30","0.8","1","1","3","-10","-15","100","100","10380103","bgm_M64"
