80efc855cfa81ce46ca4367793979e9a8597032f1b6e85da4b3c0e602b97b6dd,3c5698c9fc7a672b8845ca21c3a8d629a0c968f7e981bdec714159b8cae783ba,89aef5f60d3ec65a464e2445a2b2089fab9c0a013513ab7f913eeec86e216354,f7e05f409f68458886eeb73f09f57138a64208b76c6d487d49982c3dbda3238a,cdd68e9330cdf778afa6f0fdbb90f3fdfdb8d1081cd6cee057e117d9089bce2b,15411fd7ff230de5793e561d7261266281f258a7634a30392912ca555c2b6ce5,1fab2c0dd8f84d381b6bdb26795833f83721979989e9ae90064e923a1df5f597,cb772b3c347d47f9505288105cdc7ee784b0e21114356daf36a7b69a612b5213,b69f44529fa90bfdb6b28304cf41d2d78849f79bad73b296a8f6233585f75a8f,fa5ac5e56833d8085a827e54318cd55f039513fe21538cb372146888a2d3d58e,0ce104cef21ef9a4be5c49257ae18f48e27a65c626bad93700f24dda80e07efd,57992d11818a6dabc8d565fa9f7dcc93947dfd1e0ec8993b5fd877c5b2cbfbc7
"7","1","0","320","23","0","5154065","1","515406523","0","0","0"
"0","0","0","0","24","1","5154065","4","515406524","1","0","0"
"0","0","vo_abd_0409","0","25","0","5154065","2","515406525","0","0","vo_abd"
"7","1","0","320","26","0","5154065","1","515406526","0","320","0"
"0","0","0","0","27","2","5154065","4","515406527","1","0","0"
"0","0","vo_abd_0410","0","28","0","5154065","2","515406528","0","0","vo_abd"
"8","0.2","0","70","29","0","5154065","1","515406529","0","0","0"
"0","0","0","0","30","0.7","5154065","4","515406530","1","0","0"
"8","1.5","0","350","31","0","5154065","1","515406531","0","70","0"
"0","0","0","0","32","2.5","5154065","4","515406532","1","0","0"
"0","0","vo_abd_0411","0","33","0","5154065","2","515406533","0","0","vo_abd"
"9","0.2","0","75","34","0","5154065","1","515406534","0","0","0"
"0","0","0","0","35","1.08","5154065","4","515406535","1","0","0"
"9","0.3","0","340","36","0","5154065","1","515406536","0","75","0"
"0","0","0","0","37","0.9","5154065","4","515406537","1","0","0"
"10","1.5","0","200","38","0","5154065","1","515406538","0","0","0"
