cf58c974364e553b0671be6899655a8be67cb84aff4f2769031196fae2487451,f4af796bf9e61ff566b32b0c8e273aaab8a17a2a55da8d1164a4edcb228e3d26,23bd4398d800e039e97f831da321438405b4d50f6218be69d94ad182fd82b2f7,cbc31c14308c9c65bb3b3f32b17db9085d6e82a238a799afadb89d414f7e62ec,33bd90564e68ab701c841f69c8816b01087a8e21be295aba0b35f3ddcda18df9,11cd91f6369c00b532204a53400f3959c1a69fc7b5d6eb92ea4787ef5729065c,67cad1b671912634d7013509349fd4941ed66d9e253e15a3bd34a343a800b976,2b0a68feea7e7c820ac25b7af5e21a0f5f3a0ebe807834b39cca264f9d161a54,e40213f338e6d08f8423d564609f36f088f3175fd2121ec68ee0d67c38d3031b,cc5a226c11a2f112a93422918853667e12983b53e5d141e079f379bef4047067,ee257ee2c6d560666effefaac7b9737a2b8359a7e548de5ea8840ce433335176
"","","","","","91","","2","2021","2024",""
"","0","","","","22","","2","0","2025",""
"","psy_miyako_idle_thinking","","1","","3","","2","119931","2026","0.2"
"","psy_talk_surprise2","","1","","3","","2","106011","2027","0.2"
"","vo_minigame_1008_drama_0307","0","0","","21","","2","vo_minigame_1008","2028",""
"0","呀啊！？\n妳突然冒出來是幹什麼呀！","1","6","0.5","11","0","2","106011","2029","0"
"","","","","","91","","2","0","2030",""
"","psy_idle_surprise2","","1","","3","","2","106011","2031","0.2"
"","psy_miyako_anger1","","1","","3","","2","119931","2032","0.2"
"","vo_minigame_1008_drama_0302","0","0","","21","","2","vo_minigame_1008","2033",""
"0","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","1","4","1","11","0","2","119931","2034","0"
"","1","","","","93","","2","8","2035",""
"","psy_miyako_thinking2","","1","","3","","2","119931","2036","0.2"
"","","","","","91","","2","2034","2037",""
"","0","","","","22","","2","0","2038",""
"","psy_talk_sad","","1","","3","","2","106011","2039","0.2"
"","vo_minigame_1008_drama_0308","0","0","","21","","2","vo_minigame_1008","2040",""
"0","幹、幹什麼……","1","9","0.5","11","0","2","106011","2041","0"
"","","","","","91","","2","0","2042",""
"","psy_idle_sad","","1","","3","","2","106011","2043","0.2"
"","psy_miyako_run","","1","","3","","2","119931","2044","0.2"
"0","0","2","-200","","2","","2","119931","2045",""
"","","","","","93","","2","2","2046",""
"","psy_miyako_thinking2","","1","","3","","2","119931","2047","0.2"
"","vo_minigame_1008_drama_0303","0","0","","21","","2","vo_minigame_1008","2048",""
"0","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","1","5","1","11","0","2","119931","2049","0"
"","","","","","91","","2","0","2050",""
"","0","","","","22","","2","0","2051",""
"","","","","","93","","2","0.5","2052",""
"","psy_talk_sad","","1","","3","","2","106011","2053","0.2"
"","vo_minigame_1008_drama_0309","0","0","","21","","2","vo_minigame_1008","2054",""
"0","啥？","1","4","0.5","11","0","2","106011","2055","0"
"","","","","","91","","2","0","2056",""
"","psy_idle_sad","","1","","3","","2","106011","2057","0.2"
"","vo_minigame_1008_drama_0304","0","0","","21","","2","vo_minigame_1008","2058",""
"0","人家要把妳變成布丁喲～～！！","1","5","0.5","11","0","2","119931","2059","0"
"","1","","","","93","","2","0.5","2060",""
"1","psy_miyako_attack_in","psy_miyako_attack_loop","0","","3","0","2","119931","2061","0.2"
"","1","","","","93","","2","0.2","2062",""
"1","psy_surprise","psy_idle_surprise2","0","","3","0.2","2","106011","2063","0.2"
"","","","","","91","","2","2059","2064",""
"","0","","","","22","","2","0","2065",""
"","psy_talk_surprise2","","1","","3","","2","106011","2066","0.2"
"","vo_minigame_1008_drama_0310","0","0","","21","","2","vo_minigame_1008","2067",""
"0","搞、搞什麼呀這間店～～！！","1","7","0.5","11","0","2","106011","2068","0"
"","","","","","91","","2","0","2069",""
"","0","","","","4","","2","106011","2070",""
"","psy_run_shy","","1","","3","","2","106011","2071","0.2"
"","psy_miyako_attack_loop_move","","1","","3","","2","119931","2072","0.2"
"0","1000","3","-220","","2","","2","106011","2073",""
"0","1000","5","-220","","2","","2","119931","2074",""
"","","","","","93","","2","3.5","2075",""
"","0","","","","22","","2","0","2076",""
"","","","","","91","","2","0","2077",""
"-150","119931","-250","100","psy_miyako_gasagoso_B","1","1","3","1","3001","1.65"
"-180","105511","340","100","psy_walk","1","1","3","1","3002","1.7"
"1","11","0","0","","31","","3","1","3003","1"
"-220","1","-300","101","psy_smoke_start","5","0","3","1","3004","1.7"
"0","225","2","-180","","2","","3","105511","3005",""
"","","","","","93","","3","2","3006",""
"","psy_talk_wish","","1","","3","","3","105511","3007","0.2"
"","vo_minigame_1008_drama_0203","0","0","","21","","3","vo_minigame_1008","3008",""
"0","這、這裡就是前輩工作的地方吧？","1","7","0.5","11","0","3","105511","3009","0"
"","","","","","91","","3","0","3010",""
"1","psy_ayumi_kyoro_in","psy_ayumi_kyoro_loop","0","","3","0","3","105511","3011","0.2"
"","","","","","93","","3","1.8","3012",""
"","psy_talk_joy1","","1","","3","","3","105511","3013","0.2"
"","vo_minigame_1008_drama_0204","0","0","","21","","3","vo_minigame_1008","3014",""
"0","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","1","6","0.5","11","0","3","105511","3015","0"
"","","","","","91","","3","0","3016",""
"","psy_talk_call","","1","","3","","3","105511","3017","0.2"
"","vo_minigame_1008_drama_0205","0","0","","21","","3","vo_minigame_1008","3018",""
"0","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","1","7","0.5","11","0","3","105511","3019","0"
"","1","","","","93","","3","3","3020",""
"0","5","1","0.8","0","12","0","3","119931","3021","0"
"","0","","","","4","","3","119931","3022",""
"","psy_miyako_idle_thinking","","1","","3","","3","119931","3023","0"
"","1","","","","93","","3","1.5","3024",""
"","1","","","","4","","3","119931","3025",""
"","psy_miyako_gasagoso_B","","1","","3","","3","119931","3026","0"
"","1","","","","93","","3","0.5","3027",""
"","psy_talk_sad","","1","","3","","3","105511","3028","0.2"
"","","","","","91","","3","3019","3029",""
"","psy_talk_wish","","1","","3","","3","105511","3030","0.2"
"","vo_minigame_1008_drama_0206","0","0","","21","","3","vo_minigame_1008","3031",""
"0","總、總之我把錢放在這裡了，\n再見！","1","6","0.5","11","0","3","105511","3032","0"
"","1","","","","93","","3","2","3033",""
"","psy_gasagoso_B2","","1","","3","","3","105511","3034","0.2"
"","1","","","","93","","3","1","3035",""
"1","psy_pekori","psy_idle_normal","0","","3","0.2","3","105511","3036","0.2"
"","","","","","91","","3","3032","3037",""
"","0","","","","4","","3","105511","3038",""
"","psy_run","","1","","3","","3","105511","3039","0.2"
"0","1000","3","-180","","2","","3","105511","3040",""
"","","","","","93","","3","3","3041",""
"","","","","","93","","3","0.5","3042",""
"","psy_miyako_idle_thinking","","1","","3","","3","119931","3043","0"
"","","","","","93","","3","2","3044",""
"","0","","","","4","","3","119931","3045",""
"","psy_miyako_run","","1","","3","","3","119931","3046","0.2"
"0","0","2","-165","","2","","3","119931","3047",""
"","","","","","93","","3","2","3048",""
"","psy_miyako_thinking4","","1","","3","","3","119931","3049","0.2"
"","vo_minigame_1008_drama_0201","0","0","","21","","3","vo_minigame_1008","3050",""
"0","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","1","4","0.5","11","0","3","119931","3051","0"
"","1","","","","93","","3","4","3052",""
"","psy_miyako_panic1","","1","","3","","3","119931","3053","0.2"
"","","","","","91","","3","3051","3054",""
"","0","","","","22","","3","0","3055",""
"1","psy_miyako_surprise2_in","psy_miyako_surprise2_loop","0","","3","0","3","119931","3056","0.2"
"","vo_minigame_1008_drama_0202","0","0","","21","","3","vo_minigame_1008","3057",""
"0","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","1","4","1","11","0","3","119931","3058","0"
"","1","","","","93","","3","4","3059",""
"","psy_miyako_thinking4","","1","","3","","3","119931","3060","0.2"
"","","","","","91","","3","3058","3061",""
"","0","","","","22","","3","0","3062",""
"","","","","","93","","3","1","3063",""
"","","","","","91","","3","0","3064",""
"-200","119931","-300","100","psy_miyako_start","1","0","4","1","4001","1.7"
"-220","107131","300","100","psy_walk","1","1","4","1","4002","1.7"
"1","11","0","0","","31","","4","1","4003","1"
"-200","1","-300","101","psy_smoke_start","5","0","4","1","4004","1.7"
"0","185","2","-220","","2","","4","107131","4005",""
"","","","","","93","","4","2","4006",""
"1","psy_talk_doya","psy_talk_doya_loop","0","","3","0.2","4","107131","4007","0.2"
"","vo_minigame_1008_drama_0405","0","0","","21","","4","vo_minigame_1008","4008",""
"0","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","1","6","0.5","11","0","4","107131","4009","0"
"","","","","","91","","4","0","4010",""
"","psy_idle_doya","","1","","3","","4","107131","4011","0.2"
"","psy_talk_sad","","1","","3","","4","107131","4012","0.2"
"","vo_minigame_1008_drama_0406","0","0","","21","","4","vo_minigame_1008","4013",""
"0","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","1","6","0.5","11","0","4","107131","4014","0"
"","1","","","","93","","4","6","4015",""
"","psy_talk_call","","1","","3","","4","107131","4016","0.2"
"","","","","","91","","4","4014","4017",""
"","psy_idle_arm_crossed","","1","","3","","4","107131","4018","0.2"
"1","psy_miyako_appear","psy_miyako_talk_joy1","0","","3","0.2","4","119931","4019","0"
"0","psy_smoke_appear","psy_smoke_start","0","","3","0","4","1","4020","0"
"","vo_minigame_1008_drama_0401","0","0","","21","","4","vo_minigame_1008","4021",""
"0","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","1","5","0.5","11","0","4","119931","4022","0"
"","","","","","91","","4","0","4023",""
"","0","","","","22","","4","0","4024",""
"","psy_miyako_idle","","1","","3","","4","119931","4025","0.2"
"","psy_talk_normal","","1","","3","","4","107131","4026","0.2"
"","vo_minigame_1008_drama_0407","0","0","","21","","4","vo_minigame_1008","4027",""
"0","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","1","6","0.5","11","0","4","107131","4028","0"
"","","","","","91","","4","0","4029",""
"","psy_idle_normal","","1","","3","","4","107131","4030","0.2"
"","psy_miyako_sad1","","1","","3","","4","119931","4031","0.2"
"","vo_minigame_1008_drama_0402","0","0","","21","","4","vo_minigame_1008","4032",""
"0","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","1","4","0.5","11","0","4","119931","4033","0"
"","1","","","","93","","4","5","4034",""
"","psy_miyako_talk4","","1","","3","","4","119931","4035","0.2"
"","","","","","91","","4","4033","4036",""
"","0","","","","22","","4","0","4037",""
"","psy_miyako_idle2","","1","","3","","4","119931","4038","0.2"
"1","psy_ahaha_in","psy_ahaha_loop","0","","3","0.2","4","107131","4039","0.2"
"","vo_minigame_1008_drama_0408","0","0","","21","","4","vo_minigame_1008","4040",""
"0","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","1","5","0.5","11","0","4","107131","4041","0"
"","1","","","","93","","4","1.7","4042",""
"","psy_talk_joy1","","1","","3","","4","107131","4043","0.2"
"","","","","","91","","4","4041","4044",""
"1","psy_talk_doya","psy_talk_doya_loop","0","","3","0.2","4","107131","4045","0.2"
"","vo_minigame_1008_drama_0409","0","0","","21","","4","vo_minigame_1008","4046",""
"0","這下無論如何我都要\n買到妳的甜點了。","1","6","0.5","11","0","4","107131","4047","0"
"","","","","","91","","4","0","4048",""
"","psy_idle_wish","","1","","3","","4","107131","4049","0.2"
"","psy_miyako_panic1","","1","","3","","4","119931","4050","0.2"
"","vo_minigame_1008_drama_0403","0","0","","21","","4","vo_minigame_1008","4051",""
"0","為什麼會變成這樣！？\n趕快回去來的！","1","5","0.5","11","0","4","119931","4052","0"
"","","","","","91","","4","0","4053",""
"","0","","","","22","","4","0","4054",""
"","psy_miyako_idle_panic","","1","","3","","4","119931","4055","0.2"
"1","psy_cris_approach_in","psy_cris_approach_loop","0","","3","0","4","107131","4056","0.2"
"","vo_minigame_1008_drama_0410","0","0","","21","","4","vo_minigame_1008","4057",""
"0","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","1","7","0.5","11","0","4","107131","4058","0"
"","1","","","","93","","4","4","4059",""
"1","psy_talk_arm_crossed","psy_talk_arm_crossed_loop","0","","3","0","4","107131","4060","0.2"
"","","","","","91","","4","4058","4061",""
"","psy_talk_joy1","","1","","3","","4","107131","4062","0.2"
"","vo_minigame_1008_drama_0411","0","0","","21","","4","vo_minigame_1008","4063",""
"0","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","1","5","0.5","11","0","4","107131","4064","0"
"","","","","","91","","4","0","4065",""
"","psy_idle_joy1","","1","","3","","4","107131","4066","0.2"
"","psy_miyako_anger2","","1","","3","","4","119931","4067","0.2"
"","vo_minigame_1008_drama_0404","0","0","","21","","4","vo_minigame_1008","4068",""
"0","為、為什麼會變成那樣──！？","1","6","0.5","11","0","4","119931","4069","0"
"","","","","","93","","4","4","4070",""
"","","","","","91","","4","0","4071",""
"-200","119931","-300","100","psy_miyako_start","1","0","5","1","5001","1.7"
"-220","104931","300","100","psy_walk","1","1","5","1","5002","1.7"
"1","11","0","0","","31","","5","1","5003","1"
"-200","1","-300","101","psy_smoke_start","5","0","5","1","5004","1.7"
"0","185","2","-220","","2","","5","104931","5005",""
"","","","","","93","","5","2","5006",""
"","psy_talk_wish","","1","","3","","5","104931","5007","0.2"
"","vo_minigame_1008_drama_0504","0","0","","21","","5","vo_minigame_1008","5008",""
"0","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","1","5","0.5","11","0","5","104931","5009","0"
"","1","","","","93","","5","4.3","5010",""
"","psy_talk_joy1","","1","","3","","5","104931","5011","0.2"
"","","","","","91","","5","5009","5012",""
"","psy_idle_joy1","","1","","3","","5","104931","5013","0.2"
"1","psy_miyako_appear","psy_miyako_talk3","0","","3","0.2","5","119931","5014","0"
"0","psy_smoke_appear","psy_smoke_start","0","","3","0","5","1","5015","0"
"","vo_minigame_1008_drama_0501","0","0","","21","","5","vo_minigame_1008","5016",""
"0","吵死了喲。\n突然喊什麼喊啊？","1","5","0.5","11","0","5","119931","5017","0"
"","","","","","91","","5","0","5018",""
"","0","","","","22","","5","0","5019",""
"","psy_miyako_idle","","1","","3","","5","119931","5020","0.2"
"","psy_talk_joy1","","1","","3","","5","104931","5021","0.2"
"","vo_minigame_1008_drama_0505","0","0","","21","","5","vo_minigame_1008","5022",""
"0","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","1","6","0.5","11","0","5","104931","5023","0"
"","","","","","93","","5","4","5024",""
"","psy_talk_wish","","1","","3","","5","104931","5025","0.2"
"","","","","","91","","5","5023","5026",""
"","","","","","91","","5","0","5027",""
"","psy_idle_wish","","1","","3","","5","104931","5028","0.2"
"","psy_miyako_anger3","","1","","3","","5","119931","5029","0.2"
"","vo_minigame_1008_drama_0502","0","0","","21","","5","vo_minigame_1008","5030",""
"0","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","1","4","0.5","11","0","5","119931","5031","0"
"","1","","","","93","","5","5","5032",""
"1]","psy_miyako_arm_crossed_in","psy_miyako_arm_crossed_loop","0","","3","0","5","119931","5033","0.2"
"","","","","","91","","5","5031","5034",""
"","0","","","","22","","5","0","5035",""
"","psy_miyako_arm_crossed_idle","","1","","3","","5","119931","5036","0.2"
"","psy_talk_wish","","1","","3","","5","104931","5037","0.2"
"","vo_minigame_1008_drama_0506","0","0","","21","","5","vo_minigame_1008","5038",""
"0","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","1","7","0.5","11","0","5","104931","5039","0"
"","","","","","91","","5","0","5040",""
"","psy_talk_joy2","","1","","3","","5","104931","5041","0.2"
"","vo_minigame_1008_drama_0507","0","0","","21","","5","vo_minigame_1008","5042",""
"0","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","1","7","0.5","11","0","5","104931","5043","0"
"","","","","","91","","5","0","5044",""
"","psy_talk_memory","","1","","3","","5","104931","5045","0.2"
"","vo_minigame_1008_drama_0508","0","0","","21","","5","vo_minigame_1008","5046",""
"0","首先從命運的相遇聽我娓娓道來……","1","8","0.5","11","0","5","104931","5047","0"
"","","","","","91","","5","0","5048",""
"","psy_idle_memory","","1","","3","","5","104931","5049","0.2"
"","psy_miyako_sad1","","1","","3","","5","119931","5050","0.2"
"","vo_minigame_1008_drama_0503","0","0","","21","","5","vo_minigame_1008","5051",""
"0","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","1","5","0.5","11","0","5","119931","5052","0"
"","","","","","91","","5","0","5053",""
"","0","","","","22","","5","0","5054",""
"","psy_miyako_hide","","0","","3","","5","119931","5055","0.2"
"0","psy_smoke_hide","psy_smoke_start","0","","3","0","5","1","5056","0"
"","","","","","93","","5","2","5057",""
"","","","","","91","","5","0","5058",""
"-200","119931","-300","100","psy_miyako_idle_thinking","1","1","6","1","6001","1.7"
"-220","103131","300","100","psy_walk","1","1","6","1","6002","1.7"
"1","11","0","0","","31","","6","1","6003","1"
"0","17","0","2","0","12","0","6","119931","6004","0"
"0","185","2","-220","","2","","6","103131","6005",""
"","","","","","93","","6","2","6006",""
"","psy_talk_wish","","1","","3","","6","103131","6007","0.2"
"","vo_minigame_1008_drama_0605","0","0","","21","","6","vo_minigame_1008","6008",""
"0","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","1","4","0.5","11","0","6","103131","6009","0"
"","","","","","91","","6","0","6010",""
"","psy_idle_wish","","1","","3","","6","103131","6011","0.2"
"","0","","","","4","","6","119931","6012",""
"1","psy_miyako_surprise2_in","psy_miyako_talk_joy2","0","","3","0.2","6","119931","6013","0.2"
"","","","","","93","","6","1","6014",""
"","vo_minigame_1008_drama_0601","0","0","","21","","6","vo_minigame_1008","6015",""
"0","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","1","5","0.5","11","0","6","119931","6016","0"
"","1","","","","93","","6","3","6017",""
"","psy_miyako_talk2","","1","","3","","6","119931","6018","0.2"
"","","","","","91","","6","6016","6019",""
"","0","","","","22","","6","0","6020",""
"","psy_miyako_idle_sad","","1","","3","","6","119931","6021","0.2"
"","psy_talk_sad","","1","","3","","6","103131","6022","0.2"
"","vo_minigame_1008_drama_0606","0","0","","21","","6","vo_minigame_1008","6023",""
"0","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","1","6","0.5","11","0","6","103131","6024","0"
"","","","","","91","","6","0","6025",""
"","psy_idle_sad","","1","","3","","6","103131","6026","0.2"
"","psy_miyako_panic3","","1","","3","","6","119931","6027","0.2"
"","vo_minigame_1008_drama_0602","0","0","","21","","6","vo_minigame_1008","6028",""
"0","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","1","3","0.5","11","0","6","119931","6029","0"
"","1","","","","93","","6","5.5","6030",""
"","psy_miyako_sad2","","1","","3","","6","119931","6031","0.2"
"","","","","","91","","6","6029","6032",""
"","0","","","","22","","6","0","6033",""
"","psy_miyako_idle_sad","","1","","3","","6","119931","6034","0.2"
"1","psy_surprise","psy_talk_surprise1","0","","3","0.2","6","103131","6035","0.2"
"","vo_minigame_1008_drama_0607","0","0","","21","","6","vo_minigame_1008","6036",""
"0","宮子……自己……\n做布丁……","1","6","0.5","11","0","6","103131","6037","0"
"","","","","","91","","6","0","6038",""
"","psy_idle_surprise1","","1","","3","","6","103131","6039","0.2"
"","psy_miyako_talk2","","1","","3","","6","119931","6040","0.2"
"","vo_minigame_1008_drama_0603","0","0","","21","","6","vo_minigame_1008","6041",""
"0","妳怎麼了？","1","5","0.5","11","0","6","119931","6042","0"
"","","","","","91","","6","0","6043",""
"","0","","","","22","","6","0","6044",""
"","psy_miyako_idle","","1","","3","","6","119931","6045","0.2"
"","psy_talk_joy1","","1","","3","","6","103131","6046","0.2"
"","vo_minigame_1008_drama_0608","0","0","","21","","6","vo_minigame_1008","6047",""
"0","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","1","5","0.5","11","0","6","103131","6048","0"
"","1","","","","93","","6","4","6049",""
"","psy_talk_wish","","1","","3","","6","103131","6050","0.2"
"","","","","","91","","6","6048","6051",""
"","psy_idle_wish","","1","","3","","6","103131","6052","0.2"
"","psy_miyako_joy1","","1","","3","","6","119931","6053","0.2"
"","vo_minigame_1008_drama_0604","0","0","","21","","6","vo_minigame_1008","6054",""
"0","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","1","5","0.5","11","0","6","119931","6055","0"
"","1","","","","93","","6","5","6056",""
"1","psy_miyako_guts1_in","psy_miyako_guts1_loop","0","","3","0","6","119931","6057","0.2"
"","","","","","91","","6","6055","6058",""
"","0","","","","22","","6","0","6059",""
"","","","","","93","","6","1.5","6060",""
"","","","","","91","","6","0","6061",""
"-200","119931","-200","100","psy_miyako_idle","1","0","7","1","7001","1.7"
"-220","1","125","100","psy_fairy_idle","5","0","7","1","7002","1.7"
"1","11","0","0","","31","","7","1","7003","1"
"","","","","","93","","7","2","7004",""
"","psy_fairy_talk","","1","","3","","7","1","7005","0.2"
"","vo_minigame_1008_drama_9902","0","0","","21","","7","vo_minigame_1008","7006",""
"0","啾啾！","1","3","0.5","11","0","7","1","7007","0"
"","","","","","91","","7","0","7008",""
"","psy_fairy_idle","","1","","3","","7","1","7009","0.2"
