8d754c57e1329fd486e82893154efe249ddad2d7480028982ee9d8f2955835e4,72aa1717d2fe44582818fc8e7e4f39b0df7f563bd725cd3984ba1a6b930ecae0,be5bdf010a1ad19db3536a42e6e890666cec761099b46b31e6f5234597f57aa4,58bcdaffd907e493d990cc4edb0099d0cb890ce4eee4f26b3b14845a6f9d29cb,1bb37cbe82e73d60fe14b04a494f09d61879355b365b9a0e140b96bed6688bb7
"21001","5000","30","130","219"
"21001","5000","5","5","220"
"21002","5000","30","140","221"
"21002","5000","5","5","222"
"21003","5000","40","150","223"
"21003","5000","5","5","224"
"21004","5000","45","155","225"
"21004","5000","5","200","226"
"21005","5000","60","155","227"
"21005","5000","10","200","228"
"21006","5000","60","150","229"
"21006","5000","15","200","230"
"21007","5000","60","150","231"
"21007","5000","15","200","232"
"21008","5000","50","160","233"
"21008","5000","15","200","234"
"21009","5000","70","140","235"
"21009","5000","30","200","236"
"21010","5000","35","180","237"
"21010","5000","120","200","238"
"21011","5000","65","140","239"
"21011","5000","30","200","240"
"21012","5000","35","200","241"
"21012","5000","5","5","242"
"21013","5000","70","150","243"
"21013","5000","15","200","244"
"21014","5000","60","150","245"
"21014","5000","15","200","246"
"21015","5000","60","150","247"
"21015","5000","15","200","248"
"21016","5000","60","150","249"
"21016","5000","15","200","250"
"21017","5000","60","150","251"
"21017","5000","15","200","252"
"21018","5000","50","120","253"
"21018","5000","60","200","254"
"21019","5000","67","102","255"
"21019","5000","60","200","256"
"21020","5000","35","120","257"
"21020","5000","60","250","258"
