95e204a1052e001274d2f0321b41cec41b5f584081e0904200a2834777bbb4bb,4b18cb9f17760619d3fc56c7a7217ad18453901e446ab5057ca0c5727bd44d83,99ce29dc86744d0f01931c76b63ffa0168ec6de3cdc2d96959cfd81179ef10b0,7ba757bf3c907bb3c733f7985f619a166b67f3d0c907d1c2ce1fd4e2a1a8cde3,b2e83e07d67195644f1336f5b48bedf64118eaf4644a47ee6a3c115a21a890df,81b1a6054e584969950e7fef184074b8e9ae414875c4b36ebed720b76dfaf553,9d3e4cc68eb6ea54556d84ce31a00a7f37ea942fcae39763663ed597aa8df434,f7f8728276f91bbd040befab7fdb9f01f6f4a3d39e6338b21def169e9b6d91cb,341bf2375cbc0bf5e44874b198319844f5cc4ff139352a5cb6027389c0881a44,a068f01fbc0aeb5c831b6c7487f312e443c4fb95d5f393edf84723ca9ad4579f
"8041","3200014","1","8042","38","8040","375","3","13050","2"
"8044","3200015","1","8045","38","8043","375","3","13050","2"
"8047","3200016","1","8048","38","8046","375","3","13050","2"
"8050","3200017","1","8051","38","8049","375","3","13050","2"
"8053","3200018","1","8054","38","8052","375","3","13050","2"
"8056","3200019","1","8057","38","8055","375","3","13050","2"
"8059","3200020","1","8060","38","8058","375","3","13050","2"
"9002","3300001","1","9003","40","9001","340","3","14280","3"
"9005","3300002","1","9006","40","9004","340","3","14280","3"
"9008","3300003","1","9009","40","9007","340","3","14280","3"
"9011","3300004","1","9012","40","9010","340","3","14280","3"
"9014","3300005","1","9015","40","9013","340","3","14280","3"
"9017","3300006","1","9018","40","9016","340","3","14280","3"
"9020","3300007","1","9021","40","9019","340","3","14280","3"
"9023","3300008","1","9024","40","9022","340","3","14280","3"
"9026","3300009","1","9027","40","9025","340","3","14280","3"
"9029","3300010","1","9030","40","9028","340","3","14280","3"
"9032","3300011","1","9033","40","9031","340","3","14280","3"
"9035","3300012","1","9036","40","9034","340","3","14280","3"
"9038","3300013","1","9039","40","9037","340","3","14280","3"
"9041","3300014","1","9042","40","9040","340","3","14280","3"
"9044","3300015","1","9045","40","9043","340","3","14280","3"
"9047","3300016","1","9048","40","9046","340","3","14280","3"
"9050","3300017","1","9051","40","9049","340","3","14280","3"
"9053","3300018","1","9054","40","9052","340","3","14280","3"
"9056","3300019","1","9057","39","9055","375","3","13050","3"
"9059","3300020","1","9060","39","9058","375","3","13050","3"
"9062","3300021","1","9063","39","9061","375","3","13050","3"
"9065","3300022","1","9066","39","9064","375","3","13050","3"
"9068","3300023","1","9069","39","9067","375","3","13050","3"
"9071","3300024","1","9072","39","9070","375","3","13050","3"
"9074","3300025","1","9075","39","9073","375","3","13050","3"
"9077","3300026","1","9078","39","9076","375","3","13050","3"
"9080","3300027","1","9081","39","9079","375","3","13050","3"
"9083","3300028","1","9084","39","9082","375","3","13050","3"
"9086","3300029","1","9087","39","9085","375","3","13050","3"
"9089","3300030","1","9090","39","9088","375","3","13050","3"
