44c1ac02c7798e5fd42c2383e7d5cc249931eafc0feead205010884b840a87b8,43a6fe554fa00d4e57659107bc09354b45f4c6c5bd35c62d80c65a85dbc78260,840dc26b8c95c9a6cb9f895035a4527311cab48c00ea2073e708c88128ea085e,9bda02d4c7f919be1f6e2efb8bd1571038f2ed92fcc97a45df541180163ac0d3,869e6aa2545447003f2a1f9662491b2d721eb26b559d319bcd9cc28b986b5391,6d33e92dfe069040924113cd61943cc787e18f71cf18982d1b20785c658a15f4,5b53e2ac1a163beb68d4e0c87d040ddcce6e735a197737412705a3eae2b0ef8c,4de172de12563dbafa9a2e299a6737f0be255b2c04a5c73269e87695ed4cebb2,9029855558aef591708cf5cd3f4600f27346b46313767ba6b071ad57c286357c,d33c662d9b267ae44dbe6db8d12357f32eb53aa37db10f80997a4b43bb91fbcb,fa57daecf5c8b15e71c7fc25c3549fca5fcc14b0f23e4429d929b8358433b63c
"105931","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","","10","11","1010022","","","","1",""
"0","","","","91","1010023","","","","1",""
"112631","這種情況下，\n就讓人想看看\n上面是怎樣呢！","","10","11","1010024","","","","1",""
"0","","","","91","1010025","","","","1",""
"112531","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","","10","11","1010026","","","","1",""
"0","","","","91","1010027","","","","1",""
"106031","反正我也挺感興趣，\n就陪陪妳們吧。","","10","11","1010028","","","","1",""
"0","","","","91","1010029","","","","1",""
"112431","好♪大家一起\n加油以登頂\n為目標吧！","","10","11","1010030","","","","1",""
"0","","","","91","1010031","","","","1",""
"1","104431","1.3","100","1","1020001","0","0","0","2","02_uek_cmn_idol_def_N"
"104431","02_uek_02_ilya","","0","3","1020002","0","","02_uek_02_ilya_loop","2",""
"104431","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","","10","11","1020003","","","0","2",""
"0","","","","91","1020004","0","","","2",""
"1","105831","1.3","100","1","1030001","-10","0","-140","3","01_uek_cmn_idol_def_N"
"1","105931","1.3","100","1","1030002","10","1","120","3","01_uek_cmn_idol_def_N"
"1","106031","1.3","100","1","1030003","0","1","0","3","01_uek_cmn_idol_def_N"
"105831","01_uek_03_peko","","0","3","1030004","0","","01_uek_03_peko_loop","3",""
"106031","01_uek_03_kyaru","","0","3","1030005","0","","01_uek_03_kyaru_loop","3",""
"105831","小凱留！\n妳快看，\n景色很棒哦☆","","10","11","1030006","","","0","3",""
"0","","","","91","1030007","","","","3",""
"106031","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","","10","11","1030008","","","0","3",""
"0","","","","91","1030009","","","","3",""
"105931","01_uek_03_kokkoro","","0","3","1030010","1","","01_uek_cmn_idol_def_N","3",""
"105931","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","","10","11","1030011","","","0","3",""
"1","101131","1.3","100","1","1040001","-30","0","-120","4","02_uek_cmn_idol_def_N"
"1","104931","1.3","100","1","1040002","-5","1","20","4","02_uek_cmn_idol_def_N"
"101131","02_uek_talk_joy2","","1","3","1040003","","","","4",""
"101131","千萬行星也要\n始於腳下！\n我會加油的！","","10","11","1040004","","","0","4",""
"0","","","","91","1040005","","","","4",""
"101131","02_uek_cmn_idol_def_N","0.2","1","3","1040006","","","","4",""
"104931","02_uek_04_shizuru","0.2","1","3","1040007","","","","4",""
"104931","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","","10","11","1040008","","","0","4",""
"0","","","","91","1040009","","","","4",""
"104931","02_uek_cmn_idol_def_N","0.2","1","3","1040010","","","","4",""
"1","105031","1.3","100","1","1050001","0","0","-70","5","02_uek_cmn_idol_def_N"
"1","101631","1.3","100","1","1050002","1","1","70","5","02_uek_cmn_idol_def_N"
"105031","02_uek_05_misaki","","0","3","1050003","-15","","02_uek_05_misaki_loop","5",""
"101631","02_uek_05_suzuna","","0","3","1050004","0","","02_uek_05_suzuna_loop","5",""
"105031","我要登上大人\n的階梯了～！","","10","11","1050005","","","0","5",""
"0","","","","91","1050006","0","","","5",""
"101631","人家也要成為\n超級巨星名模囉！","","10","11","1050007","","","0","5",""
"1","100531","1.3","100","1","1060001","25","1","120","6","02_uek_cmn_idol_def_N"
"1","103731","1.3","100","1","1060002","5","0","-20","6","02_uek_cmn_idol_def_N"
"100531","02_uek_cmn_pose04","","1","3","1060003","","","","6",""
"100531","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","","10","11","1060004","","","0","6",""
"0","","","","91","1060005","","","","6",""
"103731","02_uek_talk_normal","0.2","1","3","1060006","","","","6",""
"103731","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","","10","11","1060007","","","0","6",""
"0","","","","91","1060008","","","","6",""
"103731","02_uek_cmn_idol_def_N","0.2","1","3","1060009","","","","6",""
"1","103831","1.3","100","1","1070001","-20","0","-60","7","02_uek_cmn_idol_def_N"
"103831","02_uek_07_shiori","0.2","1","3","1070002","","","","7",""
"103831","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","","10","11","1070003","","","","7",""
"1","104531","1.3","100","1","1080001","40","0","90","8","02_uek_08_kuka_loop"
"2","2","1","90","31","1080002","1","","60","8",""
"104531","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","","10","11","1080003","0","","0","8",""
"0","","","","91","1080004","","","","8",""
"2","105831","0.9","100","1","1090001","-35","0","-195","9","05_idle"
"2","302102","1.2","1000","1","1090002","-30","0","150","9","302102_idle"
"102","15","1","150","31","1090003","1","","50","9",""
"103","16","1","150","31","1090004","1","","400","9",""
"1","112531","1.3","100","1","1100001","-25","0","-160","10","01_uek_cmn_idol_def_N"
"1","112431","1.3","100","1","1100002","-5","1","-40","10","01_uek_cmn_idol_def_N"
"1","112631","1.3","100","1","1100003","20","1","125","10","01_uek_cmn_idol_def_N"
"112631","01_uek_talk_surprise2","","1","3","1100004","0","","","10",""
"112631","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","","10","11","1100005","0","","0","10",""
"0","","","","91","1100006","","","","10",""
"112631","01_uek_cmn_idol_def_N","0.2","1","3","1100007","0","","","10",""
"112431","01_uek_talk_joy1","","1","3","1100008","","","","10",""
"112431","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","","10","11","1100009","0","","0","10",""
"0","","","","91","1100010","","","","10",""
"112431","01_uek_cmn_idol_def_N","0.2","1","3","1100011","","","","10",""
"112531","01_uek_talk_normal","","1","3","1100012","","","","10",""
"112531","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","","10","11","1100013","0","","0","10",""
"0","","","","91","1100014","","","","10",""
"112531","01_uek_cmn_idol_def_N","0.2","1","3","1100015","","","","10",""
"0","","","","91","1100016","","","","10",""
"1","104731","1.3","100","1","1110001","-20","0","-135","11","03_uek_cmn_idol_def_N"
"1","107131","1.3","100","1","1110002","5","1","100","11","03_uek_cmn_idol_def_N"
"104731","03_uek_11_jun","0","0","3","1110003","1","","03_uek_11_jun_loop","11",""
"107131","03_uek_11_chris","0","0","3","1110004","1","0.2","03_uek_cmn_idol_def_N","11",""
"104731","唔，視野一片白……\n小克莉絲，\n妳要小心！","","10","11","1110005","0","","","11",""
"0","","","","91","1110006","","","","11",""
"107131","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","","10","11","1110007","0","","0","11",""
"1.5","","","","93","1110008","","","","11",""
"104731","-135","","0","2","1110009","1","","1.5","11",""
"1110007","","","","91","1110010","","","","11",""
"1","101031","1.3","100","1","1120001","-20","0","-120","12","03_uek_cmn_idol_def_N"
"1","101431","1.3","100","1","1120002","-5","1","10","12","03_uek_cmn_idol_def_N"
"101031","03_uek_talk_joy1","","1","3","1120003","0","","","12",""
"101031","好可愛的雲呀，\n真想一起\n帶回去啊♪","","10","11","1120004","0","","0","12",""
"0","","","","91","1120005","","","","12",""
"101031","03_uek_cmn_idol_def_N","0.2","1","3","1120006","0","","","12",""
"101431","03_uek_talk_normal","","1","3","1120007","0","","","12",""
"101431","再怎麼說\n那未免也\n太困難了吧……？","","10","11","1120008","0","","0","12",""
"0","","","","91","1120009","","","","12",""
"101431","03_uek_cmn_idol_def_N","0.2","1","3","1120010","0","","","12",""
"1","105831","1.3","100","1","1130001","-45","0","-165","13","01_uek_cmn_idol_def_N"
"1","105931","1.3","100","1","1130002","-20","0","-45","13","01_uek_cmn_idol_def_N"
"1","106031","1.3","100","1","1130003","-5","1","120","13","01_uek_cmn_idol_def_N"
"105931","01_uek_talk_normal","","1","3","1130004","1","","","13",""
"105931","已經爬到滿高的\n地方來了呢……","","10","11","1130005","0","","0","13",""
"0","","","","91","1130006","","","","13",""
"105931","01_uek_13_kokkoro","0.2","0","3","1130007","1","","01_uek_cmn_idol_def_N","13",""
"106031","01_uek_13_kyaru","","0","3","1130008","1","","01_uek_13_kyaru_loop","13",""
"106031","根本完全\n看不見頂端啊！\n到底有多高啊！","","10","11","1130009","0","","0","13",""
"0","","","","91","1130010","","","","13",""
"105831","01_uek_13_peco_loop","","1","3","1130011","0","","","13",""
"105831","有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","","10","11","1130012","0","","0","13",""
"0","","","","91","1130013","","","","13",""
"1","104031","1.3","100","1","1140001","-25","0","-86","14","03_uek_cmn_idol_def_N"
"1","1","1","0","31","1140002","1","","250","14",""
"104031","03_uek_14_aoi","","0","3","1140003","1","","03_uek_14_aoi_loop","14",""
"104031","嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","","10","11","1140004","0","","0","14",""
"1","100731","1.3","100","1","1150001","-20","0","-75","15","03_uek_cmn_idol_def_N"
"1","103131","1.3","100","1","1150002","10","1","65","15","03_uek_15_father"
"100731","03_uek_15_miyako","","1","3","1150003","0","","","15",""
"100731","天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","","10","11","1150004","0","","0","15",""
"0","","","","91","1150005","","","","15",""
"103131","03_uek_15_father","","1","3","1150006","0","","","15",""
"103131","小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","","10","11","1150007","0","","0","15",""
"0","","","","91","1150008","","","","15",""
"103131","03_uek_talk_normal","","1","3","1150009","0","","","15",""
"103131","宮子\n妳可不能\n真的升天哦……？","","10","11","1150010","0","","0","15",""
"0","","","","91","1150011","","","","15",""
"103131","03_uek_cmn_idol_def_N","0.2","1","3","1150012","0","","","15",""
"1","112431","1.3","100","1","1160001","-45","0","-110","16","01_uek_cmn_idol_def_N"
"1","105831","1.3","100","1","1160002","-15","1","40","16","01_uek_cmn_idol_def_N"
"1","105931","1.3","100","1","1160003","10","1","140","16","01_uek_cmn_idol_def_N"
"105931","01_uek_01_kokkoro","","0","3","1160004","0","","01_uek_cmn_idol_def_N","16",""
"112431","01_uek_01_uduki","","0","3","1160005","1","","01_uek_cmn_idol_def_N","16",""
"105831","01_uek_01_peko","","0","3","1160006","1","","01_uek_cmn_idol_def_N","16",""
"0","","","","91","1160007","","","","16",""
"105931","01_uek_talk_normal","","1","3","1160008","1","","","16",""
"105931","卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","","10","11","1160009","0","","0","16",""
"0","","","","91","1160010","","","","16",""
"105931","01_uek_cmn_idol_def_N","","1","3","1160011","1","","","16",""
"112431","01_uek_talk_joy1","","1","3","1160012","","","","16",""
"112431","嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","","10","11","1160013","0","","0","16",""
"1.5","","","","93","1160014","","","","16",""
"112431","01_uek_16_uduki","0.2","0","3","1160015","1","","01_uek_16_uduki_loop","16",""
"1160013","","","","91","1160016","","","","16",""
"105831","01_uek_talk_joy1","","1","3","1160017","","","","16",""
"105831","妳很有活力呢！\n卯月，我們\n一起加油吧～☆","","10","11","1160018","0","","0","16",""
"2.2","","","","93","1160019","","","","16",""
"105831","01_uek_16_peco","0.2","0","3","1160020","1","","01_uek_16_uduki_loop","16",""
"1160018","","","","91","1160021","","","","16",""
"1","102331","1.3","300","1","1170001","10","1","150","17","03_uek_cmn_idol_def_N"
"1","102131","1.3","100","1","1170002","-15","0","-100","17","03_uek_cmn_idol_def_N"
"3","3","0","20","31","1170003","1.3","","10","17",""
"102331","03_uek_17_ayane","0.2","0","3","1170004","1","0.2","03_uek_17_ayane_loop","17",""
"102131","03_uek_cmn_pose05","0.2","0","3","1170005","1","","03_uek_cmn_idol_def_N","17",""
"3","1","","","32","1170006","","","","17",""
"102331","妳看妳看！\n我用雲做出了\n噗吉哦～！","","10","11","1170007","0","","0","17",""
"0","","","","91","1170008","","","","17",""
"102131","03_uek_talk_joy1","0.2","1","3","1170009","","","","17",""
"102131","哇，好厲害～！\n我也想\n做點什麼呢……♪","","10","11","1170010","0","","0","17",""
"0","","","","91","1170011","","","","17",""
"102131","03_uek_cmn_idol_def_N","0.2","1","3","1170012","","","","17",""
"1","112631","1.3","100","1","1180001","45","0","229","18","01_uek_cmn_idol_def_N"
"1","105831","1.3","110","1","1180002","20","0","170","18","01_uek_cmn_idol_def_N"
"1","105931","1.3","100","1","1180003","-10","0","-85","18","01_uek_cmn_idol_def_N"
"112631","01_uek_18_mio","","0","3","1180004","1","","01_uek_18_mio_loop","18",""
"112631","已經爬了很高呢～\n來看看底下的\n景色吧！","","10","11","1180005","0","","0","18",""
"0","","","","91","1180006","","","","18",""
"105831","01_uek_18_mio","","0","3","1180007","1","","01_uek_18_mio_loop","18",""
"105831","是啊！\n嗯，我看看…\n唔，哇哇哇哇！","","10","11","1180008","0","","0","18",""
"3","","","","93","1180009","","","","18",""
"105831","170","","5","2","1180010","1","","2","18",""
"1180008","","","","91","1180011","","","","18",""
"105931","01_uek_18_kokkoro","","0","3","1180012","1","","01_uek_cmn_idol_def_N","18",""
"105931","呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","","10","11","1180013","0","","0","18",""
"1","101231","1.3","100","1","1190001","110","0","402","19","02_uek_19_hatsune"
"1","103831","1.3","100","1","1190002","30","0","166","19","02_uek_talk_surprise2"
"103831","02_uek_talk_surprise2","0.2","1","3","1190003","0","","","19",""
"103831","啊！姊姊！\n在這種地方睡著\n很危險的！","","10","11","1190004","0","","0","19",""
"0","","","","91","1190005","","","","19",""
"101231","我好像聽到了\n小栞的聲音……\n呼嚕……☆","","10","11","1190006","0","","0","19",""
"2","105831","0.9","100","1","1200001","-35","0","-195","20","05_idle"
"2","304602","1.4","1000","1","1200002","30","0","150","20","304602_idle"
"102","17","1","150","31","1200003","1","","50","20",""
"103","18","1","150","31","1200004","1","","400","20",""
"1","105931","1.3","110","1","1210001","25","0","185","21","01_uek_21_kokkoro_loop"
"1","112531","1.3","120","1","1210002","-5","0","65","21","01_uek_21_rin_loop"
"1","106031","1.3","100","1","1210003","-35","0","-140","21","01_uek_cmn_idol_def_N"
"105931","風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","","10","11","1210004","0","","0","21",""
"0","","","","91","1210005","","","","21",""
"112531","說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","","10","11","1210006","0","","0","21",""
"0","","","","91","1210007","","","","21",""
"106031","01_uek_21_kyaru","","0","3","1210008","1","","01_uek_cmn_idol_def_N","21",""
"106031","……妳們好像\n在奇妙的地方\n同步了呢。","","10","11","1210009","0","","0","21",""
"0","","","","91","1210010","","","","21",""
"1","105831","1.3","100","1","1220001","40","0","180","22","01_uek_cmn_idol_def_N"
"4","4","1","420","31","1220002","1.3","","250","22",""
"105831","01_uek_cmn_pose03","0.2","1","3","1220003","","","","22",""
"105831","像飯糰的雲\n會是什麼味道呢\n……流口水☆","","10","11","1220004","0","","0","22",""
"0","","","","91","1220005","","","","22",""
"1","105231","1.3","100","1","1230001","5","0","33","23","03_uek_cmn_idol_def_N"
"1","102631","1.3","1010","1","1230002","40","0","200","23","03_uek_23_rin"
"1","103331","1.3","100","1","1230003","-25","0","-110","23","03_uek_cmn_idol_def_N"
"5","5","1","220","31","1230004","1","","32","23",""
"102631","03_uek_23_rin","0.2","1","3","1230005","","","","23",""
"102631","這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","","10","11","1230006","0","","0","23",""
"0","","","","91","1230007","","","","23",""
"102631","1100","","40","2","1230008","0","","45","23",""
"5","1120","","32","33","1230009","0","","45","23",""
"105231","03_uek_cmn_pose04","0.2","1","3","1230010","","","","23",""
"103331","03_uek_talk_surprise2","0.2","1","3","1230011","","","","23",""
"105231","鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","","10","11","1230012","0","","0","23",""
"0","","","","91","1230013","","","","23",""
"103331","乾草比這\n更軟的啦！\n快點回來啦！","","10","11","1230014","0","","0","23",""
"0","","","","91","1230015","","","","23",""
"1","105531","1.3","10","1","1240001","-45","0","-240","24","03_uek_24_ayumi"
"105531","03_uek_24_ayumi","","1","3","1240002","0","","","24",""
"105531","啊，\n前輩在那裡，\n盯……………","","10","11","1240003","0","","0","24",""
"1","103631","1.3","100","1","1250001","15","1","175","25","03_uek_cmn_idol_def_N"
"1","100431","1.3","100","1","1250002","-10","0","-36","25","03_uek_cmn_idol_def_N"
"1","102031","1.3","100","1","1250003","-45","0","-158","25","03_uek_cmn_idol_def_N"
"102031","03_uek_cmn_pose06","","1","3","1250004","0","","","25",""
"102031","在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","","10","11","1250005","0","","0","25",""
"0","","","","91","1250006","","","","25",""
"100431","03_uek_25_misogi","","0","3","1250007","1","","03_uek_25_misogi_loop","25",""
"100431","對啊！鏡華也\n這樣覺得吧？\n……哇！","","10","11","1250008","0","","0","25",""
"103631","03_uek_25_kyouka","","1","3","1250009","0","","03_uek_25_kyouka_loop","25",""
"0","","","","91","1250010","","","","25",""
"103631","慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","","10","11","1250011","0","","0","25",""
"0","","","","91","1250012","","","","25",""
"1","104831","1.3","100","1","1270001","-43","0","-179","27","01_uek_cmn_idol_def_N"
"1","104631","1.3","100","1","1270002","-14","0","0","27","01_uek_27_tamaki_loop"
"1","103231","1.3","100","1","1270003","24","1","200","27","01_uek_cmn_idol_def_N"
"104631","呼呼……\n到、到極限了喵……\n我想回去喵……","","10","11","1270004","0","","0","27",""
"0","","","","91","1270005","","","","27",""
"104831","01_uek_cmn_pose02","","0","3","1270006","1","","01_uek_talk_normal","27",""
"104831","步行只要有效率地\n分配體力，\n這點程度不算什麼。","","10","11","1270007","0","","0","27",""
"0","","","","91","1270008","","","","27",""
"104831","01_uek_cmn_idol_def_N","0.3","1","3","1270009","0","","","27",""
"103231","01_uek_27_akino_loop","","1","3","1270010","0","","","27",""
"103231","喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","","10","11","1270011","0","","0","27",""
"1","102931","1.3","110","1","1280001","-10","0","0","28","04_uek_cmn_idol_def_N"
"1","104231","1.3","120","1","1280002","-30","0","-120","28","04_uek_cmn_idol_def_N"
"1","105431","1.3","100","1","1280003","10","0","120","28","04_uek_cmn_idol_def_N"
"6","6","0","35","31","1280004","1.3","","10","28",""
"6","9","0","-85","31","1280005","1.3","","-10","28",""
"6","10","0","155","31","1280006","1.3","","30","28",""
"102931","04_uek_28_nozomi","0.2","1","3","1280007","","","","28",""
"104231","04_uek_28_chika","0.2","1","3","1280008","","","","28",""
"105431","04_uek_28_tsumugi","0.2","1","3","1280009","","","","28",""
"6","1","","","32","1280010","","","","28",""
"9","1","","","32","1280011","","","","28",""
"10","1","","","32","1280012","","","","28",""
"102931","就算在天空上\n慈樂之音也要…\n站上舞台！","","10","11","1280013","0","","0","28",""
"0","","","","91","1280014","","","","28",""
"104231","風吹得真舒服……！\n精靈們好像\n也很開心！","","10","11","1280015","0","","0","28",""
"0","","","","91","1280016","","","","28",""
"105431","太棒了呢！\n就一路嗨到\n安可吧！","","10","11","1280017","0","","0","28",""
"0","","","","91","1280018","","","","28",""
"1","101531","1.3","100","1","1290001","-10","0","-40","29","03_uek_cmn_idol_def_N"
"1","101831","1.3","100","1","1290002","10","1","95","29","03_uek_cmn_idol_def_N"
"101831","03_uek_talk_joy1","","1","3","1290003","0","","","29",""
"101831","真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","","10","11","1290004","0","","0","29",""
"0","","","","91","1290005","","","","29",""
"101831","03_uek_cmn_idol_def_N","0.3","1","3","1290006","0","","","29",""
"101531","03_uek_talk_joy1","0.3","1","3","1290007","0","","","29",""
"101531","哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","","10","11","1290008","0","","0","29",""
"0","","","","91","1290009","","","","29",""
"101531","03_uek_cmn_idol_def_N","0.3","1","3","1290010","0","","","29",""
"2","105831","0.9","100","1","1300001","-35","0","-195","30","05_idle"
"2","307505","1.5","1000","1","1300002","-50","0","150","30","307505_idle"
"102","19","1","150","31","1300003","1","","50","30",""
"103","20","1","150","31","1300004","1","","400","30",""
"307505","307505_awake","0","0","3","1300005","1","","307505_idle","30",""
"1","105831","1.3","110","1","1310001","10","0","140","31","01_uek_cmn_idol_def_N"
"1","105931","1.3","110","1","1310002","0","0","20","31","01_uek_cmn_idol_def_N"
"1","106031","1.3","110","1","1310003","-55","0","-200","31","01_uek_26_kyaru_loop"
"1","","","","93","1310004","","","","31",""
"105831","1","","","4","1310005","","","","31",""
"105831","01_uek_cmn_pose04","0","1","3","1310006","","","","31",""
"105831","妳們快看！\n是星星的世界！\n好棒的景色呢☆","","10","11","1310007","","","","31",""
"2.3","","","","93","1310008","","","","31",""
"105831","01_uek_cmn_idol_def_N","0.2","0","3","1310009","0","","","31",""
"1310007","","","","91","1310010","","","","31",""
"105831","01_uek_cmn_idol_def_N","0.2","1","3","1310011","0","","","31",""
"105931","01_uek_talk_normal","","1","3","1310012","","","","31",""
"105931","真的是\n很棒的地方呢，\n我們好好享受吧。","","10","11","1310013","","","","31",""
"0","","","","91","1310014","","","","31",""
"105931","01_uek_cmn_idol_def_N","0.2","1","3","1310015","","","","31",""
"106031","妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","","10","11","1310016","","","","31",""
"1","104531","1.3","100","1","1320001","91","1","255","32","02_uek_32_kuka_loop"
"1","105331","1.3","100","1","1320002","-29","0","-97","32","02_uek_cmn_idol_def_N"
"1","103031","1.3","100","1","1320003","0","0","50","32","02_uek_cmn_idol_def_N"
"104531","02_uek_32_kuka","0.5","0","3","1320004","0","","","32",""
"105331","02_uek_cmn_shock_def_N","0.5","0","3","1320005","1","","02_uek_talk_surprise2","32",""
"103031","02_uek_cmn_shock_def_N","0.5","0","3","1320006","1","","02_uek_talk_surprise2","32",""
"0","","","","91","1320007","","","","32",""
"103031","02_uek_talk_surprise2","0.5","1","3","1320008","0","","","32",""
"103031","好不容易找到的\n空花\n又要飛走了！","","10","11","1320009","0","","0","32",""
"0","","","","91","1320010","","","","32",""
"105331","02_uek_talk_surprise2","0.5","1","3","1320011","0","","","32",""
"105331","她果然\n很開心的樣子！？","","10","11","1320012","0","","0","32",""
"1","100831","1.3","100","1","1330001","0","1","0","33","02_uek_cmn_idol_def_N"
"7","7","1","-120","31","1330002","1.3","","130","33",""
"100831","02_uek_33_yuki","0.2","0","3","1330003","1","","02_uek_33_yuki_loop","33",""
"100831","沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","","10","11","1330004","0","","0","33",""
"0","","","","91","1330005","","","","33",""
"1","100931","1.3","110","1","1340001","0","1","10","34","02_uek_cmn_idol_def_N"
"1","101331","1.3","110","1","1340002","10","1","180","34","02_uek_cmn_idol_def_N"
"1","","","","93","1340003","","","","34",""
"101331","02_uek_cmn_pose01","0.2","1","3","1340004","1","0.2","02_uek_cmn_idol_def_N","34",""
"101331","來到宇宙啦！\n人家超嗨\n爆嗨的啦！","","10","11","1340005","0","","0","34",""
"0","","","","91","1340006","","","","34",""
"100931","02_uek_34_anna","0.2","0","3","1340007","1","0","02_uek_34_anna_loop","34",""
"100931","呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","","10","11","1340008","0","","0","34",""
"1","100231","1.3","100","1","1350001","-60","1","-200","35","01_uek_cmn_idol_def_N"
"1","100331","1.3","100","1","1350002","10","1","0","35","01_uek_cmn_idol_def_N"
"1","100131","1.3","100","1","1350003","20","1","200","35","01_uek_cmn_idol_def_N"
"8","8","1","0","31","1350004","1","","270","35",""
"100231","01_uek_35_yui","0.2","0","3","1350005","1","0.2","01_uek_35_yui_loop","35",""
"100331","01_uek_35_rei","0.2","0","3","1350006","1","0.2","01_uek_35_rei_loop","35",""
"100131","01_uek_cmn_pose03","0.2","1","3","1350007","","","","35",""
"100231","快看，是流星…！\n大家一起\n許願吧！","","10","11","1350008","0","","0","35",""
"0","","","","91","1350009","","","","35",""
"100331","嗯，是呀。\n這個情境\n很適合我們呢。","","10","11","1350010","0","","0","35",""
"0","","","","91","1350011","","","","35",""
"100131","贊成！\n那麼我要許……\n嗯、嗯……！","","10","11","1350012","0","","0","35",""
"0","","","","91","1350013","","","","35",""
"1","102531","1.3","110","1","1360001","5","0","105","36","03_uek_cmn_idol_def_N"
