476b5651a24a2b699824c7677c6655d0453773c9ad5365584237825d4aaff7de,2cb4057e850f59e2455960c7aef3d2d4dc0664893a9f806a64c041bfe9da7dea,a13c48ec74610296da0c7eb0c90acad293878acda16ae6767c8e65ac305a0fff,d4eaa00b74866a7ed64e881219bfc567dc6e7d3943290f9a9ebc997a47061cb9,6482354cf7740e6b64c042ffc1c77efb299df72031fe8c4bd061e0c792d253ea,cb260fb4415d8dd6860ce279da6dc8c45f187f23256f4a6710e60d947a8128f3,b7ae205ae1c8f5a2afefd984ad0de3d3ff58b69495afec1992c9aa00b0fe8c51
"1001601","vo_minigame_1004","vo_minigame_1004_top_2_027","10016","2","嘿，妳還滿行的嘛！","1"
"1001602","vo_minigame_1004","vo_minigame_1004_top_2_028","10016","1","嘉夜夜也比我想像的還厲害呢！","2"
"1001701","vo_minigame_1004","vo_minigame_1004_top_2_029","10017","2","喂～似龍生物？","1"
"1001702","vo_minigame_1004","vo_minigame_1004_top_2_030","10017","3","咕麼！？（噫！）","2"
"1001801","vo_minigame_1004","vo_minigame_1004_top_2_031","10018","2","哎呀，那時真是不好意思啊哈哈哈！","1"
"1001802","vo_minigame_1004","vo_minigame_1004_top_2_032","10018","3","咕麼麼麼……（嘉夜夜 好可怕）","2"
"1001901","vo_minigame_1004","vo_minigame_1004_top_2_033","10019","2","你啊……還真是一臉呆樣呢。","1"
"1001902","vo_minigame_1004","vo_minigame_1004_top_2_034","10019","3","咕麼……（妳還 敢說我）","2"
"1002001","vo_minigame_1004","vo_minigame_1004_top_2_044","10020","3","咕麼……（肚子餓了 想要巧克力）","2"
"1002002","vo_minigame_1004","vo_minigame_1004_top_2_045","10020","2","怎麼了？睏了嗎？","1"
"1002101","vo_minigame_1004","vo_minigame_1004_top_2_046","10021","3","咕麼麼（這傢伙……好危險）","2"
"1002102","vo_minigame_1004","vo_minigame_1004_top_2_047","10021","2","嗯？　怎麼了？想當我的小弟嗎？","1"
"1002201","vo_minigame_1004","vo_minigame_1004_top_2_048","10022","3","咕麼……（嘉夜夜是 肌肉笨蛋）","2"
"1002202","vo_minigame_1004","vo_minigame_1004_top_2_049","10022","2","喂，你現在在想沒禮貌的事吧？","1"
"1002301","vo_minigame_1004","vo_minigame_1004_top_3_058","10023","2","欸，這個要持續到什麼時候？","1"
"1002302","vo_minigame_1004","vo_minigame_1004_top_3_059","10023","1","到嘉夜夜投降為止！","2"
"1002303","vo_minigame_1004","vo_minigame_1004_top_3_060","10023","3","咕麼麼！（給我投降！）","2"
"1002401","vo_minigame_1004","vo_minigame_1004_top_3_065","10024","3","咕麼！（祈梨 我想要巧克力）","2"
"1002402","vo_minigame_1004","vo_minigame_1004_top_3_066","10024","1","真拿你沒辦法，不可以吃太多哦！","1"
"1002403","vo_minigame_1004","vo_minigame_1004_top_3_067","10024","2","你好像很喜歡伴手禮的巧克力呢。","1"
"1002501","vo_minigame_1004","vo_minigame_1004_top_3_068","10025","3","咕麼！（我不會輸給 嘉夜夜！）","2"
"1002502","vo_minigame_1004","vo_minigame_1004_top_3_069","10025","2","哦？怎麼了？是肚子餓了嗎？","1"
"1002503","vo_minigame_1004","vo_minigame_1004_top_3_070","10025","1","……完全無法溝通。","2"
