cc7b6c1d1748ea6fbcdf45095d56748b953ee7c28b7abf7922c9f3d87d11bedc,c836db830b0941226c28095f4934feb1ed2c397471184df7bda0e78be7c1b29a,689bdbc143bebfd038320f681fdedb24950a7256c734e38c6ff0ea1944bc838b,419b608157de588373fefc46b99018e42b06fe1c66d49ead6a5a659e83b00fe9,e0b49402ef80d032b5af76355be7f43e4bfaa041c7842a9de9bb0135c5aef3a2,214b3a93d89e48d49280f786af69a01a59c51f6fe7fc1ae0f9222bbb43a4941d,66212e2ee9271b88243fe20156bf05baf1b963fb75d5cac3b47dd68867d7ab13,4c9f4c202f86e78346e3e2271254792a3da07c13bc325fc3c5939c060a0988b7,d1d2e2b846089358756874246ae732e81d4e8811ad2aa148291e73166813b52e,efba51914fa1a2f625a1d24bc72f67f6b91abdccb30aea872ebd4fe8f22ee66d,d31e61ed41becc1693e5c1a566dec5d87901aad61dbdad28082c128714dcbc65
"0.2","","3000","3","0","1000001","wait","","","130000004",""
"","","3000","35","","2","1","","","130000005",""
"","","3000","93","","4.9","0","","","130000006",""
"0","0.95","3000","123","0.95","0.95","0.95","","0.4","130000007",""
"","","3000","32","","300000","1","","","130000008",""
"","","3000","93","","0.1","0","","","130000009",""
"","","3000","32","","2","0","","","130000010",""
"","","3000","93","","0.1","0","","","130000011",""
"","","3000","32","","996","1","","","130000012",""
"0","","3000","3","0","1000001","joy_from_wait","","","130000013",""
"","","3000","93","","1.9","0","","","130000014",""
"0","","3000","3","0","1000001","glad_from_joy","","","130000015",""
"","","3000","93","","1.5","0","","","130000016",""
"0.2","","3000","3","1","1000001","run_gatein","","","130000017",""
"","","3000","23","","se_travel","se_travel_treasure_cha_run","","","130000018",""
"","1","3000","2","-195","1000001","450","","0","130000019",""
"","","3000","93","","0.5","1","","","130000020",""
"0.4","1","3000","6","1","1000001","1","0","0","130000021",""
"","","3000","93","","0.4","0","","","130000022",""
"","","3000","113","","1","","","","130000023",""
"0","0","3001","31","345.4","300100","300100","","1","130010001",""
"1","0","3001","31","345.4","990001","990001","","1","130010002",""
"","","3001","91","","0","","","","130010003",""
"0","1.05","3001","123","1.05","1.05","1.05","","7.4","130010004",""
"0.2","","3001","3","0","1000001","wait","","","130010005",""
"","","3001","35","","2","1","","","130010006",""
"","","3001","93","","5.4","0","","","130010007",""
"0","0.95","3001","123","0.95","0.95","0.95","","0.4","130010008",""
"0.2","","3001","3","0","1000001","glad","","","130010009",""
"","","3001","32","","300100","1","","","130010010",""
"","","3001","32","","996","1","","","130010011",""
"","","3001","93","","0.1","0","","","130010012",""
"","","3001","32","","2","0","","","130010013",""
"","","3001","32","","3","0","","","130010014",""
"","","3001","93","","1.5","0","","","130010015",""
"0.2","","3001","3","0","1000001","joy","","","130010016",""
"","","3001","93","","1.7","0","","","130010017",""
"0","","3001","3","1","1000001","run_gatein","","","130010018",""
"","1","3001","2","-195","1000001","450","","0","130010019",""
"","","3001","93","","0.5","1","","","130010020",""
"0.4","1","3001","6","1","1000001","1","0","0","130010021",""
"","","3001","93","","0.4","0","","","130010022",""
"","","3001","113","","1","","","","130010023",""
"0","0","3002","31","345.4","300100","300100","","1","130020001",""
"1","0","3002","31","345.4","990002","990002","","1","130020002",""
"","","3002","91","","0","","","","130020003",""
"0","1.05","3002","123","1.05","1.05","1.05","","7.4","130020004",""
"0.2","","3002","3","0","1000001","wait","","","130020005",""
"","","3002","35","","2","1","","","130020006",""
"","","3002","93","","5.4","0","","","130020007",""
"0","0.95","3002","123","0.95","0.95","0.95","","0.4","130020008",""
"0.2","","3002","3","0","1000001","glad","","","130020009",""
"","","3002","32","","300100","1","","","130020010",""
"","","3002","32","","996","1","","","130020011",""
"","","3002","93","","0.1","0","","","130020012",""
"","","3002","32","","2","0","","","130020013",""
"","","3002","32","","3","0","","","130020014",""
"","","3002","93","","1.5","0","","","130020015",""
"0.2","","3002","3","0","1000001","joy","","","130020016",""
"","","3002","93","","1.7","0","","","130020017",""
"0","","3002","3","1","1000001","run_gatein","","","130020018",""
"","1","3002","2","-195","1000001","450","","0","130020019",""
"","","3002","93","","0.5","1","","","130020020",""
"0.4","1","3002","6","1","1000001","1","0","0","130020021",""
"","","3002","93","","0.4","0","","","130020022",""
"","","3002","113","","1","","","","130020023",""
"0","0","3011","31","345.4","6","6","","1","130110001",""
"0","0","3011","31","345.4","8","8","","1","130110002",""
"0","0","3011","31","345.4","301100","301100","","1","130110003",""
"","","3011","91","","0","","","","130110004",""
"0","1.05","3011","123","1.05","1.05","1.05","","7.4","130110005",""
"0.2","","3011","3","0","1000001","wait","","","130110006",""
"","","3011","35","","2","1","","","130110007",""
"","","3011","93","","4.9","0","","","130110008",""
"0","0.95","3011","123","0.95","0.95","0.95","","0.3","130110009",""
"","","3011","23","0","se_travel","se_travel_treasure_ghost_success","","","130110010",""
"","","3011","32","","8","1","","","130110011",""
"","","3011","35","","8","0","","","130110012",""
"","","3011","32","","6","1","","","130110013",""
"","","3011","93","","0.1","0","","","130110014",""
"","","3011","32","","2","0","","","130110015",""
"","","3011","32","","3","0","","","130110016",""
"","","3011","3","0","1000001","dotEyes","","","130110017",""
"","","3011","93","","0.87","0","","","130110018",""
"0.2","","3011","3","0","1000001","glad","","","130110019",""
"","","3011","32","","301100","1","","","130110020",""
"","","3011","35","","8","1","","","130110021",""
"","","3011","93","","0.6","0","","","130110022",""
"","","3011","32","","996","1","","","130110023",""
"","","3011","93","","0.5","0","","","130110024",""
"","","3011","3","0","1000001","joy","","","130110025",""
"","","3011","93","","1.67","0","","","130110026",""
"0","","3011","3","1","1000001","run_gatein","","","130110027",""
"","1","3011","2","-195","1000001","450","","0","130110028",""
"","","3011","93","","0.5","1","","","130110029",""
"0.4","1","3011","6","1","1000001","1","0","0","130110030",""
"","","3011","93","","0.4","0","","","130110031",""
"","","3011","113","","1","","","","130110032",""
"0.2","","3012","3","1","1000001","idle","","","130120001",""
"0","0","3012","31","0","301200","13","","1","130120002",""
"0","0","3012","31","0","101","14","","1","130120003",""
"0","-150","3012","31","260","301204","16","","1","130120004",""
"0","0","3012","31","0","301205","17","","1","130120005",""
"0","0","3012","31","345.4","6","18","","1","130120006",""
"0","0","3012","31","345.4","301201","20","","1","130120007",""
"0","0","3012","31","345.4","301202","21","","1","130120008",""
"1","9340","3012","5","55","1","3","0","-234","130120009","round_monster_walk"
"","","3012","91","","0","","","","130120010",""
"0","1","3012","6","1","3","1","0","0","130120011",""
"0","0","3012","2","-234","3","345","0","0","130120012",""
"0","1.05","3012","123","1.05","1.05","1.05","0","7.4","130120013",""
"0.2","","3012","3","0","1000001","wait","","","130120014",""
"","","3012","35","","2","1","","","130120015",""
"0","0","3012","31","0","301203","15","","1","130120016",""
"0.89","9340","3012","1","57","2","1000002","0","-250","130120017","<weapon>_run"
"","","3012","93","","4.3","0","","","130120018",""
"0","0.95","3012","123","0.95","0.95","0.95","","0.4","130120019",""
"","","3012","32","","21","1","","","130120020",""
"","","3012","35","","21","0","","","130120021",""
"","","3012","23","","se_travel","se_travel_treasure_success_monster_helper_1","","","130120022",""
"","","3012","32","","18","1","","","130120023",""
"","","3012","93","","0.1","0","","","130120024",""
"","","3012","32","","2","0","","","130120025",""
"0.3","1","3012","6","1","3","1","0","1","130120026",""
"","","3012","32","","13","1","","","130120027",""
"","","3012","3","0","3","round_monster_appear","","","130120028",""
"","","3012","3","0","1000001","back","","","130120029",""
"","","3012","93","","0.67","0","","","130120030",""
"0.2","","3012","3","0","3","round_monster_walk","","","130120031",""
"","1.4","3012","2","-234","3","220","","0","130120032",""
"","","3012","32","","20","1","","","130120033",""
"","","3012","93","","0.1","0","","","130120034",""
"","","3012","32","","18","0","","","130120035",""
"","","3012","93","","0.5","0","","","130120036",""
"","","3012","4","","1000002","1","","","130120037",""
"","0","3012","2","-240","1000002","1445","","0","130120038",""
"","","3012","93","","0.5","0","","","130120039",""
"0.3","","3012","3","0","3","round_monster_attack","","","130120040",""
"","","3012","93","","0.5","0","","","130120041",""
"","","3012","32","","17","1","","","130120042",""
"0.1","","3012","3","0","1000001","back_loop","","","130120043",""
"","","3012","93","","0.5","0","","","130120044",""
"","0","3012","2","-240","1000002","950","","0","130120045",""
"","0.16","3012","2","-240","1000002","650","","0","130120046",""
"0.2","","3012","3","0","1000002","<weapon>_run","","","130120047",""
"","","3012","93","","0.16","0","","","130120048",""
"0.2","","3012","3","0","1000002","<weapon>_attack_skipQuest","","","130120049",""
"","","3012","93","","0.1","0","","","130120050",""
"","0","3012","2","-234","3","280","","0","130120051",""
"","","3012","4","","3","1","","","130120052",""
"0.2","","3012","3","0","3","round_monster_die","","","130120053",""
"","","3012","32","","16","1","","","130120054",""
"","","3012","93","","0.5","0","","","130120055",""
"","0","3012","2","-240","1000001","20","","0","130120056",""
"0","","3012","3","0","1000001","back_origin","","","130120057",""
"0.2","","3012","3","0","1000001","surprise","","","130120058",""
"0.2","","3012","3","1","1000002","<weapon>_idle","","","130120059",""
"","","3012","93","","0.66","0","","","130120060",""
"","","3012","32","","15","1","","","130120061",""
"","","3012","32","","996","1","","","130120062",""
"0.6","1","3012","6","1","3","1","","0","130120063",""
"0.2","","3012","3","0","1000001","joy_short","","","130120064",""
"","","3012","32","","18","1","","","130120065",""
"","","3012","93","","0.02","0","","","130120066",""
"","","3012","32","","20","0","","","130120067",""
"","","3012","32","","21","0","","","130120068",""
"","","3012","93","","1.5","0","","","130120069",""
"0.2","","3012","3","0","1000001","smile","","","130120070",""
"0","","3012","3","1","1000002","<weapon>_run","","","130120071",""
"","","3012","4","","1000002","0","","","130120072",""
"","2","3012","2","-250","1000002","1500","","0","130120073",""
"","","3012","93","","1","0","","","130120074",""
"0.2","1","3012","6","1","1000002","1","","0","130120075",""
"0.2","","3012","3","1","1000001","run_gatein","","","130120076",""
"","1","3012","2","-200","1000001","360","","0","130120077",""
"","","3012","93","","0.5","0","","","130120078",""
"0.4","1","3012","6","1","1000001","1","","0","130120079",""
"","","3012","93","","0.4","0","","","130120080",""
"","","3012","113","","1","0","","","130120081",""
"0","0","3013","31","345.4","301300","301300","","1","130130001",""
"","","3013","91","","0","","","","130130002",""
"0.2","","3013","3","0","1000001","wait_gradeUp","","","130130003",""
"","","3013","32","","301300","1","","","130130004",""
"","","3013","93","","0.1","0","","","130130005",""
"","","3013","32","","2","0","","","130130006",""
"","","3013","93","","0.8","0","","","130130007",""
"0","1.05","3013","123","1.05","1.05","1.05","","0","130130008",""
"","","3013","122","0.5","5","5","","","130130009",""
"","","3013","93","","1.1","0","","","130130010",""
"0","1.05","3013","123","1.05","1.05","1.05","","0","130130011",""
"","","3013","122","0.5","10","10","","","130130012",""
"","","3013","93","","0.8","0","","","130130013",""
"0.2","","3013","3","0","1000001","glad","","","130130014",""
"","","3013","93","","0.1","0","","","130130015",""
"2","0.907","3013","123","0.907","0.907","0.907","","2","130130016",""
"","","3013","93","","0.3","0","","","130130017",""
"","","3013","32","","996","1","","","130130018",""
"","","3013","93","","0.5","0","","","130130019",""
"0.2","","3013","3","0","1000001","joy","","","130130020",""
"","","3013","93","","1.7","0","","","130130021",""
"0","","3013","3","1","1000001","run_gatein","","","130130022",""
"","1","3013","2","-195","1000001","450","","0","130130023",""
"","","3013","93","","0.5","1","","","130130024",""
"0.4","1","3013","6","1","1000001","1","0","0","130130025",""
"","","3013","93","","0.4","0","","","130130026",""
"","","3013","113","","1","","","","130130027",""
"0","0","3014","31","345.4","301400","301400","","1","130140001",""
"","","3014","91","","0","","","","130140002",""
"0","1.05","3014","123","1.05","1.05","1.05","","7.4","130140003",""
"0.2","","3014","3","0","1000001","wait","","","130140004",""
"","","3014","32","","301400","1","","","130140005",""
"","","3014","93","","0.1","0","","","130140006",""
"","","3014","32","","2","0","","","130140007",""
"","","3014","93","","3.4","0","","","130140008",""
"5","0.95","3014","123","0.95","0.95","0.95","","3.2","130140009",""
"","","3014","93","","1.6","0","","","130140010",""
"0.2","","3014","3","0","1000001","relief","","","130140011",""
"","","3014","32","","996","1","","","130140012",""
"","","3014","93","","1.7","0","","","130140013",""
"0","","3014","3","1","1000001","run_gatein","","","130140014",""
"","1","3014","2","-195","1000001","450","","0","130140015",""
"","","3014","93","","0.5","1","","","130140016",""
"0.4","1","3014","6","1","1000001","1","0","0","130140017",""
"","","3014","93","","0.4","0","","","130140018",""
"","","3014","113","","1","","","","130140019",""
"0","0","3015","31","345.4","301501","301501","","1","130150001",""
"1","0","3015","31","345.4","301500","301500","","1","130150002",""
"","","3015","91","","0","","","","130150003",""
"0","1.05","3015","123","1.05","1.05","1.05","","7.4","130150004",""
"0.2","","3015","3","0","1000001","wait_wakuwaku","","","130150005",""
"","","3015","35","","2","1","","","130150006",""
"","","3015","93","","5.4","0","","","130150007",""
"0","0.95","3015","123","0.95","0.95","0.95","","0.4","130150008",""
"0.2","","3015","3","0","1000001","glad","","","130150009",""
"","","3015","32","","301501","1","","","130150010",""
"","","3015","32","","996","1","","","130150011",""
"","","3015","93","","0.1","0","","","130150012",""
"","","3015","32","","2","0","","","130150013",""
"","","3015","32","","3","0","","","130150014",""
"","","3015","93","","1.5","0","","","130150015",""
"0.2","","3015","3","0","1000001","joy","","","130150016",""
"","","3015","93","","1.7","0","","","130150017",""
"0","","3015","3","1","1000001","run_gatein","","","130150018",""
"","1","3015","2","-195","1000001","450","","0","130150019",""
"","","3015","93","","0.5","1","","","130150020",""
"0.4","1","3015","6","1","1000001","1","0","0","130150021",""
"","","3015","93","","0.4","0","","","130150022",""
"","","3015","113","","1","","","","130150023",""
"0","0","3016","31","345.4","6","6","","1","130160001",""
"0","0","3016","31","345.4","8","8","","1","130160002",""
"0","-80","3016","31","345.4","301600","301600","","1","130160003",""
"0","0","3016","31","345.4","301601","301601","","1","130160004",""
"1","0","3016","31","345.4","990002","990002","","1","130160005",""
"","","3016","91","","0","","","","130160006",""
"0","1.05","3016","123","1.05","1.05","1.05","","7.4","130160007",""
"0.2","","3016","3","0","1000001","wait","","","130160008",""
"","","3016","35","","2","1","","","130160009",""
"","","3016","93","","5.4","0","","","130160010",""
"0","0.95","3016","123","0.95","0.95","0.95","","0.4","130160011",""
"","","3016","32","","8","1","","","130160012",""
"","","3016","35","","8","0","","","130160013",""
"","","3016","32","","301600","1","","","130160014",""
"","","3016","32","","6","1","","","130160015",""
"","","3016","93","","0.1","0","","","130160016",""
"","","3016","32","","2","0","","","130160017",""
"","","3016","32","","3","0","","","130160018",""
"0.1","","3016","3","0","1000001","glad","","","130160019",""
"","","3016","23","0","se_travel","se_travel_treasure_success_butterfly","","","130160020",""
"","","3016","93","","0.5","0","","","130160021",""
"","","3016","35","","8","1","","","130160022",""
"","","3016","93","","1.1","0","","","130160023",""
"","","3016","32","","301601","1","","","130160024",""
"","","3016","32","","996","1","","","130160025",""
"0.2","","3016","3","0","1000001","joy","","","130160026",""
"","","3016","93","","1.67","0","","","130160027",""
"0","","3016","3","1","1000001","run_gatein","","","130160028",""
"","","3016","23","0","se_travel","se_travel_treasure_cha_run","","","130160029",""
"","1","3016","2","-195","1000001","450","","0","130160030",""
"","","3016","93","","0.5","1","","","130160031",""
"0.4","1","3016","6","1","1000001","1","0","0","130160032",""
"","","3016","93","","0.4","0","","","130160033",""
"","","3016","113","","1","","","","130160034",""
"0","0","3017","31","345.4","310000","310000","","1","130170001",""
"0","0","3017","31","0","310001","310001","","1","130170002",""
"0","0","3017","31","345.4","301700","301700","","1","130170003",""
"0","-115","3017","31","740","301701","301701","","1","130170004",""
"0","0","3017","31","345.4","301702","301702","","1","130170005",""
"0","0","3017","31","345.4","301703","301703","","1","130170006",""
"0.44","610","3017","5","100","5","15","0","-235","130170007","empty"
"0.44","610","3017","5","55","5","16","0","-235","130170008","empty"
"","","3017","91","","0","","","","130170009",""
"0","1.05","3017","123","1.05","1.05","1.05","","7.4","130170010",""
"0.2","","3017","3","0","1000001","wait","","","130170011",""
"","","3017","35","","2","1","","","130170012",""
"","","3017","93","","5.4","0","","","130170013",""
"0","0.95","3017","123","0.95","0.95","0.95","","0.3","130170014",""
"","","3017","32","","310000","1","","","130170015",""
"","","3017","32","","310001","1","","","130170016",""
"","","3017","93","","0.2","0","","","130170017",""
"","","3017","122","0.6","50","50","","","130170018",""
"0.2","","3017","3","0","1000001","shock","","","130170019",""
"","","3017","93","","1.6","0","","","130170020",""
"","","3017","32","","301700","1","","","130170021",""
"","","3017","93","","1.2","0","","","130170022",""
"","","3017","23","0","se_travel","se_travel_treasure_croce_ui","","","130170023",""
"","","3017","3","0","15","punch","","","130170024",""
"","","3017","3","0","16","punch_B","","","130170025",""
"","","3017","93","","0.2","0","","","130170026",""
"11","1.05","3017","123","1.05","1.05","1.05","","0.1","130170027",""
"","","3017","93","","0.1","0","","","130170028",""
"0","0.95","3017","123","0.95","0.95","0.95","","0.3","130170029",""
"","","3017","93","","1","0","","","130170030",""
"","","3017","23","0","se_travel","se_travel_treasure_croce_door","","","130170031",""
"","","3017","93","","0.4","0","","","130170032",""
"","","3017","32","","301701","1","","","130170033",""
"","","3017","93","","0.9","0","","","130170034",""
"0","1.05","3017","123","1.05","1.05","1.05","","0","130170035",""
"","","3017","122","0.6","75","75","","","130170036",""
"","","3017","32","","301702","1","","","130170037",""
"","","3017","93","","0.4","0","","","130170038",""
"","","3017","32","","2","0","","","130170039",""
"","","3017","32","","310000","0","","","130170040",""
"","","3017","93","","0.4","0","","","130170041",""
"11","0.95","3017","123","0.95","0.95","0.95","","2","130170042",""
"","","3017","93","","0.2","0","","","130170043",""
"0.2","","3017","3","0","1000001","glad","","","130170044",""
"","","3017","32","","301703","1","","","130170045",""
"","","3017","93","","0.1","0","","","130170046",""
"","","3017","32","","996","1","","","130170047",""
"","","3017","93","","0.9","0","","","130170048",""
"0.2","","3017","3","0","1000001","joy","","","130170049",""
"","","3017","93","","1.7","0","","","130170050",""
"0","","3017","3","1","1000001","run_gatein","","","130170051",""
"","","3017","23","","se_travel","se_travel_treasure_cha_run","","","130170052",""
"","1","3017","2","-195","1000001","450","","0","130170053",""
"","","3017","93","","0.5","1","","","130170054",""
"0.4","1","3017","6","1","1000001","1","0","0","130170055",""
"","","3017","93","","0.4","0","","","130170056",""
"","","3017","113","","1","","","","130170057",""
"0","0","3100","31","345.4","310000","310000","","1","131000001",""
"0","0","3100","31","0","310001","310001","","1","131000002",""
"","","3100","91","","0","","","","131000003",""
"0","1.05","3100","123","1.05","1.05","1.05","","7.4","131000004",""
"0.2","","3100","3","0","1000001","wait","","","131000005",""
"","","3100","35","","2","1","","","131000006",""
"","","3100","93","","5.4","0","","","131000007",""
"0","0.95","3100","123","0.95","0.95","0.95","","0.3","131000008",""
"","","3100","32","","310000","1","","","131000009",""
"","","3100","32","","310001","1","","","131000010",""
"","","3100","93","","0.2","0","","","131000011",""
"","","3100","122","0.6","50","50","","","131000012",""
"0.2","","3100","3","0","1000001","shock","","","131000013",""
"","","3100","93","","1.6","0","","","131000014",""
"","","3100","113","","2","","","","131000015",""
"0","0","3111","31","345.4","6","6","","1","131110001",""
"0","0","3111","31","345.4","7","7","","1","131110002",""
"0","0","3111","31","345.4","8","8","","1","131110003",""
"1.3","8000","3111","5","55","3","13","0","0","131110004","appear"
"","","3111","91","","0","","","","131110005",""
"0","1","3111","6","1","13","1","0","0","131110006",""
"","0","3111","2","-250","13","95","","0","131110007",""
"0","1.05","3111","123","1.05","1.05","1.05","","7.4","131110008",""
"0.2","","3111","3","0","1000001","wait","","","131110009",""
"","","3111","35","","2","1","","","131110010",""
"","","3111","93","","4.9","0","","","131110011",""
"0","0.95","3111","123","0.95","0.95","0.95","","0.3","131110012",""
"","","3111","23","0","se_travel","se_travel_treasure_ghost_fail","","","131110013",""
"","","3111","32","","8","1","","","131110014",""
"","","3111","35","","8","0","","","131110015",""
"","","3111","32","","6","1","","","131110016",""
"","","3111","93","","0.1","0","","","131110017",""
"","","3111","32","","2","0","","","131110018",""
"","","3111","32","","3","0","","","131110019",""
"","","3111","3","0","1000001","dotEyes","","","131110020",""
"","","3111","93","","0.3","0","","","131110021",""
"","","3111","3","0","13","appear","","","131110022",""
"0","1","3111","6","1","13","1","0","1","131110023",""
"","","3111","93","","0.67","0","","","131110024",""
"","","3111","3","0","1000001","shock_jump","","","131110025",""
"","1","3111","2","-250","1000001","70","","0","131110026",""
"","","3111","93","","1.1","0","","","131110027",""
"","","3111","3","1","1000001","escape","","","131110028",""
"","1.2","3111","2","-250","1000001","-350","","0","131110029",""
"","","3111","3","0","13","march","","","131110030",""
"","","3111","93","","0.2","0","","","131110031",""
"","","3111","32","","7","1","","","131110032",""
"","","3111","93","","0.1","0","","","131110033",""
"","","3111","32","","6","0","","","131110034",""
"","","3111","93","","1.6","0","","","131110035",""
"","","3111","113","","2","","","","131110036",""
"0.2","","3112","3","1","1000001","idle","","","131120001",""
"0","0","3112","31","0","301200","13","","1","131120002",""
"0","0","3112","31","0","101","14","","1","131120003",""
"0","0","3112","31","0","301205","15","","1","131120004",""
"0","-170","3112","31","130","301206","16","","1","131120005",""
"0","0","3112","31","345.4","6","18","","1","131120006",""
"0","0","3112","31","345.4","301201","20","","1","131120007",""
"0","0","3112","31","345.4","301202","21","","1","131120008",""
"1","9340","3112","5","55","1","3","0","-234","131120009","round_monster_walk"
"","","3112","91","","0","","","","131120010",""
"0","1","3112","6","1","3","1","0","0","131120011",""
"0","0","3112","2","-234","3","345","0","0","131120012",""
"0","1.05","3112","123","1.05","1.05","1.05","0","7.4","131120013",""
"0.2","","3112","3","0","1000001","wait","","","131120014",""
"","","3112","35","","2","1","","","131120015",""
"","","3112","93","","4.3","0","","","131120016",""
"0","0.95","3112","123","0.95","0.95","0.95","","0.4","131120017",""
"","","3112","32","","21","1","","","131120018",""
"","","3112","35","","21","0","","","131120019",""
"","","3112","23","","se_travel","se_travel_treasure_monster_failure","","","131120020",""
"","","3112","32","","18","1","","","131120021",""
"","","3112","93","","0.1","0","","","131120022",""
"","","3112","32","","2","0","","","131120023",""
"0.3","1","3112","6","1","3","1","0","1","131120024",""
"","","3112","32","","13","1","","","131120025",""
"","","3112","3","0","3","round_monster_appear","","","131120026",""
"","","3112","3","0","1000001","back","","","131120027",""
"","","3112","93","","0.67","0","","","131120028",""
"0.2","","3112","3","0","3","round_monster_walk","","","131120029",""
"0","1.4","3112","2","-234","3","220","0","0","131120030",""
"","","3112","32","","20","1","","","131120031",""
"","","3112","93","","0.1","0","","","131120032",""
"","","3112","32","","18","0","","","131120033",""
"","","3112","93","","1","0","","","131120034",""
"0.3","","3112","3","0","3","round_monster_attack","","","131120035",""
"","","3112","93","","0.5","0","","","131120036",""
"","","3112","32","","15","1","","","131120037",""
"0.2","","3112","3","1","1000001","back_loop","","","131120038",""
"","","3112","93","","1","0","","","131120039",""
"","","3112","32","","16","1","","","131120040",""
"","","3112","122","0.5","0","50","","","131120041",""
"","0","3112","2","-250","1000001","40","","0","131120042",""
"0","","3112","3","0","1000001","shock_jump","","","131120043",""
