fa8b2f61aad4df1df04e81e6e2125eff48c4e474e5a8f88ef7bcde3a3e86bb33,7f40ea7bef47d44134854b51ecb14e70baf3e6f7983105461c2db7e65588cf84,5c362cf4bf34dc8a1f70a3569758b0647c979e927f43a3d720e2bc525f363820,a44a1fe40128311ec7c508e1d701d91879e74fcd29743ce0020d9de75e271593,3a12c1698d561f38df359007645d8ab02aa53ef3c334b30c166eb955bc4d0b5c,8a060e3e3810b0e26b1ed55b0bed98fec82116f9a9fa9d545e6a79477128ef38,e071386a22e50bfdf9ffe52ac5d60b7a417159a9fbef83b626a85c5769a2e8c7,ff8e1ed93d5e41df1e727ca375c000f6490904d0f84f0b6cd04f0f4e9efc33b4,ecdf2dc56dc735947e6ac2bc67a2c4cdb74c35948fc8d0e230b5648556925a81,5a4ba5e576697a92683b019fb303e2da3398c39de4a3e907659545bb6c1b60e4,d9087056ff7fb2281b1dab5a1a80a9415529d55ba3f999a15ec7cb65ffc7496e,26130e29531438f08bc4f4f48c279b8e463ee13c4724a58dfbe2abdd838cfbf2,f7a1e01d0406375aa896980f419ed9a3e3f7f432eb1853711d7cd8df4daa07fe,b4b5ac9629f9b6fea6e5c61cfea6994fa17236f181803b25429b72ae742202dd,3906423bb47ec4218cf11c5862040822056bbf74395a8541cab59e277cfc5de6,133ae975d6f924dc017cb7e765f66e873e11ed3590c8499123525402197d6ee8,9c2b593e6288a0c2f65c8d04e325e1c428b6cad7d3474fb0f3cae8befb2e4493,52a0301866f19bdfd6b0a50336e7b5611b5f9402b6b0bb5492979f467044e6fc,8ab7b4d4759bab95a4468ab910c747cc7ee18e12dcc390cd2c4e491ccbcfad31,799974eb536756305d93ebafa8cdacbbe2201ff48f311e7ad393a4d3e931d8d4
"1","棒球的打擊手將球擊出後，採□□□□□，從本壘起跑。","36870","逆時針方向","6","2","6","0","6","","26178","1079","這個的名稱是什麼？","26041","1","37341","6","21521","6","逆時針方向"
"1","在標準的足球比賽中，兩隊各派十一名球員參賽，裡面包括□□球員與一名□□□。","21313","十名守門員","6","2","6","0","6","","21517","1080","這個的名稱是什麼？","38272","1","23432","6","21729","6","十名守門員"
"2","籃球犯規之一。某一方球員，用語言或動作挑逗對手、包括恐嚇、威脅對手會稱為：","25216","技術性犯規","6","2","6","0","6","","34899","1081","這個的名稱是什麼？","29359","1","24615","6","35215","6","技術性犯規"
"1","排球的六種技術","25509","接發球攔網","6","2","6","0","6","發球、接發球、舉球、扣球、攔網、防守","30332","1082","這個的名稱是什麼？","25876","1","29699","6","32178","6","發球、接發球、舉球、扣球、攔網、防守"
"1","在運動會的開幕典禮上，會有選手代表出來宣讀承諾","36939","運動員宣誓","6","2","6","0","6","","21205","1083","這個的名稱是什麼？","23459","1","21729","6","35475","6","運動員宣誓"
"1","在陸上競技或游泳中，於起跑時以上身低伏的姿勢出發。","36466","蹲踞式起跑","6","2","6","0","6","","36382","1085","這個的名稱是什麼？","36215","1","24335","6","36305","6","蹲踞式起跑"
"3","體操有分團體與個人資格賽，計分方式為6 – 5 – 4 的是屬於哪一種","22296","團體資格賽","6","2","6","0","6","","39636","1086","這個的名稱是什麼？","26684","1","36039","6","36093","6","團體資格賽"
"2","游泳時腳不胡亂擺動，而是雙腳同時用力踢水。近似於某種動物的游泳方式。另一種說法為海豚踢","28023","海豚式打腿","6","2","6","0","6","","35930","1095","這個的名稱是什麼？","25171","1","24335","6","33151","6","海豚式打腿"
"3","「日和（★6）」的必殺技。","21644","和燃燒衝擊","6","1","6","1096","6","日和燃燒衝擊","29123","1096","這個的名稱是什麼？","34909","1","29138","6","25802","6","日和燃燒衝擊"
"2","小遊戲「 美里的全壘打訓練場」中投手「初音」所使用的消失的魔球。","21021","初音消失球","6","1","6","1099","6","初音☆消失球","38899","1099","這個的名稱是什麼？","22833","1","28040","6","29699","6","初音☆消失球"
"2","小遊戲「 美里的全壘打訓練場」中投手「嘉夜」所使用的燃燒的魔球。","26119","昇龍終結球","6","1","6","1102","6","","40845","1100","這個的名稱是什麼？","32080","1","32066","6","29699","6","昇龍終結球"
"1","小遊戲「 美里的全壘打訓練場」中「鈴奈」受社員們愛戴的□□□超級□□。","36229","超人氣名模","6","1","6","0","6","","20154","1101","這個的名稱是什麼？","21517","1","27683","6","27169","6","超人氣名模"
"2","小遊戲「 大激戰！龍人們的接龍競賽」是在哪一個島舉行？","33406","艾爾皮斯島","6","1","6","0","6","","29246","1102","這個的名稱是什麼？","26031","1","30382","6","23798","6","艾爾皮斯島"
"3","同時比拚精神與肉體強度的競技。交互進行西洋棋與某種運動。","35199","西洋棋拳擊","6","2","6","0","6","","27915","1104","這個的名稱是什麼？","25331","1","26827","6","25802","6","西洋棋拳擊"
"2","網球一局比賽只有一名球員發球，稱為該球員的「□□□」，率先贏得至少 4 分並多出對手至少 □□ 的運動員贏得一局。","30332","發球局2分","6","2","1","0","6","","29699","1105","這個的名稱是什麼？","50","1","23616","6","20998","6","發球局2分"
"3","在美式足球的護目鏡裡，為了保護眼睛而裝在頭盔面罩上的一種材料。","22609","塑膠製薄板","6","2","6","0","6","","33184","1106","這個的名稱是什麼？","34180","1","35069","6","26495","6","塑膠製薄板"
"1","美式足球的另一種名稱。","32654","美式橄欖球","6","2","6","0","6","","24335","1107","這個的名稱是什麼？","27414","1","27204","6","29699","6","美式橄欖球"
"2","籃球比賽中，每隊要在□□秒內進攻，投籃成功的話一般是□分，如果是在三分線以外投籃的話，就會得到□分，而在罰球情況下成功的會有□分。","50","24231","1","2","1","0","1","","52","1115","這個的名稱是什麼？","51","1","50","1","49","1","24231"
"3","野外定向是利用□□與□□□，於限時內找出預設的控制點。","22320","地圖指南針","6","2","6","0","6","地圖指南針","22294","1116","這個的名稱是什麼？","21335","1","25351","6","37341","6","地圖指南針"
"3","現在飛鏢比賽最常見的規則，也是飛鏢世錦賽的規則","53","501規則","1","2","6","0","1","","48","1117","這個的名稱是什麼？","35215","1","49","1","21063","6","501規則"
"2","高爾夫的得分名稱，比標準桿多一桿。(請用英文回答)","66","BOGEY","2","2","2","0","2","","79","1120","這個的名稱是什麼？","69","1","71","2","89","2","BOGEY"
"2","意指棒球比賽因遭遇惡劣天候或比分差距過大等情況時，於中途提前結束。","21069","前結束比賽","6","2","6","0","6","提前結束比賽","32080","1121","這個的名稱是什麼？","27604","1","26463","6","36093","6","提前結束比賽"
"1","棒球的投球方式之一。大幅扭轉身體投球的動作令人聯想到龍捲風。","40845","龍捲風式投","6","2","6","0","6","龍捲風式投法","25458","1122","這個的名稱是什麼？","24335","1","39080","6","25237","6","龍捲風式投法"
"1","滑雪的一種。運動員使用滑雪板和雪杖於特定的雪場上做出指定和自選的動作","33258","自由式滑雪","6","2","6","0","6","自由式滑雪","30001","1123","這個的名稱是什麼？","28369","1","24335","6","38634","6","自由式滑雪"
"1","在《超異域公主連結Re:Dive》中，自己可以組成1支隊伍，與其他玩家設定好的1支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","25136","戰鬥競技場","6","1","6","0","6","戰鬥競技場","39717","1127","這個的名稱是什麼？","25216","1","31478","6","22580","6","戰鬥競技場"
"1","在《超異域公主連結Re:Dive》中，自己可以組成3支隊伍，與其他玩家設定好的3支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","20844","公主競技場","6","1","6","0","6","公主競技場","20027","1130","這個的名稱是什麼？","25216","1","31478","6","22580","6","公主競技場"
"2","在《超異域公主連結Re:Dive》的戰鬥中，和「TP」有莫大關聯的能力。","84","TP上升量","2","2","6","0","2","TP上升(或下降)量","80","1131","這個的名稱是什麼？","21319","1","19978","6","37327","6","TP上升(或下降)量"
"1","「棒球」是「Baseball」。那麼「桌球」是？","84","Table","3","2","3","0","2","Table Tennis","97","1132","這個的名稱是什麼？","108","1","98","3","101","3","Table Tennis"
"3","什麼樣的打法的桌球拍正反兩面都會使用反膠，比較容易打旋轉球","19978","上旋球打法","6","2","6","0","6","","26059","1134","這個的名稱是什麼？","25171","1","29699","6","27861","6","上旋球打法"
"1","籃球位置有五個。控球後衛、得分後衛、小前鋒、□□□與□□","22823","大前鋒中鋒","6","2","6","0","6","","21069","1136","這個的名稱是什麼？","20013","1","37586","6","37586","6","大前鋒中鋒"
"3","羽球球拍分為三種。","34507","蛋頭小平頭","6","2","6","0","6","蛋頭、小平頭、中平頭","38957","1138","這個的名稱是什麼？","24179","1","23567","6","38957","6","蛋頭、小平頭、中平頭"
"2","會使用必殺技「亂數聖域」的角色。","20811","克莉絲提娜","6","1","6","0","6","克莉絲提娜","33673","1140","這個的名稱是什麼？","25552","1","32114","6","23068","6","克莉絲提娜"
"2","在進行有氧運動時，心跳須達到□□□□□的65%到85%區間，持續至少20分鐘，才是有效的有氧運動。","26368","最大心跳率","6","2","6","0","6","","22823","1141","這個的名稱是什麼？","36339","1","24515","6","29575","6","最大心跳率"
"2","哈達瑜珈是最常見的瑜珈。它是以□□□呼吸與□□鍛鍊為主","26997","極度的身體","6","2","6","0","6","極度的呼吸與身體鍛鍊","24230","1142","這個的名稱是什麼？","36523","1","30340","6","39636","6","極度的呼吸與身體鍛鍊"
"1","使用阻力帶進行重量訓練稱為？","38459","阻力帶訓練","6","2","6","0","6","","21147","1146","這個的名稱是什麼？","35347","1","24118","6","32244","6","阻力帶訓練"
"2","世界歷史十大名刀排行第四。","23612","尼泊爾彎刀","6","2","6","0","6","尼泊爾廓爾喀彎刀","27850","1151","這個的名稱是什麼？","24398","1","29246","6","20992","6","尼泊爾廓爾喀彎刀"
"2","美式足球常見犯規之一。進攻隊伍的隊員在開球前移動。","36914","進攻方提前","6","2","6","0","6","進攻方提前移動","25915","1153","這個的名稱是什麼？","25552","1","26041","6","21069","6","進攻方提前移動"
"3","雙人跳水的評分裁判分為？","21313","十一人九人","6","2","6","0","6","十一人制與九人制","19968","1157","這個的名稱是什麼？","20061","1","20154","6","20154","6","十一人制與九人制"
"1","使用必殺技「新年稜鏡」的角色","20284","似似花新年","6","1","6","0","6","似似花（新年）","20284","1164","這個的名稱是什麼？","26032","1","33457","6","24180","6","似似花（新年）"
"3","使用必殺技「庭園之盾」的角色","21682","咲戀聖誕節","6","1","6","0","6","咲戀（聖誕節）","25088","1166","這個的名稱是什麼？","35477","1","32854","6","31680","6","咲戀（聖誕節）"
"2","在【美里的夏日聲援！追夢的盛夏棒球隊】的劇情裡，綾音每次進行打擊時會喊的口號是？","21513","吉全力揮擊","6","1","6","0","6","噗吉全力揮擊","20840","1168","這個的名稱是什麼？","25582","1","21147","6","25802","6","噗吉全力揮擊"
"1","「BB槍」的英文稱呼。","66","BBGun","2","2","3","0","2","BB槍=BB Guns","66","1170","這個的名稱是什麼？","117","1","71","2","110","3","BB槍=BB Guns"
"1","使用必殺技「極光聖界」的角色","21487","可可蘿公主","6","1","6","0","6","可可蘿（公主）","21487","1171","這個的名稱是什麼？","20844","1","34367","6","20027","6","可可蘿（公主）"
"2","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。（請用英文作答）","80","Provo","3","1","3","1172","2","挑釁=Provocative","114","1172","這個的名稱是什麼？","118","1","111","3","111","3","挑釁=Provocative"
"2","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。","29289","物理吸收護","6","1","6","1173","6","物理吸收護盾","29702","1173","這個的名稱是什麼？","25910","1","21560","6","35703","6","物理吸收護盾"
"3","「吉塔（★6）」的EX技能。戰鬥開始時，大幅度提升自己的物理攻擊力。","21133","劍聖之天賦","6","1","6","0","6","劍聖之天賦","32854","1174","這個的名稱是什麼？","22825","1","20043","6","36070","6","劍聖之天賦"
"2","「茜里（★6）」的必殺技。","34701","融心惡魔的","6","1","6","0","6","融心惡魔的魅惑","24515","1175","這個的名稱是什麼？","39764","1","24801","6","30340","6","融心惡魔的魅惑"
"1","《超異域公主連結Re:Dive》\n的戰鬥用語之一。","77","MULTI","2","1","2","1176","2","MULTI TARGETS","85","1176","這個的名稱是什麼？","84","1","76","2","73","2","MULTI TARGETS"
"3","關於水肺潛水，潛水者通過呼吸調節器從壓縮氣瓶中呼吸，廢氣直接排放在水中。","38283","開放式水肺","6","2","6","0","6","開放式水肺","25918","1178","這個的名稱是什麼？","27700","1","24335","6","32954","6","開放式水肺"
"1","西洋棋的棋盤是由64個□□相間與□□□網格組成。","40657","黑白八乘八","6","2","6","0","6","黑白相間與八乘八網格","30333","1179","這個的名稱是什麼？","20056","1","20843","6","20843","6","黑白相間與八乘八網格"
"2","世界歷史十大名刀排行第二。","26085","日本武士刀","6","2","6","0","6","","26412","1180","這個的名稱是什麼？","22763","1","27494","6","20992","6","日本武士刀"
"2","跑酷的技能：護身，是以雙腳著地後，用□□□□□滾的動作","38617","雙手向前翻","6","2","6","0","6","雙手向前翻","25163","1181","這是什麼？","21069","1","21521","6","32763","6","雙手向前翻"
"3","如何將連續進行3種運動的「鐵人三項」按照項目的順序來排列？","28216","游泳自行車","6","2","6","0","6","游泳⇒自行車⇒長跑","27891","1182","這是什麼？","34892","1","33258","6","36554","6","游泳⇒自行車⇒長跑"
"2","為保齡球用語，第一球沒有全倒，第二球全部擊倒。(請用英文作答)","83","SPARE","2","2","2","0","2","","80","1183","這個的名稱是什麼？","82","1","65","2","69","2","SPARE"
"2","為保齡球用語，連續三次全倒。(請用英文作答)","85","URKEY","2","2","2","0","2","TURKEY","82","1184","這個的名稱是什麼？","69","1","75","2","89","2","TURKEY"
"2","在棒球等運動中，若是陷入同分的膠著時，為了得到結果所適用的特別規則。","31361","突破僵局制","6","2","6","0","6","突破僵局制","30772","1185","這個的名稱是什麼？","23616","1","20725","6","21046","6","突破僵局制"
"2","為保齡球用語，第一球全倒。(請用英文作答)","84","TRIKE","2","2","2","0","2","STRIKE","82","1186","這個的名稱是什麼？","75","1","73","2","69","2","STRIKE"
"1","撞球是使用□□□來撞擊□□。","25758","撞球桿母球","6","2","6","0","6","撞球桿撞擊母球","29699","1187","這個的名稱是什麼？","27597","1","26751","6","29699","6","撞球桿撞擊母球"
"2","在高爾夫中，用了比標準桿數多1次才打完為「柏忌」。那多出2次是什麼？(請用英文作答)","111","ouble","3","2","3","0","3","Double Bogey","117","1188","這個的名稱是什麼？","108","1","98","3","101","3","Double Bogey"
"2","釣魚工具的一種。任何負責將魚鉤的水下狀態變化傳遞到水面讓釣者能察覺的漁具。","21676","咬鉤指示器","6","2","6","0","6","","37476","1189","這個的名稱是什麼？","31034","1","25351","6","22120","6","咬鉤指示器"
"1","在拳擊等運動中，沙包用於打拳訓練，裝滿□□的□□□。","27801","沙子大袋子","6","2","6","0","6","沙子的大袋子","23376","1190","這個的名稱是什麼？","34955","1","22823","6","23376","6","沙子的大袋子"
"2","跳遠比賽中，賽次每個人只有三次試跳機會，每次起跳都要準確地在起跳線完成，如果起跳時超越了起跳線，則被判罰為？","19968","一次起失敗","6","2","6","0","6","一次起跳失敗","27425","1191","這個的名稱是什麼？","22833","1","36215","6","25943","6","一次起跳失敗"
"2","花式滑冰指定動作的短曲，包括跳躍、□□和□□□。","26059","旋轉連接步","6","2","6","0","6","旋轉和連接步","36681","1192","這個的名稱是什麼？","25509","1","36899","6","27493","6","旋轉和連接步"
"2","雪橇的滑道是由□□□或□□所建成","28151","混凝土木頭","6","2","6","0","6","混凝土或木頭","20957","1193","這個的名稱是什麼？","26408","1","22303","6","38957","6","混凝土或木頭"
"2","比賽用的雪橇為木製，前方沒有舵板，在後方也沒有制動閘，只於底部有一對用以□□□□□滑板。","28369","滑行的金屬","6","2","6","0","6","","34892","1194","這個的名稱是什麼？","37329","1","30340","6","23660","6","滑行的金屬"
"2","重量訓練清單中的三巨頭有仰□□□、□□、硬舉。","33253","臥推舉深蹲","6","2","6","0","6","仰臥推舉、深蹲、硬舉","25512","1195","這個的名稱是什麼？","28145","1","33289","6","36466","6","仰臥推舉、深蹲、硬舉"
"2","單板滑雪中，左腳踩在前方滑稱為Regular stance，那反過來稱為什麼？ (請用英文作答)","71","GOOFY","2","2","2","0","2","","79","1196","這個的名稱是什麼？","70","1","79","2","89","2","GOOFY"
"1","水之精靈注入精靈之力的斧頭。","27700","水靈破壞者","6","1","6","1197","6","","38728","1197","這個的名稱是什麼？","22750","1","30772","6","32773","6","水靈破壞者"
"1","新人冒險者身上得攜帶的物品非常多，所以這些口袋對他們來說非常重要。","30382","皮革工作服","6","1","6","1198","6","","38761","1198","這個的名稱是什麼？","20316","1","24037","6","26381","6","皮革工作服"
"3","SMG(衝鋒槍)的全名。","109","machi","3","2","3","0","3","SMG=Sub machine gun","97","1199","這個未經省略的全稱是？","104","1","99","3","105","3","SMG=Sub machine gun"
"3","SR(狙擊槍)的全名。","83","Snipe","3","2","3","0","2","SR=Snipe rifle","110","1200","這個未經省略的全稱是？","112","1","105","3","101","3","SR=Snipe rifle"
"1","滑雪有兩種，一種叫做「雙板(ski)」，另一種叫做？ (請用英文作答)","98","board","3","2","3","0","3","Snowboard","111","1201","這個的名稱是什麼？","114","1","97","3","100","3","Snowboard"
"1","踢踏舞是使用專用的鞋子，一邊用□□和□□□響地板一邊跳舞。","33139","腳尖腳跟敲","6","2","6","0","6","腳尖和腳跟敲","23574","1202","這個的名稱是什麼？","36319","1","33139","6","25970","6","腳尖和腳跟敲"
"2","軍隊中「軍醫」的英文稱呼是？","101","edica","3","2","3","0","3","Medical Officer","100","1203","這個的名稱是什麼？","99","1","105","3","97","3","Medical Officer"
"2","在戰爭中，包圍敵人的城，等待對方食物耗盡並投降的戰法。","26039","斷糧食戰術","6","2","6","0","6","斷糧食戰術","31975","1204","這個的名稱是什麼？","25136","1","39135","6","34899","6","斷糧食戰術"
"3","LMG(輕機槍)的全名。","76","Light","3","2","3","0","2","LMG=Light machine gun","105","1205","這個的名稱是什麼？","104","1","103","3","116","3","LMG=Light machine gun"
"2","跑步持續跑了一定程度的時間後，就會暫時產生的一種快感。","36305","跑者愉悅感","6","2","6","0","6","","32773","1206","這個的名稱是什麼？","24709","1","24841","6","24863","6","跑者愉悅感"
"2","","97","artia","3","2","3","0","3","格鬥技=Martial arts","114","1207","這個的名稱是什麼？","105","1","116","3","97","3","格鬥技=Martial arts"
"2","比賽棒球投球準確度的遊戲。要瞄準並擊中寫有1到9的數字的板子。(請用英文作答)","83","Struc","3","2","3","0","2","Struck","116","1208","這個的名稱是什麼？","117","1","114","3","99","3","Struck"
"2","具備有映照潔白、盛開的櫻花般美麗的刀。","30334","百華白櫻刀","6","2","6","1209","6","","33775","1209","這個的名稱是什麼？","27387","1","30333","6","20992","6","百華白櫻刀"
"2","「真琴（夏日）」的必殺技。","22799","夏日青狼擊","6","1","6","0","6","夏日青狼之擊","26085","1210","這個的名稱是什麼？","29436","1","38738","6","25802","6","夏日青狼之擊"
"2","越野滑雪因需要大量體力，所以又被稱為：","38634","雪上馬拉松","6","2","6","0","6","","19978","1211","這個的名稱是什麼？","25289","1","39340","6","26494","6","雪上馬拉松"
"1","跳台滑雪的運動員需藉由□□和□□□沿跳台下滑。","36895","速度彈跳力","6","2","6","0","6","速度和彈跳力","24230","1212","這個的名稱是什麼？","36339","1","24392","6","21147","6","速度和彈跳力"
"1","由足球衍生出來的運動，是室內五對五的足球。","20116","五人制足球","6","2","6","0","6","","20154","1213","這個的名稱是什麼？","36275","1","21046","6","29699","6","五人制足球"
"2","「咲戀（夏日）」的必殺技。","22799","夏日閃耀力","6","2","6","0","6","夏日閃耀之力","26085","1214","這個的名稱是什麼？","32768","1","38275","6","21147","6","夏日閃耀之力"
"1","韻律體操的球操是使用甚麼球？","27233","橡膠體操球","6","2","6","0","6","","33184","1215","這個的名稱是什麼？","25805","1","39636","6","29699","6","橡膠體操球"
"1","《超異域公主連結Re:Dive》的戰鬥用語之一。通常顯示於王關的左上方","84","TOTAL","2","1","2","0","2","TOTAL DAMAGE","79","1216","這個的名稱是什麼？","65","1","84","2","76","2","TOTAL DAMAGE"
"2","某種系統名稱。它的核心是一套電腦化的指揮決策與武器管制系統。英文名稱為Aegis combat system","31070","神盾戰鬥系","6","2","6","0","6","神盾戰鬥系統","30462","1217","這個的名稱是什麼？","39717","1","25136","6","31995","6","神盾戰鬥系統"
"3","在提升物理攻擊力和物理爆擊率的布丁能量領域內也會強化自己的技能，使出突襲的角色。","23470","宮子聖誕節","6","1","6","0","6","宮子（聖誕節）","23376","1218","這個的名稱是什麼？","35477","1","32854","6","31680","6","宮子（聖誕節）"
"2","用槍時，為求瞄準而使用的一種「瞄準裝置」。使用了所謂的「全像投影」技術。","20840","全像照準器","6","2","6","0","6","全像武器照準器","20687","1219","這個的名稱是什麼？","28310","1","29031","6","22120","6","全像武器照準器"
"2","經常出現在諜報電影裡，為消除槍聲而裝設在槍口的裝置。也被稱作「消音器」。","32882","聲音抑制器","6","2","6","0","6","","38899","1220","這個的名稱是什麼？","21046","1","25233","6","22120","6","聲音抑制器"
"1","使用必殺技「物件創造」的角色。","25289","拉比林斯達","6","1","6","0","6","","27604","1221","這個的名稱是什麼？","26031","1","26519","6","36948","6","拉比林斯達"
"1","在《超異域公主連結Re:Dive》中，可獲得大量的EXP藥水，一天可挑戰的次數為2次。","32147","經驗值冒險","6","1","6","0","6","","39511","1222","這個的名稱是什麼？","20882","1","20540","6","38570","6","經驗值冒險"
