1f1bc9e29abd3d65daba92e76327e3e62730a886457033ab68f71aa02d7c20cd,95458579346265014a7821bb833d751ea7798460c93fdb2e5849b5a9a8e2a31b,b8ba1722b8fc0cba87152dbc1a57c7aa71871e388671c4f42c11075763e33e35,0dde780e5f1dcf8cd2c718372eb2f39aaf1a48c79e501aa6ce6e641047bd9c4e,7a8b11da3bd9eb77ccfea3164b5c7643d3f6e30b7cb7e76be1554b55f3d069f7
"火屬性獎勵特大幅度提升","92407130","30","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407130","31","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407130","32","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407130","33","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407130","34","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407130","35","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407130","36","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407140","37","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407140","38","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407140","39","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407140","40","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407140","41","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407140","42","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407140","43","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407210","44","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407210","45","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407210","46","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407210","47","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407210","48","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407210","49","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407210","50","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"TP恢復","92407210","51","energy_recover","戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。"
"火屬性獎勵特大幅度提升","92407220","52","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407220","53","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407220","54","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407220","55","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407220","56","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407220","57","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407220","58","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407230","59","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407230","60","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407230","61","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407230","62","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407230","63","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407230","64","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407230","65","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407240","66","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407240","67","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407240","68","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407240","69","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407240","70","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407240","71","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407240","72","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407310","73","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407310","74","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407310","75","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407310","76","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407310","77","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407310","78","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407310","79","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407320","80","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407320","81","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407320","82","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407320","83","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407320","84","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407320","85","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407320","86","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407330","87","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407330","88","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407330","89","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407330","90","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407330","91","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407330","92","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407330","93","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"火屬性獎勵特大幅度提升","92407340","94","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"傷害值衰減","92407340","95","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"提升物理防禦力（不可降低）","92407340","96","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92407340","97","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92407340","98","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92407340","99","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"減少降低TP","92407340","100","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"水屬性獎勵特大幅度提升","92408010","101","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408010","102","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408010","103","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92408010","104","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408010","105","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408020","106","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408020","107","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408020","108","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92408020","109","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408020","110","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408030","111","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408030","112","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408030","113","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92408030","114","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408030","115","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408110","116","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408110","117","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408110","118","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408110","119","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408110","120","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408110","121","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408110","122","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408120","123","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408120","124","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408120","125","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408120","126","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408120","127","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408120","128","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408120","129","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408130","130","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408130","131","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408130","132","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408130","133","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408130","134","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408130","135","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408130","136","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408140","137","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408140","138","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408140","139","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408140","140","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408140","141","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408140","142","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408140","143","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408210","144","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408210","145","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408210","146","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408210","147","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408210","148","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408210","149","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408210","150","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408220","151","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408220","152","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408220","153","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408220","154","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408220","155","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408220","156","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408220","157","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408230","158","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408230","159","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408230","160","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408230","161","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408230","162","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408230","163","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408230","164","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408240","165","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408240","166","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408240","167","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408240","168","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408240","169","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408240","170","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408240","171","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408310","172","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408310","173","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408310","174","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408310","175","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408310","176","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408310","177","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408310","178","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408320","179","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408320","180","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408320","181","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408320","182","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408320","183","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408320","184","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408320","185","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408330","186","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408330","187","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408330","188","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408330","189","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408330","190","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408330","191","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408330","192","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"水屬性獎勵特大幅度提升","92408340","193","13","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92408340","194","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92408340","195","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92408340","196","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92408340","197","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92408340","198","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92408340","199","9","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"闇屬性獎勵特大幅度提升","92409010","200","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
