6261f431f96f1de06cc3b9562aa01eda35c3058d3c70d51a8d3f7cc10442e65f,65afe792ccc538aa3951619782773d2502b9edc857359db279cd167a689a9b2d,4c519ca43c7ace9f17a2237af9360982e5ea01ee161f0c92a4dc508aee1cc1ad,6ea1631a933867a0f0374c8453ac9bfacad4ef24b6daac4787f6408de07b42af,262b7bf562be5a41898c0c94422f15e2984c57b2428f0b56e0f18bdb080dce54,7f94c1372140c474e185ce4c8c9c7a0cccf21795a56f1edcdd0a029c64eaa9e4,23b2e5a5645388348110e5c25f02606974c4ec7a39b716fdd14bb08a1235f0f8,443912d2bb68d1d9e29296191738373318c2034404d8e7e90f42606a3298b445,fa181ff98c4f4cded4e9f49771d4f073bb99908b2d594dd20792a04f012a4927,8efbfefb0f56ca39b2a6e171c38d8f6005931911d10e3a79d8005181e766892c,2f31c36ec3d2640165b65797b667644b54d6947f27d72620c4449e124339afb3
"","3","5","","3","","1050008","","0.2","1","pkb_idle_normal_l"
"1","5","6","pkb_idle_normal_l","3","-155","1060001","64","57","100","3"
"0.2","3","6","","3","1","1060002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","6","","vo_minigame_1006","","1060003","0","","0","vo_minigame_1006_top_603"
"","11","6","0","3","0","1060004","0","0","8","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！"
"","93","6","","3","","1060005","","","",""
"","3","6","","3","1","1060006","pkb_idle_guts_l","0.2","0","pkb_talk_guts_l"
"","91","6","","1060004","","1060007","","","",""
"","3","6","","3","","1060008","","0.2","1","pkb_idle_normal_l"
"1","1","7","pkb_idle_normal","1","-175","1070001","64","1.65","100","113411"
"0.2","3","7","","113411","1","1070002","pkb_talk_joy1","0.2","0","pkb_talk_fun"
"","21","7","","vo_minigame_1006","","1070003","0","","0","vo_minigame_1006_top_201"
"0","11","7","0","113411","0","1070004","0","0","8","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！"
"","93","7","","3.4","","1070005","","","",""
"0.2","3","7","","113411","1","1070006","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","7","","1070004","","1070007","","","",""
"","3","7","","113411","","1070008","","0.2","1","pkb_idle_normal"
"1","1","8","pkb_idle_normal","1","-175","1080001","64","1.65","100","113411"
"","3","8","","113411","","1080002","","0.2","1","pkb_talk_joy2"
"","21","8","","vo_minigame_1006","","1080003","0","","0","vo_minigame_1006_top_202"
"0","11","8","-1","113411","0","1080004","0","0","8","初音也要一起\n幫忙練習～！\n閃亮亮～☆"
"","93","8","","3.6","","1080005","","","",""
"","3","8","","113411","","1080006","","0.2","0","pkb_hatsune_kiran"
"","91","8","","1080004","","1080007","","","",""
"","3","8","","113411","","1080008","","0.2","1","pkb_idle_normal"
"1","1","9","pkb_idle_normal","1","-175","1090001","64","1.65","100","113411"
"","3","9","","113411","","1090002","","0.2","1","pkb_talk_joy2"
"","21","9","","vo_minigame_1006","","1090003","0","","0","vo_minigame_1006_top_203"
"0","11","9","0","113411","0","1090004","0","0","6","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！"
"","93","9","","3","","1090005","","","",""
"0.2","3","9","","113411","1","1090006","pkb_idle_surprise1","0.2","0","pkb_surprise"
"","93","9","","1","","1090007","","","",""
"","3","9","","113411","","1090008","","0.2","1","pkb_talk_joy3"
"","91","9","","1090004","","1090009","","","",""
"","3","9","","113411","","1090010","","0.2","1","pkb_idle_normal"
"1","1","10","pkb_idle_normal","1","-175","1100001","64","1.65","100","106531"
"","3","10","","106531","1","1100002","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","10","","vo_minigame_1006","","1100003","0","","0","vo_minigame_1006_top_301"
"0","11","10","0","106531","0","1100004","0","0","8","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！"
"","93","10","","2.8","","1100005","","","",""
"","3","10","","106531","","1100006","","0.2","1","pkb_talk_joy1"
"","91","10","","1100004","","1100007","","","",""
"","3","10","","106531","","1100008","","0.2","1","pkb_idle_normal"
"1","1","11","pkb_idle_normal","1","-175","1110001","64","1.65","100","106531"
"","3","11","","106531","","1110002","","0.2","1","pkb_talk_normal"
"","21","11","","vo_minigame_1006","","1110003","0","","0","vo_minigame_1006_top_302"
"0","11","11","0","106531","0","1110004","0","0","8","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？"
"","93","11","","3.2","","1110005","","","",""
"0.2","3","11","","106531","1","1110006","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","91","11","","1110004","","1110007","","","",""
"","3","11","","106531","","1110008","","0.2","1","pkb_idle_normal"
"1","1","12","pkb_idle_normal","1","-175","1120001","64","1.65","100","106531"
"0.2","3","12","","106531","1","1120002","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","12","","vo_minigame_1006","","1120003","0","","0","vo_minigame_1006_top_303"
"0","11","12","0.5","106531","0","1120004","0","0","8","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！"
"","93","12","","3.2","","1120005","","","",""
"","3","12","","106531","1","1120006","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","91","12","","1120004","","1120007","","","",""
"","3","12","","106531","","1120008","","0.2","1","pkb_idle_normal"
"1","1","13","pkb_idle_normal","1","-175","1130001","64","1.65","100","102311"
"0.4","3","13","","102311","1","1130002","pkb_talk_joy1","0.2","0","pkb_talk_fun"
"","21","13","","vo_minigame_1006","","1130003","0","","0","vo_minigame_1006_top_401"
"0","11","13","0","102311","0","1130004","0","0","8","今天也要打很多球！\n一起加油吧，\n噗吉！"
"","91","13","","1130004","","1130005","","","",""
"","3","13","","102311","","1130006","","0.2","1","pkb_idle_normal"
"1","1","14","pkb_idle_normal","1","-175","1140001","64","1.65","100","102311"
"","3","14","","102311","","1140002","","0.2","1","pkb_talk_joy1"
"","21","14","","vo_minigame_1006","","1140003","0","","0","vo_minigame_1006_top_402"
"0","11","14","0","102311","0","1140004","0","0","8","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！"
"","93","14","","3","","1140005","","","",""
"","3","14","","102311","1","1140006","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","91","14","","1140004","","1140007","","","",""
"","3","14","","102311","","1140008","","0.2","1","pkb_idle_normal"
"1","1","15","pkb_idle_normal","1","-175","1150001","64","1.65","100","102311"
"","3","15","","102311","","1150002","","0.2","1","pkb_talk_wish"
"","21","15","","vo_minigame_1006","","1150003","0","","0","vo_minigame_1006_top_403"
"0","11","15","-0.5","102311","0","1150004","0","0","8","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！"
"","93","15","","2.4","","1150005","","","",""
"0.4","3","15","","102311","1","1150006","pkb_talk_joy1","0.2","0","pkb_talk_fun"
"","91","15","","1150004","","1150007","","","",""
"","3","15","","102311","","1150008","","0.2","1","pkb_idle_normal"
"1","5","16","pkb_idle_normal_l","1","-155","1160001","64","57","100","1"
"0.2","3","16","","1","1","1160002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","16","","vo_minigame_1006","","1160003","0","","0","vo_minigame_1006_top_701"
"0","11","16","0","1","0","1160004","0","0","8","以全國大賽為目標，\n今天也來努力練習吧！"
"","93","16","","2.6","","1160005","","","",""
"0.2","3","16","","1","1","1160006","pkb_idle_doya_l","0.2","0","pkb_talk_doya_l"
"","91","16","","1160004","","1160007","","","",""
"","3","16","","1","","1160008","","0.2","1","pkb_idle_normal_l"
"1","5","17","pkb_idle_normal_l","1","-155","1170001","64","57","100","1"
"","3","17","","1","1","1170002","pkb_idle_guts_l","0.2","0","pkb_talk_guts_l"
"","21","17","","vo_minigame_1006","","1170003","0","","0","vo_minigame_1006_top_702"
"0","11","17","0","1","0","1170004","0","0","8","為了實現夢想，\n大家來盡全力\n練習吧！"
"","91","17","","0","","1170005","","","",""
"","3","17","","1","","1170006","","0.2","1","pkb_idle_normal_l"
"1","5","18","pkb_idle_normal_l","1","-155","1180001","64","57","100","1"
"0.2","3","18","","1","1","1180002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","18","","vo_minigame_1006","","1180003","0","","0","vo_minigame_1006_top_703"
"0","11","18","0","1","0","1180004","0","0","8","社員們也都\n進步了好多……\n我可不能落後了！"
"","93","18","","2.9","","1180005","","","",""
"","3","18","","1","1","1180006","pkb_idle_guts_l","0.2","0","pkb_talk_guts_l"
"","91","18","","1180004","","1180007","","","",""
"","3","18","","1","","1180008","","0.2","1","pkb_idle_normal_l"
"1","5","19","pkb_idle_normal_l","2","-155","1190001","64","57","100","2"
"0.2","3","19","","2","1","1190002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","19","","vo_minigame_1006","","1190003","0","","0","vo_minigame_1006_top_801"
"0","11","19","0","2","0","1190004","0","0","8","我會把我的進步\n展現出來，畢竟\n我也是選手啊。"
"","93","19","","3.8","","1190005","","","",""
"","3","19","","2","1","1190006","pkb_idle_guts_l","0.2","0","pkb_talk_guts_l"
"","91","19","","1190004","","1190007","","","",""
"","3","19","","2","","1190008","","0.2","1","pkb_idle_normal_l"
"1","5","20","pkb_idle_normal_l","2","-155","1200001","64","57","100","2"
"","3","20","","2","1","1200002","pkb_idle_guts_l","0.2","0","pkb_talk_guts_l"
"","21","20","","vo_minigame_1006","","1200003","0","","0","vo_minigame_1006_top_802"
"0","11","20","0","2","0","1200004","0","0","8","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。"
"","93","20","","3.2","","1200005","","","",""
"","3","20","","2","1","1200006","pkb_idle_doya_l","0.2","0","pkb_talk_doya_l"
"","91","20","","1200004","","1200007","","","",""
"","3","20","","2","","1200008","","0.2","1","pkb_idle_normal_l"
"1","5","21","pkb_idle_normal_l","2","-155","1210001","64","57","100","2"
"0.2","3","21","","2","1","1210002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","21","","vo_minigame_1006","","1210003","0","","0","vo_minigame_1006_top_803"
"0","11","21","0","2","0","1210004","0","0","8","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。"
"","91","21","","0","","1210005","","","",""
"","3","21","","2","","1210006","","0.2","1","pkb_idle_normal_l"
"0","1","22","pkb_idle_normal","1","-150","1220001","-20","1.6","100","113511"
"1","1","22","pkb_idle_normal","1","-150","1220002","170","1.6","100","113411"
"","3","22","","113511","","1220003","","0.2","1","pkb_talk_joy1"
"","21","22","","vo_minigame_1006","","1220004","0","","0","vo_minigame_1006_top_talk_1_101"
"0","11","22","-0.5","113511","0","1220005","0","0","6","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪"
"","91","22","","0","","1220006","","","",""
"","3","22","","113511","","1220007","","0.2","1","pkb_idle_normal"
"","3","22","","113411","","1220008","","0.2","1","pkb_talk_joy1"
"","21","22","","vo_minigame_1006","","1220009","0","","0","vo_minigame_1006_top_talk_1_202"
"0","11","22","-0.5","113411","0","1220010","0","0","6","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！"
"","93","22","","4","","1220011","","","",""
"0","3","22","","113411","1","1220012","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","22","","1220010","","1220013","","","",""
"","3","22","","113411","","1220014","","0.2","1","pkb_idle_normal"
"1","1","23","pkb_idle_normal","1","-150","1230001","170","1.6","100","113411"
"0","1","23","pkb_idle_normal","1","-150","1230002","-20","1.6","100","113511"
"","3","23","","113411","","1230003","","0.2","1","pkb_talk_normal"
"","21","23","","vo_minigame_1006","","1230004","0","","0","vo_minigame_1006_top_talk_2_201"
"0","11","23","-1.5","113411","0","1230005","0","0","8","美里老師也來一起\n幫忙加油嘛！"
"","91","23","","0","","1230006","","","",""
"","3","23","","113411","","1230007","","0.2","1","pkb_idle_normal"
"","3","23","","113511","","1230008","","0.2","1","pkb_talk_normal"
"","21","23","","vo_minigame_1006","","1230009","0","","0","vo_minigame_1006_top_talk_2_102"
"0","11","23","3","113511","0","1230010","0","0","5","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！"
"","93","23","","4","","1230011","","","",""
"0.2","3","23","","113511","0","1230012","pkb_talk_fun","0.2","0","pkb_talk_fun"
"","93","23","","2.7","","1230013","","","",""
"0.2","3","23","","113511","1","1230014","pkb_talk_joy1","0.2","0","pkb_idle_normal"
"","91","23","","1230010","","1230015","","","",""
"","3","23","","113511","","1230016","","0.2","1","pkb_idle_normal"
"1","1","24","pkb_idle_normal","1","-150","1240001","170","1.6","100","113511"
"0","5","24","pkb_idle_normal","3","-130","1240002","-20","55","100","3"
"","3","24","","113511","","1240003","","0.2","1","pkb_talk_joy3"
"","21","24","","vo_minigame_1006","","1240004","0","","0","vo_minigame_1006_top_talk_3_101"
"0","11","24","-1","113511","0","1240005","0","0","6","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～"
"","93","24","","4","","1240006","","","",""
"","3","24","","113511","","1240007","","0.2","1","pkb_talk_wish"
"","91","24","","1240005","","1240008","","","",""
"","3","24","","113511","","1240009","","0.2","1","pkb_idle_normal"
"","3","24","","3","","1240010","","0.2","1","pkb_talk_normal"
"","21","24","","vo_minigame_1006","","1240011","0","","0","vo_minigame_1006_top_talk_3_602"
"0","11","24","-1","3","0","1240012","0","0","6","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！"
"","93","24","","2","","1240013","","","",""
"","3","24","","3","1","1240014","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","91","24","","1240012","","1240015","","","",""
"","3","24","","3","","1240016","","0.2","1","pkb_idle_normal"
"0","5","25","pkb_idle_normal","3","-130","1250001","-20","55","100","3"
"1","1","25","pkb_idle_normal","1","-150","1250002","170","1.6","100","113511"
"0.2","3","25","","3","1","1250003","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","25","","vo_minigame_1006","","1250004","0","","0","vo_minigame_1006_top_talk_4_601"
"0","11","25","-0.5","3","0","1250005","0","0","8","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！"
"","93","25","","3","","1250006","","","",""
"","3","25","","3","1","1250007","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","91","25","","1250005","","1250008","","","",""
"","3","25","","3","","1250009","","0.2","1","pkb_idle_normal"
"","3","25","","113511","","1250010","","0.2","1","pkb_talk_wish"
"","21","25","","vo_minigame_1006","","1250011","0","","0","vo_minigame_1006_top_talk_4_102"
"0","11","25","1","113511","0","1250012","0","0","6","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪"
"","93","25","","5.6","","1250013","","","",""
"0.2","3","25","","113511","1","1250014","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","25","","0","","1250015","","","",""
"","3","25","","113511","","1250016","","0.2","1","pkb_idle_normal"
"1","1","26","pkb_idle_normal","1","-150","1260001","170","1.6","100","113511"
"0","5","26","pkb_idle_normal","1","-130","1260002","-20","55","100","1"
"","3","26","","113511","","1260003","","0.2","1","pkb_talk_joy3"
"","21","26","","vo_minigame_1006","","1260004","0","","0","vo_minigame_1006_top_talk_5_101"
"0","11","26","0","113511","0","1260005","0","0","6","呵呵，老師也會\n一起協助你們練習的～"
"","91","26","","0","","1260006","","","",""
"","3","26","","113511","","1260007","","0.2","1","pkb_idle_normal"
"0.2","3","26","","1","1","1260008","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","21","26","","vo_minigame_1006","","1260009","0","","0","vo_minigame_1006_top_talk_5_702"
"0","11","26","-1","1","0","1260010","0","0","8","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！"
"","91","26","","0","","1260011","","","",""
"","3","26","","1","","1260012","","0.2","1","pkb_idle_normal"
"0","5","27","pkb_idle_normal","1","-130","1270001","-20","55","100","1"
"1","1","27","pkb_idle_normal","1","-150","1270002","170","1.6","100","113511"
"0.2","3","27","","1","1","1270003","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","27","","vo_minigame_1006","","1270004","0","","0","vo_minigame_1006_top_talk_6_701"
"0","11","27","-0.5","1","0","1270005","0","0","8","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！"
"","93","27","","2.6","","1270006","","","",""
"0.2","3","27","","1","1","1270007","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","91","27","","1270005","","1270008","","","",""
"","3","27","","1","","1270009","","0.2","1","pkb_idle_normal"
"","3","27","","113511","","1270010","","0.2","1","pkb_talk_joy3"
"","21","27","","vo_minigame_1006","","1270011","0","","0","vo_minigame_1006_top_talk_6_102"
"0","11","27","0.5","113511","0","1270012","0","0","6","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪"
"","93","27","","4","","1270013","","","",""
"","3","27","","113511","","1270014","","0.2","1","pkb_talk_wish"
"","91","27","","1270012","","1270015","","","",""
"","3","27","","113511","","1270016","","0.2","1","pkb_idle_normal"
"1","1","28","pkb_idle_normal","1","-150","1280001","170","1.6","100","113411"
"0","5","28","pkb_idle_normal","3","-130","1280002","-20","55","100","3"
"0.2","3","28","","113411","1","1280003","pkb_talk_joy1","0.2","0","pkb_talk_yell"
"","21","28","","vo_minigame_1006","","1280004","0","","0","vo_minigame_1006_top_talk_7_201"
"0","11","28","-0.5","113411","0","1280005","0","0","8","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！"
"","93","28","","4.6","","1280006","","","",""
"0.2","3","28","","113411","1","1280007","pkb_idle_normal","0.2","0","pkb_talk_fun"
"","91","28","","1280005","","1280008","","","",""
"","3","28","","113411","","1280009","","0.2","1","pkb_idle_normal"
"","3","28","","3","1","1280010","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","21","28","","vo_minigame_1006","","1280011","0","","0","vo_minigame_1006_top_talk_7_602"
"0","11","28","0","3","0","1280012","0","0","8","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！"
"","93","28","","5","","1280013","","","",""
"","3","28","","3","1","1280014","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","28","","1280012","","1280015","","","",""
"","3","28","","3","","1280016","","0.2","1","pkb_idle_normal"
"0","5","29","pkb_idle_normal","3","-130","1290001","-20","55","100","3"
"1","1","29","pkb_idle_normal","1","-150","1290002","170","1.6","100","113411"
"0.2","3","29","","3","1","1290003","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","29","","vo_minigame_1006","","1290004","0","","0","vo_minigame_1006_top_talk_8_601"
"0","11","29","-1","3","0","1290005","0","0","8","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！"
"","93","29","","2.8","","1290006","","","",""
"","3","29","","3","1","1290007","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","91","29","","1290005","","1290008","","","",""
"","3","29","","3","","1290009","","0.2","1","pkb_idle_normal"
"","3","29","","113411","","1290010","","0.2","1","pkb_talk_joy1"
"","21","29","","vo_minigame_1006","","1290011","0","","0","vo_minigame_1006_top_talk_8_202"
"0","11","29","-0.5","113411","0","1290012","0","0","8","包在我身上！\n我會比平常還要\n更努力加油打氣的～！"
"","93","29","","2.2","","1290013","","","",""
"0.4","3","29","","113411","0","1290014","pkb_smile","0.2","0","pkb_talk_fun"
"","93","29","","2.2","","1290015","","","",""
"","3","29","","113411","","1290016","","0.2","1","pkb_idle_normal"
"","91","29","","1290012","","1290017","","","",""
"","3","29","","113411","","1290018","","0.2","1","pkb_idle_normal"
"1","1","30","pkb_idle_normal","1","-150","1300001","170","1.6","100","113411"
"0","5","30","pkb_idle_normal","1","-130","1300002","-20","55","100","1"
"","3","30","","113411","","1300003","","0.2","1","pkb_talk_joy1"
"","21","30","","vo_minigame_1006","","1300004","0","","0","vo_minigame_1006_top_talk_9_201"
"0","11","30","1","113411","0","1300005","0","0","8","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！"
"","93","30","","5","","1300006","","","",""
"","3","30","","113411","1","1300007","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","30","","1300005","","1300008","","","",""
"","3","30","","113411","","1300009","","0.2","1","pkb_idle_normal"
"","3","30","","1","","1300010","","0.2","1","pkb_talk_normal"
"","21","30","","vo_minigame_1006","","1300011","0","","0","vo_minigame_1006_top_talk_9_702"
"0","11","30","-1","1","0","1300012","0","0","8","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！"
"","93","30","","3.3","","1300013","","","",""
"","3","30","","1","1","1300014","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","91","30","","1300012","","1300015","","","",""
"","3","30","","1","","1300016","","0.2","1","pkb_idle_normal"
"0","5","31","pkb_idle_normal","1","-130","1310001","-20","55","100","1"
"1","1","31","pkb_idle_normal","1","-150","1310002","170","1.6","100","113411"
"0.2","3","31","","1","1","1310003","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","31","","vo_minigame_1006","","1310004","0","","0","vo_minigame_1006_top_talk_10_701"
"0","11","31","-1.5","1","0","1310005","0","0","8","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！"
"","93","31","","3.6","","1310006","","","",""
"","3","31","","1","1","1310007","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","91","31","","1310005","","1310008","","","",""
"","3","31","","1","","1310009","","0.2","1","pkb_idle_normal"
"","3","31","","113411","","1310010","","0.2","1","pkb_talk_joy1"
"","21","31","","vo_minigame_1006","","1310011","0","","0","vo_minigame_1006_top_talk_10_202"
"0","11","31","-0.5","113411","0","1310012","0","0","8","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆"
"","93","31","","3.6","","1310013","","","",""
"","3","31","","113411","0","1310014","pkb_talk_fun","0.2","0","pkb_talk_fun"
"","93","31","","3","","1310015","","","",""
"","3","31","","113411","","1310016","","0.2","1","pkb_idle_normal"
"","91","31","","1310012","","1310017","","","",""
"0","5","32","pkb_idle_normal","2","-130","1320001","-20","55","100","2"
"1","1","32","pkb_idle_normal","1","-150","1320002","170","1.6","100","113411"
"","3","32","","2","1","1320003","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","21","32","","vo_minigame_1006","","1320004","0","","0","vo_minigame_1006_top_talk_11_801"
"0","11","32","0","2","0","1320005","0","0","8","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。"
"","93","32","","5","","1320006","","","",""
"","3","32","","2","1","1320007","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","91","32","","1320005","","1320008","","","",""
"","3","32","","2","","1320009","","0.2","1","pkb_idle_normal"
"","3","32","","113411","","1320010","","0.2","1","pkb_talk_joy2"
"","21","32","","vo_minigame_1006","","1320011","0","","0","vo_minigame_1006_top_talk_11_202"
"0","11","32","0","113411","0","1320012","0","0","8","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！"
"","93","32","","4.6","","1320013","","","",""
"0.2","3","32","","113411","1","1320014","pkb_idle_normal","0.2","0","pkb_hatsune_kiran"
"","91","32","","1320012","","1320015","","","",""
"","3","32","","113411","","1320016","","0.2","1","pkb_idle_normal"
"1","1","33","pkb_idle_normal","1","-150","1330001","170","1.6","100","102311"
"0","5","33","pkb_idle_normal","2","-130","1330002","-20","55","100","2"
"","3","33","","102311","","1330003","","0.2","1","pkb_talk_normal"
"","21","33","","vo_minigame_1006","","1330004","0","","0","vo_minigame_1006_top_talk_12_401"
"0","11","33","-0.5","102311","0","1330005","0","0","8","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！"
"","93","33","","1.6","","1330006","","","",""
"0.2","3","33","","102311","1","1330007","pkb_talk_joy1","0.2","0","pkb_talk_yell"
"","91","33","","1330005","","1330008","","","",""
"","3","33","","102311","","1330009","","0.2","1","pkb_idle_normal"
"","21","33","","vo_minigame_1006","","1330010","0","","0","vo_minigame_1006_top_talk_12_802"
"0","11","33","0","2","0","1330011","0","0","8","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。"
"","93","33","","0.5","","1330012","","","",""
"","3","33","","2","","1330013","","0.2","0","pkb_talk_yell"
"","93","33","","3","","1330014","","","",""
