6b8be3005c196cadc97adba79618c059a34110ff14276c26b195d5e86dd21070,3eb67a834214b40c7fbe69a6ff743c3e5437039772c5189a27287d580371e5b2,f079cae6bc116f9b7f5871c7a85d397fd01cecf3f04e51a3222dc6596f3961e4,22b6866cd220c465015e61e23eb753fb5a0b5268535c3b0b216f66d8a7471d03,733d3a117570a794e24b84fa0faa44d30d64f7ea1f422f7e6a00a56957f51d9d,99b3ea3ff0563f758ae5d6e9fdbee279e21226dcdc5d2e584b4d45c2f54da64f,21799b918ec99d6f35c7717fee99db96c44f0746bb7283853b885864f8d281b9,792688e6ab36d1026d950ab15aa8b2845b0133cdc3734b4de25815fd4e9c2f3c,6fec9a2b6dcccc2b1e5c8ccb6ddae4cd5d66a154c29715393675859d7ff064c7,a895c891e5b8fad44d678dcf9b23236bd952fa7068a6c89f0cb68fbb9ea88760,68e9dd8d1ce2cdd846981006f16d7947937766dee3dffc2c6a09d3bc116a32e1,870f463beedcf1f18f0205f32953a816f1597c47c8355cd534889652671c13ad
"10209501","600","2","0","1","0","3","0","5","0","5.5","610209105"
"10209501","0","1","0","2","60","0","0","5","0","1.5","610209106"
"10209501","0","1","0","3","0","0","0","5","0","1.5","610209107"
"10210201","600","2","5210322","1","0","3","5210321","5","0","5.5","610210102"
"10210201","0","1","5210323","2","65","0","0","5","0","1.5","610210103"
"10210201","0","1","0","3","0","0","0","5","0","1.5","610210104"
"10210501","600","2","0","1","0","3","0","5","0","5.5","610210105"
"10210501","0","1","0","2","60","0","0","5","0","1.5","610210106"
"10210501","0","1","0","3","0","0","0","5","0","1.5","610210107"
"10211201","600","2","5211322","1","0","3","5211321","5","0","5.5","610211102"
"10211201","0","1","5211323","2","40","0","0","5","0","1.5","610211103"
"10211201","0","1","0","3","0","0","0","5","0","1.5","610211104"
"10211501","600","2","0","1","0","3","0","5","0","5.5","610211105"
"10211501","0","1","0","2","45","0","0","5","0","1.5","610211106"
"10211501","0","1","0","3","0","0","0","5","0","1.5","610211107"
"10212201","600","2","5212322","1","0","3","5212321","5","0","5.5","610212102"
"10212201","0","1","5212323","2","60","0","0","5","0","1.5","610212103"
"10212201","0","1","0","3","0","0","0","5","0","1.5","610212104"
"10212501","600","2","0","1","0","3","0","5","0","5.5","610212105"
"10212501","0","1","0","2","60","0","0","5","0","1.5","610212106"
"10212501","0","1","0","3","0","0","0","5","0","1.5","610212107"
"10213201","600","2","5213322","1","0","3","5213321","5","0","5.5","610213102"
"10213201","0","1","5213323","2","60","0","0","5","0","1.5","610213103"
"10213201","0","1","0","3","0","0","0","5","0","1.5","610213104"
"10213501","600","2","0","1","0","3","0","5","0","5.5","610213105"
"10213501","0","1","0","2","60","0","0","5","0","1.5","610213106"
"10213501","0","1","0","3","0","0","0","5","0","1.5","610213107"
"10213251","600","2","5213332","1","0","5.5","5213331","5","0","5.5","610213152"
"10213251","0","1","5213333","2","70","0","0","5","0","1.5","610213153"
"10213251","0","1","0","3","0","0","0","5","0","1.5","610213154"
"10213551","600","2","0","1","0","5.5","0","5","0","5.5","610213155"
"10213551","0","1","0","2","70","0","0","5","0","1.5","610213156"
"10213551","0","1","0","3","0","0","0","5","0","1.5","610213157"
"10214201","600","2","5214322","1","0","3","5214321","5","0","5.5","610214102"
"10214201","600","2","5214323","2","0","3","0","5","0","1.5","610214103"
"10214201","0","1","0","3","0","0","0","5","0","1.5","610214104"
"10214501","600","2","0","1","0","3","0","5","0","5.5","610214105"
"10214501","600","2","0","2","0","3","0","5","0","1.5","610214106"
"10214501","0","1","0","3","0","0","0","5","0","1.5","610214107"
"10215201","600","2","5215322","1","0","3","5215321","5","0","5.5","610215102"
"10215201","600","2","5215323","2","0","3","0","5","0","1.5","610215103"
"10215201","0","1","0","3","0","0","0","5","0","1.5","610215104"
"10215501","600","2","0","1","0","3","0","5","0","5.5","610215105"
"10215501","600","2","0","2","0","3","0","5","0","1.5","610215106"
"10215501","0","1","0","3","0","0","0","5","0","1.5","610215107"
"10216201","600","2","5216322","1","0","3","5216321","5","0","5.5","610216102"
"10216201","0","1","5216323","2","55","0","0","5","0","1.5","610216103"
"10216201","0","1","0","3","0","0","0","5","0","1.5","610216104"
"10216501","600","2","0","1","0","3","0","5","0","5.5","610216105"
"10216501","0","1","0","2","55","0","0","5","0","1.5","610216106"
"10216501","0","1","0","3","0","0","0","5","0","1.5","610216107"
