90f3c53cf4a0d4dda4825e3de53cf6c9b09aba70ebd668cb13cc2915065a04a7,34982b532faf5a15a6d3283c3a83c6857eccd4f4f574147b6969c44482948c1b,146ff2ccd7b77f33b46fdc293f4b07eeb9007615df3b920dabc286f613202d87,b5913b180497034e6040f82aa9c84ab7ba35f9863cbb0b3eb4ea07e698d573c4,9e607056c7be2e52b95df3ec1f18d3d7d29edec1c35c8b7166a8d782e7d57d1e,9f0b280d6351966769c134d26bfdcee3714df9976b928891bfc9be8c84537156,699af9da810a5ff85208ff6eadcfba14f086c2b1714ab1462ccce6557c93a00a,f47a61cf49d91897e081e9fcc4c574f664f6a2215b3ee53c1f59623a1b675000
"srt_kaya_react_1,srt_kaya_waiting","srt_inori_select_1,srt_inori_idle","「{0}」這個詞如何！","PLAYER_SELECT_GREAT1","1","srt_dragon_select_1,srt_dragon_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038",""
"srt_kaya_react_2,srt_kaya_waiting","srt_inori_select_2,srt_inori_idle","哼哼～♪「{0}」！","PLAYER_SELECT_GREAT2","1","srt_dragon_select_2,srt_dragon_idle","correct_030-correct_031,correct_035-correct_036",""
"srt_kaya_react_1,srt_kaya_waiting","srt_inori_select_1,srt_inori_idle","呵呵呵，那就是\n「{0}」了！","PLAYER_SELECT_PRECONNE1","1","srt_dragon_select_1,srt_dragon_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038",""
"srt_kaya_react_2,srt_kaya_waiting","srt_inori_select_2,srt_inori_idle","腦中靈光一閃！\n是「{0}」呀！","PLAYER_SELECT_PRECONNE2","1","srt_dragon_select_2,srt_dragon_idle","correct_030-correct_031,correct_035-correct_036",""
"","","","PLAYER_SELECT_WAIT","-1","","",""
"srt_kaya_react_3,srt_kaya_waiting","srt_inori_miss,srt_inori_thinking","哇嗚！我、我搞錯了……","PLAYER_MISS","1","srt_dragon_miss,srt_dragon_thinking","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046",""
"srt_kaya_react_4","srt_inori_shock","喂喂，尾音是「鼻音」耶……","PLAYER_SELECT_N","2","","out_070",""
"srt_kaya_infever","srt_inori_thinking","我要積極進攻囉！","INFEVER","1","srt_dragon_thinking","rush",""
"","srt_inori_select_1","「{0}」！","FEVER_SELECT1","1","srt_dragon_select_1","correct_028-correct_029,correct_037-correct_038",""
"","srt_inori_select_2","是「{0}」呀！","FEVER_SELECT2","1","srt_dragon_select_2","correct_030-correct_031,correct_035-correct_036",""
"","srt_inori_miss","哇嗚！我、我搞錯了……","FEVER_MISS","1","srt_dragon_miss","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048",""
"srt_kaya_fever_damage","srt_inori_fever_attack","給我覺悟吧！","FEVER_DAMAGE","1","srt_dragon_fever_attack","rush_attack",""
"srt_kaya_lose","srt_inori_win_1","是我贏了！！","WIN_HP","1","srt_dragon_win","win_005-win_006,win_012-win_013",""
"","srt_inori_win_1","是我贏了！！","WIN_N","1","srt_dragon_win","win_005-win_006,win_012-win_013",""
"srt_kaya_win","srt_inori_lose","嗚嗚……是我輸了……","LOSE_MISS","1","srt_dragon_lose","lose_017,lose_019,lose_023",""
"","","嗚嗚……是我輸了……","LOSE_N","1","srt_dragon_miss","lose_017,lose_019,lose_023",""
"srt_kaya_win","srt_inori_lose","時、時間到了嗎！？我太大意了…… ","TIMEUP","1","srt_dragon_lose","lose_025/lose_026-boss_emote_068,lose_021",""
"srt_kaya_win","srt_inori_lose","嗚嗚……是我輸了……\n沒想到還有「{0}」可以接……","LOSE_MISS2","1","srt_dragon_lose","lose_017,lose_019,lose_023",""
"","","嗚嗚……是我輸了……\n應該還有「{0}」這個詞可以用……","LOSE_N2","1","srt_dragon_miss","lose_017,lose_019,lose_023",""
"srt_kaya_win","srt_inori_lose","時、時間到了嗎！？我太大意了…… \n應該要選「{0}」這個詞才對……","TIMEUP2","1","srt_dragon_lose","lose_025/lose_026-boss_emote_068,lose_021",""
