b486c8fa185b44bc310423a487e1b92c3de9b8fc026560e3a43ced12fd0571fd,e7e0af9f0a9c17cfb61c5837b3f0ca2d8b6e74f33a449a325298415390ce1edd,a6b13e10aedaf66364bee26022bff66702a11a1bb1cd2a849b51d034b3e4cdcb,924460479590bd289fcd116ccefd82542e8ee9c8e097b98a5311e69f5d6e3c57,058393f3e06cb018d161fc55f6e0ccb0b1d243380ac8a18bf000b209e6ad9e60,494049a9b4ea43a45a9116aaa28e80ac9b0ce7d0df09358327aeab4846d4304a,3f4918204d67e08cf13385b1e2cb7a21511e695424f30334d5c7fd4734021dfd,d921be8f07186053e5f26ff180e396fd0e867e678d85b3b3b12fee4de04083d5,f5bcb98dd65a042d0aa74225d8b7937eb2deffeb4212285115871525a38b8507,02a7def473bd67c4c875200b381f99cf44ef85a41b60cb98eb44811c15615f49,f3430f4fe1d3a9f698aaf6526a13fb4c9ec7307fb25cf2d97f3568949f5ecb8d
"1","3","0.2","101","104631","11010032","","nyx_cmn_04","","",""
"","93","","101","2","11010033","","","","",""
"0","3","0.2","101","2","11010034","nyx_101_chieru_loop","nyx_101_chieru_02","1","",""
"0","3","0.2","101","110931","11010035","nyx_101_chieru_loop","nyx_101_chieru_02","1","",""
"","93","","101","0.4","11010036","","","","",""
"","32","","101","3","11010037","","0","","",""
"","32","","101","4","11010038","","1","","",""
"","91","","101","11010026","11010039","","","","",""
"1","3","0.2","101","103431","11010040","","nyx_idle_bitter","","",""
"1","3","0.2","101","104831","11010041","","nyx_talk_sad","","",""
"10","11","","101","104831","11010042","","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","","",""
"","91","","101","0","11010043","","","","",""
"","4","","101","110931","11010044","","1","","",""
"","4","","101","2","11010045","","1","","",""
"0","3","0.2","101","2","11010046","nyx_101_chieru_loop","nyx_101_chieru_02","1","",""
"0","3","0.2","101","110931","11010047","nyx_101_chieru_loop","nyx_101_chieru_02","1","",""
"1","3","0.2","101","104831","11010048","","nyx_idle_sad","","",""
"1","3","0.2","101","104631","11010049","","nyx_talk_sad","","",""
"10","11","","101","104631","11010050","","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","","",""
"","91","","101","0","11010051","","","","",""
"1","3","0.2","101","104631","11010052","","nyx_idle_sad","","",""
"1","3","0.2","101","103431","11010053","","nyx_talk_sad","","",""
"10","11","","101","103431","11010054","","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","","",""
"","91","","101","0","11010055","","","","",""
"1","3","0.2","101","103431","11010056","","nyx_idle_sad","","",""
"1","3","0.2","101","103231","11010057","","nyx_talk_joy2","","",""
"10","11","","101","103231","11010058","","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","","",""
"","91","","101","0","11010059","","","","",""
"","93","","101","0.4","11010060","","","","",""
"","4","","101","110931","11010061","","0","","",""
"","4","","101","2","11010062","","0","","",""
"0","3","0.2","101","110931","11010063","nyx_101_chieru_loop","nyx_101_chieru_01","1","",""
"0","3","0.2","101","2","11010064","nyx_101_chieru_loop","nyx_101_chieru_01","1","",""
"1","12","","101","104831","11010065","","1","","",""
"0","3","0.2","101","104831","11010066","nyx_idle_sad","nyx_talk_sad","1","0.2",""
"","93","","101","0.4","11010067","","","","",""
"","32","","101","3","11010068","","0","","",""
"","32","","101","3","11010069","","1","","",""
"","93","","101","1.6","11010070","","","","",""
"1","12","","101","104631","11010071","","15","","",""
"0","3","0.2","101","104631","11010072","nyx_idle_sad","nyx_talk_sad","1","0.2",""
"","93","","101","3","11010073","","","","",""
"","4","","101","110931","11010074","","1","","",""
"","4","","101","2","11010075","","1","","",""
"0","3","0.2","101","110931","11010076","nyx_101_chieru_loop","nyx_101_chieru_02","1","",""
"0","3","0.2","101","2","11010077","nyx_101_chieru_loop","nyx_101_chieru_02","1","",""
"1","12","","101","103231","11010078","","10","","",""
"0","3","0.2","101","103231","11010079","nyx_idle_joy1","nyx_talk_joy1","1","0.2",""
"","93","","101","2","11010080","","","","",""
"1","12","","101","103431","11010081","","2","","",""
"0","3","0.2","101","103431","11010082","nyx_idle_sad","nyx_talk_sad","1","0.2",""
"","93","","101","2.5","11010083","","","","",""
"","101","","101","11010060","11010084","","","","",""
"110","1","1.35","102","1","11020001","-362","110831","-209.3","1","nyx_102_chloe_01"
"110","1","1.35","102","1","11020002","90","104831","-182.5","0","nyx_102_mifuyu_01"
"110","1","1.35","102","1","11020003","220","104631","-182.5","0","nyx_idle_normal"
"110","1","1.35","102","1","11020004","336","103231","-182.5","1","nyx_talk_normal"
"110","1","1.35","102","1","11020005","457","103431","-182.5","1","nyx_idle_normal"
"0","31","1","102","1","11020006","0","1","1","",""
"120","5","1.35","102","2","11020007","-362","2","-209.3","0","NoItem"
"","25","","102","bgm_M347","11020008","","bgm_M347","","",""
"","93","","102","2","11020009","","","","",""
"1","3","0.2","102","110831","11020010","","nyx_102_chloe_02","","",""
"10","11","","102","110831","11020011","","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","","",""
"","91","","102","0","11020012","","1","","",""
"1","3","0.2","102","110831","11020013","","nyx_idle_sad","","",""
"10","11","","102","110831","11020014","","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","","",""
"","91","","102","0","11020015","","1","","",""
"0","3","0.2","102","110831","11020016","nyx_102_chloe_02","cmn_pose02_def_N","1","0.2",""
"10","11","","102","110831","11020017","","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","","",""
"","93","","102","3","11020018","","","","",""
"1","3","0.2","102","103231","11020019","","nyx_idle_normal","","",""
"1","3","0.2","102","104631","11020020","","nyx_talk_sad","","",""
"","4","","102","110831","11020021","","0","","",""
"","91","","102","11020016","11020022","","","","",""
"","93","","102","1","11020023","","","","",""
"1","3","0.2","102","110831","11020024","","nyx_102_chloe_01","","",""
"10","11","","102","110831","11020025","","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","","",""
"","93","","102","2.5","11020026","","","","",""
"0","3","0.2","102","110831","11020027","nyx_102_chloe_03_loop","nyx_102_chloe_03","1","",""
"0","3","0.2","102","2","11020028","nyx_102_chloe_03_loop","nyx_102_chloe_03","1","",""
"","91","","102","11020025","11020029","","","","",""
"","93","","102","1","11020030","","","","",""
"10","11","","102","104831","11020031","","切嚕……切嚕……","","",""
"","93","","102","1.5","11020032","","","","",""
"0","4","","102","104631","11020033","","1","","",""
"0","3","0.2","102","104631","11020034","nyx_idle_surprise2","cmn_shock_def_N","1","0.2",""
"0","3","0.2","102","103431","11020035","nyx_idle_surprise2","cmn_shock_def_N","1","0.2",""
"0","3","0.2","102","103231","11020036","nyx_idle_surprise1","nyx_surprise","1","0.2",""
"","93","","102","1.5","11020037","","","","",""
"1","3","0.2","102","104631","11020038","","nyx_talk_surprise2","1","0.2",""
"1","3","0.2","102","103431","11020039","","nyx_102_yukari_01","","",""
"10","11","","102","103431","11020040","","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","","",""
"","91","","102","0","11020041","","1","","",""
"0","3","0.2","102","103431","11020042","nyx_102_tamaki_01_loop","cmn_shock_def_N","1","0.2",""
"0","4","","102","103231","11020043","","0","","",""
"0","4","","102","104631","11020044","","0","","",""
"","91","","102","0","11020045","","","","",""
"10","11","","102","104631","11020046","","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","","",""
"","93","","102","2.6","11020047","","","","",""
"0","3","0.2","102","104631","11020048","nyx_102_tamaki_01_loop","nyx_102_tamaki_01","1","0.2",""
"","93","","102","0.1","11020049","","","","",""
"0","4","","102","103231","11020050","","1","","",""
"","93","","102","1.5","11020051","","","","",""
"10","11","","102","103231","11020052","","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","","",""
"","91","","102","0","11020053","","","","",""
"","93","","102","1","11020054","","","","",""
"0","3","0.2","102","110831","11020055","nyx_102_chloe_03_loop","nyx_102_chloe_04","1","",""
"0","3","0.2","102","2","11020056","nyx_102_chloe_03_loop","nyx_102_chloe_04","1","",""
"","93","","102","1.5","11020057","","","","",""
"1","12","","102","110831","11020058","","12","","",""
"","93","","102","1","11020059","","","","",""
"1","12","","102","103431","11020060","","1","","",""
"0","3","0.2","102","103431","11020061","nyx_cmn_03","nyx_cmn_01","1","0.2",""
"1","3","0.2","102","104631","11020062","","nyx_idle_worry","1","0.2",""
"","93","","102","2","11020063","","","","",""
"1","12","","102","104831","11020064","","12","","",""
"","93","","102","2","11020065","","","","",""
"1","12","","102","103231","11020066","","10","","",""
"0","3","0.2","102","103231","11020067","nyx_idle_normal","nyx_talk_normal","1","0.2",""
"","93","","102","2","11020068","","","","",""
"1","12","","102","104631","11020069","","2","","",""
"0","3","0.2","102","104631","11020070","nyx_idle_worry","nyx_talk_sad","1","0.2",""
"","93","","102","4","11020071","","","","",""
"","101","","102","11020055","11020072","","1","","",""
"110","1","1.35","103","1","11030001","-421","111031","-209.3","0","nyx_103_yuni_01"
"110","1","1.35","103","1","11030002","121.8","104831","-182.5","0","nyx_idle_normal"
"120","5","1.35","103","2","11030003","121.8","2","-182.5","0","NoItem"
"110","1","1.35","103","1","11030004","227.7","104631","-182.5","0","nyx_idle_normal"
"120","5","1.35","103","2","11030005","227.7","2","-182.5","0","NoItem"
"110","1","1.35","103","1","11030006","340.3","103231","-182.5","1","nyx_idle_normal"
"110","1","1.35","103","1","11030007","449.6","103431","-182.5","1","nyx_cmn_03"
"120","5","1.35","103","2","11030008","449.6","2","-182.5","1","NoItem"
"0","31","1","103","1","11030009","0","1","1","",""
"","25","","103","bgm_M347","11030010","","bgm_M347","","",""
"","93","","103","2","11030011","","","","",""
"1","3","0.2","103","103431","11030012","","nyx_talk_sad","","",""
"10","11","","103","103431","11030013","","簡報是\n一件這麼\n累人的事情嗎…？","","",""
"","91","","103","0","11030014","","","","",""
"1","3","0.2","103","103431","11030015","","nyx_cmn_03","","",""
"1","3","0.2","103","104831","11030016","","nyx_cmn_05","","",""
"10","11","","103","104831","11030017","","接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？","","",""
"","91","","103","0","11030018","","","","",""
"1","3","0.2","103","104831","11030019","","nyx_cmn_04","","",""
"1","3","0.2","103","103231","11030020","","nyx_talk_normal","","",""
"10","11","","103","103231","11030021","","哎呀？\n下一位好像也是\n好朋友社的成員呢？","","",""
"","91","","103","0","11030022","","","","",""
"1","3","0.2","103","103231","11030023","","nyx_idle_normal","","",""
"1","3","0.2","103","104631","11030024","","nyx_talk_sad","","",""
"10","11","","103","104631","11030025","","……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵","","",""
"","93","","103","2.6","11030026","","","","",""
"1","3","0.2","103","111031","11030027","","nyx_102_chloe_01","","",""
"","91","","103","11030025","11030028","","","","",""
"0","3","0.2","103","104631","11030029","nyx_idle_sad","nyx_cmn_02","1","0.3",""
"0","3","0.2","103","2","11030030","","nyx_cmn_02","","",""
"0","3","0.2","103","103431","11030031","nyx_cmn_03","nyx_cmn_02","1","0.3",""
"0","3","0.2","103","2","11030032","","nyx_cmn_02","","",""
"0","3","0.2","103","104831","11030033","nyx_idle_normal","nyx_cmn_02","1","0.2",""
"0","3","0.2","103","2","11030034","","nyx_cmn_02","","",""
"","93","","103","1.5","11030035","","","","",""
"1","3","0.2","103","111031","11030036","","nyx_303_yuni_01","","",""
"10","11","","103","111031","11030037","","嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧","","",""
"","93","","103","2.8","11030038","","","","",""
"1","12","","103","104831","11030039","","13","","",""
"1","3","0.2","103","104831","11030040","","nyx_talk_normal","","",""
"","91","","103","11030037","11030041","","","","",""
"10","11","","103","111031","11030042","","琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧","","",""
"","91","","103","0","11030043","","","","",""
"1","3","0.2","103","111031","11030044","","nyx_103_yuni_02","","",""
"10","11","","103","111031","11030045","","是時候完成我身為\n高年級生的職責了","","",""
"","93","","103","1.5","11030046","","","","",""
"1","12","","103","103231","11030047","","17","","",""
"1","3","0.2","103","104831","11030048","","nyx_idle_normal","","",""
"1","3","0.2","103","103231","11030049","","nyx_cmn_05","","",""
"","91","","103","11030045","11030050","","","","",""
"0","3","0.3","103","111031","11030051","nyx_103_yuni_04","nyx_103_yuni_03","0","0.6",""
"10","11","","103","111031","11030052","","賭上優妮們\n之名……！","","",""
"","91","","103","0","11030053","","","","",""
"1","3","0.2","103","103231","11030054","","nyx_idle_normal","","",""
"","93","","103","0.6","11030055","","","","",""
"1","12","0.2","103","111031","11030056","","12","","",""
"0","3","0.2","103","111031","11030057","nyx_idle_normal","cmn_pose02_def_N","1","0.2",""
"","93","","103","1.5","11030058","","","","",""
"1","12","","103","104631","11030059","","15","","",""
"0","3","0.2","103","104631","11030060","nyx_idle_worry","nyx_talk_sad","1","0.2",""
"","93","","103","2","11030061","","","","",""
"1","12","","103","103231","11030062","","10","","",""
"0","3","0.2","103","103231","11030063","nyx_idle_normal","nyx_talk_joy1","1","0.2",""
"0","3","0.2","103","111031","11030064","nyx_idle_normal","nyx_103_yuni_01","1","0.2",""
"","93","","103","2.5","11030065","","","","",""
"1","12","","103","103431","11030066","","1","","",""
"0","3","0.2","103","103431","11030067","nyx_cmn_03","nyx_cmn_01","1","0.3",""
"","93","","103","2","11030068","","","","",""
"1","12","","103","104831","11030069","","12","","",""
"1","3","0.2","103","104831","11030070","","nyx_talk_bitter","","",""
"","93","","103","2","11030071","","","","",""
"1","3","0.2","103","104831","11030072","","nyx_idle_bitter","","",""
"","93","","103","1","11030073","","","","",""
"","101","","103","11030056","11030074","","","","",""
"110","1","1.2","201","1","12010001","-235.4","103231","-294.7","1","nyx_201_akino_01"
"120","5","1.2","201","2","12010002","-235.4","2","-294.7","1","nyx_201_akino_01"
"110","1","1.2","201","1","12010003","-357","104631","-281.6","0","nyx_idle_normal"
"110","1","1.2","201","1","12010004","310.5","103431","-281.6","1","nyx_idle_normal"
"110","1","1.2","201","1","12010005","-453.3","104831","-281.6","0","nyx_idle_normal"
"0","31","1","201","2","12010006","0","1","1","",""
"0","31","1","201","11","12010007","0","2","1","",""
"","25","","201","bgm_M347","12010008","","bgm_M347","","",""
"","93","","201","2","12010009","","","","",""
"10","11","","201","103231","12010010","","珠希，\n這零件就麻煩妳\n進行組裝囉！","","",""
"","91","","201","0","12010011","","","","",""
"0","3","0.3","201","104631","12010012","nyx_idle_surprise1","nyx_surprise","1","0.3",""
"10","11","","201","104631","12010013","","我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？","","",""
"","91","","201","0","12010014","","","","",""
"0","4","","201","103231","12010015","","0","","",""
"","4","","201","2","12010016","","0","","",""
"1","3","0.3","201","104631","12010017","","nyx_idle_bitter2","","0.3",""
"1","3","0.3","201","103231","12010018","","nyx_201_akino_02","","0.3",""
"1","3","0.3","201","2","12010019","","nyx_201_akino_02","","0.3",""
"-294.7","2","","201","103231","12010020","2.2","199","","",""
"-294.7","2","","201","2","12010021","2.2","199","","",""
"","93","","201","2.2","12010022","","","","",""
"1","3","0.3","201","103231","12010023","","nyx_201_akino_01","","0.3",""
"1","3","0.3","201","2","12010024","","nyx_201_akino_01","","0.3",""
"10","11","","201","103231","12010025","","優花梨！\n麻煩妳立刻去\n訂購這款迴路！","","",""
"","91","","201","0","12010026","","","","",""
"1","3","0.3","201","103431","12010027","","nyx_cmn_01","","0.3",""
"10","11","","201","103431","12010028","","咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？","","",""
"","91","","201","0","12010029","","","","",""
"1","3","0.3","201","103431","12010030","","nyx_idle_bitter2","","0.3",""
"","4","","201","103231","12010031","","1","","",""
"","4","","201","2","12010032","","1","","",""
"1","3","0.3","201","103231","12010033","","nyx_201_akino_02","","0.3",""
"1","3","0.3","201","2","12010034","","nyx_201_akino_02","","0.3",""
"-294.7","2","","201","103231","12010035","2.2","-235.4","","",""
"-294.7","2","","201","2","12010036","2.2","-235.4","","",""
"","93","","201","2.2","12010037","","","","",""
"1","3","0.3","201","103231","12010038","","nyx_201_akino_01","","0.3",""
"1","3","0.3","201","2","12010039","","nyx_201_akino_01","","0.3",""
"10","11","","201","103231","12010040","","美冬，\n麻煩妳仔細地\n檢查動作囉！","","",""
"","91","","201","0","12010041","","","","",""
"0","3","0.3","201","104831","12010042","nyx_idle_surprise1","nyx_surprise","1","0.3",""
"10","11","0","201","104831","12010043","","好、好的！\n……秋乃整個人都\n熱血起來了呢…","","",""
"","91","","201","0","12010044","","","","",""
"1","3","0.3","201","104831","12010045","","nyx_talk_sad","","0.3",""
"10","11","0","201","104831","12010046","","但不知道為什麼\n我好不安啊……\n只有滿滿的不安……","","",""
"","91","","201","0","12010047","","","","",""
"1","3","0.3","201","104831","12010048","","nyx_idle_bitter2","","0.3",""
"","91","","201","0","12010049","","","","",""
"","93","","201","0.4","12010050","","","","",""
"0","4","","201","103231","12010051","","0","","",""
"","4","","201","2","12010052","","0","","",""
"1","3","0.2","201","103231","12010053","","nyx_201_akino_02","","0.2",""
"1","3","0.2","201","2","12010054","","nyx_201_akino_02","","0.2",""
"-294.7","2","","201","103231","12010055","2.2","199","","",""
"-294.7","2","","201","2","12010056","2.2","199","","",""
"1","3","0.2","201","103431","12010057","","nyx_cmn_03","","0.2",""
"","93","","201","2.2","12010058","","","","",""
"1","12","","201","103231","12010059","","10","","",""
"1","3","0.2","201","103231","12010060","","nyx_201_akino_01","","0.2",""
"1","3","0.2","201","2","12010061","","nyx_201_akino_01","","0.2",""
"","91","","201","0","12010062","","","","",""
"1","3","0.2","201","103431","12010063","","nyx_idle_surprise1","","0.2",""
"","91","","201","0","12010064","","","","",""
"1","3","0.2","201","103431","12010065","","nyx_102_chloe_02","","0.2",""
"","4","","201","103231","12010066","","1","","",""
"","4","","201","2","12010067","","1","","",""
"1","3","0.2","201","103231","12010068","","nyx_201_akino_02","","0.2",""
"1","3","0.2","201","2","12010069","","nyx_201_akino_02","","0.2",""
"-294.7","2","","201","103231","12010070","2.2","-235.4","","",""
"-294.7","2","","201","2","12010071","2.2","-235.4","","",""
"","93","","201","2.2","12010072","","","","",""
"1","12","","201","103231","12010073","","10","","",""
"1","3","0.2","201","103231","12010074","","nyx_201_akino_01","","0.2",""
"1","3","","201","2","12010075","","nyx_201_akino_01","","0.2",""
"","93","","201","3","12010076","","","","",""
"0","3","0.2","201","104631","12010077","nyx_idle_normal","cmn_nod_def_N","1","0.2",""
"","93","","201","0.8","12010078","","","","",""
"1","12","","201","104831","12010079","","3","","",""
"0","3","0.2","201","104831","12010080","nyx_idle_sad","nyx_talk_worry","1","0.2",""
"","93","","201","1","12010081","","","","",""
"","101","","201","12010051","12010082","","","","",""
"100","5","1.2","202","1","12020001","-136","3","-255","0","nyx_202_tamaki_03_loop"
"110","1","1.2","202","1","12020002","183.7","103231","-286.1","1","nyx_idle_joy1"
"120","5","1.2","202","2","12020003","312.6","5","-286.1","1","nyx_202_yukari_01"
"110","1","1.2","202","1","12020004","312.6","103431","-286.1","1","nyx_202_yukari_01"
"120","1","1.2","202","1","12020005","-269.8","104831","-286.1","0","nyx_idle_normal"
"0","31","1","202","2","12020006","0","1","1","",""
"0","31","1","202","12","12020007","34","2","1","",""
"-74","31","0","202","16","12020008","130","7","1","",""
"110","5","1","202","3","12020009","-208","4","-255","0","nyx_yagura_idle"
"120","5","1.2","202","2","12020010","-269.8","6","-286.1","0","NoItem"
"","25","","202","bgm_M347","12020011","","bgm_M347","","",""
"","93","","202","2","12020012","","","","",""
"10","11","","202","3","12020013","","總覺得開發作業\n好像也變得開心\n起來了喵～！","","",""
"","91","","202","0","12020014","","","","",""
"10","11","","202","3","12020015","","事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！","","",""
"","91","","202","0","12020016","","","","",""
"10","11","","202","3","12020017","","看我把我的一切\n全部灌注進去\n喵～～！","","",""
"","93","","202","0.4","12020018","","","","",""
"0","3","0.2","202","3","12020019","nyx_202_tamaki_loop","nyx_202_tamaki_03_puton","1","",""
"","91","","202","12020017","12020020","","","","",""
"0","3","0.2","202","3","12020021","nyx_202_tamaki_01","nyx_202_tamaki_up","1","",""
"0","3","","202","4","12020022","nyx_yagura_up_idle","nyx_yagura_up","1","",""
"","93","","202","2.4","12020023","","","","",""
"","32","","202","7","12020024","","1","","",""
"1","3","0.2","202","103231","12020025","","nyx_202_akino_01_loop","","",""
"10","11","","202","103231","12020026","","喔～呵呵呵！\n真是美妙的\n抱負呢，珠希","","",""
"","91","","202","0","12020027","","","","",""
"1","3","0.2","202","104831","12020028","","nyx_talk_anger2","","",""
"10","11","","202","104831","12020029","","設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？","","",""
"","91","","202","0","12020030","","","","",""
"1","3","0.2","202","103431","12020031","","nyx_idle_anger2","","",""
"1","3","0.2","202","103431","12020032","","nyx_202_yukari_01","","",""
"10","11","","202","103431","12020033","","美冬……\n交給珠希去做就\n不會有問題啦……嗝","","",""
"","91","","202","0","12020034","","","","",""
"0","3","0.2","202","104831","12020035","nyx_cmn_04","nyx_cmn_05","","0.2",""
"10","11","0","202","104831","12020036","","優花梨？\n妳在喝什麼？\n……妳被收買了對吧？","","",""
"","91","","202","0","12020037","","","","",""
"1","3","0.2","202","103431","12020038","","nyx_202_yukari_01","","",""
"10","11","","202","103431","12020039","","咦～？\n尼在說什麼～？\n……嗯呵呵～♪","","",""
"","91","","202","0","12020040","","","","",""
"","93","","202","2","12020041","","","","",""
"1","12","","202","103231","12020042","","13","","",""
"0","3","0.2","202","103231","12020043","nyx_202_akino_01_loop","nyx_talk_joy2","1","0.2",""
"","93","","202","2.5","12020044","","","","",""
"1","12","","202","104831","12020045","","3","","",""
"1","3","0.2","202","104831","12020046","","nyx_talk_anger2","","",""
"","93","","202","2","12020047","","","","",""
"0","3","0.2","202","104831","12020048","","nyx_cmn_02","","",""
"0","3","0.2","202","6","12020049","NoItem","nyx_cmn_02","1","",""
"","93","","202","1","12020050","","","","",""
"0","3","0.2","202","104831","12020051","nyx_cmn_04","nyx_cmn_05","1","0.2",""
"","93","","202","2","12020052","","","","",""
"1","12","","202","103431","12020053","","5","","",""
"0","3","0.2","202","5","12020054","nyx_202_yukari_01","nyx_203_yukari_01","1","0.2",""
"0","3","0.2","202","103431","12020055","nyx_202_yukari_01","nyx_203_yukari_01","1","0.2",""
"","93","","202","1.2","12020056","","","","",""
"1","12","","202","3","12020057","","11","","",""
"","93","","202","0.8","12020058","","","","",""
"","101","","202","12020041","12020059","","","","",""
"130","1","1.2","203","1","12030001","-300","104831","-286","0","nyx_idle_normal"
"100","1","1.2","203","1","12030002","316","104631","-286","1","nyx_idle_normal"
"100","1","1.2","203","1","12030003","110","103231","-286","1","nyx_idle_normal"
"100","1","1.2","203","1","12030004","-200","103431","-10","0","nyx_203_yukari_01"
"0","31","1","203","2","12030005","0","1","1","",""
"-80","31","1","203","13","12030006","34","2","1","",""
"110","5","1.2","203","2","12030007","-200","3","-10","0","nyx_203_yukari_01"
"120","5","1","203","3","12030008","-250","4","-255","0","nyx_yagura_up_harf"
"","25","","203","bgm_M347","12030009","","bgm_M347","","",""
"","93","","203","2","12030010","","","","",""
"10","11","","203","103431","12030011","","奇怪～？\n這裡是哪裡～？\n我又是誰～？","","",""
"","93","","203","0.6","12030012","","","","",""
"0","3","0.2","203","103231","12030013","nyx_lookup_loop2","nyx_lookup","1","0.2",""
"","91","","203","12030011","12030014","","","","",""
"10","11","","203","103431","12030015","","嗯～？\n這勾大大的\n東西是什麼～","","",""
"","93","","203","0.6","12030016","","","","",""
"0","3","0.2","203","104631","12030017","nyx_lookup_loop2","nyx_lookup","1","0.2",""
"","91","","203","12030015","12030018","","","","",""
"0","3","0.2","203","3","12030019","nyx_203_yukari_05","nyx_203_yukari_02","1","",""
"0","3","0.2","203","103431","12030020","nyx_203_yukari_05","nyx_203_yukari_02","1","",""
"10","11","","203","103431","12030021","","你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？","","",""
"","93","","203","0.4","12030022","","","","",""
"0","3","0.2","203","104831","12030023","nyx_lookup_loop2","nyx_lookup","1","0.2",""
"","91","","203","12030021","12030024","","","","",""
"","93","","203","0.2","12030025","","","","",""
"0","3","0.2","203","104831","12030026","nyx_idle_sad","nyx_cmn_02","1","0.2",""
"10","11","0","203","104831","12030027","","優花梨\n在做什麼啊…","","",""
"","93","","203","0.1","12030028","","","","",""
"0","3","0.2","203","103231","12030029","nyx_cmn_04","nyx_cmn_02","1","0.2",""
"10","11","","203","103231","12030030","","優花梨\n在做什麼呢…","","",""
"","93","","203","0.1","12030031","","","","",""
"0","3","0.2","203","104631","12030032","nyx_idle_sad","nyx_cmn_02","1","0.2",""
"10","11","","203","104631","12030033","","優花梨\n在做什麼喵…","","",""
