ea7685e34aeb5e8a615b5091294a0cd8c16d9e4e967685a738c0777806dc05ee,6ba3726a462eb06d55f6637c59d4c963a8cc5ca6d1656a551fe6a160098ab10a,15169539c0cda374ffc10bfcc8cd7b1abc336b28bac1cd0556ff8df7195144f7,372b2c0f77418592ab24ac4b8779537a283a0ce15ff63567a574854a5fc0e16e,bb380611ec6d4205a6ef177f5b709b5330b5186f4af977e89e7c855bd0ba70b1,b2e332442832409ce181c1377b93aa0a39306e5a1c148557e2d3a30c1a352e7b,e17f03180f725dd7927446eec4864512ea9c6498a1e6dead5e60d364940a9d9d,f42f7f2f11573fede076a73f305368828ced020d0305773b4da3aecc4cb25164,655a91a099e9af7a011bd26dcaa3b74157feed338db5099b8636189c405a19eb,e5459444fb04c61939f9e5f30782268f400aa5e8172dd9b5e60f12467248c698,6e0c622f21e4d1bff4d0ca7292b49f1ce5a3b0119dbf20664a772b2970145bb9
"0.2","5014020","0","5014","wac_birthday_reaction_01","","100311","3","1","0.2","wac_birthday_reaction_04"
"","5014021","","5014","","","0.3","93","","",""
"","5014022","1","5014","wac_birthday_run_01","","100211","3","","0.2",""
"","5014023","-70","5014","0","","100211","2","","","3"
"","5014024","","5014","","","2.5","93","","",""
"","5014025","","5014","1","","602","32","","",""
"","5014026","","5014","","","0.6","93","","",""
"","5014027","","5014","0","","600","32","","",""
"","5014028","","5014","0","","611","32","","",""
"","5014029","","5014","0","","604","32","","",""
"","5014030","","5014","1","","701","32","","",""
"","5014031","0","5014","0","","902","33","","","0.01"
"0.2","5014032","0","5014","wac_birthday_blowout_01","","100211","3","1","0.2","wac_birthday_wish_04"
"","5014033","-330","5014","-200","","100211","2","","","0.01"
"","5014034","1","5014","wac_birthday_idle_normal","","100311","3","","0.2",""
"","5014035","-320","5014","180","","100311","2","","","0.01"
"","5014036","1","5014","wac_birthday_idle_smile","","100111","3","","0.2",""
"","5014037","-340","5014","320","","100111","2","","","0.01"
"","5014038","","5014","","","0","93","","",""
"","5014039","","5014","1","","800","32","","",""
"","5014040","","5014","","","0.7","93","","",""
"","5014041","","5014","1","","702","32","","",""
"","5014042","","5014","","","0.5","93","","",""
"","5014043","0","5014","se_sys_login_birthday_blow_candle","","se_common","23","","",""
"","5014044","","5014","0","","701","32","","",""
"","5014045","","5014","","","0.4","93","","",""
"","5014046","0","5014","se_sys_login_birthday_cracker","","se_common","23","","",""
"","5014047","","5014","1","","700","32","","",""
"","5014048","0","5014","se_sys_login_birthday_calendar_applause","","se_common","23","","",""
"0.2","5014049","0","5014","wac_birthday_clap","","100311","3","1","0.2","wac_birthday_idle_normal"
"","5014050","","5014","","","0.1","93","","",""
"0.2","5014051","0","5014","wac_birthday_clap","","100111","3","1","0.2","wac_birthday_idle_smile"
"","5014052","","5014","","","2","93","","",""
"","5014053","","5014","","","1","131","","",""
"","5014054","0","5014","vo_wac_05014_000","","vo_wac_05014","21","","","0"
"0","5014055","10","5014","這是給我的生日蛋糕嗎！？\n謝、謝謝……！\n……這該不會，\n是你們兩位親手做的吧？","0.5","100211","11","1","0","1"
"","5014056","","5014","","","0","91","","",""
"","5014057","1","5014","wac_birthday_idle_wish","","100211","3","","0.2",""
"","5014058","1","5014","wac_birthday_talk_normal","","100311","3","","0.2",""
"","5014059","0","5014","vo_wac_05014_001","","vo_wac_05014","21","","","0"
"0","5014060","10","5014","嗯，是我跟日和一起做的。\n我們總是受到優衣的幫助，\n想說至少要回個禮給妳。\n……生日快樂，優衣。","0.5","100311","11","1","0","1"
"","5014061","","5014","","","0","91","","",""
"","5014062","1","5014","wac_birthday_idle_normal","","100311","3","","0.2",""
"","5014063","1","5014","wac_birthday_talk_sad","","100211","3","","0.2",""
"","5014064","0","5014","vo_wac_05014_002","","vo_wac_05014","21","","","0"
"0","5014065","10","5014","哪、哪有……我才是老是\n受到你們的幫助……對、對不起！\n你們特地為我慶祝，\n我都開心到要哭了……！","0.5","100211","11","1","0","1"
"","5014066","","5014","","","0","91","","",""
"","5014067","1","5014","wac_birthday_talk_smile","","100211","3","","0.2",""
"","5014068","0","5014","vo_wac_05014_003","","vo_wac_05014","21","","","0"
"0","5014069","10","5014","騎士先生，也很謝謝你。\n能收到大家的祝福，\n我超級幸福的……！\n我會用心品嚐喔！","0.5","100211","11","1","0","1"
"","5014070","","5014","","","0","91","","",""
"","5014071","","5014","","","0","22","","",""
"","5214001","","5214","bgm_M321_2C","","bgm_M321","25","","",""
"0","5214002","250","5214","105511","wac_birthday_idle_normal","1","1","-70","2","-1000"
"1","5214003","256","5214","105311","wac_birthday_idle_doya","1","1","-260","2","170"
"1","5214004","259","5214","104511","wac_birthday_idle_normal","1","1","-310","2","270"
"1","5214005","257","5214","100811","wac_birthday_idle_wish","1","1","-270","2","410"
"1","5214006","258","5214","103011","wac_birthday_idle_kyapi","1","1","-310","2","510"
"","5214007","","5214","300","","105511","13","","",""
"","5214008","","5214","300","","105311","13","","",""
"","5214009","0","5214","600","","600","31","1","1","0"
"","5214010","0","5214","602","","602","31","1","0","0"
"","5214011","0","5214","603","","603","31","1","0","0"
"","5214012","30","5214","604","","604","31","1","1","60"
"","5214013","0","5214","611","","611","31","1","1","0"
"","5214014","0","5214","700","","700","31","1","0","0"
"","5214015","0","5214","701","","701","31","1","0","0"
"","5214016","0","5214","702","","702","31","1","0","0"
"","5214017","0","5214","800","","800","31","1","0","0"
"","5214018","30","5214","903","","903","31","1","1","60"
"","5214019","","5214","","","1","93","","",""
"0.2","5214020","0","5214","wac_birthday_reaction_05","","104511","3","1","0.2","wac_birthday_reaction_03"
"0.2","5214021","0","5214","wac_birthday_reaction_01","","105311","3","1","0.2","wac_birthday_reaction_03"
"","5214022","","5214","","","0.1","93","","",""
"0.2","5214023","0","5214","wac_birthday_reaction_01","","100811","3","1","0.2","wac_birthday_reaction_04"
"0.2","5214024","0","5214","wac_birthday_reaction_02","","103011","3","1","0.2","wac_birthday_reaction_03"
"","5214025","","5214","","","0.3","93","","",""
"","5214026","1","5214","wac_birthday_run_01","","105511","3","","0.2",""
"","5214027","-70","5214","0","","105511","2","","","3"
"","5214028","","5214","","","2.5","93","","",""
"","5214029","","5214","1","","602","32","","",""
"","5214030","","5214","","","0.6","93","","",""
"","5214031","","5214","0","","600","32","","",""
"","5214032","","5214","0","","611","32","","",""
"","5214033","","5214","0","","604","32","","",""
"","5214034","","5214","1","","701","32","","",""
"","5214035","0","5214","0","","903","33","","","0.01"
"0.2","5214036","0","5214","wac_birthday_blowout_03","","105511","3","1","0.2","wac_birthday_wish_04"
"","5214037","-330","5214","-200","","105511","2","","","0.01"
"","5214038","1","5214","wac_birthday_idle_doya","","105311","3","","0.2",""
"","5214039","-320","5214","150","","105311","2","","","0.01"
"","5214040","1","5214","wac_birthday_idle_normal","","104511","3","","0.2",""
"","5214041","-360","5214","260","","104511","2","","","0.01"
"","5214042","1","5214","wac_birthday_idle_wish","","100811","3","","0.2",""
"","5214043","-320","5214","400","","100811","2","","","0.01"
"","5214044","1","5214","wac_birthday_idle_kyapi","","103011","3","","0.2",""
"","5214045","-340","5214","500","","103011","2","","","0.01"
"","5214046","","5214","","","0","93","","",""
"","5214047","","5214","1","","800","32","","",""
"","5214048","","5214","","","0.7","93","","",""
"","5214049","","5214","1","","702","32","","",""
"","5214050","","5214","","","0.5","93","","",""
"","5214051","0","5214","se_sys_login_birthday_blow_candle","","se_common","23","","",""
"","5214052","","5214","0","","701","32","","",""
"","5214053","","5214","","","0.4","93","","",""
"","5214054","0","5214","se_sys_login_birthday_cracker","","se_common","23","","",""
"","5214055","","5214","1","","700","32","","",""
"","5214056","0","5214","se_sys_login_birthday_calendar_applause","","se_common","23","","",""
"0.2","5214057","0","5214","wac_birthday_clap","","105311","3","1","0.2","wac_birthday_idle_doya"
"0.2","5214058","0","5214","wac_birthday_clap_to_wish","","100811","3","1","0.2","wac_birthday_idle_wish"
"","5214059","","5214","","","0.1","93","","",""
"0.2","5214060","0","5214","wac_birthday_clap","","104511","3","1","0.2","wac_birthday_idle_normal"
"","5214061","","5214","","","0.1","93","","",""
"0.2","5214062","0","5214","wac_birthday_clap","","103011","3","1","0.2","wac_birthday_idle_kyapi"
"","5214063","","5214","","","2","93","","",""
"","5214064","","5214","","","1","131","","",""
"","5214065","0","5214","vo_wac_05214_000","","vo_wac_05214","21","","","0"
"0","5214066","10","5214","哇，這是生日蛋糕嗎？\n生日快樂～\n不過是誰的……咦，我、我！？\n你們記得我的生日嗎……？","0.5","105511","11","1","0","1"
"","5214067","","5214","","","0","91","","",""
"","5214068","1","5214","wac_birthday_idle_wish","","105511","3","","0.2",""
"","5214069","1","5214","wac_birthday_talk_smile","","105311","3","","0.2",""
"","5214070","0","5214","vo_wac_05214_001","","vo_wac_05214","21","","","0"
"0","5214071","10","5214","怎麼可能會忘啊！\n步未可是本公會少數的良心……\n不，是重要的存在啊！\n讓我替妳大肆慶祝吧！生日快樂！","0.5","105311","11","1","0","1"
"","5214072","","5214","","","0","91","","",""
"","5214073","1","5214","wac_birthday_idle_doya","","105311","3","","0.2",""
"","5214074","1","5214","wac_birthday_talk_wish","","105511","3","","0.2",""
"","5214075","0","5214","vo_wac_05214_002","","vo_wac_05214","21","","","0"
"0","5214076","10","5214","咦、呃……\n我不是在作夢吧？\n我捏一下臉頰……好痛！\n果然不是夢！","0.5","105511","11","1","0","1"
"","5214077","","5214","","","0","91","","",""
"","5214078","1","5214","wac_birthday_talk_smile","","105511","3","","0.2",""
"","5214079","0","5214","vo_wac_05214_003","","vo_wac_05214","21","","","0"
"0","5214080","10","5214","嗚……謝、謝謝你們！\n還能收到前輩的祝福，\n我真的很開心！\n嘿嘿，我會用心品嚐的……♪","0.5","105511","11","1","0","1"
"","5214081","","5214","","","0","91","","",""
"","5214082","","5214","","","0","22","","",""
"","5514001","","5514","bgm_M321_2C","","bgm_M321","25","","",""
"0","5514002","250","5514","101611","wac_birthday_idle_normal","1","1","-70","2","-1000"
"1","5514003","256","5514","105011","wac_birthday_idle_normal","1","1","-270","2","230"
"1","5514004","257","5514","101811","wac_birthday_idle_smile","1","1","-310","2","410"
"","5514005","","5514","300","","101611","13","","",""
"","5514006","","5514","300","","105011","13","","",""
"","5514007","0","5514","600","","600","31","1","1","0"
"","5514008","0","5514","602","","602","31","1","0","0"
"","5514009","0","5514","603","","603","31","1","0","0"
"","5514010","30","5514","604","","604","31","1","1","60"
"","5514011","0","5514","611","","611","31","1","1","0"
"","5514012","0","5514","700","","700","31","1","0","0"
"","5514013","0","5514","701","","701","31","1","0","0"
"","5514014","0","5514","702","","702","31","1","0","0"
"","5514015","0","5514","800","","800","31","1","0","0"
"","5514016","30","5514","904","","904","31","1","1","60"
"","5514017","","5514","","","1","93","","",""
"0.2","5514018","0","5514","wac_birthday_reaction_01","","101811","3","1","0.2","wac_birthday_reaction_04"
"","5514019","","5514","","","0.1","93","","",""
"0.2","5514020","0","5514","wac_birthday_reaction_05","","105011","3","1","0.2","wac_birthday_reaction_03"
"","5514021","","5514","","","0.3","93","","",""
"","5514022","1","5514","wac_birthday_run_01","","101611","3","","0.2",""
"","5514023","-70","5514","0","","101611","2","","","3"
"","5514024","","5514","","","2.5","93","","",""
"","5514025","","5514","1","","602","32","","",""
"","5514026","","5514","","","0.6","93","","",""
"","5514027","","5514","0","","600","32","","",""
"","5514028","","5514","0","","611","32","","",""
"","5514029","","5514","0","","604","32","","",""
"","5514030","","5514","1","","701","32","","",""
"","5514031","0","5514","0","","904","33","","","0.01"
"0.2","5514032","0","5514","wac_birthday_blowout_02","","101611","3","1","0.2","wac_birthday_wish_03"
"","5514033","-330","5514","-200","","101611","2","","","0.01"
"","5514034","1","5514","wac_birthday_idle_smile","","105011","3","","0.2",""
"","5514035","-320","5514","180","","105011","2","","","0.01"
"","5514036","1","5514","wac_birthday_idle_wish","","101811","3","","0.2",""
"","5514037","-340","5514","320","","101811","2","","","0.01"
"","5514038","","5514","","","0","93","","",""
"","5514039","","5514","1","","800","32","","",""
"","5514040","","5514","","","0.7","93","","",""
"","5514041","","5514","1","","702","32","","",""
"","5514042","","5514","","","0.5","93","","",""
"","5514043","0","5514","se_sys_login_birthday_blow_candle","","se_common","23","","",""
"","5514044","","5514","0","","701","32","","",""
"","5514045","","5514","","","0.4","93","","",""
"","5514046","0","5514","se_sys_login_birthday_cracker","","se_common","23","","",""
"","5514047","","5514","1","","700","32","","",""
"","5514048","0","5514","se_sys_login_birthday_calendar_applause","","se_common","23","","",""
"0.2","5514049","0","5514","wac_birthday_clap","","105011","3","1","0.2","wac_birthday_idle_smile"
"","5514050","","5514","","","0.1","93","","",""
"0.2","5514051","0","5514","wac_birthday_clap_to_wish","","101811","3","1","0.2","wac_birthday_idle_wish"
"","5514052","","5514","","","2","93","","",""
"","5514053","","5514","","","1","131","","",""
"","5514054","0","5514","vo_wac_05514_000","","vo_wac_05514","21","","","0"
"0","5514055","10","5514","哇哇，這是給人家的生日蛋糕？\n沒聽說你們有準備這個啊～！\n人家要感動到哭了啦！","0.5","101611","11","1","0","1"
"","5514056","","5514","","","0","91","","",""
"","5514057","1","5514","wac_birthday_idle_kyapi","","101611","3","","0.2",""
"","5514058","1","5514","wac_birthday_talk_smile","","105011","3","","0.2",""
"","5514059","0","5514","vo_wac_05514_001","","vo_wac_05514","21","","","0"
"0","5514060","10","5514","哼哼，妳可要好好感謝我們啊～\n這可是我跟伊緒熬夜做……不！\n做蛋糕沒花我們什麼力氣啦！\n那個……生日快樂，鈴奈。","0.5","105011","11","1","0","1"
"","5514061","","5514","","","0","91","","",""
"","5514062","1","5514","wac_birthday_idle_smile","","105011","3","","0.2",""
"","5514063","1","5514","wac_birthday_talk_smile","","101611","3","","0.2",""
"","5514064","0","5514","vo_wac_05514_002","","vo_wac_05514","21","","","0"
"0","5514065","10","5514","啊哈哈，嗯，謝謝妳！\n難怪美咲跟小伊緒\n一大早就有一股甜～甜的味道呢～","0.5","101611","11","1","0","1"
"","5514066","","5514","","","0","91","","",""
"","5514067","1","5514","wac_birthday_talk_kyapi","","101611","3","","0.2",""
"","5514068","0","5514","vo_wac_05514_003","","vo_wac_05514","21","","","0"
"0","5514069","10","5514","朋友果然是\n不可或缺的……♪\n好，大家來開派對吧！\n秀才當然也要一起囉！","0.5","101611","11","1","0","1"
"","5514070","","5514","","","0","91","","",""
"","5514071","","5514","","","0","22","","",""
"","6214001","","6214","bgm_M321_2C","","bgm_M321","25","","",""
"0","6214002","250","6214","106731","wac_birthday_idle_normal","1","1","-70","2","-1000"
"1","6214003","256","6214","106611","wac_birthday_idle_doya","1","1","-270","2","230"
"1","6214004","257","6214","106511","wac_birthday_idle_normal","1","1","-310","2","410"
"","6214005","","6214","300","","106731","13","","",""
"","6214006","","6214","300","","106611","13","","",""
"","6214007","0","6214","600","","600","31","1","1","0"
"","6214008","0","6214","602","","602","31","1","0","0"
"","6214009","0","6214","603","","603","31","1","0","0"
"","6214010","30","6214","604","","604","31","1","1","60"
"","6214011","0","6214","611","","611","31","1","1","0"
"","6214012","0","6214","700","","700","31","1","0","0"
"","6214013","0","6214","701","","701","31","1","0","0"
"","6214014","0","6214","702","","702","31","1","0","0"
"","6214015","0","6214","800","","800","31","1","0","0"
"","6214016","30","6214","905","","905","31","1","1","60"
"","6214017","","6214","","","1","93","","",""
"0.2","6214018","0","6214","wac_birthday_reaction_02","","106511","3","1","0.2","wac_birthday_reaction_03"
"","6214019","","6214","","","0.1","93","","",""
"0.2","6214020","0","6214","wac_birthday_reaction_01","","106611","3","1","0.2","wac_birthday_reaction_03"
"","6214021","","6214","","","0.3","93","","",""
"","6214022","1","6214","wac_birthday_run_01","","106731","3","","0.2",""
"","6214023","-70","6214","0","","106731","2","","","3"
"","6214024","","6214","","","2.5","93","","",""
"","6214025","","6214","1","","602","32","","",""
"","6214026","","6214","","","0.6","93","","",""
"","6214027","","6214","0","","600","32","","",""
"","6214028","","6214","0","","611","32","","",""
"","6214029","","6214","0","","604","32","","",""
"","6214030","","6214","1","","701","32","","",""
"","6214031","0","6214","0","","905","33","","","0.01"
"0.2","6214032","0","6214","wac_birthday_blowout_01","","106731","3","1","0.2","wac_birthday_wish_05"
