fcc7c390766736e95e68b3aeecf65bae8360acf4c39b6a15afba4ae69c12b5a8,e52da1c305b0d2cc92a312a1c827dfe6544a0b6e599c81a28d9d6c0e0b0ac25e,6157812d9093cadf86de1edb4928dcddf259b3f557148cdb1deeda64d49fcf50,77f77ddf832453d753b4c6433d842de58d6e3ed8b84332f9ff1f39968b6db902,ed78027f89c7d9707d9a43a7c7971c55cd7f97ac61d583f59e0628fcaf02cd04,87995bc8781a1c59c19437b3df9bb20d783426c9112d12e3a1b75e106b96a749,e0d3316e4983512874a9a4c0983c4ce9ec6e2dee711c2790cd6321ed989b260b,fcb7473b2fbeed728c2ca96dee4d309cd77bda906e026ddcd3d05103e1972716,dae5e924d04080829a5f570b4e1b9bbfb6dbcf0798c7cea82366b1f1bcd50f24
"1","2","","8","18","20004","3","","11400"
"1","2","","9","19","20004","3","","10200"
"1","2","","10","20","20004","3","","9300"
"1","2","","10","21","20004","3","","8700"
"1","2","","13","22","20004","3","","6600"
"1","2","","14","23","20004","3","","6300"
"1","2","","15","24","20004","3","","6000"
"1","2","","15","25","20004","3","","5700"
"1","2","","16","26","20004","3","","5400"
"1","2","","17","27","20004","3","","5100"
"1","2","","18","28","20004","3","","4860"
"1","2","","19","29","20004","3","","4620"
"1","2","","20","30","20004","3","","4440"
"1","2","","21","31","20004","3","","4260"
"1","2","","22","32","20004","3","","4080"
"1","2","","22","33","20004","3","","3960"
"1","2","","23","34","20004","3","","3840"
"1","2","","24","35","20004","3","","3720"
"1","2","","24","36","20004","3","","3600"
"1","2","","25","37","20004","3","","3480"
"3000","12","","12000","1","94002","4","","21600"
"4500","12","","18000","2","94002","4","","21600"
"6000","12","","24000","3","94002","4","","21600"
"7500","12","","30000","4","94002","4","","21600"
"10500","12","","42000","5","94002","4","","21600"
"13500","12","","54000","6","94002","4","","21600"
"16500","12","","66000","7","94002","4","","21600"
"21000","12","","84000","8","94002","4","","21600"
"25500","12","","102000","9","94002","4","","21600"
"30000","12","","120000","10","94002","4","","21600"
"36000","12","","144000","11","94002","4","","21600"
"42000","12","","168000","12","94002","4","","21600"
"48000","12","","192000","13","94002","4","","21600"
"55500","12","","222000","14","94002","4","","21600"
"63000","12","","252000","15","94002","4","","21600"
"70500","12","","282000","16","94002","4","","21600"
"79500","12","","318000","17","94002","4","","21600"
"88500","12","","354000","18","94002","4","","21600"
"97500","12","","390000","19","94002","4","","21600"
"108000","12","","432000","20","94002","4","","21600"
"118500","12","","474000","21","94002","4","","21600"
"129000","12","","516000","22","94002","4","","21600"
"140500","12","","562000","23","94002","4","","21600"
"150000","12","","600000","24","94002","4","","21600"
"160500","12","","642000","25","94002","4","","21600"
"171000","12","","684000","26","94002","4","","21600"
"181500","12","","726000","27","94002","4","","21600"
"192000","12","","768000","28","94002","4","","21600"
"202500","12","","810000","29","94002","4","","21600"
"213000","12","","852000","30","94002","4","","21600"
"223500","12","","894000","31","94002","4","","21600"
"230000","12","","920000","32","94002","4","","21600"
"235000","12","","940000","33","94002","4","","21600"
"240000","12","","960000","34","94002","4","","21600"
"245000","12","","980000","35","94002","4","","21600"
"250000","12","","1000000","36","94002","4","","21600"
"255000","12","","1020000","37","94002","4","","21600"
"12","6","","48","1","93001","5","","21600"
"12","6","","48","1","93001","6","","21600"
"12","6","","48","1","93001","7","","21600"
"12","6","","48","1","93001","8","","21600"
"12","6","","48","1","93001","11","","21600"
"12","6","","48","1","93001","12","","21600"
"12","6","","48","1","93001","19","","21600"
"1","0","4999999999","0","0","0","23","14999999999","0"
"12","6","","48","1","93001","25","","21600"
"12","6","","48","1","93001","28","","21600"
"12","6","","48","1","93001","30","","21600"
