170af15999329c0c8b5eac2e5caa527ba2e476a0ab50b9848eeddf974797b626,e1173140666ab4341a7e4dcd88d0afb995f5d57ab0d68013f20a2aa640783800,3906457b0af11317ddebf0b956aada169c04ce549884531fdbd112a49efdfe33,60cba4fe2631fd990276d485b0dffe4afa507c1545285b871e728526a56c3c26,badd0e266078312416d139541bd1f208354ef703eeb2b18ec462b19d34b406a7,506a014c467eb577533431feffffac082c171d39e69537ad1322b5279a4c9b6c,0146c5cdfd868357584d44c4b9306de16edd8946f79808203506e09236c4b6e3,6f17c43a73856cfde5755959455d28faecec52ed2caf7a04d4f87d4a41231932
"46","0","52037","2","6","1","0","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個"
"47","0","52038","1","1","1","0","【料理】骰子增加成為兩個"
"48","0","52039","3","11","1","0","【料理】將「里程格」變成「商店格子」。"
"49","0","52040","2","10","1","0","【料理】移動時可以跳過寶物格"
"50","0","52041","1","1","1","0","【料理】第1回合投擲骰子一定會丟出「7」，第2回合一定會丟出「2」"
"51","0","52042","1","1","1","0","【料理】骰子只會丟出\n「4・5・6」"
"52","0","52043","1","9","1","0","【料理】變得無法食用移動系的料理"
"53","0","52044","1","1","1","0","【料理】骰子只會丟出\n「1・2・3」"
"54","0","52044","3","2","1","0","【料理】跳過下次的回合數計算"
"55","0","52045","2","10","1","0","【料理】移動時可以跳過「商店格子」、「小遊戲格」及「事件格子」。"
"56","0","52046","1","8","1","0","【料理】移動時可以跳過里程格"
"57","0","52047","1","1","1","0","【料理】骰子增加成為兩個"
"1001","0","1","1","99","3","0","取得最大n里程"
"1002","0","2","1","99","3","0","重新擲1次骰子"
"1003","0","3","1","99","3","0","重新擲1次骰子_有效回合2"
"11001","0","1001","1","126501","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11002","0","1002","1","105301","3","0","【夥伴】取得最大1000里程"
"11003","0","1003","1","126401","3","0","【夥伴】取得1個料理"
"11004","0","1004","1","100501","3","0","【夥伴】重新擲1次骰子"
"11005","0","1005","1","101301","3","0","【夥伴】重新擲2次骰子"
"11006","0","1006","1","104301","3","0","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"11007","0","1007","1","102701","3","0","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇"
"11008","0","1008","1","100901","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11009","0","1009","1","105101","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11010","0","1010","1","101801","3","0","【夥伴】取得最大1000里程"
"11011","0","1011","1","129701","3","0","【夥伴】可以選擇使用骰子的正面或背面"
"11012","0","1012","1","101601","3","0","【夥伴】重新擲1次骰子"
"11013","0","1013","1","105601","3","0","【夥伴】重新擲2次骰子"
"11014","0","1014","1","102001","3","0","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇"
"11015","0","1015","1","129601","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11016","0","1016","1","100401","3","0","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合"
"11017","0","1017","1","127701","3","0","【夥伴】骰子擲出偶數時，多前進1格。"
"11018","0","1018","1","127801","3","0","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合"
"11019","0","1019","1","104801","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11020","0","1020","1","104701","3","0","【夥伴】重新擲2次骰子"
"11021","0","1021","1","105001","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11022","0","1022","1","103201","3","0","【夥伴】取得最大2000里程"
"11023","0","1023","1","130901","3","0","【夥伴】取得1張抽獎券"
"11024","0","1024","1","102501","3","0","【夥伴】取得1個料理"
"11025","0","1025","1","100801","3","0","【夥伴】可以選擇使用骰子的正面或背面"
"11026","0","1026","1","123301","3","0","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"11027","0","1027","1","104601","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11028","0","1028","1","118101","3","0","【夥伴】重新擲2次骰子"
"11029","0","1029","1","103401","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11030","0","1030","1","118001","3","0","【夥伴】取得最大2000里程"
"11031","0","1031","1","102801","3","0","【夥伴】取得1張抽獎券"
"11032","0","1032","1","100201","3","0","【夥伴】取得1個料理"
"11033","0","1033","1","101201","3","0","【夥伴】骰子擲出奇數時，多前進1格。"
"11034","0","1034","1","118201","3","0","【夥伴】重新擲1次骰子"
"11035","0","1035","1","106101","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11036","0","1036","1","103101","3","0","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"11037","0","1037","1","103301","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11038","0","1038","1","103601","3","0","【夥伴】取得最大2000里程"
"11039","0","1039","1","133001","3","0","【夥伴】取得1張抽獎券"
"11040","0","1040","1","133101","3","0","【夥伴】取得1個料理"
"11041","0","1041","1","106801","3","0","【夥伴】可以選擇使用骰子的正面或背面"
"11042","0","1042","1","107101","3","0","【夥伴】重新擲1次骰子"
"11043","0","1043","1","107001","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11044","0","1044","1","106501","3","0","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"11045","0","1045","1","111001","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11046","0","1046","1","134901","3","0","【夥伴】取得最大2000里程"
"11047","0","1047","1","105401","3","0","【夥伴】取得1張抽獎券"
"11048","0","1048","1","134701","3","0","【夥伴】取得1個料理"
"11049","0","1049","1","100101","3","0","【夥伴】可以選擇使用骰子的正面或背面"
"11050","0","1050","1","100701","3","0","【夥伴】重新擲1次骰子"
"11051","0","1051","1","103001","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11052","0","1052","1","101401","3","0","【夥伴】骰子擲出偶數時，多前進1格。"
"11053","0","1053","1","135901","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11054","0","1054","1","102601","3","0","【夥伴】取得最大2000里程"
"11055","0","1055","1","132401","3","0","【夥伴】取得1張抽獎券"
"11056","0","1056","1","135801","3","0","【夥伴】取得1個料理"
"11057","0","1057","1","100301","3","0","【夥伴】可以選擇使用骰子的正面或背面"
"11058","0","1058","1","106701","3","0","【夥伴】重新擲1次骰子"
"11059","0","1059","1","132301","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11060","0","1060","1","105201","3","0","【夥伴】骰子擲出奇數時，多前進1格。"
"11061","0","1061","1","102201","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11062","0","1062","1","100601","3","0","【夥伴】取得最大2000里程"
"11063","0","1063","1","136201","3","0","【夥伴】取得1張抽獎券"
"11064","0","1064","1","110901","3","0","【夥伴】取得1個料理"
"11065","0","1065","1","103801","3","0","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"11066","0","1066","1","101501","3","0","【夥伴】重新擲1次骰子"
"11067","0","1067","1","102901","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11068","0","1068","1","101701","3","0","【夥伴】骰子擲出偶數時，多前進1格。"
"11069","0","1069","1","132501","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11070","0","1070","1","104201","3","0","【夥伴】取得最大2000里程"
"11071","0","1071","1","101101","3","0","【夥伴】取得1張抽獎券"
"11072","0","1072","1","104901","3","0","【夥伴】取得1個料理"
"11073","0","1073","1","101001","3","0","【夥伴】可以選擇使用骰子的正面或背面"
"11074","0","1074","1","135601","3","0","【夥伴】重新擲1次骰子"
"11075","0","1075","1","135501","3","0","【夥伴】追加投擲骰子直到數字合計為7以上"
"11076","0","1076","1","105501","3","0","【夥伴】骰子擲出奇數時，多前進1格。"
"11077","0","1077","1","122301","3","0","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"11078","0","1078","1","133601","3","0","【夥伴】取得最大2000里程"
"11079","0","1079","1","102101","3","0","【夥伴】取得1張抽獎券"
"11080","0","1080","1","102301","3","0","【夥伴】取得1個料理"
