af846ee5cc846202ba873d20bdd480b0eff6d9b116f129596585ba4c21bf0cba,8191155627dab5fa52e682d0e3de524aa4152e93583af381159c92eff5c602e1,ebe25bdbaf6eaff5b2509e9df0fc41c3cf4f411e45ba7d4c12352ee47feaea4b,ad23eff6f1d61810f5b1c3a3481c64d2dc638d29759a3d79ec8122d5e6517c67,f4c16aed57666827df11cdd7dc593337f8c50fbdb0cf55b80d32a0b849bf6329,1fcbf8d6b241c893b8e2bab476941e1c8eb79d47053195d9754a54d92cd34512,7cebe64887bbf40b71ba711bf729229d03f75824b987fdd62a62a70d7708883b,1c7067f35a182b78720462cd478a049ab7e4fff00d00348a64a5c2824aa07fc0
"610201351","610201552","610201155","0","0","610201553","610201551","0"
"610201352","0","610201156","0","0","0","0","0"
"610201353","0","610201157","0","0","0","0","0"
"610202101","0","610202101","0","0","0","0","0"
"610202201","610202402","610202102","610202404","0","610202403","610202401","0"
"610202202","0","610202103","0","0","0","0","0"
"610202203","0","610202104","0","0","0","0","0"
"610202301","610202502","610202105","610202504","0","610202503","610202501","0"
"610202302","0","610202106","0","0","0","0","0"
"610202303","0","610202107","0","0","0","0","0"
"610203101","0","610203101","0","0","0","0","0"
"610203201","610203402","610203102","610203404","0","610203403","610203401","0"
"610203202","0","610203103","0","0","0","0","0"
"610203203","0","610203104","0","0","0","0","0"
"610203301","610203502","610203105","610203504","0","610203503","610203501","0"
"610203302","0","610203106","0","0","0","0","0"
"610203303","0","610203107","0","0","0","0","0"
"610204101","0","610204101","0","0","0","0","0"
"610204201","610204402","610204102","610204404","0","610204403","610204401","0"
"610204202","0","610204103","0","0","0","0","0"
"610204203","0","610204104","0","0","0","0","0"
"610204301","610204502","610204105","610204504","0","610204503","610204501","0"
"610204302","0","610204106","0","0","0","0","0"
"610204303","0","610204107","0","0","0","0","0"
"610205101","0","610205101","0","0","0","0","0"
"610205201","610205402","610205102","610205404","0","610205403","610205401","0"
"610205202","0","610205103","0","0","0","0","0"
"610205203","0","610205104","0","0","0","0","0"
"610205301","610205502","610205105","610205504","0","610205503","610205501","0"
"610205302","0","610205106","0","0","0","0","0"
"610205303","0","610205107","0","0","0","0","0"
"610206101","0","610206101","0","0","0","0","0"
"610206201","610206402","610206102","610206404","0","610206403","610206401","0"
"610206202","610206406","610206103","610206408","0","610206407","610206405","0"
"610206203","0","610206104","0","0","0","0","0"
"610206301","610206502","610206105","610206504","0","610206503","610206501","0"
"610206302","610206506","610206106","610206508","0","610206507","610206505","0"
"610206303","0","610206107","0","0","0","0","0"
"610207101","0","610207101","0","0","0","0","0"
"610207201","610207402","610207102","610207404","0","610207403","610207401","0"
"610207202","0","610207103","0","0","0","0","0"
"610207203","0","610207104","0","0","0","0","0"
"610207301","610207502","610207105","610207504","0","610207503","610207501","0"
"610207302","0","610207106","0","0","0","0","0"
"610207303","0","610207107","0","0","0","0","0"
"610208101","0","610208101","0","0","0","0","0"
"610208201","610208402","610208102","0","0","0","610208401","0"
"610208202","0","610208103","0","0","0","0","0"
"610208203","0","610208104","0","0","0","0","0"
"610208301","610208502","610208105","0","0","0","610208501","0"
"610208302","0","610208106","0","0","0","0","0"
"610208303","0","610208107","0","0","0","0","0"
"610209101","0","610209101","0","0","0","0","0"
"610209201","610209402","610209102","610209404","0","610209403","610209401","0"
"610209202","0","610209103","0","0","0","0","0"
"610209203","0","610209104","0","0","0","0","0"
"610209301","610209502","610209105","610209504","0","610209503","610209501","0"
"610209302","0","610209106","0","0","0","0","0"
"610209303","0","610209107","0","0","0","0","0"
