d93d953861b0b138ec4545a1a542d396a5f1580f4619b8167692795acf01809b,856df073fd526c178de7e2307954b04770ce02e70334949dace6eb3bcbbf06a5,a6473fd51700aa198a7a77d0493c22543df976e3d8cbc991c15bdb725e7e214f,9c95df0e9a844f6a52989a5f06456d9ead341a7fb56fb63cf383ce9fc2866c52,ec1cc4bd4e7c8d06a1dca7e9924949aaa49d4e908c994982d251c30e9747ca70,0194546472b68102ca67e09edf39621505a13206d663d53c7bc83b45270cb377,4f0e1c5b53acb857e4825cc55e6e9194a588c314466ffafe2e2a389114044d35,dcbf0992555c794e0d33626a6337d93c1af93944d710026f61b677416cc89d06,3e82727a2d25136859e2e79c5a1c29eed7f6ab44b559874cc63d30c2b001f551,66d01e40ff9ab07e9f09411746b7afef3c3deb71ba6168b2c3179b3a9815be93,055b19e9c40214a66d37e0c3b75dcaaee893da7fad657d2242879cfe63c08621
"2","250","","","1007003","","-300","2","0","113411","1007003033"
"1","1","","0","1007003","0.4","1","6","1","113411","1007003034"
"","","","","1007003","","","93","","2","1007003035"
"","svd_idle_normal","","","1007003","0.2","1","3","","113411","1007003036"
"","","","","1007003","","","93","","0.4","1007003037"
"","svd_talk_thinking","","","1007003","0.2","1","3","","113411","1007003038"
"0","vo_svd_0322","","","1007003","","0","21","","vo_svd","1007003039"
"0","確實是有些可惜。\n但也因此看到了\n更有價值的事物呢。","1","0","1007003","0","6","11","0","113411","1007003040"
"","","","","1007003","","","91","","0","1007003041"
"","svd_idle_thinking","","","1007003","0.2","1","3","","113411","1007003042"
"","svd_talk_joy1","","","1007003","0.2","1","3","","113511","1007003043"
"0","vo_svd_0323","","","1007003","","0","21","","vo_svd","1007003044"
"0","溫柔的弟弟很迷人唷！\n下次再挑戰\n抓獨角仙吧！","1","0","1007003","0","6","11","0","113511","1007003045"
"","","","","1007003","","","91","","0","1007003046"
"","svd_talk_sad","","","1007003","0.2","1","3","","113511","1007003047"
"0","vo_svd_0324","","","1007003","","0","21","","vo_svd","1007003048"
"0","如果還是抓不到，\n到時候就……","1","0","1007003","0","6","11","0","113511","1007003049"
"","","","","1007003","","","91","","0","1007003050"
"","svd_idle_sad","","","1007003","0.2","1","3","","113511","1007003051"
"","svd_talk_sad","","","1007003","0.2","1","3","","113411","1007003052"
"0","vo_svd_0325","","","1007003","","0","21","","vo_svd","1007003053"
"0","如果還有下次……就由\n我們來假扮獨角仙吧。\n我會扮演得惟妙惟肖。","1","0","1007003","0","6","11","0","113411","1007003054"
"","","","","1007003","","","93","","5","1007003055"
"","svd_talk_wish2","","","1007003","0.2","1","3","","113411","1007003056"
"","","","","1007003","","","91","","1007003054","1007003057"
"","svd_idle_wish2","","","1007003","0.2","1","3","","113411","1007003058"
"","","","","1007003","","","102","","","1007003059"
"","","","","1007003","","","93","","1","1007003060"
"","12","","0","1007003","0","1","12","","113511","1007003061"
"svd_idle_normal","svd_cmn_think","","0.2","1007003","0.2","0","3","1","113511","1007003062"
"","","","","1007003","","","93","","3","1007003063"
"","svd_idle_normal","","","1007003","0.2","1","3","","113511","1007003064"
"","10","","0","1007003","0","1","12","","113411","1007003065"
"","svd_talk_normal","","","1007003","0.2","1","3","1","113411","1007003066"
"","","","","1007003","","","93","","3","1007003067"
"","svd_idle_normal","","","1007003","0.2","1","3","1","113411","1007003068"
"","1","","0","1007003","0","1","12","","113511","1007003069"
"","svd_talk_sad","","","1007003","0.2","1","3","","113511","1007003070"
"","","","","1007003","","","93","","3","1007003071"
"","svd_idle_sad","","","1007003","0.2","1","3","","113511","1007003072"
"","7","","0","1007003","0","1","12","","113411","1007003073"
"","svd_talk_wish","","","1007003","0.2","1","3","1","113411","1007003074"
"","","","","1007003","","","93","","3","1007003075"
"","svd_idle_wish","","","1007003","0.2","1","3","1","113411","1007003076"
"","","","","1007003","","","101","","1007003061","1007003077"
"1","1","","0","1007003","1","1","6","0","333","1007003078"
"","1","","","1007003","","","4","","113511","1007003079"
"","svd_run","","","1007003","0.2","1","3","","113511","1007003080"
"0.8","-750","","","1007003","","-300","2","0","113511","1007003081"
"","0","","","1007003","","","4","","113411","1007003082"
"","svd_run","","","1007003","0.2","1","3","","113411","1007003083"
"0.8","750","","","1007003","","-300","2","0","113411","1007003084"
"","","","","1007003","","","93","","0.6","1007003085"
"1","1","","0","1007003","0.2","1","6","0","113511","1007003086"
"1","1","","0","1007003","0.2","1","6","0","113411","1007003087"
"","","","","1007003","","","91","","0","1007003088"
"-250","113511","svd_idle_normal","0","1007004","2.08","100","5","-560","1","1007004001"
"250","113411","svd_idle_normal","1","1007004","2.08","100","5","-560","2","1007004002"
"0","333","svd_white_loop","0","1007004","1","0","5","0","3","1007004003"
"1","1","","0","1007004","0","1","6","0","333","1007004004"
"1","1","","0","1007004","0","1","6","0","113511","1007004005"
"1","1","","0","1007004","0","1","6","0","113411","1007004006"
"","","","","1007004","","","93","","1","1007004007"
"1","1","","0","1007004","0.8","1","6","0.4","333","1007004008"
"svd_idle_normal","svd_jump1","","0.2","1007004","0.2","0","3","1","113511","1007004009"
"svd_idle_normal","svd_jump1","","0.2","1007004","0.2","0","3","1","113411","1007004010"
"","","","","1007004","","","93","","0.3","1007004011"
"0.75","-250","","","1007004","","-300","2","0","113511","1007004012"
"0.75","250","","","1007004","","-300","2","0","113411","1007004013"
"1","1","","0","1007004","0.4","1","6","1","113511","1007004014"
"1","1","","0","1007004","0.4","1","6","1","113411","1007004015"
"","","","","1007004","","","93","","1.2","1007004016"
"","","","","1007004","","","91","","0","1007004017"
"","svd_idle_normal","","","1007004","0.2","1","3","","113411","1007004018"
"","svd_talk_joy1","","","1007004","0.2","1","3","","113511","1007004019"
"0","vo_svd_0421","","","1007004","","0","21","","vo_svd","1007004020"
"0","月光學院的大家\n都是好孩子呢！\n校園生活也感覺很有趣──","1","0","1007004","0","6","11","0","113511","1007004021"
"","","","","1007004","","","91","","0","1007004022"
"","svd_idle_joy1","","","1007004","0.2","1","3","","113511","1007004023"
"","svd_talk_thinking","","","1007004","0.2","1","3","","113411","1007004024"
"0","vo_svd_0422","","","1007004","","0","21","","vo_svd","1007004025"
"0","有小伊緒這名\n優秀的老師教導，\n有點讓人羨慕呢……","1","0","1007004","0","6","11","0","113411","1007004026"
"","","","","1007004","","","91","","0","1007004027"
"","svd_idle_thinking","","","1007004","0.2","1","3","","113411","1007004028"
"","svd_talk_normal","","","1007004","0.2","1","3","","113511","1007004029"
"0","vo_svd_0423","","","1007004","","0","21","","vo_svd","1007004030"
"0","欸欸，我們兩個……\n也進去就讀怎麼樣？","1","0","1007004","0","7","11","0","113511","1007004031"
"","","","","1007004","","","91","","0","1007004032"
"","svd_idle_joy1","","","1007004","0.2","1","3","","113511","1007004033"
"svd_talk_joy1","svd_surprise","","0.2","1007004","0.2","0","3","1","113411","1007004034"
"0","vo_svd_0424","","","1007004","","0","21","","vo_svd","1007004035"
"0","……！真是個好主意！\n那就快去拿\n入學申請書吧！","1","0","1007004","0","6","11","0","113411","1007004036"
"","","","","1007004","","","91","","0","1007004037"
"","svd_idle_joy1","","","1007004","0.2","1","3","","113411","1007004038"
"","","","","1007004","","","102","","","1007004039"
"","","","","1007004","","","93","","1","1007004040"
"","7","","0","1007004","0","1","12","","113511","1007004041"
"","svd_talk_normal","","","1007004","0.2","1","3","","113511","1007004042"
"","","","","1007004","","","93","","3","1007004043"
"","svd_idle_normal","","","1007004","0.2","1","3","","113511","1007004044"
"","6","","0","1007004","0","1","12","","113411","1007004045"
"","svd_talk_joy1","","","1007004","0.2","1","3","1","113411","1007004046"
"","","","","1007004","","","93","","3","1007004047"
"","svd_idle_joy1","","","1007004","0.2","1","3","1","113411","1007004048"
"","10","","0","1007004","0","1","12","","113511","1007004049"
"","svd_talk_joy2","","","1007004","0.2","1","3","","113511","1007004050"
"","","","","1007004","","","93","","3","1007004051"
"","svd_idle_joy2","","","1007004","0.2","1","3","","113511","1007004052"
"","10","","0","1007004","0","1","12","","113411","1007004053"
"svd_idle_joy1","svd_cmn_smile3","","0.2","1007004","0.2","0","3","1","113411","1007004054"
"","","","","1007004","","","93","","3","1007004055"
"","svd_idle_joy1","","","1007004","0.2","1","3","1","113411","1007004056"
"","","","","1007004","","","101","","1007004041","1007004057"
"1","1","","0","1007004","1","1","6","0","333","1007004058"
"","1","","","1007004","","","4","","113511","1007004059"
"","svd_run","","","1007004","0.2","1","3","","113511","1007004060"
"0.8","-750","","","1007004","","-300","2","0","113511","1007004061"
"","0","","","1007004","","","4","","113411","1007004062"
"","svd_run","","","1007004","0.2","1","3","","113411","1007004063"
"0.8","750","","","1007004","","-300","2","0","113411","1007004064"
"","","","","1007004","","","93","","0.6","1007004065"
"1","1","","0","1007004","0.2","1","6","0","113511","1007004066"
"1","1","","0","1007004","0.2","1","6","0","113411","1007004067"
"","","","","1007004","","","91","","0","1007004068"
"-700","113511","svd_idle_normal","0","1007005","2.08","110","5","-300","1","1007005001"
"-550","113411","svd_idle_normal","0","1007005","2.08","100","5","-300","2","1007005002"
"0","333","svd_white_loop","0","1007005","1","0","5","0","3","1007005003"
"1","1","","0","1007005","0","1","6","0","333","1007005004"
"60","13","","","1007005","0","-630","31","1.3","3","1007005005"
"1","1","","0","1007005","0","1","6","0","113511","1007005006"
"1","1","","0","1007005","0","1","6","0","113411","1007005007"
"","","","","1007005","","","93","","1","1007005008"
"1","1","","0","1007005","0.8","1","6","0.4","333","1007005009"
"","svd_walk_glad","","","1007005","0.2","1","3","","113511","1007005010"
"2","-250","","","1007005","","-300","2","0","113511","1007005011"
"","svd_walk_glad2","","","1007005","0.2","1","3","","113411","1007005012"
"2.2","-50","","","1007005","","-300","2","0","113411","1007005013"
"1","1","","0","1007005","0.4","1","6","1","113511","1007005014"
"1","1","","0","1007005","0.4","1","6","1","113411","1007005015"
"","1","","","1007005","","","32","","13","1007005016"
"2","-180","","","1007005","","60","33","0","13","1007005017"
"","","","","1007005","","","93","","2","1007005018"
"","0","","","1007005","","","32","","13","1007005019"
"","svd_idle_normal","","","1007005","0.2","1","3","","113511","1007005020"
"","","","","1007005","","","93","","0.2","1007005021"
"","1","","","1007005","","","4","","113411","1007005022"
"","svd_idle_normal","","","1007005","0.2","1","3","","113411","1007005023"
"","","","","1007005","","","93","","0.5","1007005024"
"","10","","0","1007005","0","0.5","12","","113511","1007005025"
"","10","","0","1007005","0","0.5","12","","113411","1007005026"
"svd_idle_normal","svd_wink","","0.2","1007005","0.2","0","3","1","113511","1007005027"
"svd_idle_normal","svd_wink","","0.2","1007005","0.2","0","3","1","113411","1007005028"
"","","","","1007005","","","93","","1.5","1007005029"
"","0","","","1007005","","","4","","113411","1007005030"
"","svd_walk","","","1007005","0.2","1","3","","113411","1007005031"
"1","250","","","1007005","","-300","2","0","113411","1007005032"
"","","","","1007005","","","93","","1","1007005033"
"svd_idle_normal","svd_idle_normal","","0","1007005","0.4","0","3","1","113411","1007005034"
"","","","","1007005","","","93","","0","1007005035"
"","1","","","1007005","","","4","","113411","1007005036"
"","","","","1007005","","","93","","0.6","1007005037"
"","svd_talk_joy1","","","1007005","0.2","1","3","","113511","1007005038"
"0","vo_svd_0521","","","1007005","","0","21","","vo_svd","1007005039"
"0","和弟弟在平靜的島上生活……\n這裡真的是天堂呢。","1","0","1007005","0","5","11","0","113511","1007005040"
"","","","","1007005","","","91","","0","1007005041"
"","svd_idle_memory","","","1007005","0.2","1","3","","113511","1007005042"
"","svd_talk_memory","","","1007005","0.2","1","3","","113411","1007005043"
"0","vo_svd_0522","","","1007005","","0","21","","vo_svd","1007005044"
"0","如果這都不算幸福，\n還有什麼能\n稱得上是幸福……","1","0","1007005","0","6","11","0","113411","1007005045"
"","","","","1007005","","","91","","0","1007005046"
"","svd_idle_memory","","","1007005","0.2","1","3","","113411","1007005047"
"","svd_talk_memory","","","1007005","0.2","1","3","","113511","1007005048"
"0","vo_svd_0523","","","1007005","","0","21","","vo_svd","1007005049"
"0","從早到晚\n都能和弟弟\n待在一起……","1","0","1007005","0","6","11","0","113511","1007005050"
"","","","","1007005","","","91","","0","1007005051"
"","svd_idle_memory","","","1007005","0.2","1","3","","113511","1007005052"
"","svd_talk_memory","","","1007005","0.2","1","3","","113411","1007005053"
"0","vo_svd_0524","","","1007005","","0","21","","vo_svd","1007005054"
"0","無論是剛睡醒的可愛一面\n還是祥和的睡臉\n都能看個夠……","1","0","1007005","0","4","11","0","113411","1007005055"
"","","","","1007005","","","91","","0","1007005056"
"","svd_idle_memory","","","1007005","0.2","1","3","","113411","1007005057"
"","svd_talk_joy2","","","1007005","0.2","1","3","","113511","1007005058"
"0","vo_svd_0525","","","1007005","","0","21","","vo_svd","1007005059"
"0","為了回報這份幸福之恩，\n我們來做一棟最棒的房子吧！\n惠理子！","1","0","1007005","0","8","11","0","113511","1007005060"
"","","","","1007005","","","93","","4","1007005061"
"svd_idle_guts","svd_talk_guts","","0.2","1007005","0.2","0","3","1","113511","1007005062"
"","","","","1007005","","","91","","1007005060","1007005063"
"","svd_idle_guts","","","1007005","0.2","1","3","","113511","1007005064"
"svd_idle_guts2","svd_talk_guts2","","0.2","1007005","0.2","0","3","1","113411","1007005065"
"0","vo_svd_0526","","","1007005","","0","21","","vo_svd","1007005066"
"0","那當然！","1","0","1007005","0","6","11","0","113411","1007005067"
"","","","","1007005","","","91","","0","1007005068"
"","","","","1007005","","","102","","","1007005069"
"","","","","1007005","","","93","","1","1007005070"
"","9","","0","1007005","0","1","12","","113511","1007005071"
"","svd_talk_memory","","","1007005","0.2","1","3","","113511","1007005072"
"","","","","1007005","","","93","","3","1007005073"
"","svd_idle_memory","","","1007005","0.2","1","3","","113511","1007005074"
"","7","","0","1007005","0","1","12","","113411","1007005075"
"","svd_talk_thinking","","","1007005","0.2","1","3","1","113411","1007005076"
"","","","","1007005","","","93","","3","1007005077"
