e45169fae97576e9ce81df5f9acb200a2f416211a1b9fd3763e904b8589ead7e,3e7f66c0b221f6c95ec7ef307b07d71e736206335cdeaaff379b008be2b7bf33,05f4b855f177a0b2499bc852b16723cc46b1d13aad737a1d0d1c00f36b07cecf,9f17805395417fd24e5a647ee4c0065c7464b19a6a92f1cd1d6146b5ec498510,48af36fb1db240d4e55b663eef485054e16502cbf8b263b5f8c87784e0fa5473,105628809775c98c0d7b1e8fbcf7954405e9a75f7c7bda7a042052673a8a0d46,86d2efcc7063ddc4d62d395a2cfe1adc63db640962b3af67e0c49775191b15f9,59f17215e4854ca320609784ffce9b6a6c5c8042d881a59c4995f1f12d8869cc,ccb8ee37b5e9f5dbad3279b5691fa065f3c4e8e99912515eb65bea72575576a5,185672cf45678b4bbc2ab81dee0674a15be9205b0a6ee1d6f0e49ae5bc32c224,60c5d293ea91c4216a28f0047290be4485b7fe20f10f0a0a5c2a0b322e7412c8
"1007401039","3","","","1","31","mhp_yui_sit_talk_memory","0","1007401","",""
"1007401040","21","0","","0","vo_mhp_1007401","vo_mhp_4004","","1007401","",""
"1007401041","11","1","0","3","100211","是啊，那時候雖然很辛苦，\n卻過得很開心呢，\n真想再去泡溫泉──\n溫、泉……啊，啊……","0","1007401","0","1.5"
"1007401042","93","","","","14","1","","1007401","",""
"1007401043","3","","","1","100211","mhp_yui_hot","0.2","1007401","",""
"1007401044","3","","","1","31","mhp_yui_hot","0.2","1007401","",""
"1007401045","32","","","","123","1","","1007401","",""
"1007401046","23","","","","se_10031400","se_10031400_love","","1007401","",""
"1007401047","91","","","","1007401041","","","1007401","",""
"1007401048","93","","","","3","0","","1007401","",""
"1007401049","3","","","1","117531","mhp_sit_talk_worry","0.2","1007401","",""
"1007401050","21","0","","0","vo_mhp_1007401","vo_mhp_4005","","1007401","",""
"1007401051","11","1","0","6","117531","怎麼了？妳的臉很紅喔？","0","1007401","0","0.5"
"1007401052","91","","","","0","","","1007401","",""
"1007401053","32","","","","123","0","","1007401","",""
"1007401054","3","","","1","117531","mhp_sit_idle","0.2","1007401","",""
"1007401055","3","","","1","100211","mhp_yui_sit_talk_worry","0.2","1007401","",""
"1007401056","3","","","1","31","NoItem","0.2","1007401","",""
"1007401057","21","0","","0","vo_mhp_1007401","vo_mhp_4006","","1007401","",""
"1007401058","11","1","0","3","100211","關、關於這個，\n我最近經常臉頰突然發燙……\n這是什麼疾病嗎？","0","1007401","0","0.5"
"1007401059","91","","","","0","","","1007401","",""
"1007401060","3","","0","1","100211","mhp_yui_sit_idle_sad","0.2","1007401","",""
"1007401061","3","","0","1","117531","mhp_sit_talk_thinking","0.2","1007401","",""
"1007401062","21","0","","0","vo_mhp_1007401","vo_mhp_4007","","1007401","",""
"1007401063","11","1","0","4","117531","我沒有辦法馬上斷定，\n但那說不定是很嚴重的疾病，\n而且還是不治之症呢。","0","1007401","0","0.5"
"1007401064","91","","","","0","","","1007401","",""
"1007401065","3","","","1","117531","mhp_sit_idle_thinking","0.2","1007401","",""
"1007401066","3","","","1","100211","mhp_yui_sit_talk_sad","0.2","1007401","",""
"1007401067","21","0","","0","vo_mhp_1007401","vo_mhp_4008","","1007401","",""
"1007401068","11","1","0","8","100211","怎麼會……","0","1007401","0","0.5"
"1007401069","91","","","","0","","","1007401","",""
"1007401070","3","","","1","100211","mhp_yui_sit_idle_sad","0.2","1007401","",""
"1007401071","3","","","1","117531","mhp_sit_talk_normal","0.2","1007401","",""
"1007401072","21","0","","0","vo_mhp_1007401","vo_mhp_4009","","1007401","",""
"1007401073","11","1","0","4","117531","一般來說是不會危及性命，\n但要是拖得太久，可就麻煩了，\n所以今天就先──","0","1007401","0","0.5"
"1007401074","91","","","","0","","","1007401","",""
"1007401075","22","","","","0","0","","1007401","",""
"1007401076","103","","","0","拿條冷毛巾敷在額頭上。","1007401079","","1007401","",""
"1007401077","103","","","0","放空腦袋好好休息。","1007401125","","1007401","",""
"1007401078","103","","","0","我開個特製的中藥給妳。","1007401142","","1007401","",""
"1007401079","3","mhp_idle_normal","1","0","117531","mhp_sit_out","0.2","1007401","0",""
"1007401080","93","","","","0.6","0","","1007401","",""
"1007401081","3","mhp_idle_normal","1","0","100211","mhp_sit_out","0.2","1007401","0",""
"1007401082","93","","","","0.2","0","","1007401","",""
"1007401083","3","","0","1","100211","mhp_walk","0.2","1007401","",""
"1007401084","2","1.5","0","-220","100211","35","","1007401","",""
"1007401085","2","1.5","0","-220","31","35","","1007401","",""
"1007401086","2","1.5","0","-220","11","35","","1007401","",""
"1007401087","2","1.5","0","-220","12","35","","1007401","",""
"1007401088","93","","","","0.3","0","","1007401","",""
"1007401089","3","mhp_handover_loop","1","0","117531","mhp_handover_in","0.2","1007401","0",""
"1007401090","6","1","1","1","21","1","0","1007401","0",""
"1007401091","6","1","1","1","22","1","0","1007401","0",""
"1007401092","3","mhp_handover_loop","1","0","21","mhp_handover_in","0.2","1007401","0",""
"1007401093","3","mhp_item_EX0015_handover_loop","1","0","22","mhp_item_EX0015_handover_in","0.2","1007401","0",""
"1007401094","93","","","","1.2","0","","1007401","",""
"1007401095","3","mhp_handover_receive_loop","1","0","100211","mhp_handover_receive_in","0.2","1007401","0",""
"1007401096","6","1","1","1","11","1","0","1007401","0",""
"1007401097","6","1","1","1","12","1","0","1007401","0",""
"1007401098","3","mhp_receive_yui_loop","1","0","11","mhp_receive_yui_in","0.2","1007401","0",""
"1007401099","3","mhp_item_EX0015_receive_loop","1","0","12","mhp_item_EX0015_receive_in","0.2","1007401","0",""
"1007401100","93","","","","0.6","0","","1007401","",""
"1007401101","6","1","1","1","22","1","0.4","1007401","0",""
"1007401102","93","","","","0.4","0","","1007401","",""
"1007401103","3","mhp_idle_normal","1","0","117531","mhp_handover_out","0.2","1007401","0",""
"1007401104","3","NoItem_idle","1","0","21","mhp_handover_out","0.2","1007401","0",""
"1007401105","3","NoItem_idle","1","0","22","mhp_item_EX0015_handover_out","0.2","1007401","0",""
"1007401106","93","","","","0.4","0","","1007401","",""
"1007401107","3","mhp_idle_normal","1","0","100211","mhp_handover_receive_out","0.2","1007401","0",""
"1007401108","3","NoItem_idle","1","0","11","mhp_receive_yui_out","0.2","1007401","0",""
"1007401109","3","NoItem_idle","1","0","12","mhp_item_EX0015_receive_out","0.2","1007401","0",""
"1007401110","93","","","","2","0","","1007401","",""
"1007401111","3","","","1","100211","mhp_talk_worry","0.2","1007401","",""
"1007401112","21","0","","0","vo_mhp_1007401","vo_mhp_4010","","1007401","",""
"1007401113","11","1","0","6","100211","這、這樣就能治好了嗎？","0","1007401","0","0.5"
"1007401114","91","","","","0","","","1007401","",""
"1007401115","3","","","1","100211","mhp_idle_worry","0.2","1007401","",""
"1007401116","3","","","1","117531","mhp_talk_normal","0.2","1007401","",""
"1007401117","21","0","","0","vo_mhp_1007401","vo_mhp_4011","","1007401","",""
"1007401118","11","1","0","5","117531","不，這單純是症狀治療喔。\n但現在這樣就夠了，\n如果有什麼問題，妳就再來吧。","0","1007401","0","0.5"
"1007401119","91","","","","0","","","1007401","",""
"1007401120","22","","","","0","0","","1007401","",""
"1007401121","3","mhp_sit_idle","1","0","117531","mhp_sit_in","0.2","1007401","0.2",""
"1007401122","3","","","0","100211","mhp_yui_pekori","0.2","1007401","",""
"1007401123","91","","","","0","","","1007401","",""
"1007401124","101","","","","1007401186","","","1007401","",""
"1007401125","3","","","1","117531","mhp_sit_idle","0.2","1007401","",""
"1007401126","3","","","1","100211","mhp_sit_talk_worry","0.2","1007401","",""
"1007401127","21","0","","0","vo_mhp_1007401","vo_mhp_4012","","1007401","",""
"1007401128","11","1","0","11","100211","那個，不需要吃藥之類的嗎……","0","1007401","0","0.5"
"1007401129","91","","","","0","","","1007401","",""
"1007401130","3","","","1","100211","mhp_sit_idle_sad","0.2","1007401","",""
"1007401131","3","","","1","117531","mhp_sit_talk_thinking","0.2","1007401","",""
"1007401132","21","0","","0","vo_mhp_1007401","vo_mhp_4013","","1007401","",""
"1007401133","11","1","0","5","117531","不需要喔。想太多對身體不好，\n所以在生活中保持平靜的心靈，\n就是最好的方法。","0","1007401","0","0.5"
"1007401134","91","","","","0","","","1007401","",""
"1007401135","22","","","","0","0","","1007401","",""
"1007401136","3","","","1","117531","mhp_sit_idle","0.2","1007401","",""
"1007401137","3","","","0","100211","mhp_yui_sit_pekori","0.2","1007401","",""
"1007401138","91","","","","0","","","1007401","",""
"1007401139","3","","","0","100211","mhp_sit_out","0.2","1007401","",""
"1007401140","91","","","","0","","","1007401","",""
"1007401141","101","","","","1007401186","","","1007401","",""
"1007401142","3","mhp_idle_normal","1","0","117531","mhp_sit_out","0.2","1007401","0",""
"1007401143","93","","","","0.6","0","","1007401","",""
"1007401144","3","mhp_idle_normal","1","0","100211","mhp_sit_out","0.2","1007401","0",""
"1007401145","93","","","","0.2","0","","1007401","",""
"1007401146","3","","0","1","100211","mhp_walk","0.2","1007401","",""
"1007401147","2","1.5","0","-220","100211","35","","1007401","",""
"1007401148","2","1.5","0","-220","31","35","","1007401","",""
"1007401149","2","1.5","0","-220","11","35","","1007401","",""
"1007401150","2","1.5","0","-220","12","35","","1007401","",""
"1007401151","93","","","","0.3","0","","1007401","",""
"1007401152","3","mhp_handover_loop","1","0","117531","mhp_handover_in","0.2","1007401","0",""
"1007401153","6","1","1","1","21","1","0","1007401","0",""
"1007401154","6","1","1","1","22","1","0","1007401","0",""
"1007401155","3","mhp_handover_loop","1","0","21","mhp_handover_in","0.2","1007401","0",""
"1007401156","3","mhp_item_EX0007_handover_loop","1","0","22","mhp_item_EX0007_handover_in","0.2","1007401","0",""
"1007401157","93","","","","1.2","0","","1007401","",""
"1007401158","3","mhp_handover_receive_loop","1","0","100211","mhp_handover_receive_in","0.2","1007401","0",""
"1007401159","6","1","1","1","11","1","0","1007401","0",""
"1007401160","6","1","1","1","12","1","0","1007401","0",""
"1007401161","3","mhp_receive_yui_loop","1","0","11","mhp_receive_yui_in","0.2","1007401","0",""
"1007401162","3","mhp_item_EX0007_receive_loop","1","0","12","mhp_item_EX0007_receive_in","0.2","1007401","0",""
"1007401163","93","","","","0.6","0","","1007401","",""
"1007401164","6","1","1","1","22","1","0.4","1007401","0",""
"1007401165","93","","","","0.4","0","","1007401","",""
"1007401166","3","mhp_idle_normal","1","0","117531","mhp_handover_out","0.2","1007401","0",""
"1007401167","3","NoItem_idle","1","0","21","mhp_handover_out","0.2","1007401","0",""
"1007401168","3","NoItem_idle","1","0","22","mhp_item_EX0007_handover_out","0.2","1007401","0",""
"1007401169","93","","","","0.4","0","","1007401","",""
"1007401170","3","mhp_idle_normal","1","0","100211","mhp_handover_receive_out","0.2","1007401","0",""
"1007401171","3","NoItem_idle","1","0","11","mhp_receive_yui_out","0.2","1007401","0",""
"1007401172","3","NoItem_idle","1","0","12","mhp_item_EX0007_receive_out","0.2","1007401","0",""
"1007401173","93","","","","2","0","","1007401","",""
"1007401174","3","","","1","100211","mhp_talk_wish","0.2","1007401","",""
"1007401175","21","0","","0","vo_mhp_1007401","vo_mhp_4014","","1007401","",""
"1007401176","11","1","0","4","100211","中藥……總覺得好像會很有效……\n謝謝妳，深月小姐。","0","1007401","0","0.5"
"1007401177","91","","","","0","","","1007401","",""
"1007401178","3","","","1","100211","mhp_idle_wish","0.2","1007401","",""
"1007401179","3","","","1","117531","mhp_talk_thinking","0.2","1007401","",""
"1007401180","21","0","","0","vo_mhp_1007401","vo_mhp_4015","","1007401","",""
"1007401181","11","1","0","6","117531","（但因為那是滋補身體的中藥，\n所以完全無關就是了。）","0","1007401","0","0.5"
"1007401182","91","","","","0","","","1007401","",""
"1007401183","22","","","","0","0","","1007401","",""
"1007401184","3","mhp_sit_idle","1","0","117531","mhp_sit_in","0.2","1007401","0.2",""
"1007401185","3","","","0","100211","mhp_yui_pekori","0.2","1007401","",""
"1007401186","91","","","","0","","","1007401","",""
"1007401187","3","","","1","100211","mhp_walk","0.2","1007401","",""
"1007401188","4","","","","100211","1","","1007401","",""
"1007401189","2","5","0","-220","100211","-1000","","1007401","",""
"1007401190","93","","","","4","0","","1007401","",""
"1007401191","3","","","1","117631","mhp_sit_talk_worry","0.2","1007401","",""
"1007401192","21","0","","0","vo_mhp_1007401","vo_mhp_4016","","1007401","",""
"1007401193","11","1","0","4","117631","醫生，那個人真的有生病嗎？","0","1007401","0","0.5"
"1007401194","91","","","","0","","","1007401","",""
"1007401195","3","","","1","117631","mhp_sit_idle","0.2","1007401","",""
"1007401196","3","","","1","117531","mhp_sit_talk_thinking","0.2","1007401","",""
"1007401197","21","0","","0","vo_mhp_1007401","vo_mhp_4017","","1007401","",""
"1007401198","11","1","0","3","117531","是啊，而且病得很重喔。\n得好好為她看病才行呢。\n呵呵，年輕真好呢。","","1007401","0","0.5"
"1007401199","91","","","","0","","","1007401","",""
"1007401200","22","","","","0","0.5","","1007401","",""
"1007401201","91","","","","0","","","1007401","",""
"1007402001","1","-1000","-240","100","1","100211","1.7","1007402","0","mhp_idle_normal"
"1007402002","1","185","-220","100","1","117531","1.7","1007402","1","mhp_sit_idle"
"1007402003","1","365","-200","100","1","117631","1.7","1007402","1","mhp_sit_idle"
"1007402004","31","-154","0.85","-240","1","1","1","1007402","",""
"1007402005","5","-200","-220","110","1","11","1.7","1007402","0","NoItem"
"1007402006","5","-200","-220","105","1","12","1.7","1007402","0","NoItem"
"1007402007","5","185","-220","110","1","21","1.7","1007402","1","NoItem"
"1007402008","5","185","-220","105","1","22","1.7","1007402","1","NoItem"
"1007402009","6","1","0","1","11","1","0","1007402","0",""
"1007402010","6","1","0","1","12","1","0","1007402","0",""
"1007402011","6","1","0","1","21","1","0","1007402","0",""
"1007402012","6","1","0","1","22","1","0","1007402","0",""
"1007402013","5","-1000","-220","110","1","31","1.7","1007402","0","NoItem"
"1007402014","91","","","","0","","","1007402","",""
"1007402015","3","","","1","117531","mhp_sit_talk_normal","0.2","1007402","",""
"1007402016","21","0","","0","vo_mhp_1007402","vo_mhp_4101","","1007402","",""
"1007402017","11","0","0","5","117531","優衣，請進～","0","1007402","0","0.5"
"1007402018","91","","","","0","","","1007402","",""
"1007402019","3","","","1","117531","mhp_sit_idle","0.2","1007402","",""
"1007402020","3","","","1","100211","mhp_yui_walk_sad2","0.2","1007402","",""
"1007402021","2","4","0","-220","100211","-200","","1007402","",""
"1007402022","91","","","","0","","","1007402","",""
"1007402023","3","mhp_yui_sit_idle_sad","1","0","100211","mhp_yui_sit_in_sad","0.2","1007402","0.2",""
"1007402024","93","","","","1","0","","1007402","",""
"1007402025","3","","","1","117531","mhp_sit_talk_normal","0.2","1007402","",""
"1007402026","21","0","","0","vo_mhp_1007402","vo_mhp_4102","","1007402","",""
"1007402027","11","1","0","5","117531","謝謝妳過來。\n妳今天是要問胸口不舒服的問題嗎？","0","1007402","0","0.5"
"1007402028","91","","","","0","","","1007402","",""
"1007402029","3","","","1","117531","mhp_sit_idle","0.2","1007402","",""
"1007402030","3","","","1","100211","mhp_yui_sit_talk_surprise","0.2","1007402","",""
"1007402031","21","0","","0","vo_mhp_1007402","vo_mhp_4103","","1007402","",""
"1007402032","11","1","0","5","100211","我、我什麼都還沒說耶！？\n真不愧是深月小姐……","0","1007402","0","0.5"
"1007402033","91","","","","0","","","1007402","",""
"1007402034","3","","","1","100211","mhp_yui_sit_talk_sad","0.2","1007402","",""
"1007402035","21","0","","0","vo_mhp_1007402","vo_mhp_4104","","1007402","",""
"1007402036","11","1","0","3","100211","是的，我的胸口難過得受不了……\n這、這果然是重病嗎？","0","1007402","0","0.5"
"1007402037","91","","","","0","","","1007402","",""
"1007402038","3","","","1","100211","mhp_yui_sit_idle_sad","0.2","1007402","",""
"1007402039","3","","","1","117531","mhp_sit_talk_sad2","0.2","1007402","",""
"1007402040","21","0","","0","vo_mhp_1007402","vo_mhp_4105","","1007402","",""
"1007402041","11","1","0","4","117531","我之前也說過了，\n這不會直接危及性命，\n但有時可能會痛苦到比死還要難受呢。","0","1007402","0","0.5"
"1007402042","91","","","","0","","","1007402","",""
"1007402043","3","","","1","117531","mhp_sit_idle","0.2","1007402","",""
"1007402044","3","","","1","100211","mhp_yui_sit_talk_wish","0.2","1007402","",""
"1007402045","21","0","","0","vo_mhp_1007402","vo_mhp_4106","","1007402","",""
"1007402046","11","1","0","5","100211","怎麼會……\n我、我該怎麼辦……","0","1007402","0","0.5"
"1007402047","91","","","","0","","","1007402","",""
"1007402048","3","","","1","100211","mhp_yui_sit_idle_sad","0.2","1007402","",""
"1007402049","3","","","1","117531","mhp_sit_talk_wish","0.2","1007402","",""
"1007402050","21","0","","0","vo_mhp_1007402","vo_mhp_4107","","1007402","",""
"1007402051","11","1","0","6","117531","沒事的，醫生就是為此存在的啊。\n好了，胸口不舒服就要──","0","1007402","0","0.5"
"1007402052","91","","","","0","","","1007402","",""
"1007402053","22","","","","0","0","","1007402","",""
"1007402054","103","","","0","我開心悸的藥給妳吧。","1007402057","","1007402","",""
"1007402055","103","","","0","這是大江戶特產的甜點。","1007402102","","1007402","",""
"1007402056","103","","","0","去數羊吧。","1007402147","","1007402","",""
"1007402057","3","mhp_idle_normal","1","0","117531","mhp_sit_out","0.2","1007402","0",""
"1007402058","93","","","","0.6","0","","1007402","",""
"1007402059","3","mhp_idle_normal","1","0","100211","mhp_sit_out","0.2","1007402","0",""
"1007402060","93","","","","0.2","0","","1007402","",""
"1007402061","3","","0","1","100211","mhp_walk","0.2","1007402","",""
"1007402062","2","1.5","0","-220","100211","35","","1007402","",""
"1007402063","2","1.5","0","-220","31","35","","1007402","",""
"1007402064","2","1.5","0","-220","11","35","","1007402","",""
"1007402065","2","1.5","0","-220","12","35","","1007402","",""
"1007402066","93","","","","0.3","0","","1007402","",""
"1007402067","3","mhp_handover_loop","1","0","117531","mhp_handover_in","0.2","1007402","0",""
"1007402068","6","1","1","1","21","1","0","1007402","0",""
"1007402069","6","1","1","1","22","1","0","1007402","0",""
"1007402070","3","mhp_handover_loop","1","0","21","mhp_handover_in","0.2","1007402","0",""
"1007402071","3","mhp_item_EX0009_handover_loop","1","0","22","mhp_item_EX0009_handover_in","0.2","1007402","0",""
"1007402072","93","","","","1.2","0","","1007402","",""
"1007402073","3","mhp_handover_receive_loop","1","0","100211","mhp_handover_receive_in","0.2","1007402","0",""
"1007402074","6","1","1","1","11","1","0","1007402","0",""
"1007402075","6","1","1","1","12","1","0","1007402","0",""
"1007402076","3","mhp_receive_yui_loop","1","0","11","mhp_receive_yui_in","0.2","1007402","0",""
"1007402077","3","mhp_item_EX0009_receive_loop","1","0","12","mhp_item_EX0009_receive_in","0.2","1007402","0",""
"1007402078","93","","","","0.6","0","","1007402","",""
"1007402079","6","1","1","1","22","1","0.4","1007402","0",""
"1007402080","93","","","","0.4","0","","1007402","",""
"1007402081","3","mhp_idle_normal","1","0","117531","mhp_handover_out","0.2","1007402","0",""
"1007402082","3","NoItem_idle","1","0","21","mhp_handover_out","0.2","1007402","0",""
"1007402083","3","NoItem_idle","1","0","22","mhp_item_EX0009_handover_out","0.2","1007402","0",""
"1007402084","93","","","","0.4","0","","1007402","",""
"1007402085","3","mhp_idle_normal","1","0","100211","mhp_handover_receive_out","0.2","1007402","0",""
"1007402086","3","NoItem_idle","1","0","11","mhp_receive_yui_out","0.2","1007402","0",""
"1007402087","3","NoItem_idle","1","0","12","mhp_item_EX0009_receive_out","0.2","1007402","0",""
"1007402088","93","","","","2","0","","1007402","",""
"1007402089","3","","","1","100211","mhp_talk_sad","0.2","1007402","",""
"1007402090","21","0","","0","vo_mhp_1007402","vo_mhp_4108","","1007402","",""
"1007402091","11","1","0","5","100211","領到藥後，我總覺得放心多了，\n希望這樣就能治好……","0","1007402","0","0.5"
"1007402092","91","","","","0","","","1007402","",""
"1007402093","3","","","1","100211","mhp_idle_sad","0.2","1007402","",""
"1007402094","3","","","1","117531","mhp_idle_thinking","0.2","1007402","",""
"1007402095","21","0","","0","vo_mhp_1007402","vo_mhp_4109","","1007402","",""
"1007402096","11","1","0","6","117531","（但那其實只是彈珠汽水糖就是了。\n如果不是真的生病，這麼做是最好的。）","0","1007402","0","0.5"
"1007402097","91","","","","0","","","1007402","",""
"1007402098","22","","","","0","0","","1007402","",""
"1007402099","3","mhp_sit_idle","1","0","117531","mhp_sit_in","0.2","1007402","0.2",""
"1007402100","93","","","","1","0","","1007402","",""
"1007402101","101","","","","1007402160","","","1007402","",""
"1007402102","3","mhp_idle_normal","1","0","117531","mhp_sit_out","0.2","1007402","0",""
"1007402103","93","","","","0.6","0","","1007402","",""
"1007402104","3","mhp_idle_normal","1","0","100211","mhp_sit_out","0.2","1007402","0",""
"1007402105","93","","","","0.2","0","","1007402","",""
"1007402106","3","","0","1","100211","mhp_walk","0.2","1007402","",""
"1007402107","2","1.5","0","-220","100211","35","","1007402","",""
"1007402108","2","1.5","0","-220","31","35","","1007402","",""
"1007402109","2","1.5","0","-220","11","35","","1007402","",""
"1007402110","2","1.5","0","-220","12","35","","1007402","",""
"1007402111","93","","","","0.3","0","","1007402","",""
"1007402112","3","mhp_handover_loop","1","0","117531","mhp_handover_in","0.2","1007402","0",""
"1007402113","6","1","1","1","21","1","0","1007402","0",""
"1007402114","6","1","1","1","22","1","0","1007402","0",""
"1007402115","3","mhp_handover_loop","1","0","21","mhp_handover_in","0.2","1007402","0",""
"1007402116","3","mhp_item_EX0010_handover_loop","1","0","22","mhp_item_EX0010_handover_in","0.2","1007402","0",""
"1007402117","93","","","","1.2","0","","1007402","",""
"1007402118","3","mhp_handover_receive_loop","1","0","100211","mhp_handover_receive_in","0.2","1007402","0",""
"1007402119","6","1","1","1","11","1","0","1007402","0",""
"1007402120","6","1","1","1","12","1","0","1007402","0",""
"1007402121","3","mhp_receive_yui_loop","1","0","11","mhp_receive_yui_in","0.2","1007402","0",""
"1007402122","3","mhp_item_EX0010_receive_loop","1","0","12","mhp_item_EX0010_receive_in","0.2","1007402","0",""
"1007402123","93","","","","0.6","0","","1007402","",""
"1007402124","6","1","1","1","22","1","0.4","1007402","0",""
"1007402125","93","","","","0.4","0","","1007402","",""
"1007402126","3","mhp_idle_normal","1","0","117531","mhp_handover_out","0.2","1007402","0",""
"1007402127","3","NoItem_idle","1","0","21","mhp_handover_out","0.2","1007402","0",""
"1007402128","3","NoItem_idle","1","0","22","mhp_item_EX0010_handover_out","0.2","1007402","0",""
"1007402129","93","","","","0.4","0","","1007402","",""
"1007402130","3","mhp_idle_normal","1","0","100211","mhp_handover_receive_out","0.2","1007402","0",""
"1007402131","3","NoItem_idle","1","0","11","mhp_receive_yui_out","0.2","1007402","0",""
"1007402132","3","NoItem_idle","1","0","12","mhp_item_EX0010_receive_out","0.2","1007402","0",""
"1007402133","93","","","","2","0","","1007402","",""
