70cebae75e0457da9623fa64c929ed423c8ee79a00c8688786421d7d5b5629f1,46e9797ef559381e1da9e4201bdbf42f49bcc8c2a63b6408c8e9eac1cc76c8ba,fa9e93a7efa6f83e8662e242bb12d6f9e6369608958634cc47db5971cf376a7b,e3938ce03b5e92ff543e1d8485eb24576ff36271dc2e7bd062ca46809b437e55,f7226fc4c00434822e008fe69c033ec243566b1bb9de2e41281733b2449e0d83,f1e863593597cdd951cdd1040a5e59f7145c3ae42003b61ef9e86660a6520720,134ef1bfabb7ac363f644705f9b0356c984e89252debca9d4692109937d25ada,3137a29510d4c37de7a6a6f9f77b4462357850f41c6125d4dede428d642bcfb9
"2","5","5","131","7","2000","96007","31808"
"2","5","5","132","7","1500","96007","31275"
"2","5","10","133","7","2500","96007","90005"
"4","10","50","134","7","2500","96007","140001"
"2","10","10","135","7","1000","96007","25001"
"4","5","30","136","7","500","96007","150003"
"4","5","30","137","7","650","96007","150004"
"4","5","30","138","7","750","96007","150005"
"4","5","30","139","7","900","96007","150006"
"4","5","30","140","7","1000","96007","150007"
"4","5","30","141","7","1150","96007","150008"
"4","5","30","142","7","1300","96007","150009"
"2","5","500","143","7","2500","96007","20004"
"2","5","500","144","7","1000","96007","22003"
"2","0","100","145","7","1000","96007","20004"
"2","0","100","146","7","400","96007","22003"
"2","1","1","147","8","20000","96008","25101"
"2","1","1","148","8","20000","96008","21952"
"2","1","1","149","8","10000","96008","21905"
"2","2","1","150","8","10000","96008","41000"
"2","5","5","151","8","1500","96008","31279"
"2","5","5","152","8","2000","96008","31809"
"2","5","5","153","8","1500","96008","31284"
"2","5","5","154","8","1500","96008","31285"
"2","5","5","155","8","1500","96008","31289"
"2","5","5","156","8","1500","96008","31287"
"2","5","5","157","8","1500","96008","31293"
"2","5","10","158","8","2500","96008","90005"
"4","10","50","159","8","2500","96008","140001"
"2","10","10","160","8","1000","96008","25001"
"4","5","30","161","8","500","96008","150003"
"4","5","30","162","8","650","96008","150004"
"4","5","30","163","8","750","96008","150005"
"4","5","30","164","8","900","96008","150006"
"4","5","30","165","8","1000","96008","150007"
"4","5","30","166","8","1150","96008","150008"
"4","5","30","167","8","1300","96008","150009"
"2","5","500","168","8","2500","96008","20004"
"2","5","500","169","8","1000","96008","22003"
"2","0","100","170","8","1000","96008","20004"
"2","0","100","171","8","400","96008","22003"
