cf9626c5a863ead699025551eeccf807afe853816fd9b23aeb6001c151db335e,d4c2dfe5f9c343a79b078939003f7f2b2a25fdb97087189d3ba5eb48d91a90b9,2799f3ab27e9297c7a70e881cf23b9ab7fc4fc0f919ba433b8396e8308f46c27,46cef0102acf84fa7c42dac50f15e6b78d058518d3b21c504ed7e0835b56862c,02dc65da3d96324736a3aa03511e962727ac8df09d8b238de13a1243b1a34f93,7db40c4ae09f8a92600b47eaff5ea78c4043041802cb922c5f96fa76e7015cd4
"2","5084003","3","10112","500039","105"
"2","5085002","3","10113","500368","106"
"2","5085003","3","10113","510203","107"
"2","5085004","3","10113","500272","108"
"2","5085005","3","10113","501501","109"
"1","1011001","2","10110101","0","110"
"1","20037112","1","20037101","0","111"
"2","5066005","3","20037","501291","112"
"2","5088005","3","10115","501810","113"
"2","5114000","3","10114","500016","114"
"2","5114003","3","10114","501952","115"
"2","5068001","3","20038","501341","116"
"2","5090002","3","10117","501541","117"
"2","5070004","3","20039","501353","121"
"2","5070005","3","20039","500016","122"
"2","5116004","3","10116","500837","123"
"2","5092001","3","10119","501031","124"
"2","5092004","3","10119","501551","125"
"2","5118002","3","10118","500133","126"
"2","5118003","3","10118","500810","127"
"2","5118007","3","10118","500133","128"
"2","5072004","3","20040","501364","129"
"2","5072006","3","20040","501365","130"
"2","5124003","3","10124","501614","132"
"2","5074001","3","20041","501383","133"
"2","5094001","3","10121","501593","135"
"2","5122000","3","10122","502003","136"
"2","5122002","3","10122","502015","137"
"2","5096002","3","10123","501613","138"
"2","5076005","3","20042","505036","139"
"2","5078004","3","20043","501451","140"
"2","5098000","3","10125","501031","141"
"2","5100003","3","10127","500837","143"
"2","5080005","3","20044","501463","144"
"2","5128001","3","10128","502063","145"
"2","5102002","3","10129","501873","146"
"1","20045105","1","20045101","0","147"
"1","20045108","1","20045102","0","148"
"1","20045111","1","20045103","0","149"
"2","5082002","3","20045","501160","150"
"2","5082004","3","20045","501031","151"
"2","5082005","3","20045","501483","152"
"2","5084001","3","20046","500368","153"
"2","5084002","3","20046","510306","154"
"2","5084003","3","20046","500039","155"
"2","5085002","3","20047","500368","156"
"2","5085003","3","20047","510203","157"
"2","5085004","3","20047","500272","158"
"2","5085005","3","20047","501501","159"
"2","5130001","3","10130","500016","160"
"2","5130007","3","10130","500133","161"
"2","5104003","3","10131","500133","162"
"2","5136002","3","10136","500143","163"
"2","5136004","3","10136","500175","164"
"2","5137002","3","10137","501622","165"
"2","5137005","3","10137","500133","166"
"2","5088005","3","20048","501810","167"
"2","5134007","3","10134","500553","168"
"2","5108002","3","10135","501911","169"
"2","5110005","3","10138","501931","170"
"2","5111005","3","10139","500013","171"
"2","5090002","3","20049","501541","172"
"1","1013801","2","10138101","0","173"
"2","5114000","3","10141","500016","174"
"2","5114003","3","10141","501952","175"
"2","5140002","3","10140","502224","180"
"2","5092001","3","20050","501031","181"
"2","5092004","3","20050","501551","182"
"2","5142001","3","10142","501683","183"
"2","5116004","3","10143","500837","184"
"2","5118002","3","10145","500133","185"
"2","5118003","3","10145","500810","186"
"2","5118007","3","10145","500133","187"
"2","5094001","3","20051","501593","188"
"2","5096002","3","20052","501613","189"
"2","5146001","3","10146","502283","1014601"
"2","5122000","3","10149","502003","1014901"
"2","5122002","3","10149","502015","1014902"
"2","5124003","3","10151","501614","1015101"
"2","5154007","3","10154","502373","1015401"
"2","5156001","3","10156","502074","1015601"
"2","5156002","3","10156","502394","1015602"
"2","5128001","3","10157","502063","1015701"
"2","5158003","3","10158","500880","1015801"
"2","5130001","3","10159","500016","1015901"
"2","5130007","3","10159","500133","1015902"
"2","5134007","3","10163","500553","1016301"
"2","5136002","3","10164","500143","1016401"
"2","5136004","3","10164","500175","1016402"
"2","5137002","3","10165","501622","1016501"
"2","5137005","3","10165","500133","1016502"
"2","5140002","3","10166","502224","1016601"
"2","5142001","3","10167","501683","1016701"
"2","5146001","3","10169","502283","1016901"
"2","5098000","3","20053","501031","2005301"
"2","5100003","3","20054","500837","2005401"
"2","5102002","3","20055","501873","2005501"
"2","5104003","3","20056","500133","2005601"
"2","5108002","3","20058","501911","2005801"
"2","5110005","3","20059","501931","2005901"
"2","5111005","3","20060","500013","2006001"
"2","5114000","3","20061","500016","2006101"
"2","5114003","3","20061","501952","2006102"
"2","5116004","3","20062","500837","2006201"
"2","5118002","3","20063","500133","2006301"
"2","5118003","3","20063","500810","2006302"
"2","5118007","3","20063","500133","2006303"
"2","5122000","3","20065","502003","2006501"
"2","5122002","3","20065","502015","2006502"
"2","5124003","3","20066","501614","2006601"
"2","5136002","3","20067","500143","2006701"
"2","5136004","3","20067","500175","2006702"
"2","5137002","3","20068","501622","2006801"
"2","5137005","3","20068","500133","2006802"
"2","5128001","3","20070","502063","2007001"
