25632ee2f4ad77cb5a9137ba8abf0a37cab064ed85ba3eaca64ab7a7164dc2e6,7099bfc4339807c356277ca04b2511b955a1cf40b94a85bcc8f3b1fb728dd49b,1ba179bfc13d4c63e8434481b17a5ab2dbd29428314dc5413bd15de883cc3046,c7a5676371412fae5063dfba2df0e92742809738fe0800699a42237a97ef7674,bf14afedf2475f94052f0cb9ec3e253e8db35c64997cf67fc96f248d0ff89e89
"81001009","提升物理防禦力（不可降低）","boss_def_lower_limit","100100904","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001009","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100100905","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001009","降低HP吸收","9","100100906","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001010","火屬性獎勵特大幅度提升","12","100101001","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001010","深域怪物","11","100101002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001010","賦予TP上升上限","17","100101003","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001010","提升物理防禦力（不可降低）","boss_def_lower_limit","100101004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001010","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001010","降低HP吸收","9","100101006","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001010","減少TP下降","boss_tp_down_cut","100101007","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"81001010","賦予火傷","1","100101008","戰鬥開始時，使全體角色火傷。"
"81001011","火屬性獎勵特大幅度提升","12","100101101","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001011","深域怪物","11","100101102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001011","賦予TP上升上限","17","100101103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001011","提升物理防禦力（不可降低）","boss_def_lower_limit","100101104","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001011","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101105","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001011","降低HP吸收","9","100101106","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001012","火屬性獎勵特大幅度提升","12","100101201","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001012","深域怪物","11","100101202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001012","賦予TP上升上限","17","100101203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001012","提升物理防禦力（不可降低）","boss_def_lower_limit","100101204","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001012","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101205","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001012","降低HP吸收","9","100101206","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001013","火屬性獎勵特大幅度提升","12","100101301","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001013","深域怪物","11","100101302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001013","賦予TP上升上限","17","100101303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001013","提升物理防禦力（不可降低）","boss_def_lower_limit","100101304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001013","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001013","降低HP吸收","9","100101306","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001014","火屬性獎勵特大幅度提升","12","100101401","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001014","深域怪物","11","100101402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001014","賦予TP上升上限","17","100101403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001014","提升物理防禦力（不可降低）","boss_def_lower_limit","100101404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001014","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001014","降低HP吸收","9","100101406","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001015","火屬性獎勵特大幅度提升","12","100101501","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001015","深域怪物","11","100101502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001015","賦予TP上升上限","17","100101503","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001015","提升物理防禦力（不可降低）","boss_def_lower_limit","100101504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001015","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001015","降低HP吸收","9","100101506","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001016","火屬性獎勵特大幅度提升","12","100101601","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001016","深域怪物","11","100101602","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001016","賦予TP上升上限","17","100101603","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001016","提升物理防禦力（不可降低）","boss_def_lower_limit","100101604","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001016","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101605","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001016","降低HP吸收","9","100101606","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001017","火屬性獎勵特大幅度提升","12","100101701","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001017","深域怪物","11","100101702","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001017","賦予TP上升上限","17","100101703","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001017","提升物理防禦力（不可降低）","boss_def_lower_limit","100101704","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001017","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101705","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001017","降低HP吸收","9","100101706","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001018","火屬性獎勵特大幅度提升","12","100101801","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001018","深域怪物","11","100101802","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001018","賦予TP上升上限","17","100101803","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001018","提升物理防禦力（不可降低）","boss_def_lower_limit","100101804","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001018","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101805","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001018","降低HP吸收","9","100101806","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001019","火屬性獎勵特大幅度提升","12","100101901","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001019","深域怪物","11","100101902","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001019","賦予TP上升上限","17","100101903","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001019","提升物理防禦力（不可降低）","boss_def_lower_limit","100101904","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001019","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100101905","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001019","降低HP吸收","9","100101906","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001020","火屬性獎勵特大幅度提升","12","100102001","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001020","深域怪物","11","100102002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001020","賦予TP上升上限","17","100102003","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001020","提升物理防禦力（不可降低）","boss_def_lower_limit","100102004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001020","降低HP吸收","9","100102006","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001020","減少TP下降","boss_tp_down_cut","100102007","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"81001020","降低物理防禦力","7","100102008","戰鬥開始時，大幅度降低全體角色的物理防禦力。"
"81001021","火屬性獎勵特大幅度提升","12","100102101","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001021","深域怪物","11","100102102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001021","賦予TP上升上限","17","100102103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001021","提升物理防禦力（不可降低）","boss_def_lower_limit","100102104","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001021","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102105","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001021","降低HP吸收","9","100102106","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001022","火屬性獎勵特大幅度提升","12","100102201","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001022","深域怪物","11","100102202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001022","賦予TP上升上限","17","100102203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001022","提升物理防禦力（不可降低）","boss_def_lower_limit","100102204","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001022","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102205","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001022","降低HP吸收","9","100102206","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001023","火屬性獎勵特大幅度提升","12","100102301","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001023","深域怪物","11","100102302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001023","賦予TP上升上限","17","100102303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001023","提升物理防禦力（不可降低）","boss_def_lower_limit","100102304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001023","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001023","降低HP吸收","9","100102306","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001024","火屬性獎勵特大幅度提升","12","100102401","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001024","深域怪物","11","100102402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001024","賦予TP上升上限","17","100102403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001024","提升物理防禦力（不可降低）","boss_def_lower_limit","100102404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001024","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001024","降低HP吸收","9","100102406","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001025","火屬性獎勵特大幅度提升","12","100102501","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001025","深域怪物","11","100102502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001025","賦予TP上升上限","17","100102503","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001025","提升物理防禦力（不可降低）","boss_def_lower_limit","100102504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001025","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001025","降低HP吸收","9","100102506","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001026","火屬性獎勵特大幅度提升","12","100102601","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001026","深域怪物","11","100102602","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001026","賦予TP上升上限","17","100102603","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001026","提升物理防禦力（不可降低）","boss_def_lower_limit","100102604","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001026","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102605","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001026","降低HP吸收","9","100102606","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001027","火屬性獎勵特大幅度提升","12","100102701","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001027","深域怪物","11","100102702","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001027","賦予TP上升上限","17","100102703","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001027","提升物理防禦力（不可降低）","boss_def_lower_limit","100102704","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001027","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102705","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001027","降低HP吸收","9","100102706","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001028","火屬性獎勵特大幅度提升","12","100102801","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001028","深域怪物","11","100102802","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001028","賦予TP上升上限","17","100102803","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001028","提升物理防禦力（不可降低）","boss_def_lower_limit","100102804","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001028","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102805","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001028","降低HP吸收","9","100102806","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001029","火屬性獎勵特大幅度提升","12","100102901","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001029","深域怪物","11","100102902","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001029","賦予TP上升上限","17","100102903","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001029","提升物理防禦力（不可降低）","boss_def_lower_limit","100102904","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001029","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100102905","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001029","降低HP吸收","9","100102906","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001030","火屬性獎勵特大幅度提升","12","100103001","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001030","深域怪物","11","100103002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001030","賦予TP上升上限","17","100103003","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001030","提升物理防禦力（不可降低）","boss_def_lower_limit","100103004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100103005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001030","降低HP吸收","9","100103006","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001030","減少TP下降","boss_tp_down_cut","100103007","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"81001030","降低HP恢復量","2","100103008","戰鬥開始時，特大幅度減少全體角色的HP回復量。"
"81001031","火屬性獎勵特大幅度提升","12","100103101","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001031","深域怪物","11","100103102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001031","賦予TP上升上限","17","100103103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001031","提升物理防禦力（不可降低）","boss_def_lower_limit","100103104","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001031","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100103105","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001031","降低HP吸收","9","100103106","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"81001032","火屬性獎勵特大幅度提升","12","100103201","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001032","深域怪物","11","100103202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001032","賦予TP上升上限","17","100103203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001032","提升物理防禦力（不可降低）","boss_def_lower_limit","100103204","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001032","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","100103205","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001032","降低HP吸收","9","100103206","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
