0c70056e8ede6d3f17c5fe602e84e32dde6bdbb4c7a85c6c01c5de2ba3e6c91d,db29224c13aa46f55687d13fc39a7917c41c4a97e09a8dcc3602cce6de6f75bc,f26f8f6f45c96e596e3fb9de8fff9b2a9e98dc5bfdd63d10b07c24417565796a,55ff6b914b5df588733b7da23c20559c6f4562db7a2f81f03540fb7b52d104e6,47962119b21cb98c701c509df1fe746a34dc9bea562ffee570b8c91644e0e655,5808943b60ac0c44ed43585b6b7b202900e3123c3e5080cd08816912c59b3a48,c5f97facbe4c9fb3100e23b8f6bb4d3c4b2cd5b7a3b451ee2437459bfa466a80,d45bcdc0f0e3ed09423b90a1ce08bd86324962e26a10f53e461a03c32742cf3e,3183a7dd2ea56fac67bae2f6838501336255450c25fd0990eab6027a569d2ccf,c7173500f2fec9ea372681e63e3236244dd6ecae1ab0af4c8d8c85a4532a40bb,7cadd0eeb58e131d7d52027026948d28e714b8338ca554d4bd3af4c506ead6d6,4d6f9374c9f98f7977be532f5cbc666b64028c9571cee2bb8df90785b1594a51,d11d9911ddf9f9762ba6390d55f81959f1dc5aae1bdd24a3bf9883192c06f308,31e53e7392acc2c1248031dfb8cf6c0ac34ff829eff2f5cb1829abacabe08b43,fe8198e46fe61a9bb8645a63eb7295b80a52171406916afa07bde6e00ecb5cf1,0874ddddabf3187b4ca7addb5c9362129f68eb25a0f27f0b27611c84fd4db4f3,7846254499f177a9d6110d5e4db75af2cfb37280e2ce6a96b6dd62863ab0f8f7
"下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","7","500","3","2","10","0","51011","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","莉瑪的不可思議甜蘋果","0","3","莉瑪的不可思議\n甜蘋果","獲得1張抽獎券。","1","52011","1"
"下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","3","500","2","1","10","0","51012","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","妮諾的原創一二三壽司","0","1","妮諾的原創\n一二三壽司","獲得1個未鑑定的平凡寶物。","30002","52012","1"
"打開RANK2的里程商店。","8","500","3","0","10","0","51013","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","克蕾琪塔的開運點心拼盤","0","4","克蕾琪塔的開運\n點心拼盤","獲得800里程。","2","52013","3"
"跳過里程格進行移動。效果持續2回合。","9","500","2","2","11","0","51014","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","璃乃的「時乃金時」刨冰","0","1","璃乃的\n「時乃金時」刨冰","下次擲骰的時候，多前進1格。","1","52014","1"
"下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","1","500","1","1","11","0","51015","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","靜流的愛情滿滿漢堡排","0","1","靜流的愛情\n滿滿漢堡排","下次擲骰的時候，多前進1格。","2","52015","1"
"下次投擲的骰子一定會丟出「6」。","2","500","3","1","0","0","51016","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","碧的衝刺三明治","0","0","碧的衝刺\n三明治","無","20005","52016","1"
"[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","2","500","3","2","10","0","51017","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","空花的活切緊綁觸手","1","5","空花的活切\n緊綁觸手","無","1","52017","1"
"下次投擲的骰子一定會丟出「3」。","2","500","1","1","10","0","51018","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","蘭法的熱心馬鈴薯燉肉","0","6","蘭法的熱心馬鈴薯燉肉","獲得1000里程。","20006","52018","1"
"下次投擲的骰子一定會丟出「8」。","2","500","1","1","0","0","0","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","若菜的節儉八分飽咖哩","0","0","若菜的節儉八分飽咖哩","無","20007","52019","1"
"跳過里程格進行移動。效果持續2回合。","9","500","2","2","11","0","51014","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","璃乃的「時乃金時」刨冰","0","1","璃乃的\n「時乃金時」刨冰","下次擲骰的時候，多前進1格。","1","52020","2"
"跳過寶物格進行移動。效果持續3回合。","9","500","3","3","10","0","51021","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","霞的看透真相的糖果巧克力","0","7","霞的看透真相的\n糖果巧克力","	獲得2個未鑑定的平凡寶物。","2","52021","2"
"在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","2","500","1","3","0","0","51022","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","秋乃的煉獄烤雞拼盤","0","0","秋乃的煉獄\n烤雞拼盤","無","20008","52022","1"
"[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","7","500","1","2","10","0","51023","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","美美的丟沙包圓滾滾飯糰","1","1","美美的丟沙包\n圓滾滾飯糰","獲得1個未鑑定的平凡寶物。","1","52023","1"
"打開RANK2的里程商店。","8","500","3","0","11","0","51024","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","步未的祕密隱形蛋糕","0","3","步未的祕密\n隱形蛋糕","下次擲骰的時候，多前進3格。","2","52024","3"
"跳過「里程格」及「寶物格」進行移動。效果持續1回合。","9","500","3","1","0","0","51025","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","安涅默涅的爛漫花朵牛排沙拉","0","0","安涅默涅的\n爛漫花朵牛排沙拉","無","3","52025","2"
"讓隨機活動出現。","4","500","1","0","10","0","51026","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","杏奈的煉獄番茄燉煮渾沌蛋","0","8","杏奈的\n煉獄番茄燉煮渾沌蛋","獲得2張抽獎券。","1","52026","3"
"在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","2","500","3","2","0","0","51027","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","優衣的營養滿分心意滿分便當","0","0","優衣的\n營養滿分心意滿分便當","無","20004","52027","1"
"下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","2","500","3","1","10","0","51028","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。","鈴的堅果懶人紅豆麵包","0","9","鈴的\n堅果懶人紅豆麵包","無","30003","52028","1"
"下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","3","500","2","1","0","0","51029","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。","雪菲的冰晶輝煌手工冰","0","0","雪菲的\n冰晶輝煌手工冰","無","30004","52029","1"
"3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","12","500","1","3","0","0","51030","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。","美空的隨興味噌拉麵★","0","0","美空的\n隨興味噌拉麵★","無","1","52030","3"
"下次投擲的骰子會丟出「1、6、6、6、8、8」。","2","500","3","1","0","0","51031","彩羽總是隨身攜帶的色彩斑斕的果凍……\n但是它是阿爾克絲鍊金堂製作的，\n有著跟鍬形蟲果凍一樣的外觀。雖然很甜很好吃，\n但是問她那是給人吃的嗎時，她會別開視線。","彩羽的最強鍬形蟲果凍（人類用）","0","0","彩羽的\n最強鍬形蟲果凍（人類用）","無","20009","52031","1"
"跳過料理格進行移動。效果持續2回合。","9","500","3","2","11","0","51032","格蕾斯親手做的杯子蛋糕。把全力都用在\n刺激的外觀上了……雖然讓人那麼覺得，\n但是連眼球都能吃又很美味……才讓人那麼覺得，但是一部分\n又甜到讓人覺得靈魂要消散了。她堅持不說出原料是什麼。","格蕾斯的目瞪口呆杯子蛋糕","0","3","格蕾斯的\n目瞪口呆杯子蛋糕","下次擲骰的時候，多前進3格。","4","52032","2"
"打開RANK3的里程商店。","8","500","1","0","0","0","51033","苑做的蛋包飯。是彩羽非常喜歡吃的料理，\n有家庭的味道。雖然平常因為嫌麻煩所以不會去做，\n但是在彩羽當乖孩子時會用番茄醬\n幫她畫鍬形蟲。那個時候似乎會比平常還好吃。","苑的今天是特別獎勵蛋包飯","0","0","苑的今天是特別獎勵蛋包飯","無","3","52033","3"
"跳過里程格進行移動。效果持續2回合。","9","500","1","2","10","0","51034","由於實在太過美味又含有爆表熱量，\n這道肉料理獲得了像惡意集合體般的嚇人名字。\n由於收集這些肉能夠展現作為騎空士的力量，\n所以吉塔想要大量收集。","吉塔的炙燒‧怨念肉片","0","1","吉塔的\n炙燒‧怨念肉片","獲得1個未鑑定的平凡寶物。","1","52034","2"
"讓隨機活動出現。","4","500","1","0","10","0","51035","露易絲瑪莉完整重現祖母食譜的最佳傑作。\n精細的調配與溫度控管下生產出的麵衣\n以及酥脆鬆軟的食材被譽為鍊金技術的最終目標，\n但也有不少意見認為只是單純的烹飪。","露易絲瑪莉過於成功的炸物","0","10","露易絲瑪莉\n過於成功的炸物","獲得1個未鑑定的貴重寶物。","1","52035","3"
"[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「12」，下一回合與下下一回合投擲的骰子一定會丟出「1」。","7","500","3","3","0","0","51036","身為吉歐‧格黑納天空霸主的煉花鳳凰\n為集結對自身的信仰而訂製的甜點。\n內餡香甜綿密，風味高雅。任意封其為\n吉歐‧格黑納知名點心的日子或許也不遠了。","鳳凰的賜予你享用的權利！饅頭","1","0","給你\n吃鳳凰的權利！饅頭","無","1","52036","1"
"地圖上的「里程格」、「寶物格」、「商店格」的RANK提升1。效果將持續到停在對象格上1次之後為止。","6","500","3","0","10","1","51037","由七七香構思＆監製的威化餅。由於提高了\n附贈貼紙的收藏性，而在整個蘭德索爾\n蔚為風潮……然而最重要的餅乾卻遭到捨棄。\n為了解決這個問題，公主便親自張口吃下。","魔法少女七七香威化餅","0","11","魔法少女\n七七香威化餅","獲得3個未鑑定的平凡寶物。","1","52037","2"
"下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","1","500","1","1","10","0","51038","亞里莎特製的紙包料理。據說由於使用了與傳說\n怪物極為相似的魔物作為材料，\n不知何時便被以與該怪物相同的名字相稱。\n請小心那銳利的鐮刃與火傷，趁熱享用吧。","亞里莎為你送上♪破魔蟲紙包料理","0","3","亞里莎為你送上♪\n破魔蟲紙包料理","獲得1張抽獎券。","2","52038","1"
"2回合之內，所有的「里程格」變成Rank 3的「商店格子」。","12","500","2","2","0","0","51039","伊莉亞愛喝的鮮紅番茄汁。\n為了追求與傳說的吸血鬼相符的品質，\n所製作出來的終極逸品。所以價格\n也相對昂貴，似乎只有在特別的時候才能飲用。","伊莉亞的†嗜血†番茄汁","0","0","伊莉亞的†嗜血†\n番茄汁","無","2","52039","3"
"跳過寶物格進行移動。效果持續3回合。","9","500","1","3","11","0","51040","【王宮騎士團】遠征時的固定菜單，\n茉莉加以改良的拼盤。原本打算把不喜歡的蔬菜\n拿掉，並把肉量加倍，但在出菜前就被識破。\n只好在純的指導下，乖乖加入蔬菜。","茉莉的活力源～騎士團遠征拼盤～","0","2","茉莉的活力源\n～騎士團遠征拼盤～","下次擲骰的時候，多前進2格。","2","52040","2"
"[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「7」，下一回合投擲的骰子一定會丟出「2」。","7","500","1","2","10","0","51041","班比用心製成的特製湯品。\n像是家庭料理一般的樸素味道\n會引發人們的鄉愁。以前好像曾經和別人\n站在一起弄過肉丸……班比是這樣說的。","班比的最～強濃湯","1","1","班比的\n無敵濃湯","獲得1個未鑑定的平凡寶物。","1","52041","1"
"在投擲2次骰子之前，投擲的骰子只會丟出「4、5、6」。","2","500","2","2","0","0","51042","埃拉心愛的赤麥酒。根據她的期望\n也開始了生產給小孩子喝不會醉的版本。據她所說\n是為了把這美味推廣出去，不過也可能只是\n想讓男女老幼也能愉快飲用而已。","埃拉想和大家一起喝的赤麥酒","0","0","埃拉想和\n大家一起喝的赤麥酒","無","20002","52042","1"
"【不可覆寫】下一回合無法食用「移動系的料理」，相對地當場獲得3個未鑑定的貴重寶物。","2","500","1","2","10","0","51043","怜釣起的魚的鹽烤魚。在不斷嘗試後終於找到了\n理想的鹽量和火候。她說料理和釣魚一樣\n都是認真對決，是與自己內心的戰鬥。\n怜有時候也會被夥伴擔心會不會太集中了。","怜的炭火鹽燒現釣鮮魚","1","12","怜的現釣\n鹽燒炭火鮮魚","無","1","52043","1"
"這回合投擲的骰子一定只會丟出「1、2、3」，並且跳過下次的回合數計算。","3","500","2","1","10","0","51044","雪野偶然創造出來的藍果實冰棒。\n原本是不小心冰凍的，清爽的滋味廣受好評，\n意外地成了代表久遠冰河的伴手禮。\n持續攀升的銷售額融化最多的是當事人的心。","雪野的硬邦邦整顆果實冰品","0","3","雪野的硬邦邦\n整顆果實冰品","獲得1張抽獎券。","30002","52044","1"
