144616246a687e96b28816a1fd27a8ccc00b319d9a574811dce60eb0b0c0b921,78b55391cda03c12311141b6b5cb0f2200617a232de4b6a821a7c886fd59b00e,e784efd0fe1abe7475e90e270dcb7f676bc3df4e79a660ab9fe539254f29e2a3,260855ae86ff38d6c5f1833ad0bd41ad06716c6716b900dadec61fdd7535b190,708d9558d2535585c49631ee4516d0787b2ccacd24818443241dc19948c67879,a253d29fe977104c717e25d8cd6b0676ba80fe836ac2ae1fdc0019f6471d2f14,377ae875a6c70382d72457ba0bc48421449744a489ec9baaaa6753660e570004,e164242622eac59790019b5c94de864aca34f8d609a1c0859de9e2e89ecaf7fb,38031fde0bb9703a76a2afbd2e0e7e41188170b512adb6a9d56902411049beab,afebe87c4eb8195a831a0ab12a1417cb6832f62fb2159208fffa4a43b0340d01,cd4b1c963202f4af2f4be5509a63582f4a1ddf6454c04740957ef81c50befec1,41bf231564ea4b29d32afd40a4eab81311d2fe57a78057303eeb22da2d3477ac,7f027da7305e9f1ee075ae3ea581cde791573ccabf2284a61a6dfe8e4fdceff1,8d3d2a3fd9c5613dc4f2ea7cf1fcd48e4277c529b66700342cdb6bc5afea84dd
"1","503","0","24","0","24012","","2020/07/31 12:00:00","感覺不錯！","10046","0","1","2030/12/17 14:59:59","192501"
"2","111","0","24","5.33","24013","美里","2020/07/31 12:00:00","哎呀～該不會我\n不小心贏了嗎？\n可能是因為我有\n看著大家練習吧～","10046","0","6","2030/12/17 14:59:59","113501"
"2","112","0","24","6.85","24014","美里","2020/07/31 12:00:00","老師想幫上大家的忙，\n所以也努力試試看了～！\n看來似乎有順利丟出去，\n太好了～！","10046","0","1","2030/12/17 14:59:59","113501"
"2","113","0","24","3","24015","美里","2020/07/31 12:00:00","練習辛苦了～！\n老師也很高興\n能夠幫上忙喔～♪\n接下來也一起努力加油吧～！","10046","0","1","2030/12/17 14:59:59","113501"
"2","611","0","24","6.11","24016","大地","2020/07/31 12:00:00","看來練習得還不夠啊，\n我甚至沒有\n拿出真本事投呢，\n再練一次！","10046","0","1","2030/12/17 14:59:59","192401"
"2","612","0","24","6.75","24017","大地","2020/07/31 12:00:00","哼，這是理所當然的結果。\n我的球才不會讓任何人打到！\n要是還想繼續打，\n我就奉陪到底！","10046","0","1","2030/12/17 14:59:59","192401"
"2","613","0","24","0","24018","大地","2020/07/31 12:00:00","很好！\n就以這股氣勢，朝全國前進吧！\n看我用三振解決掉所有對手！","10046","0","2","2030/12/17 14:59:59","192401"
"1","211","0","24","4.52","24019","初音","2020/07/31 12:00:00","閃亮亮☆\n初音大勝利喲～！\n為了讓大家能更加進步，\n我也會繼續努力下去的！","10046","0","2","2030/12/17 14:59:59","113401"
"1","212","0","24","3.89","24020","初音","2020/07/31 12:00:00","好耶！我贏了！\n不管是啦啦隊還是投手，\n都交給我初音吧！","10046","0","2","2030/12/17 14:59:59","113401"
"2","213","0","24","13.49","24021","初音","2020/07/31 12:00:00","很好～就像這樣繼續\n努力吧……雖然是這麼想，\n但因為用了超能力……\n我開始想睡了……呼嚕……","10046","0","1","2030/12/17 14:59:59","113401"
"2","311","0","24","3.17","24022","嘉夜","2020/07/31 12:00:00","真是場好比賽！\n我太熱血沸騰，\n不小心就用全力丟球了。","10046","0","1","2030/12/17 14:59:59","106501"
"2","312","0","24","4.42","24023","嘉夜","2020/07/31 12:00:00","如何？\n老娘的球很熾熱吧！\n不過，你們的鬥志\n也是挺不錯的喔。","10046","0","1","2030/12/17 14:59:59","106501"
"1","313","0","24","2.89","24024","嘉夜","2020/07/31 12:00:00","什麼嘛，就這點程度而已嗎？\n我還完全沒投個夠呢，\n再繼續比下去吧！","10046","0","6","2030/12/17 14:59:59","106501"
"3","421","0","24","3.71","24025","綾音","2020/07/31 12:00:00","差一點點了說～！\n下次我一定會跟噗吉一起\n贏給你們看的！","10046","0","4","2030/12/17 14:59:59","102301"
"1","721","0","24","5.1","24026","旭","2020/07/31 12:00:00","真是一場好比賽呢！\n不過果然還是好不甘心……\n我會再多做練習，\n下次絕對會是我贏！","10046","0","2","2030/12/17 14:59:59","192201"
"3","821","0","24","4.34","24027","社員3","2020/07/31 12:00:00","嘖……還差一步啊。\n下次我一定會贏的，\n做好心理準備吧。","10046","0","1","2030/12/17 14:59:59","192301"
"1","521","0","24","0","24028","","2020/07/31 12:00:00","真是一場好比賽，\n下次再比一次吧。","10046","0","1","2030/12/17 14:59:59","192501"
"2","101","0","24","5.62","24029","美里","2020/07/31 12:00:00","做得非常好喔～♪\n看你這麼努力，老師很開心，\n今後也為了比賽，\n一起繼續練習下去吧～","10046","-360","1","2030/12/17 14:59:59","113501"
"2","102","0","24","9.58","24030","美里","2020/07/31 12:00:00","這是你努力的成果呢～！\n照這樣繼續練習下去，\n應該會獲得更棒的成績吧。\n我很期待喔～！","10046","-360","1","2030/12/17 14:59:59","113501"
"2","103","0","24","0","24031","美里","2020/07/31 12:00:00","好孩子，好孩子～♪\n你這麼認真努力，\n我要好～好誇獎一番。","10046","-360","2","2030/12/17 14:59:59","113501"
"1","104","0","24","9.13","24032","美里","2020/07/31 12:00:00","朝著夢想前進了一步呢。\n照這個步調，一起實現夢想吧。\n目標是全國大賽～！","10046","-360","2","2030/12/17 14:59:59","113501"
"2","105","0","24","8.27","24033","美里","2020/07/31 12:00:00","狀態很好呢～♪\n你比賽時一定也會\n大有活躍的。\n我很期待喔～！","10046","-360","1","2030/12/17 14:59:59","113501"
