8eef1b34420310410c27429a222b252282d32be813c07ae9dff5534a27955ebb,26cfe3e5c8ee172cdffc894f25573b8d1eaa6c4d5dfd7132cb67e42dc206decc,2e096d7ce7a8b736fb4958ed851096978fa4ee110516f09180b8e3510dd38ae6,af644aa47b0545486a269f06b2e3a2f57b0d3faf77dc7835f314a27087438d58,c51cab436f177151f83cf825be1f44e5750c30522116ad626f0ef8979fc2ccec,bd54747c02b7de0d4af8df103c894e21991bb6e0b84c9383f47f25d4d33dd766
"60000048","10011002","4","1","3","122432"
"60000049","10011002","4","1","3","122491"
"60000050","10011002","4","1","3","122493"
"60000051","10011002","4","1","3","122521"
"60000052","10011002","4","1","3","122613"
"60000053","10011002","4","1","3","122614"
"60000054","10011003","4","1","2","113011"
"60000055","10011003","4","1","2","113012"
"60000056","10011003","4","1","2","113013"
"60000057","10011003","4","1","2","113071"
"60000058","10011003","4","1","2","113101"
"60000059","10011003","4","1","2","113131"
"60000060","10011003","4","1","2","113162"
"60000061","10011003","4","1","2","113191"
"60000062","10011003","4","1","2","113221"
"60000063","10011003","4","1","2","113222"
"60000064","10011003","4","1","2","113252"
"60000065","10011003","4","1","3","113283"
"60000066","10011003","4","1","3","113342"
"60000067","10011003","4","1","3","113372"
"60000068","10011003","4","1","3","113401"
"60000069","10011003","4","1","3","113431"
"60000070","10011003","4","1","3","113521"
"60000071","10011003","4","1","3","113522"
"60000072","10011003","4","1","3","113551"
"60000073","10011003","4","1","3","113552"
"60000074","10011003","4","1","3","113553"
"60000075","10011003","4","1","3","113581"
"60000076","10011003","4","1","3","113611"
"60000077","10011003","4","1","3","113614"
"60000078","10011003","4","1","2","123041"
"60000079","10011003","4","1","2","123042"
"60000080","10011003","4","1","2","123072"
"60000081","10011003","4","1","2","123132"
"60000082","10011003","4","1","2","123161"
"60000083","10011003","4","1","2","123192"
"60000084","10011003","4","1","2","123193"
"60000085","10011003","4","1","2","123251"
"60000086","10011003","4","1","3","123281"
"60000087","10011003","4","1","3","123282"
"60000088","10011003","4","1","3","123311"
"60000089","10011003","4","1","3","123341"
"60000090","10011003","4","1","3","123343"
"60000091","10011003","4","1","3","123371"
"60000092","10011003","4","1","3","123432"
"60000093","10011003","4","1","3","123461"
"60000094","10011003","4","1","3","123491"
"60000095","10011003","4","1","3","123582"
"60000096","10011003","4","1","3","123583"
"60000097","10011003","4","1","3","123612"
"60000098","10011004","4","1","2","114011"
"60000099","10011004","4","1","2","114012"
"60000100","10011004","4","1","2","114041"
"60000101","10011004","4","1","2","114072"
"60000102","10011004","4","1","2","114102"
"60000103","10011004","4","1","2","114132"
"60000104","10011004","4","1","2","114162"
"60000105","10011004","4","1","2","114191"
"60000106","10011004","4","1","2","114221"
"60000107","10011004","4","1","2","114222"
"60000108","10011004","4","1","2","114252"
"60000109","10011004","4","1","3","114281"
"60000110","10011004","4","1","3","114282"
"60000111","10011004","4","1","3","114312"
"60000112","10011004","4","1","3","114341"
"60000113","10011004","4","1","3","114371"
"60000114","10011004","4","1","3","114372"
"60000115","10011004","4","1","3","114432"
"60000116","10011004","4","1","3","114461"
"60000117","10011004","4","1","3","114522"
"60000118","10011004","4","1","3","114551"
"60000119","10011004","4","1","3","114581"
"60000120","10011004","4","1","2","114611"
"60000121","10011004","4","1","2","124042"
"60000122","10011004","4","1","2","124071"
"60000123","10011004","4","1","2","124101"
"60000124","10011004","4","1","2","124131"
"60000125","10011004","4","1","2","124161"
"60000126","10011004","4","1","2","124192"
"60000127","10011004","4","1","2","124251"
"60000128","10011004","4","1","3","124311"
"60000129","10011004","4","1","3","124342"
"60000130","10011004","4","1","3","124401"
"60000131","10011004","4","1","3","124431"
"60000132","10011004","4","1","3","124491"
"60000133","10011004","4","1","3","124521"
"60000134","10012098","2","1","100","31012"
"60000135","10012099","2","1","100","31038"
"62001045","62001045","2","1","100","60001"
"62001046","62001046","2","3","100","60002"
