0de851bed8ce9a4735948c87e54d3161604015e960b5951057964bf7ff2211e9,d82b7d1aa800bdb2281768ca695f5ee8d8641c603599e25c2a79e7889e61a3d1,7174dfc9c7a8a9fbb39cf8900e04beba27b3046b56eea8bce387d55e51d6e46c,4a6e9a7afbfc5de2a64696dee7594cadc37e74c72841d201e8faf08d32007963,507f9e81f41d962e51c4aa8e7836ad480b487be1158fa12530138455210a5c96,5288881c37cdc61623d55b0d747fa06c6972e0ef88ee1d7b9753c0f21b914289,e05d44b50da4b7ac0991cb644a3d0078436f3927974bbcc9d60dd8144d9ef257,68d8588862ac16a1bebfaadc35fb1b451d0eff556198a1fde5470a6988f98d89,7e067d9010a1fb70700e7faafbc48460858f868787e00bcdee09bbe778a42b99
"讓火屬性的屬性等級提升到750","1003","129","2","2015","20022","750","1","2015"
"讓水屬性的屬性等級提升到50","1003","129","3","3001","20022","50","2","2001"
"讓水屬性的屬性等級提升到100","1003","129","3","3002","20022","100","2","2002"
"讓水屬性的屬性等級提升到150","1003","129","3","3003","20022","150","2","2003"
"讓水屬性的屬性等級提升到200","1003","129","3","3004","20022","200","2","2004"
"讓水屬性的屬性等級提升到250","1003","129","3","3005","20022","250","2","2005"
"讓水屬性的屬性等級提升到300","1003","129","3","3006","20022","300","2","2006"
"讓水屬性的屬性等級提升到350","1003","129","3","3007","20022","350","2","2007"
"讓水屬性的屬性等級提升到400","1003","129","3","3008","20022","400","2","2008"
"讓水屬性的屬性等級提升到450","1003","129","3","3009","20022","450","2","2009"
"讓水屬性的屬性等級提升到500","1003","129","3","3010","20022","500","2","2010"
"讓水屬性的屬性等級提升到550","1003","129","3","3011","20022","550","2","2006"
"讓水屬性的屬性等級提升到600","1003","129","3","3012","20022","600","2","2007"
"讓水屬性的屬性等級提升到650","1003","129","3","3013","20022","650","2","2008"
"讓水屬性的屬性等級提升到700","1003","129","3","3014","20022","700","2","2009"
"讓水屬性的屬性等級提升到750","1003","129","3","3015","20022","750","2","2010"
"讓風屬性的屬性等級提升到50","1003","129","4","4001","20022","50","3","2001"
"讓風屬性的屬性等級提升到100","1003","129","4","4002","20022","100","3","2002"
"讓風屬性的屬性等級提升到150","1003","129","4","4003","20022","150","3","2003"
"讓風屬性的屬性等級提升到200","1003","129","4","4004","20022","200","3","2004"
"讓風屬性的屬性等級提升到250","1003","129","4","4005","20022","250","3","2005"
"讓風屬性的屬性等級提升到300","1003","129","4","4006","20022","300","3","2006"
"讓風屬性的屬性等級提升到350","1003","129","4","4007","20022","350","3","2007"
"讓風屬性的屬性等級提升到400","1003","129","4","4008","20022","400","3","2008"
"讓風屬性的屬性等級提升到450","1003","129","4","4009","20022","450","3","2009"
"讓風屬性的屬性等級提升到500","1003","129","4","4010","20022","500","3","2010"
"讓風屬性的屬性等級提升到550","1003","129","4","4011","20022","550","3","2006"
"讓風屬性的屬性等級提升到600","1003","129","4","4012","20022","600","3","2007"
"讓風屬性的屬性等級提升到650","1003","129","4","4013","20022","650","3","2008"
"讓風屬性的屬性等級提升到700","1003","129","4","4014","20022","700","3","2009"
"讓風屬性的屬性等級提升到750","1003","129","4","4015","20022","750","3","2010"
"讓光屬性的屬性等級提升到50","1003","129","5","5001","20022","50","4","2001"
"讓光屬性的屬性等級提升到100","1003","129","5","5002","20022","100","4","2002"
"讓光屬性的屬性等級提升到150","1003","129","5","5003","20022","150","4","2003"
"讓光屬性的屬性等級提升到200","1003","129","5","5004","20022","200","4","2004"
"讓光屬性的屬性等級提升到250","1003","129","5","5005","20022","250","4","2005"
"讓光屬性的屬性等級提升到300","1003","129","5","5006","20022","300","4","2006"
"讓光屬性的屬性等級提升到350","1003","129","5","5007","20022","350","4","2007"
"讓光屬性的屬性等級提升到400","1003","129","5","5008","20022","400","4","2008"
"讓光屬性的屬性等級提升到450","1003","129","5","5009","20022","450","4","2009"
"讓光屬性的屬性等級提升到500","1003","129","5","5010","20022","500","4","2010"
"讓光屬性的屬性等級提升到550","1003","129","5","5011","20022","550","4","2006"
"讓光屬性的屬性等級提升到600","1003","129","5","5012","20022","600","4","2007"
"讓光屬性的屬性等級提升到650","1003","129","5","5013","20022","650","4","2008"
"讓光屬性的屬性等級提升到700","1003","129","5","5014","20022","700","4","2009"
"讓光屬性的屬性等級提升到750","1003","129","5","5015","20022","750","4","2010"
"讓闇屬性的屬性等級提升到50","1003","129","6","6001","20022","50","5","2001"
"讓闇屬性的屬性等級提升到100","1003","129","6","6002","20022","100","5","2002"
"讓闇屬性的屬性等級提升到150","1003","129","6","6003","20022","150","5","2003"
"讓闇屬性的屬性等級提升到200","1003","129","6","6004","20022","200","5","2004"
"讓闇屬性的屬性等級提升到250","1003","129","6","6005","20022","250","5","2005"
"讓闇屬性的屬性等級提升到300","1003","129","6","6006","20022","300","5","2006"
"讓闇屬性的屬性等級提升到350","1003","129","6","6007","20022","350","5","2007"
"讓闇屬性的屬性等級提升到400","1003","129","6","6008","20022","400","5","2008"
"讓闇屬性的屬性等級提升到450","1003","129","6","6009","20022","450","5","2009"
"讓闇屬性的屬性等級提升到500","1003","129","6","6010","20022","500","5","2010"
"讓闇屬性的屬性等級提升到550","1003","129","6","6011","20022","550","5","2006"
"讓闇屬性的屬性等級提升到600","1003","129","6","6012","20022","600","5","2007"
"讓闇屬性的屬性等級提升到650","1003","129","6","6013","20022","650","5","2008"
"讓闇屬性的屬性等級提升到700","1003","129","6","6014","20022","700","5","2009"
"讓闇屬性的屬性等級提升到750","1003","129","6","6015","20022","750","5","2010"
"完成強化10個節點","1004","129","7","7001","20023","10","0","7001"
"完成強化20個節點","1004","129","7","7002","20023","20","0","7002"
"完成強化30個節點","1004","129","7","7003","20023","30","0","7003"
"完成強化40個節點","1004","129","7","7004","20023","40","0","7004"
"完成強化50個節點","1004","129","7","7005","20023","50","0","7005"
"完成強化60個節點","1004","129","7","7006","20023","60","0","7006"
"完成強化70個節點","1004","129","7","7007","20023","70","0","7007"
"完成強化80個節點","1004","129","7","7008","20023","80","0","7008"
"完成強化90個節點","1004","129","7","7009","20023","90","0","7009"
"完成強化100個節點","1004","129","7","7010","20023","100","0","7010"
"完成強化110個節點","1004","129","7","7011","20023","110","0","7011"
"完成強化120個節點","1004","129","7","7012","20023","120","0","7012"
"完成強化130個節點","1004","129","7","7013","20023","130","0","7013"
"完成強化140個節點","1004","129","7","7014","20023","140","0","7014"
"完成強化150個節點","1004","129","7","7015","20023","150","0","7015"
"完成強化160個節點","1004","129","7","7016","20023","160","0","7016"
"完成強化170個節點","1004","129","7","7017","20023","170","0","7017"
"完成強化180個節點","1004","129","7","7018","20023","180","0","7018"
"完成強化190個節點","1004","129","7","7019","20023","190","0","7019"
"完成強化200個節點","1004","129","7","7020","20023","200","0","7020"
"完成強化210個節點","1004","129","7","7021","20023","210","0","7021"
"完成強化222個節點","1004","129","7","7022","20023","222","0","7022"
"完成強化250個節點","1004","129","7","7023","20023","250","0","7022"
"完成強化275個節點","1004","129","7","7024","20023","275","0","7022"
"完成強化300個節點","1004","129","7","7025","20023","300","0","7022"
"完成強化325個節點","1004","129","7","7026","20023","325","0","7022"
"完成強化350個節點","1004","129","7","7027","20023","350","0","7022"
"完成強化375個節點","1004","129","7","7028","20023","375","0","7022"
"完成強化400個節點","1004","129","7","7029","20023","400","0","7022"
"完成強化430個節點","1004","129","7","7030","20023","430","0","7022"
"完成強化5個節點","1005","129","8","8001","20024","5","0","8001"
"完成強化10個節點","1005","129","8","8002","20024","10","0","8002"
"完成強化15個節點","1005","129","8","8003","20024","15","0","8003"
"完成強化20個節點","1005","129","8","8004","20024","20","0","8004"
"完成強化25個節點","1005","129","8","8005","20024","25","0","8005"
"完成強化33個節點","1005","129","8","8006","20024","33","0","8006"
"完成強化40個節點","1005","129","8","8007","20024","40","0","8007"
"完成強化50個節點","1005","129","8","8008","20024","50","0","8007"
"完成強化60個節點","1005","129","8","8009","20024","60","0","8007"
"完成強化66個節點","1005","129","8","8010","20024","66","0","8007"
