610f6df9bb56fbce21ed11b85a34448c21a450dd9311926578d38ba722d86c0a,0e3048d666781681412f18ff064a9e02d1185222794c5c1638a7807812c3f710,c0ed60cd565418032ff2a75aa9c1b3f21a49582078f98757f15e2e40188bbaba,192fd8856406bfc0a01caf14ddff84f32e239d8968e27a302a933143ef811b43,1e05d76a9c3655e2a7768ba1f44f108f0301c5afa86d9a438b6e379fdc035e34,ed457e949a35f80c94a5f555d1ce5309409c29408c08c50cd44e009003cb3649,ddc8b682d24411c748a69a3dea38578ba7ef9f98d1f199007a0deef55d59803e,4204aad6014f8e523307710df548952349b0cd7bf0b57fc4a52bd7e53ec686de,a258a365a946edb2a49fb0b0c9b82dc567e8509175981e5aab934b23e488dc7e,1691f7520790d0249792c3efff512407801497be35f366ba70f24e179a04c220,e23559860ced0404e0028513041ca3c83509c5aa57ac0ce5369b54f6c21501ff,e9967334a6604cf4de350cde3341e4f2cc449896f973062725233332a9f345d9,39b976a29792b8c8430687da9c8eda94735c43fd6ee483ccf49d407f14cc8b41,b63653004ae8a725cd9c41635c2d0d737e49a21061247316530ba142fbbd5418,8a1272f1af4dc8656639ec913a7b36c66d0f58d89d6e853187a26159f002028a
"924112001","前哨冒險","92411020","25","540","1","924110100","0","25","25","90","92411","0","924113001","92411010"
"924112002","前哨冒險","92411030","25","540","2","924110200","0","25","25","90","92411","92411010","924113002","92411020"
"924112003","前哨冒險","0","25","540","3","924110300","0","25","25","90","92411","92411020","924113003","92411030"
"924122001","前哨冒險","92412020","25","540","1","924120100","0","25","25","90","92412","0","924123001","92412010"
"924122002","前哨冒險","92412030","25","540","2","924120200","0","25","25","90","92412","92412010","924123002","92412020"
"924122003","前哨冒險","0","25","540","3","924120300","0","25","25","90","92412","92412020","924123003","92412030"
"924142001","前哨冒險","92414020","25","540","1","924140100","0","25","25","90","92414","0","924143001","92414010"
"924142002","前哨冒險","92414030","25","540","2","924140200","0","25","25","90","92414","92414010","924143002","92414020"
"924142003","前哨冒險","0","25","540","3","924140300","0","25","25","90","92414","92414020","924143003","92414030"
"924152001","前哨冒險","92415020","25","540","1","924150100","0","25","25","90","92415","0","924153001","92415010"
"924152002","前哨冒險","92415030","25","540","2","924150200","0","25","25","90","92415","92415010","924153002","92415020"
"924152003","前哨冒險","0","25","540","3","924150300","0","25","25","90","92415","92415020","924153003","92415030"
"924162001","前哨冒險","92416020","25","540","1","924160100","0","25","25","90","92416","0","924163001","92416010"
"924162002","前哨冒險","92416030","25","540","2","924160200","0","25","25","90","92416","92416010","924163002","92416020"
"924162003","前哨冒險","0","25","540","3","924160300","0","25","25","90","92416","92416020","924163003","92416030"
"924172001","前哨冒險","92417020","25","540","1","924170100","0","25","25","90","92417","0","924173001","92417010"
"924172002","前哨冒險","92417030","25","540","2","924170200","0","25","25","90","92417","92417010","924173002","92417020"
"924172003","前哨冒險","0","25","540","3","924170300","0","25","25","90","92417","92417020","924173003","92417030"
"924182001","前哨冒險","92418020","25","540","1","924180100","0","25","25","90","92418","0","924183001","92418010"
"924182002","前哨冒險","92418030","25","540","2","924180200","0","25","25","90","92418","92418010","924183002","92418020"
"924182003","前哨冒險","0","25","540","3","924180300","0","25","25","90","92418","92418020","924183003","92418030"
"924192001","前哨冒險","92419020","25","540","1","924190100","0","25","25","90","92419","0","924193001","92419010"
"924192002","前哨冒險","92419030","25","540","2","924190200","0","25","25","90","92419","92419010","924193002","92419020"
"924192003","前哨冒險","0","25","540","3","924190300","0","25","25","90","92419","92419020","924193003","92419030"
"924202001","前哨冒險","92420020","25","540","1","924200100","0","25","25","90","92420","0","924203001","92420010"
"924202002","前哨冒險","92420030","25","540","2","924200200","0","25","25","90","92420","92420010","924203002","92420020"
"924202003","前哨冒險","0","25","540","3","924200300","0","25","25","90","92420","92420020","924203003","92420030"
"924212001","前哨冒險","92421020","25","540","1","924010100","0","25","25","90","92421","0","924213001","92421010"
"924212002","前哨冒險","92421030","25","540","2","924010200","0","25","25","90","92421","92421010","924213002","92421020"
"924212003","前哨冒險","0","25","540","3","924010300","0","25","25","90","92421","92421020","924213003","92421030"
"924222001","前哨冒險","92422020","25","540","1","924020100","0","25","25","90","92422","0","924223001","92422010"
"924222002","前哨冒險","92422030","25","540","2","924020200","0","25","25","90","92422","92422010","924223002","92422020"
"924222003","前哨冒險","0","25","540","3","924020300","0","25","25","90","92422","92422020","924223003","92422030"
"924232001","前哨冒險","92423020","25","540","1","924040100","0","25","25","90","92423","0","924233001","92423010"
"924232002","前哨冒險","92423030","25","540","2","924040200","0","25","25","90","92423","92423010","924233002","92423020"
"924232003","前哨冒險","0","25","540","3","924040300","0","25","25","90","92423","92423020","924233003","92423030"
"924242001","前哨冒險","92424020","25","540","1","924010100","0","25","25","90","92424","0","924243001","92424010"
"924242002","前哨冒險","92424030","25","540","2","924010200","0","25","25","90","92424","92424010","924243002","92424020"
"924242003","前哨冒險","0","25","540","3","924010300","0","25","25","90","92424","92424020","924243003","92424030"
"924252001","前哨冒險","92425020","25","540","1","924030100","0","25","25","90","92425","0","924253001","92425010"
"924252002","前哨冒險","92425030","25","540","2","924030200","0","25","25","90","92425","92425010","924253002","92425020"
"924252003","前哨冒險","0","25","540","3","924030300","0","25","25","90","92425","92425020","924253003","92425030"
"924262001","前哨冒險","92426020","25","540","1","924020100","0","25","25","90","92426","0","924263001","92426010"
"924262002","前哨冒險","92426030","25","540","2","924020200","0","25","25","90","92426","92426010","924263002","92426020"
"924262003","前哨冒險","0","25","540","3","924020300","0","25","25","90","92426","92426020","924263003","92426030"
"924272001","前哨冒險","92427020","25","540","1","924050100","0","25","25","90","92427","0","924273001","92427010"
"924272002","前哨冒險","92427030","25","540","2","924050200","0","25","25","90","92427","92427010","924273002","92427020"
"924272003","前哨冒險","0","25","540","3","924050300","0","25","25","90","92427","92427020","924273003","92427030"
"924282001","前哨冒險","92428020","25","540","1","924020100","0","25","25","90","92428","0","924283001","92428010"
"924282002","前哨冒險","92428030","25","540","2","924020200","0","25","25","90","92428","92428010","924283002","92428020"
"924282003","前哨冒險","0","25","540","3","924020300","0","25","25","90","92428","92428020","924283003","92428030"
"924292001","前哨冒險","92429020","25","540","1","924010100","0","25","25","90","92429","0","924293001","92429010"
"924292002","前哨冒險","92429030","25","540","2","924010200","0","25","25","90","92429","92429010","924293002","92429020"
"924292003","前哨冒險","0","25","540","3","924010300","0","25","25","90","92429","92429020","924293003","92429030"
"925012001","前哨冒險","92501020","25","540","1","925010100","0","25","25","90","92413","0","925013001","92501010"
"925012002","前哨冒險","92501030","25","540","2","925010200","0","25","25","90","92413","92501010","925013002","92501020"
"925012003","前哨冒險","0","25","540","3","925010300","0","25","25","90","92413","92501020","925013003","92501030"
