d2aeaf53e49bd7a0531ac5f6405edff8924b86a26efbca4d75844d051c8d08d0,cd3d831416e7e51c4e43427689e0f74cd74418b7b3967ea0b9e8f5d225026260,4808cf050ae0107ccfc64bdfb8bba528c74e3ca0eda59c2e16eecc3f087bf862,5e4e66a0bdd332a92306ee2de0f871afe847133b52665d2b223cc5301261607b,8d0d135eadd05929713fccc6f99f35a386cf0bc2fcb0b0971b4cdab13d49b8d3,780b8cd38e22a63144ff26f3b882f4b1746a4debfefb10076874e21692d4b69c,8317d1730c958dd8321a5f96c02a8c5846d0271ecb89e8e3db823bfcc9c70bf9,3eb2830ab7a3e31895c1c1eb8450bc240f13f82f2fc88a0d19034315aba56498,305cfd42646eba0a72e5b177e25d7680926ef73d03631a5277c6943cb54f2480,471f1193d89b74b1a40fd69b3ea89bc8ade53841369d0ff3e33174a07596667d
"1300015","3","3043","3045","500","11820","1","3044","1","38"
"1300016","3","3046","3048","500","11820","1","3047","1","38"
"1300017","3","3049","3051","500","11820","1","3050","2","38"
"1300018","3","3052","3054","500","11820","1","3053","4","38"
"1300019","3","3055","3057","500","11820","1","3056","4","38"
"1300020","3","3058","3060","500","11820","1","3059","6","38"
"1300021","3","3061","3063","375","13050","1","3062","1","40"
"1300022","3","3064","3066","375","13050","1","3065","1","40"
"1300023","3","3067","3069","375","13050","1","3068","1","40"
"1300024","3","3070","3072","375","13050","1","3071","1","40"
"1300025","3","3073","3075","375","13050","1","3074","1","40"
"1300026","3","3076","3078","375","13050","1","3077","1","40"
"1300027","3","3079","3081","375","13050","1","3080","2","40"
"1300028","3","3082","3084","375","13050","1","3083","4","40"
"1300029","3","3085","3087","375","13050","1","3086","6","40"
"1300030","3","3088","3090","375","13050","1","3089","6","40"
"2100001","1","4001","4003","700","9360","2","4002","3","29"
"2100002","1","4004","4006","700","9360","2","4005","5","29"
"2100003","1","4007","4009","700","9360","2","4008","7","29"
"2100004","1","4010","4012","700","9360","2","4011","3","29"
"2100005","1","4013","4015","700","9360","2","4014","5","29"
"2100006","1","4016","4018","700","9360","2","4017","7","29"
"2100007","1","4019","4021","575","10590","2","4020","3","30"
"2100008","1","4022","4024","575","10590","2","4023","5","30"
"2100009","1","4025","4027","575","10590","2","4026","7","30"
"2100010","1","4028","4030","575","10590","2","4029","3","30"
"2200001","2","5001","5003","700","9360","2","5002","3","33"
"2200002","2","5004","5006","700","9360","2","5005","5","33"
"2200003","2","5007","5009","700","9360","2","5008","7","33"
"2200004","2","5010","5012","700","9360","2","5011","3","33"
"2200005","2","5013","5015","700","9360","2","5014","5","33"
"2200006","2","5016","5018","700","9360","2","5017","7","33"
"2200007","2","5019","5021","700","9360","2","5020","3","33"
"2200008","2","5022","5024","700","9360","2","5023","5","33"
"2200009","2","5025","5027","700","9360","2","5026","7","33"
"2200010","2","5028","5030","700","9360","2","5029","3","33"
"2200011","2","5031","5033","700","9360","2","5032","5","33"
"2200012","2","5034","5036","700","9360","2","5035","7","33"
"2200013","2","5037","5039","575","10590","2","5038","3","34"
"2200014","2","5040","5042","575","10590","2","5041","5","34"
"2200015","2","5043","5045","575","10590","2","5044","7","34"
"2200016","2","5046","5048","575","10590","2","5047","3","34"
"2200017","2","5049","5051","575","10590","2","5050","5","34"
"2200018","2","5052","5054","575","10590","2","5053","7","34"
"2200019","2","5055","5057","575","10590","2","5056","5","34"
"2200020","2","5058","5060","575","10590","2","5059","7","34"
"2300001","3","6001","6003","700","9360","2","6002","3","33"
"2300002","3","6004","6006","700","9360","2","6005","5","33"
"2300003","3","6007","6009","700","9360","2","6008","7","33"
"2300004","3","6010","6012","700","9360","2","6011","3","33"
"2300005","3","6013","6015","700","9360","2","6014","5","33"
"2300006","3","6016","6018","700","9360","2","6017","7","33"
"2300007","3","6019","6021","700","9360","2","6020","3","33"
"2300008","3","6022","6024","700","9360","2","6023","5","33"
"2300009","3","6025","6027","700","9360","2","6026","7","33"
"2300010","3","6028","6030","700","9360","2","6029","3","33"
"2300011","3","6031","6033","700","9360","2","6032","5","33"
"2300012","3","6034","6036","700","9360","2","6035","7","33"
"2300013","3","6037","6039","700","9360","2","6038","3","33"
"2300014","3","6040","6042","700","9360","2","6041","5","33"
"2300015","3","6043","6045","700","9360","2","6044","7","33"
"2300016","3","6046","6048","700","9360","2","6047","3","33"
"2300017","3","6049","6051","700","9360","2","6050","5","33"
"2300018","3","6052","6054","700","9360","2","6053","7","33"
"2300019","3","6055","6057","575","10590","2","6056","3","34"
"2300020","3","6058","6060","575","10590","2","6059","5","34"
"2300021","3","6061","6063","575","10590","2","6062","7","34"
"2300022","3","6064","6066","575","10590","2","6065","3","34"
"2300023","3","6067","6069","575","10590","2","6068","5","34"
"2300024","3","6070","6072","575","10590","2","6071","7","34"
"2300025","3","6073","6075","575","10590","2","6074","3","34"
"2300026","3","6076","6078","575","10590","2","6077","5","34"
"2300027","3","6079","6081","575","10590","2","6080","7","34"
"2300028","3","6082","6084","575","10590","2","6083","3","34"
"2300029","3","6085","6087","575","10590","2","6086","5","34"
"2300030","3","6088","6090","575","10590","2","6089","7","34"
"3100001","1","7001","7003","340","14280","3","7002","1","39"
"3100002","1","7004","7006","340","14280","3","7005","1","39"
"3100003","1","7007","7009","340","14280","3","7008","1","39"
"3100004","1","7010","7012","340","14280","3","7011","1","39"
"3100005","1","7013","7015","340","14280","3","7014","1","39"
"3100006","1","7016","7018","340","14280","3","7017","1","39"
"3100007","1","7019","7021","375","13050","3","7020","1","36"
"3100008","1","7022","7024","375","13050","3","7023","1","36"
"3100009","1","7025","7027","375","13050","3","7026","1","36"
"3100010","1","7028","7030","375","13050","3","7029","1","36"
"3200001","2","8001","8003","340","14280","3","8002","1","41"
"3200002","2","8004","8006","340","14280","3","8005","1","41"
"3200003","2","8007","8009","340","14280","3","8008","1","41"
"3200004","2","8010","8012","340","14280","3","8011","1","41"
"3200005","2","8013","8015","340","14280","3","8014","1","41"
"3200006","2","8016","8018","340","14280","3","8017","1","41"
"3200007","2","8019","8021","340","14280","3","8020","1","41"
"3200008","2","8022","8024","340","14280","3","8023","1","41"
"3200009","2","8025","8027","340","14280","3","8026","1","41"
"3200010","2","8028","8030","340","14280","3","8029","1","41"
"3200011","2","8031","8033","340","14280","3","8032","1","41"
"3200012","2","8034","8036","340","14280","3","8035","1","41"
"3200013","2","8037","8039","375","13050","3","8038","1","38"
"3200014","2","8040","8042","375","13050","3","8041","1","38"
"3200015","2","8043","8045","375","13050","3","8044","1","38"
"3200016","2","8046","8048","375","13050","3","8047","1","38"
"3200017","2","8049","8051","375","13050","3","8050","1","38"
"3200018","2","8052","8054","375","13050","3","8053","1","38"
"3200019","2","8055","8057","375","13050","3","8056","1","38"
"3200020","2","8058","8060","375","13050","3","8059","1","38"
"3300001","3","9001","9003","340","14280","3","9002","1","40"
"3300002","3","9004","9006","340","14280","3","9005","1","40"
"3300003","3","9007","9009","340","14280","3","9008","1","40"
"3300004","3","9010","9012","340","14280","3","9011","1","40"
"3300005","3","9013","9015","340","14280","3","9014","1","40"
"3300006","3","9016","9018","340","14280","3","9017","1","40"
"3300007","3","9019","9021","340","14280","3","9020","1","40"
"3300008","3","9022","9024","340","14280","3","9023","1","40"
"3300009","3","9025","9027","340","14280","3","9026","1","40"
"3300010","3","9028","9030","340","14280","3","9029","1","40"
"3300011","3","9031","9033","340","14280","3","9032","1","40"
"3300012","3","9034","9036","340","14280","3","9035","1","40"
"3300013","3","9037","9039","340","14280","3","9038","1","40"
"3300014","3","9040","9042","340","14280","3","9041","1","40"
"3300015","3","9043","9045","340","14280","3","9044","1","40"
"3300016","3","9046","9048","340","14280","3","9047","1","40"
"3300017","3","9049","9051","340","14280","3","9050","1","40"
"3300018","3","9052","9054","340","14280","3","9053","1","40"
"3300019","3","9055","9057","375","13050","3","9056","1","39"
"3300020","3","9058","9060","375","13050","3","9059","1","39"
"3300021","3","9061","9063","375","13050","3","9062","1","39"
"3300022","3","9064","9066","375","13050","3","9065","1","39"
"3300023","3","9067","9069","375","13050","3","9068","1","39"
"3300024","3","9070","9072","375","13050","3","9071","1","39"
"3300025","3","9073","9075","375","13050","3","9074","1","39"
"3300026","3","9076","9078","375","13050","3","9077","1","39"
"3300027","3","9079","9081","375","13050","3","9080","1","39"
"3300028","3","9082","9084","375","13050","3","9083","1","39"
"3300029","3","9085","9087","375","13050","3","9086","1","39"
"3300030","3","9088","9090","375","13050","3","9089","1","39"
