4e4840a06c492fa4f55970bd707d1221033f4d33f79eaf7f3dcffeea24f5e3ea,295d85caf8d8cc574aef6a33b928a5837de2783009465eabf523bdfdd7f70495,1a6c4885492d2219c13dd12d064d767991bc3ede214d8c812c99e732569049c5,1972337bc33df8d537109aeff4b67f49a373c3467d92275e68b31cc318d6787f,81ce7b0ebe2bc7e631c619b6937f69642088f9791296ce5968220df89f223b82,9b553255458ee60e382e73ef8944f765e435ca4d0e25bf36e25f42c143a4a8c0,2f3f8193ea65dccfa76646cd7a31f39e3a6579b509e71c3d4968468c50c9783c,405f900330a5ed1412176c492bf43e6307630c2cdd2bf7253ea41048aa703979,94ae26019ef15403db0ecbcc5f72114b095fd500a1ab36fcbd44603e051c69b2,7dc62ef14477682ae51a3c96314cdc03d462c7f815b8d649da6377cfb048df0b,648e3c992f2965f5d8e7c9098e98b51044ff3084685d4ef9c264e117bf034196,11effc2f25c6d96e7323eb46869f930ea5e94424de7659a3f49fe2a9b78e956e
"5","1","1","1","-1","1","-1","1","1","32","101306","330"
"6","1","1","1","3","1","300","1","1","32","101401","340"
"6","1","1","1","-1","1","300","1","1","32","101402","340"
"6","1","1","1","-1","1","-1","1","1","32","101403","340"
"5","1","1","1","3","1","300","1","1","32","101404","340"
"5","1","1","1","-1","1","300","1","1","32","101405","340"
"5","1","1","1","-1","1","-1","1","1","32","101406","340"
"6","1","1","1","3","1","300","1","1","32","101501","350"
"6","1","1","1","-1","1","300","1","1","32","101502","350"
"6","1","1","1","-1","1","-1","1","1","32","101503","350"
"5","1","1","1","3","1","300","1","1","32","101504","350"
"5","1","1","1","-1","1","300","1","1","32","101505","350"
"5","1","1","1","-1","1","-1","1","1","32","101506","350"
"6","1","1","1","5","1","310","1","1","32","101601","360"
"6","1","1","1","-1","1","310","1","1","32","101602","360"
"6","1","1","1","-1","1","-1","1","1","32","101603","360"
"5","1","1","1","5","1","310","1","1","32","101604","360"
"5","1","1","1","-1","1","310","1","1","32","101605","360"
"5","1","1","1","-1","1","-1","1","1","32","101606","360"
"6","1","1","1","5","1","310","1","1","32","101701","380"
"6","1","1","1","-1","1","310","1","1","32","101702","380"
"6","1","1","1","-1","1","-1","1","1","32","101703","380"
"5","1","1","1","5","1","310","1","1","32","101704","380"
"5","1","1","1","-1","1","310","1","1","32","101705","380"
"5","1","1","1","-1","1","-1","1","1","32","101706","380"
"6","1","1","1","5","1","310","1","1","32","101801","400"
"6","1","1","1","-1","1","310","1","1","32","101802","400"
"6","1","1","1","-1","1","-1","1","1","32","101803","400"
"5","1","1","1","5","1","310","1","1","32","101804","400"
"5","1","1","1","-1","1","310","1","1","32","101805","400"
"5","1","1","1","-1","1","-1","1","1","32","101806","400"
"6","1","1","1","5","1","310","1","1","33","111601","400"
"6","1","1","1","-1","1","310","1","1","33","111602","400"
"6","1","1","1","-1","1","-1","1","1","33","111603","400"
"5","1","1","1","5","1","310","1","1","33","111604","400"
"5","1","1","1","-1","1","310","1","1","33","111605","400"
"5","1","1","1","-1","1","-1","1","1","33","111606","400"
"6","1","1","1","5","1","310","1","1","33","111701","450"
"6","1","1","1","-1","1","310","1","1","33","111702","450"
"6","1","1","1","-1","1","-1","1","1","33","111703","450"
"5","1","1","1","5","1","310","1","1","33","111704","450"
"5","1","1","1","-1","1","310","1","1","33","111705","450"
"5","1","1","1","-1","1","-1","1","1","33","111706","450"
"6","1","1","1","5","1","310","1","1","33","111801","500"
"6","1","1","1","-1","1","310","1","1","33","111802","500"
"6","1","1","1","-1","1","-1","1","1","33","111803","500"
"5","1","1","1","5","1","310","1","1","33","111804","500"
"5","1","1","1","-1","1","310","1","1","33","111805","500"
"5","1","1","1","-1","1","-1","1","1","33","111806","500"
