b065af52f6db3e6952ec06b0952de14ebb3d4d9566ab3360a5b5173a573f2e1a,49387fd2aed788971c9949f0aa216f0b2d211bc9472345241e92f0386765a9dc,886118258c69cddd5fe8a95122901c01e906d8afd3601d56fe6a7fde4782519f,0d76f04f96aa9d32b23a95f299b8b228af82a45b98576a3f1e36a56b7d6f59a2,709c120ef4b150926a861b011bdb48c2b5cbb7fb9279a17905c942ee51b9da16,6750acc3ae5fb470dc635d1f6162ed73b4a38f3c5fb83de77386cc56d5a5d09f,423cd61b4fb95e9baa7a9d1be51c78995119a81570b2a9e8c8d52f6b91488e66,13b703e55aec0ac1c99d1e810b95d4e3923d06e14be3567559c5a5f82b4a62c6,7487ffa0f327c4110705decdda050e53cf85f61ffd825831b94654f823047d1c,094129ffb1ccecf7513d90ffe0c68f407775903544b62224819b0657d41654f5,7c6b18edcfb2f526b9664f0f069813170fdecd5d5859d569070345b75d53ca85,31453d7d97457fe737b1ffe4c7b4dd323670be4231ceeb61daffd1fe64253769,640036b722122af3e186007fb4c01eea03ced01ccce6e33cd98fc0c095d6e2e5,ec82bad90b1090e6f86be2e6e7d1d2fd5eff4d05d5e63cb1dfe1029b1cbe2627,cc696b4aea59ed8bca8289e3941796b0e21d17658fc976ad8aa9d42449928ca7,12df7630c6e0cdc3ead396be477d12b54c6357ebd4ad573f679c19460159a5ef,d4ea7064602df5dc8a5ed9608207d6ada2853a4ca1174c9ac5ce0cdcf996a929,5ae2f1c14dbf1d9b36eebc7bf03d78c165365dc2656d050dace8219bb3603d86,cde4827c1c3fbc387c33c30806955b955f567cd110d8640ba634aa464a258bfa
"4337","45","170","2535","17","263","0","209","0","0","28","12","465","20","100401","5930","6","22","57"
"4884","50","170","2685","18","291","0","237","0","0","28","12","573","20","100401","5990","6","22","57"
"5553","52","170","2685","19","323","0","266","0","0","28","12","655","20","100401","6085","6","22","57"
"6292","52","170","2780","20","368","0","293","0","0","28","12","696","20","100401","6185","6","22","57"
"7020","52","170","2780","21","419","0","333","0","0","28","12","740","20","100401","6430","6","22","57"
"7888","52","170","2780","22","468","0","383","0","0","28","12","788","20","100401","6660","6","22","57"
"8928","52","170","2780","23","519","0","428","0","0","28","12","817","20","100401","7065","6","22","57"
"10110","52","170","2780","24","566","0","474","0","0","28","12","835","20","100401","7385","6","22","57"
"11440","52","170","2780","25","611","0","523","0","0","28","12","867","20","100401","7705","6","22","57"
"12898","52","170","2780","26","656","0","576","0","0","28","12","902","20","100401","8000","6","22","57"
"14495","52","170","2780","27","697","0","624","0","0","28","12","929","20","100401","8455","6","22","57"
"16211","52","170","2780","28","740","0","669","0","0","28","12","963","20","100401","9000","6","22","57"
"17592","52","170","2780","29","822","0","751","0","0","28","12","986","20","100401","10655","6","22","57"
"18978","52","170","2780","30","913","0","842","0","0","28","12","1000","20","100401","12805","6","22","57"
"20529","52","170","2780","31","996","0","925","0","0","28","12","1014","20","100401","15175","6","22","57"
"22273","52","170","2780","32","1066","0","995","0","0","28","12","1027","20","100401","17965","6","22","57"
"24101","52","170","2780","33","1132","0","1061","0","0","28","12","1039","20","100401","21205","6","22","57"
"25905","52","170","2780","34","1214","0","1143","0","0","28","12","1051","20","100401","24690","6","22","57"
"27832","52","170","2780","35","1297","0","1226","0","0","28","12","1063","20","100401","28585","6","22","57"
"12","0","0","125","2","4","0","0","0","0","0","0","0","0","100501","80","0","0","0"
"49","1","0","225","3","8","0","0","0","0","0","0","0","0","100501","350","0","0","0"
"110","1","15","275","4","17","0","3","0","0","0","0","0","0","100501","880","0","0","0"
"173","7","15","275","5","28","0","11","0","0","0","0","0","0","100501","1660","0","0","0"
"265","7","15","275","6","48","0","19","0","0","0","0","0","0","100501","2925","3","0","0"
"476","7","40","275","7","66","0","29","0","0","0","0","0","0","100501","3595","6","0","0"
"615","7","40","575","8","87","0","49","0","0","0","0","0","0","100501","4800","10","0","0"
"788","12","40","1025","9","104","0","72","0","0","5","0","0","10","100501","5635","14","0","15"
"1027","12","65","1325","10","125","0","94","0","0","10","0","0","20","100501","6415","17","5","15"
"1305","12","65","1625","11","148","0","112","0","0","10","0","30","20","100501","7295","20","10","25"
"1564","12","65","1875","12","178","0","136","0","0","12","0","80","20","100501","8135","20","10","35"
"1861","12","65","2095","13","214","0","160","0","0","17","0","126","20","100501","8655","20","10","37"
"2191","12","71","2215","14","249","0","189","0","0","17","2","162","20","100501","9045","20","10","39"
"2575","14","77","2315","15","280","0","219","0","0","17","4","202","20","100501","9235","20","10","39"
"2930","14","89","2415","16","319","0","260","0","0","17","4","236","20","100501","9365","20","10","39"
"3244","17","89","2415","17","357","0","312","0","0","17","4","280","20","100501","9655","20","14","39"
"3595","20","89","2415","18","394","0","371","0","0","17","4","352","20","100501","9935","20","18","39"
"4029","20","89","2510","19","443","0","428","0","0","17","4","409","20","100501","10305","20","18","39"
"4501","25","89","2605","20","498","0","489","0","0","17","4","436","20","100501","10590","20","18","39"
"5022","30","89","2605","21","554","0","559","0","0","17","4","488","20","100501","10800","20","18","39"
"5725","30","89","2605","22","612","0","622","0","0","17","4","587","20","100501","11290","20","18","39"
"6562","30","89","2605","23","681","0","685","0","0","17","4","681","20","100501","11605","20","18","39"
"7465","30","89","2605","24","754","0","756","0","0","17","4","746","20","100501","11925","20","18","39"
"8484","30","89","2605","25","825","0","831","0","0","17","4","813","20","100501","12540","20","18","39"
"9621","30","89","2605","26","896","0","910","0","0","17","4","864","20","100501","13290","20","18","39"
"10886","30","89","2605","27","964","0","985","0","0","17","4","892","20","100501","14290","20","18","39"
"11991","30","89","2605","28","1041","0","1064","0","0","17","4","911","20","100501","17330","20","18","39"
"12893","30","89","2605","29","1130","0","1153","0","0","17","4","921","20","100501","22690","20","18","39"
"13832","30","89","2605","30","1224","0","1247","0","0","17","4","931","20","100501","28565","20","18","39"
"14808","30","89","2605","31","1322","0","1345","0","0","17","4","941","20","100501","34730","20","18","39"
"15821","30","89","2605","32","1423","0","1446","0","0","17","4","951","20","100501","41265","20","18","39"
"16891","30","89","2605","33","1526","0","1549","0","0","17","4","961","20","100501","48415","20","18","39"
"18018","30","89","2605","34","1631","0","1654","0","0","17","4","971","20","100501","56345","20","18","39"
"19183","30","89","2605","35","1737","0","1760","0","0","17","4","981","20","100501","64985","20","18","39"
"0","0","0","75","2","1","0","2","0","0","0","0","0","23","100601","55","0","0","0"
"0","0","0","150","3","2","0","7","0","0","0","0","0","78","100601","150","0","0","0"
"0","0","5","200","4","5","0","16","0","0","0","0","0","169","100601","325","0","0","10"
"0","0","15","200","5","7","0","32","0","0","0","0","0","322","100601","625","0","0","10"
"0","0","15","200","6","15","0","51","0","0","0","0","0","495","100601","1155","0","0","25"
"26","0","50","200","7","22","0","69","0","0","0","0","0","724","100601","1515","0","0","30"
"26","0","85","200","8","29","0","93","0","0","4","0","0","960","100601","2115","0","0","60"
"26","0","85","200","9","40","0","120","0","0","9","5","0","1224","100601","2650","0","0","95"
"26","0","85","420","10","50","0","143","13","0","14","10","0","1549","100601","3240","0","0","105"
"26","0","101","640","11","66","0","167","28","0","14","10","0","1880","100601","3840","0","0","119"
"26","0","111","760","12","79","0","192","43","0","17","17","0","2215","100601","4200","0","0","135"
"26","0","121","980","13","102","0","217","69","0","17","19","0","2582","100601","4640","0","0","135"
"26","0","133","1220","14","130","0","250","93","0","17","19","0","2954","100601","4760","0","0","137"
"26","0","133","1220","15","157","0","282","109","0","17","21","0","3356","100601","4990","0","0","146"
"26","0","133","1320","16","183","0","316","129","0","17","21","0","3805","100601","5140","0","0","152"
"26","0","158","1320","17","216","0","353","144","0","17","21","0","4258","100601","5260","0","0","153"
"26","3","173","1320","18","248","0","397","169","0","17","21","0","4708","100601","5665","0","0","153"
"26","3","173","1320","19","287","0","447","193","0","17","21","0","5206","100601","6310","0","0","153"
"26","3","173","1415","20","327","0","493","240","0","17","21","0","5797","100601","6860","0","0","153"
"26","3","173","1515","21","370","0","543","288","0","17","21","0","6452","100601","7370","0","0","153"
"26","3","173","1515","22","420","0","603","318","0","17","21","0","7171","100601","8370","0","0","153"
"26","3","173","1515","23","474","0","672","318","0","17","21","0","7937","100601","10145","0","0","153"
"26","3","173","1515","24","533","0","738","333","0","17","21","0","8818","100601","11670","0","0","153"
"26","3","173","1515","25","587","0","798","355","0","17","21","0","9964","100601","12670","0","0","153"
"26","3","173","1515","26","630","0","847","377","0","17","21","0","11385","100601","13505","0","0","153"
"26","3","173","1515","27","670","0","890","394","0","17","21","0","12944","100601","14530","0","0","153"
"26","3","173","1515","28","712","0","933","411","0","17","21","0","14609","100601","15675","0","0","153"
"26","3","173","1515","29","758","0","979","429","0","17","21","0","16394","100601","16895","0","0","153"
"26","3","173","1515","30","808","0","1029","447","0","17","21","0","18267","100601","18270","0","0","153"
"26","3","173","1515","31","859","0","1080","465","0","17","21","0","20231","100601","19725","0","0","153"
"26","3","173","1515","32","911","0","1132","483","0","17","21","0","22285","100601","21260","0","0","153"
"26","3","173","1515","33","965","0","1186","500","0","17","21","0","24455","100601","22870","0","0","153"
"26","3","173","1515","34","1020","0","1241","517","0","17","21","0","26760","100601","24650","0","0","153"
"26","3","173","1515","35","1076","0","1297","534","0","17","21","0","29157","100601","26670","0","0","153"
"6","2","0","100","2","3","0","0","0","0","0","0","0","0","100701","80","0","0","0"
"46","3","0","200","3","10","0","0","0","0","0","0","0","0","100701","200","0","0","0"
"94","7","0","360","4","20","0","5","0","0","0","0","0","0","100701","550","0","0","0"
"190","10","0","520","5","35","0","11","0","0","0","0","0","0","100701","1060","0","0","0"
"323","14","0","890","6","53","0","19","0","0","0","0","0","0","100701","1740","0","0","0"
"480","18","0","1260","7","76","0","34","0","0","0","0","0","0","100701","2330","0","0","0"
"593","28","0","1585","8","97","0","50","0","0","0","0","0","0","100701","3510","0","0","0"
"790","35","0","1585","9","124","0","70","0","0","5","0","5","10","100701","4255","0","0","0"
"1035","36","0","1585","10","152","0","90","0","0","13","0","20","20","100701","5065","0","0","0"
"1296","41","0","1585","11","177","0","110","0","0","16","0","40","20","100701","5765","0","0","20"
"1558","48","0","1685","12","205","0","132","0","0","16","0","50","20","100701","6265","0","10","40"
"1786","52","0","1785","13","245","0","165","0","0","16","0","50","20","100701","6785","0","20","42"
"2066","54","0","1785","14","285","0","204","0","0","16","2","60","20","100701","7005","2","20","44"
"2455","56","0","1885","15","317","0","239","0","0","16","4","70","20","100701","7005","4","20","44"
"2857","56","0","1985","16","357","0","269","0","0","16","4","82","20","100701","7205","4","25","44"
"3253","59","0","2135","17","401","0","296","0","0","16","4","82","20","100701","7715","4","30","44"
"3721","64","0","2285","18","439","0","334","0","0","16","4","94","20","100701","8025","4","30","44"
"4301","66","0","2380","19","484","0","375","0","0","16","4","116","20","100701","8025","4","30","44"
"4938","66","0","2475","20","536","0","419","0","0","16","4","136","20","100701","8060","4","30","44"
"5511","71","0","2475","21","590","0","486","0","0","16","4","148","20","100701","8205","4","30","44"
"6189","71","0","2475","22","656","0","552","0","0","16","4","188","20","100701","8695","4","30","44"
"6953","71","0","2475","23","742","0","622","0","0","16","4","188","20","100701","9010","4","30","44"
"7793","71","0","2475","24","830","0","697","0","0","16","4","188","20","100701","9330","4","30","44"
"8782","71","0","2475","25","912","0","772","0","0","16","4","205","20","100701","9945","4","30","44"
"9897","71","0","2475","26","990","0","851","0","0","16","4","231","20","100701","10695","4","30","44"
"11147","71","0","2475","27","1062","0","926","0","0","16","4","249","20","100701","11695","4","30","44"
"12226","71","0","2475","28","1143","0","1007","0","0","16","4","258","20","100701","14735","4","30","44"
"13384","71","0","2475","29","1230","0","1094","0","0","16","4","267","20","100701","18005","4","30","44"
"14579","71","0","2475","30","1322","0","1186","0","0","16","4","276","20","100701","21790","4","30","44"
"15520","71","0","2475","31","1424","0","1288","0","0","16","4","276","20","100701","27955","4","30","44"
"16499","71","0","2475","32","1529","0","1393","0","0","16","4","276","20","100701","34490","4","30","44"
"17534","71","0","2475","33","1636","0","1500","0","0","16","4","276","20","100701","41640","4","30","44"
"18625","71","0","2475","34","1745","0","1609","0","0","16","4","276","20","100701","49570","4","30","44"
"19754","71","0","2475","35","1855","0","1719","0","0","16","4","276","20","100701","58210","4","30","44"
"0","0","0","75","2","1","0","2","0","0","0","0","0","23","100801","55","0","0","0"
"0","0","0","150","3","2","0","7","0","0","0","0","0","78","100801","150","0","0","0"
"0","0","5","200","4","5","0","16","0","0","0","0","0","169","100801","325","0","0","10"
"0","0","15","200","5","7","0","32","0","0","0","0","0","322","100801","625","0","0","10"
"0","0","15","200","6","15","0","51","0","0","0","0","0","495","100801","1155","0","0","25"
"26","0","50","200","7","22","0","69","0","0","0","0","0","724","100801","1515","0","0","30"
"52","0","50","200","8","29","0","91","0","0","4","0","0","1003","100801","1680","0","0","75"
"52","0","50","200","9","40","0","118","0","0","9","5","0","1267","100801","2215","0","0","110"
"52","0","85","300","10","52","0","140","16","0","14","10","0","1566","100801","2755","0","0","115"
"52","0","101","840","11","57","0","166","34","0","14","10","0","1937","100801","3175","0","0","129"
"52","0","127","960","12","64","0","185","59","0","17","17","0","2352","100801","3335","0","0","135"
"52","0","137","1080","13","77","0","204","93","0","17","22","0","2797","100801","3575","0","0","135"
"52","0","149","1320","14","93","0","229","127","0","17","22","0","3253","100801","3775","0","0","135"
"52","0","149","1440","15","110","0","251","157","0","17","22","0","3747","100801","4005","0","0","144"
"52","0","149","1440","16","126","0","273","193","0","17","22","0","4294","100801","4185","0","0","150"
"52","0","174","1440","17","145","0","301","228","0","17","22","0","4848","100801","4255","0","0","151"
"52","0","199","1440","18","168","0","334","268","0","17","22","0","5401","100801","4600","0","0","151"
"52","0","199","1440","19","194","0","371","317","0","17","22","0","6004","100801","5245","0","0","151"
"52","0","199","1440","20","219","0","402","388","0","17","22","0","6727","100801","5795","0","0","151"
"52","0","199","1540","21","251","0","447","459","0","17","22","0","7443","100801","6270","0","0","151"
"52","0","199","1640","22","284","0","490","525","0","17","22","0","8302","100801","7160","0","0","151"
"52","0","199","1640","23","319","0","540","555","0","17","22","0","9263","100801","8620","0","0","151"
"52","0","199","1640","24","354","0","590","570","0","17","22","0","10345","100801","10145","0","0","151"
"52","0","199","1640","25","382","0","625","607","0","17","22","0","11732","100801","11145","0","0","151"
"52","0","199","1640","26","399","0","648","641","0","17","22","0","13434","100801","11685","0","0","151"
"52","0","199","1640","27","413","0","665","665","0","17","22","0","15298","100801","12255","0","0","151"
"52","0","199","1640","28","428","0","681","689","0","17","22","0","17287","100801","12855","0","0","151"
"52","0","199","1640","29","446","0","699","714","0","17","22","0","19415","100801","13455","0","0","151"
"52","0","199","1640","30","466","0","719","740","0","17","22","0","21668","100801","14055","0","0","151"
"52","0","199","1640","31","486","0","739","766","0","17","22","0","24030","100801","14655","0","0","151"
"52","0","199","1640","32","506","0","759","792","0","17","22","0","26501","100801","15255","0","0","151"
"52","0","199","1640","33","527","0","780","817","0","17","22","0","29107","100801","15855","0","0","151"
"52","0","199","1640","34","549","0","802","841","0","17","22","0","31867","100801","16455","0","0","151"
"52","0","199","1640","35","571","0","824","865","0","17","22","0","34757","100801","17055","0","0","151"
"0","0","0","50","2","0","0","3","0","0","0","0","0","26","100901","55","0","0","0"
"0","0","0","100","3","0","0","7","0","0","0","0","0","94","100901","150","0","0","0"
"0","0","0","100","4","2","0","14","0","0","0","0","0","214","100901","270","0","0","10"
"0","0","25","100","5","2","0","27","0","0","0","0","0","405","100901","360","0","0","10"
"0","0","75","100","6","4","0","40","0","0","0","0","0","634","100901","710","0","0","10"
"0","0","110","100","7","8","0","54","0","0","0","0","0","894","100901","1305","0","0","15"
"0","0","145","100","8","10","0","64","0","0","4","0","0","1255","100901","1470","1","0","45"
"0","0","180","100","9","15","0","73","16","0","9","0","0","1633","100901","1880","2","0","45"
"0","0","180","520","10","21","0","91","34","0","14","0","0","2032","100901","2230","4","0","45"
"0","0","196","620","11","30","0","101","71","0","14","5","0","2474","100901","2570","5","0","45"
