b7693fc1633219759ef29b0f4825c99baa5dec209d2cbecf7b83f24587dc6206,9f1159bab1fe9b900bb819b204b56fa31653b386c19622aafcf08e1bcbbd6529,db41673b63fa21cb3d35044af8cc406a8361e6fd3da7409ef58068baf0e78990,21f8ffa5ec7570c99883cc04463bbdf9fa3321b8659c88cf18b69c22f0f880be,8efa0845c30a3ac162421df1975b26b3c22b3990233694e9be7ab3dd6058274b,0db54a14a09c1560762967f005738764875d4a8a80826b7ac5a545e75c7a2b08,773e10fdac0f53167a75a34ac2bdb17bd583f2a9e65ff8eab844e22c783891fe,95ff555e4ca7dcba50a0abad2d64d759ee4914513f3253ce988ca1aa5e029e8f,3d1c1228463a7b6031be1a40139fe3838753f36a5d8994cbd340cc0189e1752c,f60e2d3f4b8ed54e4f448baeee6404f1dc9e69ca10a5d6b1d4c476c5b7fd8847,e385c5c7bf170be36a24b14fc61fa6d3fe8e8847dc0ceec2074fdfc51913d0c0,4c2f8f3c00d86bc516168eb63d8e6b3a1288675582a90ca14ab72a53eea17b59,54cea705d034244a55700b6ddfa32e63736ae985a7b934b27cb907b97fce8bc2,156f6e856031a530ca1aa788faa2c3ac5aef4642d3f922ec2e603311553aa3cc,785e9a9ff4478069fbee73d288b9d1d344e98a7c6326ae91401e388150c10b0b,55e693bbfdbc813be6adbc023329298487c46cfb1e2b0e19f229febd2e2b5dc1,586014cfb1c9ba5b73c7aca6aae0c3d432eadaa12629a279fab777b3f6b0590d
"1","3","3","51011","10","獲得1張抽獎券。","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","500","莉瑪的不可思議甜蘋果","2","0","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","52011","莉瑪的不可思議\n甜蘋果","0","1","7"
"1","1","2","51012","10","獲得1個未鑑定的平凡寶物。","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","500","妮諾的原創一二三壽司","1","0","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","52012","妮諾的原創\n一二三壽司","0","30002","3"
"3","4","3","51013","10","獲得800里程。","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","500","克蕾琪塔的開運點心拼盤","0","0","打開RANK2的里程商店。","52013","克蕾琪塔的開運\n點心拼盤","0","2","8"
"1","1","2","51014","11","下次擲骰的時候，多前進1格。","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","500","璃乃的「時乃金時」刨冰","2","0","跳過里程格進行移動。效果持續2回合。","52014","璃乃的\n「時乃金時」刨冰","0","1","9"
"1","1","1","51015","11","下次擲骰的時候，多前進1格。","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","500","靜流的愛情滿滿漢堡排","1","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","52015","靜流的愛情\n滿滿漢堡排","0","2","1"
"1","0","3","51016","0","無","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","500","碧的衝刺三明治","1","0","下次投擲的骰子一定會丟出「6」。","52016","碧的衝刺\n三明治","0","20005","2"
"1","5","3","51017","10","無","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","500","空花的活切緊綁觸手","2","0","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","52017","空花的活切\n緊綁觸手","1","1","2"
"1","6","1","51018","10","獲得1000里程。","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","500","蘭法的熱心馬鈴薯燉肉","1","0","下次投擲的骰子一定會丟出「3」。","52018","蘭法的熱心馬鈴薯燉肉","0","20006","2"
"1","0","1","0","0","無","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","500","若菜的節儉八分飽咖哩","1","0","下次投擲的骰子一定會丟出「8」。","52019","若菜的節儉八分飽咖哩","0","20007","2"
"2","1","2","51014","11","下次擲骰的時候，多前進1格。","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","500","璃乃的「時乃金時」刨冰","2","0","跳過里程格進行移動。效果持續2回合。","52020","璃乃的\n「時乃金時」刨冰","0","1","9"
"2","7","3","51021","10","	獲得2個未鑑定的平凡寶物。","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","500","霞的看透真相的糖果巧克力","3","0","跳過寶物格進行移動。效果持續3回合。","52021","霞的看透真相的\n糖果巧克力","0","2","9"
"1","0","1","51022","0","無","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","500","秋乃的煉獄烤雞拼盤","3","0","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","52022","秋乃的煉獄\n烤雞拼盤","0","20008","2"
"1","1","1","51023","10","獲得1個未鑑定的平凡寶物。","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","500","美美的丟沙包圓滾滾飯糰","2","0","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","52023","美美的丟沙包\n圓滾滾飯糰","1","1","7"
"3","3","3","51024","11","下次擲骰的時候，多前進3格。","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","500","步未的祕密隱形蛋糕","0","0","打開RANK2的里程商店。","52024","步未的祕密\n隱形蛋糕","0","2","8"
"2","0","3","51025","0","無","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","500","安涅默涅的爛漫花朵牛排沙拉","1","0","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","52025","安涅默涅的\n爛漫花朵牛排沙拉","0","3","9"
"3","8","1","51026","10","獲得2張抽獎券。","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","500","杏奈的煉獄番茄燉煮渾沌蛋","0","0","讓隨機活動出現。","52026","杏奈的\n煉獄番茄燉煮渾沌蛋","0","1","4"
"1","0","3","51027","0","無","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","500","優衣的營養滿分心意滿分便當","2","0","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","52027","優衣的\n營養滿分心意滿分便當","0","20004","2"
"1","9","3","51028","10","無","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。","500","鈴的堅果懶人紅豆麵包","1","0","下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","52028","鈴的\n堅果懶人紅豆麵包","0","30003","2"
"1","0","2","51029","0","無","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。","500","雪菲的冰晶輝煌手工冰","1","0","下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","52029","雪菲的\n冰晶輝煌手工冰","0","30004","3"
"3","0","1","51030","0","無","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。","500","美空的隨興味噌拉麵★","3","0","3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","52030","美空的\n隨興味噌拉麵★","0","1","12"
"1","0","3","51031","0","無","彩羽總是隨身攜帶的色彩斑斕的果凍……\n但是它是阿爾克絲鍊金堂製作的，\n有著跟鍬形蟲果凍一樣的外觀。雖然很甜很好吃，\n但是問她那是給人吃的嗎時，她會別開視線。","500","彩羽的最強鍬形蟲果凍（人類用）","1","0","下次投擲的骰子會丟出「1、6、6、6、8、8」。","52031","彩羽的\n最強鍬形蟲果凍（人類用）","0","20009","2"
"2","3","3","51032","11","下次擲骰的時候，多前進3格。","格蕾斯親手做的杯子蛋糕。把全力都用在\n刺激的外觀上了……雖然讓人那麼覺得，\n但是連眼球都能吃又很美味……才讓人那麼覺得，但是一部分\n又甜到讓人覺得靈魂要消散了。她堅持不說出原料是什麼。","500","格蕾斯的目瞪口呆杯子蛋糕","2","0","跳過料理格進行移動。效果持續2回合。","52032","格蕾斯的\n目瞪口呆杯子蛋糕","0","4","9"
"3","0","1","51033","0","無","苑做的蛋包飯。是彩羽非常喜歡吃的料理，\n有家庭的味道。雖然平常因為嫌麻煩所以不會去做，\n但是在彩羽當乖孩子時會用番茄醬\n幫她畫鍬形蟲。那個時候似乎會比平常還好吃。","500","苑的今天是特別獎勵蛋包飯","0","0","打開RANK3的里程商店。","52033","苑的今天是特別獎勵蛋包飯","0","3","8"
"2","1","1","51034","10","獲得1個未鑑定的平凡寶物。","由於實在太過美味又含有爆表熱量，\n這道肉料理獲得了像惡意集合體般的嚇人名字。\n由於收集這些肉能夠展現作為騎空士的力量，\n所以吉塔想要大量收集。","500","吉塔的炙燒‧怨念肉片","2","0","跳過里程格進行移動。效果持續2回合。","52034","吉塔的\n炙燒‧怨念肉片","0","1","9"
"3","10","1","51035","10","獲得1個未鑑定的貴重寶物。","露易絲瑪莉完整重現祖母食譜的最佳傑作。\n精細的調配與溫度控管下生產出的麵衣\n以及酥脆鬆軟的食材被譽為鍊金技術的最終目標，\n但也有不少意見認為只是單純的烹飪。","500","露易絲瑪莉過於成功的炸物","0","0","讓隨機活動出現。","52035","露易絲瑪莉\n過於成功的炸物","0","1","4"
