f3658180bb03b80dd59942dce268315b68a069a34304a89c65305e6adf5954ad,8665f9e1b2b33e472cc0d25d0c492cf238082a8ada75d7b97815b5ddae08e18d,c507d9a4bc501b067185817f410f861142de51d6c0d1265c01d3abbef5c59721,3c4b590903226f2932d877e3eeef5973b4ae079c1c3ec8f02f38d6b6fed59990,5f57b8722870972790a579827c9091715ac0489fa0ad419d162dff38b3e51e7c,171460c23e2626b3e8c8bef4400c19ae2e2858631cc1953770a0ea7f0ea05f5d,ef567769c2d9fd174150458b6a436eb6f8d10143660e38e1ae494b3c9b51ae9d
"2","10022","1","喂，你現在在想沒禮貌的事吧？","vo_minigame_1004","vo_minigame_1004_top_2_049","1002202"
"2","10023","1","欸，這個要持續到什麼時候？","vo_minigame_1004","vo_minigame_1004_top_3_058","1002301"
"1","10023","2","到嘉夜夜投降為止！","vo_minigame_1004","vo_minigame_1004_top_3_059","1002302"
"3","10023","2","咕麼麼！（給我投降！）","vo_minigame_1004","vo_minigame_1004_top_3_060","1002303"
"3","10024","2","咕麼！（祈梨 我想要巧克力）","vo_minigame_1004","vo_minigame_1004_top_3_065","1002401"
"1","10024","1","真拿你沒辦法，不可以吃太多哦！","vo_minigame_1004","vo_minigame_1004_top_3_066","1002402"
"2","10024","1","你好像很喜歡伴手禮的巧克力呢。","vo_minigame_1004","vo_minigame_1004_top_3_067","1002403"
"3","10025","2","咕麼！（我不會輸給 嘉夜夜！）","vo_minigame_1004","vo_minigame_1004_top_3_068","1002501"
"2","10025","1","哦？怎麼了？是肚子餓了嗎？","vo_minigame_1004","vo_minigame_1004_top_3_069","1002502"
"1","10025","2","……完全無法溝通。","vo_minigame_1004","vo_minigame_1004_top_3_070","1002503"
