2bdb65d2196896a867737587d892bc3ad774a0db54129df9b927c700e6060203,5aa3fac5e7a15ec021d12dbe697ebe72a93c69338f0a25faa053f1d9cad60501,1c9090c89bbb8368a4f25d64a5e5b1054ddf61c802c1411dd1ff57e67606898c,f8d87c6a942f4f71d612b3b1bb8a831a6ce3eb9155845ec0011996151536cdb6,fc1fb77c3cb263d38676a1d3c8d9f503b0156dabce7f2b67208b2fd92d7ecfbc,17c72694f44ca3a0c88ed7c083fc54a84cfeb52de3a02096598ec8f47693f3b4,9e3694aaab0c4cabea82e9ece6855e68000514ab13ba7b10f154a6db9438ff2d,9ba09e679877d1f403a3be2bdfc01310dd77ce10e2e9744b1741a091831d86cd,ff5694dd2d221ee23076e9cd83991f6be90ea5367eaba70696284eb597a425c4,491a6359acd032581b1e0ae90e07dbcc2e372838bffa80f745e4b24b7d9d81c6,0dc6eaad2ce0d070a31e667060ef0a403e861e63845c12112c213d06e2c168b8
"151","se_fpc_water_random","se_10053800","","","23","","11510001","","",""
"151","<unit_id>","1","0","cmn_swm_flutterKick","1","22","11510002","-180","1.75","-850"
"151","1","1","","","31","-850","11510003","1","1","-180"
"151","0","0","","","91","","11510004","","",""
"151","1050","<unit_id>","","","2","-180","11510005","","","10"
"151","1050","1","","","33","-180","11510006","","","10"
"201","se_fpc_water_random","se_10053800","","","23","","12010001","","",""
"201","<unit_id>","1","0","cmn_swm_breastStroke","1","22","12010002","-180","1.75","-850"
"201","2","2","","","31","-850","12010003","1","1","-180"
"201","0","0","","","91","","12010004","","",""
"201","850","<unit_id>","","","2","-180","12010005","","","10"
"201","850","2","","","33","-180","12010006","","","10"
"251","se_fpc_water_random","se_10053800","","","23","","12510001","","",""
"251","<unit_id>","1","0","cmn_swm_diving","1","22","12510002","-180","1.75","-850"
"251","9","9","","","31","-850","12510003","1","1","-180"
"251","0","0","","","91","","12510004","","",""
"251","850","<unit_id>","","","2","-180","12510005","","","10"
"251","850","9","","","33","-180","12510006","","","10"
"301","se_fpc_water_random","se_10053800","","","23","","13010001","","",""
"301","<unit_id>","1","0","cmn_swm_flutterKick_floatRing","1","23","13010002","-180","1.75","-850"
"301","1","1","0","cmn_swm_flutterKick_floatRing_pink","5","22","13010003","-180","1.75","-850"
"301","1","1","","","31","-850","13010004","1","1","-180"
"301","0","0","","","91","","13010005","","",""
"301","1050","<unit_id>","","","2","-180","13010006","","","10"
"301","1050","1","","","2","-180","13010007","","","10"
"301","1050","1","","","33","-180","13010008","","","10"
"302","se_fpc_water_random","se_10053800","","","23","","13020001","","",""
"302","<unit_id>","1","0","cmn_swm_flutterKick_floatRing","1","23","13020002","-180","1.75","-850"
"302","1","1","0","cmn_swm_flutterKick_floatRing_blue","5","22","13020003","-180","1.75","-850"
"302","1","1","","","31","-850","13020004","1","1","-180"
"302","0","0","","","91","","13020005","","",""
"302","1050","<unit_id>","","","2","-180","13020006","","","10"
"302","1050","1","","","2","-180","13020007","","","10"
"302","1050","1","","","33","-180","13020008","","","10"
"303","se_fpc_water_random","se_10053800","","","23","","13030001","","",""
"303","<unit_id>","1","0","cmn_swm_flutterKick_floatRing","1","23","13030002","-180","1.75","-850"
"303","1","1","0","cmn_swm_flutterKick_floatRing","5","22","13030003","-180","1.75","-850"
"303","1","1","","","31","-850","13030004","1","1","-180"
"303","0","0","","","91","","13030005","","",""
"303","1050","<unit_id>","","","2","-180","13030006","","","10"
"303","1050","1","","","2","-180","13030007","","","10"
"303","1050","1","","","33","-180","13030008","","","10"
"351","se_fpc_water_random","se_10053800","","","23","","13510001","","",""
"351","<unit_id>","1","0","cmn_swm_flutterKick_floatRing","1","23","13510002","-180","1.75","-850"
"351","1","1","0","cmn_swm_flutterKick_floatBoad","5","22","13510003","-180","1.75","-850"
"351","1","1","","","31","-850","13510004","1","1","-180"
"351","0","0","","","91","","13510005","","",""
"351","1050","<unit_id>","","","2","-180","13510006","","","10"
"351","1050","1","","","2","-180","13510007","","","10"
"351","1050","1","","","33","-180","13510008","","","10"
"352","se_fpc_water_random","se_10053800","","","23","","13520001","","",""
"352","<unit_id>","1","0","cmn_swm_flutterKick_floatRing","1","23","13520002","-180","1.75","-850"
"352","1","1","0","cmn_swm_flutterKick_floatBoad_blue","5","22","13520003","-180","1.75","-850"
"352","1","1","","","31","-850","13520004","1","1","-180"
"352","0","0","","","91","","13520005","","",""
"352","1050","<unit_id>","","","2","-180","13520006","","","10"
"352","1050","1","","","2","-180","13520007","","","10"
"352","1050","1","","","33","-180","13520008","","","10"
"401","se_fpc_water_random","se_10053800","","","23","","14010001","","",""
"401","<unit_id>","1","0","cmn_float","1","22","14010002","-180","1.75","-850"
"401","6","6","","","31","-850","14010003","1","1","-180"
"401","0","0","","","91","","14010004","","",""
"401","1050","<unit_id>","","","2","-180","14010005","","","10"
"401","1050","6","","","33","-180","14010006","","","10"
"402","se_fpc_water_random","se_10053800","","","23","","14020001","","",""
"402","<unit_id>","1","0","cmn_float_4","1","22","14020002","-180","1.75","-850"
"402","6","6","","","31","-850","14020003","1","1","-180"
"402","0","0","","","91","","14020004","","",""
"402","1050","<unit_id>","","","2","-180","14020005","","","10"
"402","1050","6","","","33","-180","14020006","","","10"
"451","se_fpc_water_random","se_10053800","","","23","","14510001","","",""
"451","<unit_id>","1","0","cmn_crawl","1","22","14510002","-180","1.75","-850"
"451","1","1","","","31","-850","14510003","1","1","-180"
"451","0","0","","","91","","14510004","","",""
"451","1050","<unit_id>","","","2","-180","14510005","","","10"
"451","1050","1","","","33","-180","14510006","","","10"
"501","se_fpc_water_random","se_10053800","","","23","","15010001","","",""
"501","<unit_id>","1","0","cmn_surfing","1","45","15010002","-250","1.75","-850"
"501","6","6","0","cmn_surfing","5","44","15010003","-250","1.75","-850"
"501","11","11","","","31","-850","15010004","1","1","-250"
"501","0","0","","","91","","15010005","","",""
"501","1800","<unit_id>","","","2","-250","15010006","","","6"
"501","1800","6","","","2","-250","15010007","","","6"
"501","1800","11","","","33","-250","15010008","","","6"
"501","se_10053800_surfing_wave","se_10053800","","","23","","15010009","","",""
"851","se_fpc_water_random","se_10053800","","","23","","18510001","","",""
"851","107511","1","0","cmn_surfing","1","45","18510002","-125","1.75","-850"
"851","107611","1","0","cmn_surfing","1","45","18510003","-250","1.75","-1100"
"851","107811","1","0","cmn_surfing","1","45","18510004","-125","1.75","-1350"
"851","1","6","0","cmn_surfing","5","44","18510005","-125","1.75","-850"
"851","2","6","0","cmn_surfing","5","44","18510006","-250","1.75","-1100"
"851","3","6","0","cmn_surfing","5","44","18510007","-125","1.75","-1350"
"851","1","11","","","31","-850","18510008","1","1","-125"
"851","2","11","","","31","-1100","18510009","1","1","-250"
"851","3","11","","","31","-1350","18510010","1","1","-125"
"851","2350","107511","","","2","-125","18510011","","","6"
"851","2100","107611","","","2","-250","18510012","","","6"
"851","1850","107811","","","2","-125","18510013","","","6"
"851","2350","1","","","2","-125","18510014","","","6"
"851","2100","2","","","2","-250","18510015","","","6"
"851","1850","3","","","2","-125","18510016","","","6"
"851","2350","1","","","33","-125","18510017","","","6"
"851","2100","2","","","33","-250","18510018","","","6"
"851","1850","3","","","33","-125","18510019","","","6"
"851","se_10053800_surfing_wave","se_10053800","","","23","","18510020","","",""
"851","","0.3","","","93","","18510021","","",""
"851","vo_fpc_85101","vo_fpc","","","21","","18510022","","","0"
"852","se_fpc_water_random","se_10053800","","","23","","18520001","","",""
"852","122411","1","0","cmn_swm_flutterKick_floatRing","1","13","18520002","-125","1.75","-850"
"852","122511","1","0","cmn_swm_flutterKick_floatRing","1","33","18520003","-250","1.75","-1100"
"852","122611","1","0","cmn_swm_flutterKick_floatRing","1","13","18520004","-125","1.75","-1350"
"852","1","1","0","cmn_swm_flutterKick_floatRing","5","12","18520005","-125","1.75","-850"
"852","2","1","0","cmn_swm_flutterKick_floatRing_blue","5","32","18520006","-250","1.75","-1100"
"852","3","1","0","cmn_swm_flutterKick_floatRing_pink","5","12","18520007","-125","1.75","-1350"
"852","1","7","","","31","-850","18520008","1","1","-125"
"852","2","1","","","31","-1100","18520009","1","1","-250"
"852","3","7","","","31","-1350","18520010","1","1","-125"
"852","1750","122411","","","2","-125","18520011","","","10"
"852","1500","122511","","","2","-250","18520012","","","10"
"852","1250","122611","","","2","-125","18520013","","","10"
"852","1750","1","","","2","-125","18520014","","","10"
"852","1500","2","","","2","-250","18520015","","","10"
"852","1250","3","","","2","-125","18520016","","","10"
"852","1750","1","","","33","-125","18520017","","","10"
"852","1500","2","","","33","-250","18520018","","","10"
"852","1250","3","","","33","-125","18520019","","","10"
"853","se_fpc_water_random","se_10053800","","","23","","18530001","","",""
"853","117211","1","0","cmn_swm_breastStroke","1","12","18530002","-125","1.75","-850"
"853","117311","1","0","cmn_swm_breastStroke","1","32","18530003","-250","1.75","-1100"
"853","117411","1","0","cmn_swm_breastStroke","1","12","18530004","-125","1.75","-1350"
"853","1","2","","","31","-850","18530005","1","1","-125"
"853","2","2","","","31","-1100","18530006","1","1","-250"
"853","3","2","","","31","-1350","18530007","1","1","-125"
"853","1750","117211","","","2","-125","18530008","","","10"
"853","1500","117311","","","2","-250","18530009","","","10"
"853","1250","117411","","","2","-125","18530010","","","10"
"853","1750","1","","","33","-125","18530011","","","10"
"853","1500","2","","","33","-250","18530012","","","10"
"853","1250","3","","","33","-125","18530013","","","10"
"854","se_fpc_water_random","se_10053800","","","23","","18540001","","",""
"854","122711","1","0","cmn_swm_flutterKick_floatRing","1","13","18540002","-125","1.75","-850"
"854","122811","1","0","cmn_swm_flutterKick_floatRing","1","33","18540003","-250","1.75","-1100"
"854","122911","1","0","cmn_swm_flutterKick_floatRing","1","13","18540004","-125","1.75","-1350"
"854","1","1","0","cmn_swm_flutterKick_floatBoad","5","12","18540005","-125","1.75","-850"
"854","2","1","0","cmn_swm_flutterKick_floatBoad_blue","5","32","18540006","-250","1.75","-1100"
"854","3","1","0","cmn_swm_flutterKick_floatBoad","5","12","18540007","-125","1.75","-1350"
"854","1","7","","","31","-850","18540008","1","1","-125"
"854","2","1","","","31","-1100","18540009","1","1","-250"
"854","3","7","","","31","-1350","18540010","1","1","-125"
"854","1750","122711","","","2","-125","18540011","","","10"
"854","1500","122811","","","2","-250","18540012","","","10"
"854","1250","122911","","","2","-125","18540013","","","10"
"854","1750","1","","","2","-125","18540014","","","10"
"854","1500","2","","","2","-250","18540015","","","10"
"854","1250","3","","","2","-125","18540016","","","10"
"854","1750","1","","","33","-125","18540017","","","10"
"854","1500","2","","","33","-250","18540018","","","10"
"854","1250","3","","","33","-125","18540019","","","10"
"855","se_fpc_water_random","se_10053800","","","23","","18550001","","",""
"855","113411","1","0","cmn_swm_flutterKick_floatRing","1","13","18550002","-125","1.75","-850"
"855","113511","1","0","cmn_swm_flutterKick_floatRing","1","33","18550003","-250","1.75","-1100"
"855","1","1","0","cmn_swm_flutterKick_floatBoad","5","12","18550004","-125","1.75","-850"
"855","2","1","0","cmn_swm_flutterKick_floatBoad_blue","5","32","18550005","-250","1.75","-1100"
"855","1","7","","","31","-850","18550006","1","1","-125"
"855","2","1","","","31","-1100","18550007","1","1","-250"
"855","1750","113411","","","2","-125","18550008","","","10"
"855","1500","113511","","","2","-250","18550009","","","10"
"855","1750","1","","","2","-125","18550010","","","10"
"855","1500","2","","","2","-250","18550011","","","10"
"855","1750","1","","","33","-125","18550012","","","10"
"855","1500","2","","","33","-250","18550013","","","10"
"856","se_fpc_water_random","se_10053800","","","23","","18560001","","",""
"856","110311","1","0","cmn_swm_tread","1","13","18560002","-125","1.75","-850"
"856","107711","1","0","cmn_swm_tread","1","33","18560003","-250","1.75","-1100"
"856","1","1","0","cmn_swm_tread_pink","5","12","18560004","-125","1.75","-850"
"856","2","1","0","cmn_swm_tread","5","32","18560005","-250","1.75","-1100"
"856","1","13","","","31","-850","18560006","1","1","-125"
"856","2","3","","","31","-1100","18560007","1","1","-250"
"856","1750","110311","","","2","-125","18560008","","","13.5"
"856","1500","107711","","","2","-250","18560009","","","13.5"
"856","1750","1","","","2","-125","18560010","","","13.5"
"856","1500","2","","","2","-250","18560011","","","13.5"
"856","1750","1","","","33","-125","18560012","","","13.5"
"856","1500","2","","","33","-250","18560013","","","13.5"
"857","se_fpc_water_random","se_10053800","","","23","","18570001","","",""
"857","110411","1","0","cmn_swm_tread","1","13","18570002","-125","1.75","-850"
"857","110511","1","0","cmn_swm_tread","1","33","18570003","-250","1.75","-1100"
"857","115711","1","0","cmn_swm_tread","1","13","18570004","-125","1.75","-1350"
"857","110611","1","0","cmn_boat_relax","1","33","18570005","-250","1.75","-1600"
"857","1","1","0","cmn_swm_tread_blue","5","12","18570006","-125","1.75","-850"
"857","2","1","0","cmn_swm_tread","5","32","18570007","-250","1.75","-1100"
"857","3","1","0","cmn_swm_tread_pink","5","12","18570008","-125","1.75","-1350"
"857","4","2","0","cmn_boat_idle_l","5","32","18570009","-250","1.75","-1600"
"857","1","13","","","31","-850","18570010","1","1","-125"
"857","2","3","","","31","-1100","18570011","1","1","-250"
"857","3","13","","","31","-1350","18570012","1","1","-125"
"857","4","116","","","31","-1600","18570013","1","1","-250"
"857","1750","110411","","","2","-125","18570014","","","13.5"
"857","1500","110511","","","2","-250","18570015","","","13.5"
"857","1250","115711","","","2","-125","18570016","","","13.5"
"857","1000","110611","","","2","-250","18570017","","","13.5"
"857","1750","1","","","2","-125","18570018","","","13.5"
"857","1500","2","","","2","-250","18570019","","","13.5"
"857","1250","3","","","2","-125","18570020","","","13.5"
"857","1000","4","","","2","-250","18570021","","","13.5"
"857","1750","1","","","33","-125","18570022","","","13.5"
"857","1500","2","","","33","-250","18570023","","","13.5"
"857","1250","3","","","33","-125","18570024","","","13.5"
"857","1000","4","","","33","-250","18570025","","","13.5"
"858","se_fpc_water_random","se_10053800","","","23","","18580001","","",""
"858","126711","1","0","cmn_swm_tread","1","13","18580002","-125","1.75","-850"
"858","126711","1","0","cmn_swm_tread","1","13","18580003","-125","1.75","-850"
"858","126811","1","0","cmn_swm_tread","1","33","18580004","-250","1.75","-1100"
"858","108011","1","0","cmn_swm_tread","1","13","18580005","-125","1.75","-1350"
"858","107911","1","0","cmn_boat_cat","1","33","18580006","-250","1.75","-1600"
"858","1","1","0","cmn_swm_tread_pink","5","12","18580007","-125","1.75","-850"
"858","2","1","0","cmn_swm_tread","5","32","18580008","-250","1.75","-1100"
"858","3","1","0","cmn_swm_tread_blue","5","12","18580009","-125","1.75","-1350"
"858","4","2","0","cmn_boat_idle_l","5","32","18580010","-250","1.75","-1600"
"858","1","13","","","31","-850","18580011","1","1","-125"
"858","2","3","","","31","-1100","18580012","1","1","-250"
"858","3","13","","","31","-1350","18580013","1","1","-125"
"858","4","116","","","31","-1600","18580014","1","1","-250"
"858","1750","126711","","","2","-125","18580015","","","13.5"
"858","1500","126811","","","2","-250","18580016","","","13.5"
"858","1250","108011","","","2","-125","18580017","","","13.5"
"858","1000","107911","","","2","-250","18580018","","","13.5"
"858","1750","1","","","2","-125","18580019","","","13.5"
"858","1500","2","","","2","-250","18580020","","","13.5"
"858","1250","3","","","2","-125","18580021","","","13.5"
"858","1000","4","","","2","-250","18580022","","","13.5"
"858","1750","1","","","33","-125","18580023","","","13.5"
"858","1500","2","","","33","-250","18580024","","","13.5"
"858","1250","3","","","33","-125","18580025","","","13.5"
"858","1000","4","","","33","-250","18580026","","","13.5"
"859","se_fpc_water_random","se_10053800","","","23","","18590001","","",""
"859","113111","1","0","cmn_surfing","1","45","18590002","-125","1.75","-850"
"859","113211","1","0","cmn_surfing","1","45","18590003","-250","1.75","-1100"
"859","113311","1","0","cmn_surfing","1","45","18590004","-125","1.75","-1350"
"859","117011","1","0","cmn_surfing","1","45","18590005","-250","1.75","-1600"
"859","1","6","0","cmn_surfing","5","44","18590006","-125","1.75","-850"
"859","2","6","0","cmn_surfing","5","44","18590007","-250","1.75","-1100"
"859","3","6","0","cmn_surfing","5","44","18590008","-125","1.75","-1350"
"859","4","6","0","cmn_surfing","5","44","18590009","-250","1.75","-1600"
"859","1","11","","","31","-850","18590010","1","1","-125"
"859","2","11","","","31","-1100","18590011","1","1","-250"
"859","3","11","","","31","-1350","18590012","1","1","-125"
"859","4","11","","","31","-1600","18590013","1","1","-250"
"859","2350","113111","","","2","-125","18590014","","","6"
"859","2100","113211","","","2","-250","18590015","","","6"
"859","1850","113311","","","2","-125","18590016","","","6"
"859","1600","117011","","","2","-250","18590017","","","6"
"859","2350","1","","","2","-125","18590018","","","6"
"859","2100","2","","","2","-250","18590019","","","6"
"859","1850","3","","","2","-125","18590020","","","6"
"859","1600","4","","","2","-250","18590021","","","6"
"859","2350","1","","","33","-125","18590022","","","6"
"859","2100","2","","","33","-250","18590023","","","6"
"859","1850","3","","","33","-125","18590024","","","6"
"859","1600","4","","","33","-250","18590025","","","6"
"859","se_10053800_surfing_wave","se_10053800","","","23","","18590026","","",""
"859","","0.3","","","93","","18590027","","",""
"859","vo_fpc_85901","vo_fpc","","","21","","18590028","","","0"
"860","se_fpc_water_random","se_10053800","","","23","","18600001","","",""
"860","110011","1","0","cmn_boat_relax_l","1","23","18600002","-180","1.75","-850"
"860","110111","1","0","cmn_boat_relax","1","23","18600003","-180","1.75","-1200"
"860","1","2","0","cmn_boat_idle_blue","5","22","18600004","-180","1.75","-850"
"860","2","2","0","cmn_boat_idle_l","5","22","18600005","-180","1.75","-1200"
"860","1","116","","","31","-850","18600006","1","1","-180"
"860","2","116","","","31","-1200","18600007","1","1","-180"
"860","1750","110011","","","2","-180","18600008","","","13.5"
"860","1400","110111","","","2","-180","18600009","","","13.5"
"860","1750","1","","","2","-180","18600010","","","13.5"
"860","1400","2","","","2","-180","18600011","","","13.5"
"860","1750","1","","","33","-180","18600012","","","13.5"
"860","1400","2","","","33","-180","18600013","","","13.5"
"860","","2.7","","","93","","18600014","","",""
"860","vo_fpc_86001","vo_fpc","","","21","","18600015","","","0"
"861","se_fpc_water_random","se_10053800","","","23","","18610001","","",""
"861","129511","1","0","cmn_swm_tread","1","13","18610002","-125","1.75","-850"
"861","129411","1","0","cmn_swm_tread","1","33","18610003","-250","1.75","-1100"
"861","129311","1","0","cmn_swm_tread","1","13","18610004","-125","1.75","-1350"
"861","1","1","0","cmn_swm_tread_pink","5","12","18610005","-125","1.75","-850"
"861","2","1","0","cmn_swm_tread_blue","5","32","18610006","-250","1.75","-1100"
"861","3","1","0","cmn_swm_tread","5","12","18610007","-125","1.75","-1350"
"861","1","13","","","31","-850","18610008","1","1","-125"
"861","2","3","","","31","-1100","18610009","1","1","-250"
"861","3","13","","","31","-1350","18610010","1","1","-125"
"861","1750","129511","","","2","-125","18610011","","","13.5"
"861","1500","129411","","","2","-250","18610012","","","13.5"
"861","1250","129311","","","2","-125","18610013","","","13.5"
"861","1750","1","","","2","-125","18610014","","","13.5"
"861","1500","2","","","2","-250","18610015","","","13.5"
"861","1250","3","","","2","-125","18610016","","","13.5"
"861","1750","1","","","33","-125","18610017","","","13.5"
"861","1500","2","","","33","-250","18610018","","","13.5"
"861","1250","3","","","33","-125","18610019","","","13.5"
"862","se_fpc_water_random","se_10053800","","","23","","18620001","","",""
"862","126711","1","0","cmn_swm_tread","1","13","18620002","-125","1.75","-850"
"862","126811","1","0","cmn_swm_tread","1","33","18620003","-250","1.75","-1100"
"862","21","21","0","02_neneka_floatRing","5","22","18620004","-180","1.66","-1350"
"862","1","1","0","cmn_swm_tread","5","12","18620005","-125","1.75","-850"
"862","2","1","0","cmn_swm_tread_blue","5","32","18620006","-250","1.75","-1100"
"862","1","13","","","31","-850","18620007","1","1","-125"
"862","2","3","","","31","-1100","18620008","1","1","-250"
"862","3","102","","","31","-1350","18620009","1","1","-180"
"862","1750","126711","","","2","-125","18620010","","","13.5"
"862","1500","126811","","","2","-250","18620011","","","13.5"
"862","1250","21","","","2","-180","18620012","","","13.5"
"862","1750","1","","","2","-125","18620013","","","13.5"
"862","1500","2","","","2","-250","18620014","","","13.5"
"862","1750","1","","","33","-125","18620015","","","13.5"
"862","1500","2","","","33","-250","18620016","","","13.5"
"862","1250","3","","","33","-180","18620017","","","13.5"
"863","se_fpc_water_random","se_10053800","","","23","","18630001","","",""
"863","126911","1","1","cmn_float","1","22","18630002","-180","1.75","-1100"
"863","127011","1","0","cmn_float","1","12","18630003","-125","1.75","-1350"
"863","127111","1","0","cmn_float","1","22","18630004","-180","1.75","-1600"
"863","2","6","","","31","-1070","18630005","1","1","-180"
"863","3","6","","","31","-1350","18630006","1","1","-125"
"863","4","6","","","31","-1600","18630007","1","1","-180"
"863","1500","126911","","","2","-180","18630008","","","13.5"
"863","1250","127011","","","2","-125","18630009","","","13.5"
"863","1000","127111","","","2","-180","18630010","","","13.5"
"863","1530","2","","","33","-180","18630011","","","13.5"
"863","1250","3","","","33","-125","18630012","","","13.5"
"863","1000","4","","","33","-180","18630013","","","13.5"
"863","","2.3","","","93","","18630014","","",""
"863","vo_fpc_86301","vo_fpc","","","21","","18630015","","","0"
"864","se_fpc_water_random","se_10053800","","","23","","18640001","","",""
"864","107811","1","0","cmn_surfing","1","45","18640002","-125","1.75","-850"
"864","110011","1","0","cmn_surfing","1","45","18640003","-250","1.75","-1100"
"864","1","6","0","cmn_surfing","5","44","18640004","-125","1.75","-850"
"864","2","6","0","cmn_surfing","5","44","18640005","-250","1.75","-1100"
"864","1","11","","","31","-850","18640006","1","1","-125"
"864","2","11","","","31","-1100","18640007","1","1","-250"
"864","2350","107811","","","2","-125","18640008","","","6"
"864","2100","110011","","","2","-250","18640009","","","6"
"864","2350","1","","","2","-125","18640010","","","6"
"864","2100","2","","","2","-250","18640011","","","6"
"864","2350","1","","","33","-125","18640012","","","6"
"864","2100","2","","","33","-250","18640013","","","6"
"864","se_10053800_surfing_wave","se_10053800","","","23","","18640014","","",""
"864","","0.2","","","93","","18640015","","",""
"864","vo_fpc_86401","vo_fpc","","","21","","18640016","","","0"
"865","se_fpc_water_random","se_10053800","","","23","","18650001","","",""
"865","110311","1","0","cmn_swm_flutterKick_floatRing","1","13","18650002","-125","1.75","-850"
"865","113111","1","0","cmn_swm_flutterKick_floatRing","1","33","18650003","-250","1.75","-1100"
"865","1","1","0","cmn_swm_flutterKick_floatRing_pink","5","12","18650004","-125","1.75","-850"
"865","2","1","0","cmn_swm_flutterKick_floatRing_blue","5","32","18650005","-250","1.75","-1100"
"865","1","7","","","31","-850","18650006","1","1","-125"
"865","2","1","","","31","-1100","18650007","1","1","-250"
"865","1750","110311","","","2","-125","18650008","","","10"
"865","1500","113111","","","2","-250","18650009","","","10"
"865","1750","1","","","2","-125","18650010","","","10"
"865","1500","2","","","2","-250","18650011","","","10"
"865","1750","1","","","33","-125","18650012","","","10"
"865","1500","2","","","33","-250","18650013","","","10"
"866","se_fpc_water_random","se_10053800","","","23","","18660001","","",""
"866","113411","1","0","cmn_swm_flutterKick_floatRing","1","13","18660002","-125","1.75","-850"
"866","115711","1","0","cmn_swm_flutterKick_floatRing","1","33","18660003","-250","1.75","-1100"
"866","1","1","0","cmn_swm_flutterKick_floatRing_pink","5","12","18660004","-125","1.75","-850"
"866","2","1","0","cmn_swm_flutterKick_floatRing_blue","5","32","18660005","-250","1.75","-1100"
"866","1","7","","","31","-850","18660006","1","1","-125"
"866","2","1","","","31","-1100","18660007","1","1","-250"
"866","1750","113411","","","2","-125","18660008","","","10"
"866","1500","115711","","","2","-250","18660009","","","10"
"866","1750","1","","","2","-125","18660010","","","10"
"866","1500","2","","","2","-250","18660011","","","10"
"866","1750","1","","","33","-125","18660012","","","10"
"866","1500","2","","","33","-250","18660013","","","10"
"867","se_fpc_water_random","se_10053800","","","23","","18670001","","",""
"867","113211","1","0","cmn_swm_tread","1","13","18670002","-125","1.75","-850"
"867","127111","1","0","cmn_swm_tread","1","33","18670003","-250","1.75","-1100"
"867","1","1","0","cmn_swm_tread_pink","5","12","18670004","-125","1.75","-850"
"867","2","1","0","cmn_swm_tread_blue","5","32","18670005","-250","1.75","-1100"
"867","1","13","","","31","-850","18670006","1","1","-125"
"867","2","3","","","31","-1100","18670007","1","1","-250"
"867","1750","113211","","","2","-125","18670008","","","13.5"
"867","1500","127111","","","2","-250","18670009","","","13.5"
"867","1750","1","","","2","-125","18670010","","","13.5"
"867","1500","2","","","2","-250","18670011","","","13.5"
"867","1750","1","","","33","-125","18670012","","","13.5"
"867","1500","2","","","33","-250","18670013","","","13.5"
"868","se_fpc_water_random","se_10053800","","","23","","18680001","","",""
"868","117011","1","0","cmn_swm_diving","1","12","18680002","-125","1.75","-850"
"868","117111","1","0","cmn_swm_diving","1","22","18680003","-180","1.75","-1100"
"868","1","9","","","31","-850","18680004","1","1","-125"
"868","2","9","","","31","-1100","18680005","1","1","-180"
"868","1750","117011","","","2","-125","18680006","","","13.5"
"868","1500","117111","","","2","-180","18680007","","","13.5"
"868","1750","1","","","33","-125","18680008","","","13.5"
"868","1500","2","","","33","-180","18680009","","","13.5"
"869","se_fpc_water_random","se_10053800","","","23","","18690001","","",""
"869","110511","1","0","cmn_swm_flutterKick_floatRing","1","13","18690002","-125","1.75","-850"
"869","110011","1","0","cmn_swm_flutterKick_floatRing","1","33","18690003","-250","1.75","-1100"
"869","1","1","0","cmn_swm_flutterKick_floatBoad","5","12","18690004","-125","1.75","-850"
"869","2","1","0","cmn_swm_flutterKick_floatBoad_blue","5","32","18690005","-250","1.75","-1100"
