573f2156eeeacafb3a673b6290ecb3fcb670ab3bb320217dca4573a4b4d3573b,fef2a83cf59940d4ee9fa4c24f09b873b24c3ea153c112705641f49bffd7218a,13f945b983c2245d212c404b64422492f3d8ae2cec275bf2e0980244fae15865,983515c377feca7a1e87b7c122bc320c1916ae09372d9f97f3b4da120ec3b72a,73c15349ca46f965500d79cb6637a24278116dde1a63291d3fd7157715362d1e,cca7fff9e605a68fcb2c01e93e82992938f3707e63516f2a45339ab67eb367f9
"113581","4","1","60000075","3","10011003"
"113611","4","1","60000076","3","10011003"
"113614","4","1","60000077","3","10011003"
"123041","4","1","60000078","2","10011003"
"123042","4","1","60000079","2","10011003"
"123072","4","1","60000080","2","10011003"
"123132","4","1","60000081","2","10011003"
"123161","4","1","60000082","2","10011003"
"123192","4","1","60000083","2","10011003"
"123193","4","1","60000084","2","10011003"
"123251","4","1","60000085","2","10011003"
"123281","4","1","60000086","3","10011003"
"123282","4","1","60000087","3","10011003"
"123311","4","1","60000088","3","10011003"
"123341","4","1","60000089","3","10011003"
"123343","4","1","60000090","3","10011003"
"123371","4","1","60000091","3","10011003"
"123432","4","1","60000092","3","10011003"
"123461","4","1","60000093","3","10011003"
"123491","4","1","60000094","3","10011003"
"123582","4","1","60000095","3","10011003"
"123583","4","1","60000096","3","10011003"
"123612","4","1","60000097","3","10011003"
"114011","4","1","60000098","2","10011004"
"114012","4","1","60000099","2","10011004"
"114041","4","1","60000100","2","10011004"
"114072","4","1","60000101","2","10011004"
"114102","4","1","60000102","2","10011004"
"114132","4","1","60000103","2","10011004"
"114162","4","1","60000104","2","10011004"
"114191","4","1","60000105","2","10011004"
"114221","4","1","60000106","2","10011004"
"114222","4","1","60000107","2","10011004"
"114252","4","1","60000108","2","10011004"
"114281","4","1","60000109","3","10011004"
"114282","4","1","60000110","3","10011004"
"114312","4","1","60000111","3","10011004"
"114341","4","1","60000112","3","10011004"
"114371","4","1","60000113","3","10011004"
"114372","4","1","60000114","3","10011004"
"114432","4","1","60000115","3","10011004"
"114461","4","1","60000116","3","10011004"
"114522","4","1","60000117","3","10011004"
"114551","4","1","60000118","3","10011004"
"114581","4","1","60000119","3","10011004"
"114611","4","1","60000120","2","10011004"
"124042","4","1","60000121","2","10011004"
"124071","4","1","60000122","2","10011004"
"124101","4","1","60000123","2","10011004"
"124131","4","1","60000124","2","10011004"
"124161","4","1","60000125","2","10011004"
"124192","4","1","60000126","2","10011004"
"124251","4","1","60000127","2","10011004"
"124311","4","1","60000128","3","10011004"
"124342","4","1","60000129","3","10011004"
"124401","4","1","60000130","3","10011004"
"124431","4","1","60000131","3","10011004"
"124491","4","1","60000132","3","10011004"
"124521","4","1","60000133","3","10011004"
"31012","2","1","60000134","100","10012098"
"31038","2","1","60000135","100","10012099"
"60001","2","1","62001045","100","62001045"
"60002","2","3","62001046","100","62001046"
