18d29028c71c57db79c32986f94c9ce3cca7f63d003f88fc8e8f8e379310a8f3,5a2a8cb5c25ecc1556d086ac12be72906a525c7afa494932afef67a98813fbdf,c409b4c1c4c10626ba4e9b464865439eaec8100c0bd032181e9aaa4ba31ab17d,3c02a0d1f4643abae3ca87c254ce28a4328985eff229df34d488a6ac8188d274,4616d2ad3783848d91a06ebee3fb13f1b05e089d9d84fe19eded3a2c45568968,6638203860babedcac53a72072dbdbba2ec78524c25cadcae21442d52e60ea92,e2934a86565f712afc401e2c52f07a632166aaa881e4c79fab89f899018784c8,738cc511a4eee14066561ab854e70566b9eea42d8ee001a3c8f539562da454eb,3cd1e50c6bb6bdb1c2a42ecf57b12de166d308a8e38b4fab4e99909ba5199883,a7869a4021610a7c451ba0ff8cbeade9f25dbc7caaed5980631c9fe968f848ac,b3249808ed13a3faa75a73e3044998ae4f193ae779b1ec7062c86c825670b44b,a14b3f30a84e90d09a3483243c2a09cf85bea363b8dee111be5782921eedc15c,9b0ae800e2e5e058d372a7d26a954b126ec96bd30b3d7b431a992b35be9bdbbd,42cea9e500cea45cfad3833fc185a2a69354e92affc9d192605c22c7ab39e66f,0dc6349e924b5f1b32bddeefe5bb7b55dc02156a6b7d233ab0e9536dff5ce504,9f2bab3a6084b39f4e080601e759d79219f8ecd9f52f51350e63b1dbd87d953e
"12","O","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","田所あずさ","11","0","人族","美冬","墨丘利財團","20","公事私事都效率至上的傭兵少女","傭兵等等的打工","163","11","104801","49"
"3","O","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","生天目仁美","24","0","人族","靜流","拉比林斯","18","姐姐會照顧你的呦！","所有家事","168","10","104901","54"
"14","A","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","久野美咲","3","0","魔族","美咲","月光學院","11","稍微有點差距的少女戀情","閱讀流行雜誌、蒐集化妝品","120","1","105001","22"
"13","A","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","三石琴乃","7","0","人族","深月","暮光流星群","27","興趣是實驗的危險科學家","研究、實驗","166","3","105101","53"
"11","A","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","徳井青空","14","0","獸人族","莉瑪","伊麗莎白牧場","18","少女心的毛茸茸生物","理毛、聊天","150","3","105201","100"
"15","A","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","辻あゆみ","28","0","人族","莫妮卡","純白之翼 蘭德索爾分部","18","外表與內心都是孩子的異國軍人","逛點心店","140","7","105301","33"
"4","AB","test","木戸衣吹","7","0","人族","紡希","慈樂之音","14","最愛時尚的可愛女孩","裁縫","153","9","105401","45"
"15","O","test","大関英里","7","0","精靈族","步未","純白之翼 蘭德索爾分部","16","何時都會一見鍾情，純情少女","觀察","155","4","105501","43"
"13","B","test","佐藤利奈","11","0","人族","流夏","暮光流星群","25","散發人情味的帥氣「大姐頭」","釣魚","167","7","105601","54"
"","O","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","金元寿子","10","0","人族","吉塔","？？？","17","夢想前往天空冒險的騎空士少女","冒險、聊天","156","3","105701","45"
"1","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","31","0","人族","貪吃佩可","美食殿堂","17","元氣滿點的空腹少女","邊走邊吃、料理","156","3","105801","46"
"1","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","11","0","精靈族","可可蘿","美食殿堂","11","仰慕主人，小小嚮導","冥想、養育動植物","140","5","105901","35"
"1","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","2","0","獸人族","凱留","美食殿堂","14","倒在路旁的謎之貓耳魔法師","和貓咪玩耍","152","9","106001","39"
"","O","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","潘めぐみ","11","0","人族","矛依未","？？？","16","徬徨的謎樣少女","冒險、回憶故事","148","8","106101","40"
"","O","","優木かな","17","0","精靈族","亞里莎","？？？","15","目標成為森林守護者的精靈族少女","蒐集漂亮的葉子","155","6","106301","42"
"1","B","","近藤玲奈","14","0","龍人族","雪菲","美食殿堂","14","失去記憶的龍人族少女","讀書、伸展運動","147","12","106401","???"
"17","B","","小市眞琴","25","0","龍人族","嘉夜","龍族巢穴","16","專門用拳頭來交朋友的打手龍少女","格鬥技","156","6","106501","???"
"17","AB","","藤田茜","29","0","龍人族","祈梨","龍族巢穴","13","嘴上功夫一流的廢材龍娘","遊戲","145","9","106601","???"
"17","O","","大西沙織","17","0","龍人族","帆稀","龍族巢穴","25","面帶詭譎的笑容看透一切的臥龍首領。","繪畫、讀書","168","4","106701","???"
"3","AB","","沢城みゆき","25","0","人族","拉比林斯達","拉比林斯","25","祕密結社拉比林斯的「迷宮女王」","觀察人類","160","7","106801","??"
"","AB","","蒼井翔太","1","0","獸人族","霸瞳皇帝","？？？","29","謎團重重的蘭德索爾之主","占卜、支配","166","7","106901","??"
"","O","","井口裕香","24","0","精靈族","似似花","？？？","24","隱居在研究所，相當文靜的大姊姊","模仿、藝術欣賞","149","3","107001","??"
"8","O","","たかはし智秋","7","0","人族","克莉絲提娜","王宮騎士團","27","自視甚高的王宮騎士團副團長","和強敵之間的競爭","165","2","107101","??"
"1","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","31","0","人族","貪吃佩可（夏日）","美食殿堂","17","元氣滿點的空腹少女","邊走邊吃、料理","156","3","107501","46"
"1","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","11","0","精靈族","可可蘿（夏日）","美食殿堂","11","仰慕主人，小小嚮導","冥想、養育動植物","140","5","107601","35"
"9","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","12","0","人族","鈴莓（夏日）","咲戀育幼院","15","為了大小姐而努力的冒失女僕","服侍","154","12","107701","43"
"1","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","2","0","獸人族","凱留（夏日）","美食殿堂","14","倒在路旁的謎之貓耳魔法師","和貓咪玩耍","152","9","107801","39"
"12","AB","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","沼倉愛美","1","0","獸人族","珠希（夏日）","墨丘利財團","18","鋤強扶弱的貓娘","與貓咪玩耍","158","3","107901","48"
"12","O","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","田所あずさ","11","0","人族","美冬（夏日）","墨丘利財團","20","公事私事都效率至上的傭兵少女","傭兵等等的打工","163","11","108001","49"
"7","AB","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","大坪由佳","22","0","魔族","忍（萬聖節）","惡魔偽王國軍","18","擅長占卜的靈能少女","占卜","157","12","108101","42"
"7","B","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","雨宮天","23","0","魔族","宮子（萬聖節）","惡魔偽王國軍","14","最愛布丁的幽靈少女","吃布丁","130","1","108201","32"
"14","A","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","久野美咲","3","0","魔族","美咲（萬聖節）","月光學院","11","稍微有點差距的少女戀情","閱讀流行雜誌、蒐集化妝品","120","1","108301","22"
"4","O","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","福原綾香","3","0","人族","千歌（聖誕節）","慈樂之音","17","守護人們而歌唱的唱喚士少女","各種樂器","163","6","108401","46"
"9","B","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","植田佳奈","9","0","人族","胡桃（聖誕節）","咲戀育幼院","12","愛哭又膽小，令人想去保護的女孩","看戲、扮家家酒","150","6","108501","40"
"9","B","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","芹澤優","10","0","人族","綾音（聖誕節）","咲戀育幼院","14","永遠跟噗吉在一起！","能在房間裡玩的遊戲","148","5","108601","38"
"2","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","東山奈央","27","0","獸人族","日和（新年）","破曉之星","16","最愛幫助別人！　正向思考的格鬥少女","助人、打氣加油","155","8","108701","44"
"2","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","種田梨沙","5","0","人族","優衣（新年）","破曉之星","17","擅長支援戰鬥，心地善良的少女","料理、觀察人類","158","4","108801","47"
"2","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","早見沙織","12","0","魔族","怜（新年）","破曉之星","18","冷酷又率直的劍士","讀書、騎馬、茶","163","1","108901","46"
"13","B","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","橋本ちなみ","30","0","魔族","惠理子（情人節）","暮光流星群","16","專情於命中注定對象的少女","實驗、裁縫、料理","154","7","109001","43"
"3","O","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","生天目仁美","24","0","人族","靜流（情人節）","拉比林斯","18","姐姐會照顧你的呦！","所有家事","168","10","109101","54"
"","AB","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","日笠陽子","1","0","人族","安","？？？","17","和英靈締結契約的馬納歷亞天才公主","讀書","156","12","109201","55"
"","O","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","こやまきみこ","4","0","人族","露","？？？","15","馬納歷亞魔法學院新生","吃飯，睡覺","144","2","109301","45"
"","B","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","福原綾香","3","0","半人半龍","古蕾婭","？？？","17","擁有超越人類力量的善良龍人公主","鋼琴","167","11","109401","67"
"15","AB","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","長妻樹里","19","0","人族","空花（大江戶）","純白之翼 蘭德索爾分部","18","最愛妄想！其實是個害羞少女","閱讀小說","157","11","109501","49"
"15","O","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","佐藤聡美","31","0","人族","妮諾（大江戶）","純白之翼 蘭德索爾分部","16","東國的神祕，請告訴我！","忍法開發","163","8","109601","51"
"","?","","水瀬いのり","2","0","鬼族","雷姆","？？？","17","有如鬼助的萬能妹妹女僕","戲劇欣賞、詩和散文","154","2","109701","??"
"","?","","村川梨衣","2","0","鬼族","拉姆","？？？","17","毒舌系魔鬼姐姐女僕","讀書","154","2","109801","??"
"","?","","高橋李依","23","0","半妖精族","愛蜜莉雅","？？？","114","穩重成熟的銀髮半妖精","幫帕克梳理毛髮、念書","164","9","109901","??"
"14","O","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","上坂すみれ","10","0","魔族","鈴奈（夏日）","月光學院","18","天真浪漫的人氣超級名模","時尚","167","4","110001","48"
"14","B","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","伊藤静","14","0","魔族","伊緒（夏日）","月光學院","23","魅惑眾多男性的純潔女老師","看戀愛小說、戀愛劇、戀愛漫畫","162","8","110101","52"
"14","A","","久野美咲","3","0","魔族","美咲（夏日）","月光學院","11","稍微有點差距的少女戀情","閱讀流行雜誌、蒐集化妝品","120","1","110201","22"
"9","A","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","堀江由衣","4","0","精靈族","咲戀（夏日）","咲戀育幼院","17","經營育幼院的庶民派溫柔大小姐","經營、茶會","156","10","110301","43"
"10","O","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","小松未可子","9","0","獸人族","真琴（夏日）","哞哞自衛隊","17","不輸男人的狂野義氣少女","做點心","168","8","110401","54"
"10","A","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","高森奈津美","7","0","獸人族","香織（夏日）","哞哞自衛隊","19","隨時都「船到橋頭自然直」的天真少女","跳舞、空手道","158","7","110501","53"
"10","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","内田真礼","22","0","獸人族","真步（夏日）","哞哞自衛隊","16","真步真步王國的公主","幻想、蒐集玩偶","155","9","110601","42"
"6","AB","","花澤香菜","6","0","精靈族","碧（插班生）","森林守衛","13","嚮往「朋友」的精靈之森女孩","交朋友的想像訓練","158","6","110701","44"
"16","O","","種﨑敦美","7","0","精靈族","克蘿依","聖德蕾莎女子學院（好朋友社）","17","生長在市區的陰暗系精靈族","飛鏢","154","8","110801","42"
"16","O","","佐倉綾音","15","0","人族","琪愛兒","聖德蕾莎女子學院（好朋友社）","16","天生自由奔放的失禮現代小孩","跳舞、卡拉OK","156","9","110901","46"
"16","O","","小原好美","28","0","人族","優妮","聖德蕾莎女子學院（好朋友社）","18","沉睡於書庫的小小賢人","讀書","142","2","111001","36"
"5","A","","小倉唯","2","0","精靈族","鏡華（萬聖節）","小小甜心","8","端莊正直的嬌小優等生","讀書","118","2","111101","21"
"5","O","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","諸星すみれ","10","0","人族","禊（萬聖節）","小小甜心","9","愛好冒險的搗蛋鬼","惡作劇、探險","128","8","111201","27"
"5","O","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","日高里菜","3","0","獸人族","美美（萬聖節）","小小甜心","10","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","蒐集可愛的東西","117","4","111301","21"
"","?","","小倉唯","?","0","人族","露娜","？？？","??","到處找人做朋友的死靈術師少女","找「朋友」之事","142","?","111401","28"
"8","O","","たかはし智秋","7","0","人族","克莉絲提娜（聖誕節）","王宮騎士團","27","自視甚高的王宮騎士團副團長","和強敵之間的競爭","165","2","111501","??"
"4","B","","日笠陽子","24","0","人族","望（聖誕節）","慈樂之音","17","能歌善舞的超人氣偶像","看舞台劇，跳舞","157","1","111601","40"
"7","A","","丹下桜","5","0","魔族","伊莉亞（聖誕節）","惡魔偽王國軍","??","曾經支配黑夜的最強吸血鬼","征服世界","172","5","111701","50"
"1","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","31","0","人族","貪吃佩可（新年）","美食殿堂","17","元氣滿點的空腹少女","邊走邊吃、料理","156","3","111801","46"
"1","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","11","0","精靈族","可可蘿（新年）","美食殿堂","11","仰慕主人，小小嚮導","冥想、養育動植物","140","5","111901","35"
"1","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","2","0","獸人族","凱留（新年）","美食殿堂","14","倒在路旁的謎之貓耳魔法師","和貓咪玩耍","152","9","112001","39"
"9","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","12","0","人族","鈴莓（新年）","咲戀育幼院","15","為了大小姐而努力的冒失女僕","服侍","154","12","112101","43"
"10","AB","","水瀬いのり","3","0","獸人族","霞（魔法少女）","哞哞自衛隊","15","頭腦聰明的美少女名偵探","讀書、推理","152","11","112201","41"
"11","A","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","小清水亜美","3","0","獸人族","栞（魔法少女）","伊麗莎白牧場","14","喜愛讀書的體弱少女","讀書、散步","153","11","112301","40"
"100","O","","大橋彩香","24","0","人族","卯月（NGs）","new generations","17","燦爛的笑容！　夢想成為偶像的女孩","與好友長談","159","4","112401","45"
"100","B","","福原綾香","10","0","人族","凜（NGs）","new generations","15","冷酷又美麗的「蒼藍劍士」","遛狗","165","8","112501","44"
"100","B","","原紗友里","1","0","人族","未央（NGs）","new generations","15","目標成為超級巨星的活力女孩☆☆★","購物","161","12","112601","46"
"11","B","","小岩井ことり","1","0","獸人族","鈴（遊俠）","伊麗莎白牧場","17","視玩樂與睡眠為第一的懶惰少女","紅豆麵包","144","1","112701","42"
"11","B","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","新田恵海","3","0","人族","真陽（遊俠）","伊麗莎白牧場","20","令大家歡笑的歡樂牧場主人","相聲","142","3","112801","35"
