b4bf131dc3b2514ee4836e01ed498150232538cb0a8edfe8ddb034e37df3210d,b6a9fd61f6ded47ebe68a7ca69ea7071f74417bc5583e224172f1f91b73ca423,f434670ecacb0a1dbe1025300ef5a1ea56e652b0220b016ef89ac508a2b5ba60,f07a8770f7b3a1dfa0e0cb2646e90d9ccc29be41c5f3acec019401aa9adc9d49,6eb5fd2720cb4da1aaa4f62cdda16afcdea3f33c286e1fc23bdf8c5eaf1bb6a0,870fb2928ec533cb88e00b94e0a0bf4df716023aa5dc24dab61ae462cd1f3dad
"0","2002902","2002901","20029","20029115","20029201"
"2002901","2002903","2002902","20029","0","0"
"2002902","0","2002903","20029","0","0"
"0","2003002","2003001","20030","20030115","20030201"
"2003001","2003003","2003002","20030","0","0"
"2003002","0","2003003","20030","0","0"
"0","2003102","2003101","20031","20031115","20031201"
"2003101","2003103","2003102","20031","0","0"
"2003102","0","2003103","20031","0","0"
"0","2003202","2003201","20032","20032115","20032201"
"2003201","2003203","2003202","20032","0","0"
"2003202","0","2003203","20032","0","0"
"0","2003302","2003301","20033","20033115","20033201"
"2003301","2003303","2003302","20033","0","0"
"2003302","0","2003303","20033","0","0"
"0","2003402","2003401","20034","20034115","20034201"
"2003401","2003403","2003402","20034","0","0"
"2003402","0","2003403","20034","0","0"
"0","2003502","2003501","20035","20035115","20035201"
"2003501","2003503","2003502","20035","0","0"
"2003502","0","2003503","20035","0","0"
"0","2003602","2003601","20036","20036115","20036201"
"2003601","2003603","2003602","20036","0","0"
"2003602","0","2003603","20036","0","0"
"0","2003702","2003701","20037","20037115","20037201"
"2003701","2003703","2003702","20037","0","0"
"2003702","0","2003703","20037","0","0"
"0","2003802","2003801","20038","20038115","20038201"
"2003801","2003803","2003802","20038","0","0"
"2003802","0","2003803","20038","0","0"
"0","2003902","2003901","20039","20039115","20039201"
"2003901","2003903","2003902","20039","0","0"
"2003902","0","2003903","20039","0","0"
"0","2004002","2004001","20040","20040115","20040201"
"2004001","2004003","2004002","20040","0","0"
"2004002","0","2004003","20040","0","0"
"0","2004102","2004101","20041","20041115","20041201"
"2004101","2004103","2004102","20041","0","0"
"2004102","0","2004103","20041","0","0"
"0","2004202","2004201","20042","20042115","20042201"
"2004201","2004203","2004202","20042","0","0"
"2004202","0","2004203","20042","0","0"
"0","2004302","2004301","20043","20043115","20043201"
"2004301","2004303","2004302","20043","0","0"
"2004302","0","2004303","20043","0","0"
"0","2004402","2004401","20044","20044115","20044201"
"2004401","2004403","2004402","20044","0","0"
"2004402","0","2004403","20044","0","0"
"0","2004502","2004501","20045","20045115","20045201"
"2004501","2004503","2004502","20045","0","0"
"2004502","0","2004503","20045","0","0"
"0","2004602","2004601","20046","20046115","20046201"
"2004601","2004603","2004602","20046","0","0"
"2004602","0","2004603","20046","0","0"
"0","2004702","2004701","20047","20047115","20047201"
"2004701","2004703","2004702","20047","0","0"
"2004702","0","2004703","20047","0","0"
"0","2004802","2004801","20048","20048115","20048201"
"2004801","2004803","2004802","20048","0","0"
"2004802","0","2004803","20048","0","0"
"0","2004902","2004901","20049","20049115","20049201"
"2004901","2004903","2004902","20049","0","0"
"2004902","2004904","2004903","20049","0","0"
"0","2005002","2005001","20050","20050115","20050201"
"2005001","2005003","2005002","20050","0","0"
"2005002","0","2005003","20050","0","0"
"0","2005102","2005101","20051","20051115","20051201"
"2005101","2005103","2005102","20051","0","0"
"2005102","0","2005103","20051","0","0"
"0","2005202","2005201","20052","20052115","20052201"
"2005201","2005203","2005202","20052","0","0"
"2005202","0","2005203","20052","0","0"
"0","2005302","2005301","20053","20053115","20053201"
"2005301","2005303","2005302","20053","0","0"
"2005302","0","2005303","20053","0","0"
"0","2005402","2005401","20054","20054115","20054201"
"2005401","2005403","2005402","20054","0","0"
"2005402","0","2005403","20054","0","0"
"0","2005502","2005501","20055","20055115","20055201"
"2005501","2005503","2005502","20055","0","0"
"2005502","0","2005503","20055","0","0"
"0","2005602","2005601","20056","20056115","20056201"
"2005601","2005603","2005602","20056","0","0"
"2005602","0","2005603","20056","0","0"
"0","2005702","2005701","20057","20057115","20057201"
"2005701","2005703","2005702","20057","0","0"
"2005702","0","2005703","20057","0","0"
"0","2005802","2005801","20058","20058115","20058201"
"2005801","2005803","2005802","20058","0","0"
"2005802","0","2005803","20058","0","0"
"0","2005902","2005901","20059","20059115","20059201"
"2005901","2005903","2005902","20059","0","0"
"2005902","0","2005903","20059","0","0"
"0","2006002","2006001","20060","20060115","20060201"
"2006001","2006003","2006002","20060","0","0"
"2006002","0","2006003","20060","0","0"
"0","2006102","2006101","20061","20061115","20061201"
"2006101","2006103","2006102","20061","0","0"
"2006102","0","2006103","20061","0","0"
