6f77fcd98cb7e0b4be55fb4fcd9352a5647609e7906bfdc79f0369237fcb9b5c,0a55f4b4cbdc98f646e85b238a6b1230f1da8f3bcd96cf0492b6d0db4dbed6ac,61a306ce8c3f0e2420b922d39493ff738ba63f1e53fee9a4d9b8ba78c098933a,21fd58f7d2a08c7673eaf3a1b75020eb864cdc34322fe79d0569481e906de837
"5","【減益者】魔法防禦力提升Lv5","10403","84305"
"1","【減益者】減益強化Lv1","10404","84401"
"2","【減益者】減益強化Lv2","10404","84402"
"3","【減益者】減益強化Lv3","10404","84403"
"4","【減益者】減益強化Lv4","10404","84404"
"5","【減益者】減益強化Lv5","10404","84405"
"1","【增幅者】ＨＰ提升Lv1","10501","85101"
"2","【增幅者】ＨＰ提升Lv2","10501","85102"
"3","【增幅者】ＨＰ提升Lv3","10501","85103"
"4","【增幅者】ＨＰ提升Lv4","10501","85104"
"5","【增幅者】ＨＰ提升Lv5","10501","85105"
"1","【增幅者】物理防禦力提升Lv1","10502","85201"
"2","【增幅者】物理防禦力提升Lv2","10502","85202"
"3","【增幅者】物理防禦力提升Lv3","10502","85203"
"4","【增幅者】物理防禦力提升Lv4","10502","85204"
"5","【增幅者】物理防禦力提升Lv5","10502","85205"
"1","【增幅者】魔法防禦力提升Lv1","10503","85301"
"2","【增幅者】魔法防禦力提升Lv2","10503","85302"
"3","【增幅者】魔法防禦力提升Lv3","10503","85303"
"4","【增幅者】魔法防禦力提升Lv4","10503","85304"
"5","【增幅者】魔法防禦力提升Lv5","10503","85305"
"1","【增幅者】ＴＰ蓄力Lv1","10504","85401"
"2","【增幅者】ＴＰ蓄力Lv2","10504","85402"
"3","【增幅者】ＴＰ蓄力Lv3","10504","85403"
"4","【增幅者】ＴＰ蓄力Lv4","10504","85404"
"5","【增幅者】ＴＰ蓄力Lv5","10504","85405"
"1","【治療者】ＨＰ提升Lv1","10601","86101"
"2","【治療者】ＨＰ提升Lv2","10601","86102"
"3","【治療者】ＨＰ提升Lv3","10601","86103"
"4","【治療者】ＨＰ提升Lv4","10601","86104"
"5","【治療者】ＨＰ提升Lv5","10601","86105"
"1","【治療者】物理防禦力提升Lv1","10602","86201"
"2","【治療者】物理防禦力提升Lv2","10602","86202"
"3","【治療者】物理防禦力提升Lv3","10602","86203"
"4","【治療者】物理防禦力提升Lv4","10602","86204"
"5","【治療者】物理防禦力提升Lv5","10602","86205"
"1","【治療者】魔法防禦力提升Lv1","10603","86301"
"2","【治療者】魔法防禦力提升Lv2","10603","86302"
"3","【治療者】魔法防禦力提升Lv3","10603","86303"
"4","【治療者】魔法防禦力提升Lv4","10603","86304"
"5","【治療者】魔法防禦力提升Lv5","10603","86305"
"1","【治療者】恢復強化Lv1","10604","86401"
"2","【治療者】恢復強化Lv2","10604","86402"
"3","【治療者】恢復強化Lv3","10604","86403"
"4","【治療者】恢復強化Lv4","10604","86404"
"5","【治療者】恢復強化Lv5","10604","86405"
"1","【掩護者】ＨＰ提升Lv1","10701","87101"
"2","【掩護者】ＨＰ提升Lv2","10701","87102"
"3","【掩護者】ＨＰ提升Lv3","10701","87103"
"4","【掩護者】ＨＰ提升Lv4","10701","87104"
"5","【掩護者】ＨＰ提升Lv5","10701","87105"
"1","【掩護者】物理防禦力提升Lv1","10702","87201"
"2","【掩護者】物理防禦力提升Lv2","10702","87202"
"3","【掩護者】物理防禦力提升Lv3","10702","87203"
"4","【掩護者】物理防禦力提升Lv4","10702","87204"
"5","【掩護者】物理防禦力提升Lv5","10702","87205"
"1","【掩護者】魔法防禦力提升Lv1","10703","87301"
"2","【掩護者】魔法防禦力提升Lv2","10703","87302"
"3","【掩護者】魔法防禦力提升Lv3","10703","87303"
"4","【掩護者】魔法防禦力提升Lv4","10703","87304"
"5","【掩護者】魔法防禦力提升Lv5","10703","87305"
"1","【掩護者】狀態異常抵抗Lv1","10704","87401"
"2","【掩護者】狀態異常抵抗Lv2","10704","87402"
"3","【掩護者】狀態異常抵抗Lv3","10704","87403"
"4","【掩護者】狀態異常抵抗Lv4","10704","87404"
"5","【掩護者】狀態異常抵抗Lv5","10704","87405"
"1","【妨礙者】ＨＰ提升Lv1","10801","88101"
"2","【妨礙者】ＨＰ提升Lv2","10801","88102"
"3","【妨礙者】ＨＰ提升Lv3","10801","88103"
"4","【妨礙者】ＨＰ提升Lv4","10801","88104"
"5","【妨礙者】ＨＰ提升Lv5","10801","88105"
"1","【妨礙者】攻擊力提升Lv1","10802","88201"
"2","【妨礙者】攻擊力提升Lv2","10802","88202"
"3","【妨礙者】攻擊力提升Lv3","10802","88203"
"4","【妨礙者】攻擊力提升Lv4","10802","88204"
"5","【妨礙者】攻擊力提升Lv5","10802","88205"
"1","【妨礙者】狀態異常命中Lv1","10803","88301"
"2","【妨礙者】狀態異常命中Lv2","10803","88302"
"3","【妨礙者】狀態異常命中Lv3","10803","88303"
"4","【妨礙者】狀態異常命中Lv4","10803","88304"
"5","【妨礙者】狀態異常命中Lv5","10803","88305"
"1","【妨礙者】狀態異常抵抗Lv1","10804","88401"
"2","【妨礙者】狀態異常抵抗Lv2","10804","88402"
"3","【妨礙者】狀態異常抵抗Lv3","10804","88403"
"4","【妨礙者】狀態異常抵抗Lv4","10804","88404"
"5","【妨礙者】狀態異常抵抗Lv5","10804","88405"
