814098fb25597c50b8e63df6a6233cc8bf6100fc8f06aee84390be15cf4b78fe,4c45b99e8134572016a2486050d5e92314d1cef1d3011c861ce88efe5249e78e,470f2c451a069c04726f504c506455ca07e8917082a861af1caef8c88d5ed461,f0ab2e3a2184be5f77dcc62ea3982db23dcc55292cb308ba33471775c0076fbd,6b268285e2466df38f6f295f478d34afb82c4eae863e3846a41a52e8a89f9980,830179f9fe07678c48b70413d5b0392e3c8a63453392fa6d9e02cb750a325550,a9f6ba0ad122e4b2b46b97bb51addad426c6afdfd2a4efdae9477494b069bec7,e3e9378058595ae3fb407d856cf4c20973985a4f463588a814bd38b3a0b12ece,66431e4ca139d309936fec97445996145c2df04fb8a387d44ba28ac8ca5abcfa
"30000","0","1","0","2","3","25","1234001","0"
"30000","0","1","0","2","3","20","1235001","0"
"30000","0","1","0","2","3","20","1236001","0"
"30000","0","1","0","2","3","20","1237001","0"
"3000","0","1","0","2","2","25","1238001","0"
"3000","0","1","0","2","1","35","1239001","0"
"3000","0","1","0","2","2","20","1240001","0"
"0","0","0","0","21","3000","1240003","1240002","0"
"30000","0","1","0","2","1","25","1240003","0"
"3000","0","1","0","2","2","-10","1241001","0"
"0","0","0","0","21","3000","1241003","1241002","0"
"30000","0","2","0","2","1","-25","1241003","0"
"30000","0","2","0","2","1","-20","1242001","0"
"30000","0","2","0","2","2","-20","1242002","0"
"1500","0","2","0","2","3","-75","1244001","0"
"30000","0","1","0","2","3","20","1246001","0"
"30000","0","1","0","2","3","30","1247001","0"
"0","0","0","0","21","3000","1247003","1247002","0"
"3000","0","1","0","2","1","25","1247003","0"
"3000","0","1","0","2","1","75","1248001","0"
"1500","0","2","0","2","3","-90","1249001","0"
"30000","0","1","0","2","2","10","2101001","0"
"30000","0","1","0","2","2","10","2102001","0"
"3000","0","2","0","2","2","-15","2103001","0"
"3000","0","2","0","2","3","-15","2103002","0"
"3000","0","2","0","2","3","-25","2105001","0"
"30000","0","1","0","2","3","25","2107001","0"
"30000","0","1","0","2","3","10","2108001","0"
"30000","0","1","0","2","3","10","2109001","0"
"30000","0","1","0","2","3","10","2110001","0"
"3000","0","1","0","2","2","15","2111001","0"
"3000","0","1","0","2","1","25","2112001","0"
"3000","0","1","0","2","2","10","2113001","0"
"0","0","0","0","21","3000","2113003","2113002","0"
"30000","0","1","0","2","1","25","2113003","0"
"3000","0","1","0","2","2","-10","2114001","0"
"0","0","1","0","21","3000","2114003","2114002","0"
"30000","0","2","0","2","1","-25","2114003","0"
"30000","0","2","0","2","1","-10","2116001","0"
"30000","0","2","0","2","2","-10","2116002","0"
"1500","0","2","0","2","3","-50","2117001","0"
"0","0","0","0","21","300","3301002","3301001","0"
"30","0","0","20","20","2","1","3301002","0"
"1","0","2","100","1","1","0","3301101","0"
"1","0","2","40","1","1","0","3302001","0"
"1","0","2","60","1","1","0","3302002","0"
"1","0","2","12","1","1","0","3303001","0"
"1","0","2","28","1","1","0","3303002","0"
"1","0","2","40","1","1","0","3304001","0"
"1","0","2","100","1","1","0","3304002","0"
"0","0","0","0","21","200","3305011","3305001","0"
"0","0","0","0","21","200","3305012","3305002","0"
"0","0","0","0","21","200","3305013","3305003","0"
"0","0","0","0","21","200","3305014","3305004","0"
"0","0","0","0","21","200","3305015","3305005","0"
"0","0","0","0","21","200","3305016","3305006","0"
"26","30","0","15","20","2","1","3305011","0"
"29","15","0","8","20","2","1","3305012","0"
"30","0","0","0","20","2","1","3305013","0"
"29","-15","0","-8","20","2","1","3305014","0"
"26","-30","0","-15","20","2","1","3305015","0"
"180","0","1","0","10","1","30000","3305016","0"
"1","0","2","20","1","1","0","3305101","0"
"274","0","0","29","20","2","1","3402001","0"
"0","0","3","0","11","2000","500000","3402101","0"
"0","0","0","0","21","200","3403002","3403001","0"
"0","0","1","0","10","1","200000","3403002","0"
"0","0","3","0","4","0","0","4001001","0"
"0","0","3","0","1","0","99999","4001002","0"
"9","9","3","9","1","9","99999","4002001","9"
