e557be6c94be568034359c0c24c4c132e9bf18e999c6cc9689605a9463039c70,58b2f0967c34af8aaad9d32a6fa12537434cc639e4cceed4e6910de68202bf03,a79281651f61aa6630261f0520ac5676f3da3d4a7d43af8d04a29045939ff252,fcdc28153551c9446421456f889b00131778de59662530dc2fa8fac1d318dd95,8ed1543fa7f4cc0a237078644536eb0bc962b64afa02854919f2743af574ad39
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001502","開始時提升攻擊力","43","boss_atk_up"
"可以編組的角色變成4個。","74001503","編組角色人數限制","44","limit_chara_num"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001503","開始時提升攻擊力","45","boss_atk_up"
"可以編組的角色變成4個。","74001504","編組角色人數限制","46","limit_chara_num"
"Boss怪物的必殺技會受到強化。","74001504","Boss UB強化","47","boss_ub_enhance"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001504","開始時提升攻擊力","48","boss_atk_up"
"可以編組的角色變成4個。","74001505","編組角色人數限制","49","limit_chara_num"
"隊伍角色的最大HP降低20%。","74001505","降低角色的最大HP","50","max_hp_down"
"Boss怪物的必殺技會受到強化。","74001505","Boss UB強化","51","boss_ub_enhance"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001505","開始時提升攻擊力","52","boss_atk_up"
"追加花凜的闇影。","74002102","追加1隻闇影","53","add_shadow"
"對宮子、優花梨、步未的闇影追加專用裝備。","74002103","強化闇影","54","star6_shadow"
"追加花凜的闇影。","74002103","追加1隻闇影","55","add_shadow"
"宮子、優花梨、步未的闇影變成★6。","74002104","強化闇影","56","star6_shadow"
"追加花凜的闇影。","74002104","追加1隻闇影","57","add_shadow"
"所有闇影的物理攻擊力大幅度提升。","74002105","提升闇影物理攻擊力","58","boss_atk_up"
"宮子、優花梨、步未的闇影變成★6。","74002105","強化闇影","59","star6_shadow"
"追加花凜的闇影。","74002105","追加1隻闇影","60","add_shadow"
"追加嘉夜（解放者）的闇影。","74002202","追加1隻闇影","61","add_shadow"
"對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","74002203","強化闇影","62","star6_shadow"
"追加嘉夜（解放者）的闇影。","74002203","追加1隻闇影","63","add_shadow"
"深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","74002204","強化闇影","64","star6_shadow"
"追加嘉夜（解放者）的闇影。","74002204","追加1隻闇影","65","add_shadow"
"所有闇影的魔法防禦力大幅度提升。","74002205","提升闇影魔法防禦力","66","boss_magic_def_up"
"對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","74002205","強化闇影","67","star6_shadow"
"追加嘉夜（解放者）的闇影。","74002205","追加1隻闇影","68","add_shadow"
"追加望的闇影。","74002302","追加1隻闇影","69","add_shadow"
"追加望與凱留（公主）的闇影。","74002303","追加2隻闇影","70","add_shadow"
"可以編組的角色變成4個。","74002304","編組角色人數限制","71","limit_chara_num"
"望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","74002304","強化闇影","72","star6_shadow"
"追加望與凱留（公主）的闇影。","74002304","追加2隻闇影","73","add_shadow"
"可以編組的角色變成4個。","74002305","編組角色人數限制","74","limit_chara_num"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","74002305","開始時提升物理防禦力","75","boss_def_up"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","74002305","開始時提升魔法防禦力","76","boss_magic_def_up"
"望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","74002305","強化闇影","77","star6_shadow"
"追加望與凱留（公主）的闇影。","74002305","追加2隻闇影","78","add_shadow"
"追加綾音的闇影。","74002402","追加1隻闇影","79","add_shadow"
"追加綾音與貪吃佩可（夏日）的闇影。","74002403","追加2隻闇影","80","add_shadow"
"可以編組的角色變成4個。","74002404","編組角色人數限制","81","limit_chara_num"
"綾音與貪吃佩可（夏日）的闇影變成★6。","74002404","強化闇影","82","star6_shadow"
"追加綾音與貪吃佩可（夏日）的闇影。","74002404","追加2隻闇影","83","add_shadow"
"可以編組的角色變成4個。","74002405","編組角色人數限制","84","limit_chara_num"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","74002405","開始時提升物理防禦力","85","boss_def_up"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","74002405","開始時提升魔法防禦力","86","boss_magic_def_up"
"綾音與貪吃佩可（夏日）的闇影變成★6。","74002405","強化闇影","87","star6_shadow"
"追加綾音與貪吃佩可（夏日）的闇影。","74002405","追加2隻闇影","88","add_shadow"
"戰鬥時間變成70秒。","74002502","戰鬥時間限制","89","limit_time"
"戰鬥時間變成60秒。","74002503","戰鬥時間限制","90","limit_time"
"戰鬥時間變成60秒。","74002504","戰鬥時間限制","91","limit_time"
"Boss怪物的必殺技會受到強化。","74002504","Boss UB強化","92","boss_ub_enhance"
"戰鬥時間變成45秒。","74002505","戰鬥時間限制","93","limit_time"
"Boss怪物的必殺技會受到強化。","74002505","Boss UB強化","94","boss_ub_enhance"
"對霞、初音、優衣（公主）的闇影追加專用裝備。","74003102","強化闇影","95","star6_shadow"
"追加雪的闇影。","74003103","追加1隻闇影","96","add_shadow"
"初音、雪的闇影變成★6。","74003103","強化闇影","97","star6_shadow"
"可以編組的角色變成4個。","74003104","編組角色人數限制","98","limit_chara_num"
"可以編組的角色變成4個。","74003105","編組角色人數限制","99","limit_chara_num"
"所有闇影的最大HP大幅度提升。","74003105","闇影提升最大HP","100","max_hp_up"
"追加詛咒‧遠古遺物。","74003202","追加1隻怪物","101","add_shadow"
"碧的闇影變成★6。","74003203","強化闇影","102","star6_shadow"
"戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","74003204","開始時魔法傷害降低","103","boss_magic_cut"
"強化詛咒‧遠古遺物的技能。","74003204","強化怪物","104","boss_ub_enhance"
"戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","74003205","開始時魔法傷害降低","105","boss_magic_cut"
"可以編組的角色變成4個。","74003205","編組角色人數限制","106","limit_chara_num"
"追加治癒‧遠古遺物。","74003302","追加1隻怪物","107","add_shadow"
"對凱留（新年）的闇影追加專用裝備。","74003303","強化闇影","108","star6_shadow"
"戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","74003304","開始時物理傷害降低","109","boss_physics_cut"
"強化治癒‧遠古遺物的技能。","74003304","強化怪物","110","boss_ub_enhance"
"戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","74003305","開始時物理傷害降低","111","boss_physics_cut"
"可以編組的角色變成4個。","74003305","編組角色人數限制","112","limit_chara_num"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003402","提升Boss物理防禦力（不可降低）","113","boss_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003402","提升Boss魔法防禦力（不可降低）","114","boss_magic_def_lower_limit"
"戰鬥時間變成70秒。","74003403","戰鬥時間限制","115","limit_time"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003403","提升Boss物理防禦力（不可降低）","116","boss_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003403","提升Boss魔法防禦力（不可降低）","117","boss_magic_def_lower_limit"
"戰鬥時間變成70秒。","74003404","戰鬥時間限制","118","limit_time"
"Boss怪物的必殺技會受到強化。","74003404","Boss UB強化","119","boss_ub_enhance"
"戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","74003404","減少降低Boss TP","120","boss_tp_down_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003404","提升Boss物理防禦力（不可降低）","121","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003404","提升Boss魔法防禦力（不可降低）","122","boss_magic_def_lower_limit"
"戰鬥時間變成50秒。","74003405","戰鬥時間限制","123","limit_time"
"Boss怪物的必殺技會受到強化。","74003405","Boss UB強化","124","boss_ub_enhance"
"戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","74003405","減少降低Boss TP","125","boss_tp_down_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003405","提升Boss物理防禦力（不可降低）","126","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003405","提升Boss魔法防禦力（不可降低）","127","boss_magic_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003502","提升Boss物理防禦力（不可降低）","128","boss_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003502","提升Boss魔法防禦力（不可降低）","129","boss_magic_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003503","提升Boss物理防禦力（不可降低）","130","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003503","提升Boss魔法防禦力（不可降低）","131","boss_magic_def_lower_limit"
"追加露娜聚光燈。","74003504","追加1隻怪物","132","add_shadow"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003504","提升Boss物理防禦力（不可降低）","133","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003504","提升Boss魔法防禦力（不可降低）","134","boss_magic_def_lower_limit"
"追加霸瞳皇帝的闇影。","74003505","追加1隻闇影","135","add_shadow"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003505","提升Boss物理防禦力（不可降低）","136","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003505","提升Boss魔法防禦力（不可降低）","137","boss_magic_def_lower_limit"
"對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","74004102","強化闇影","138","star6_shadow"
"追加咲戀（夏日）的闇影。","74004103","追加1隻闇影","139","add_shadow"
"咲戀、依里的闇影變成★6。","74004103","強化闇影","140","star6_shadow"
"可以編組的角色變成4個。","74004104","編組角色人數限制","141","limit_chara_num"
"可以編組的角色變成4個。","74004105","編組角色人數限制","142","limit_chara_num"
"所有闇影的最大HP大幅度提升。","74004105","闇影提升最大HP","143","max_hp_up"
"追加守護‧遠古遺物。","74004202","追加1隻怪物","144","add_shadow"
"對似似花（新年）的闇影追加專用裝備。","74004203","強化闇影","145","star6_shadow"
"強化守護‧遠古遺物的技能。","74004204","強化怪物","146","boss_ub_enhance"
"戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","74004204","開始時恢復HP","147","hp_recover"
"戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","74004205","開始時恢復HP","148","hp_recover"
"戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","74004205","開始時賦予持續恢復TP","149","energy_recover"
"追加戰鬥‧遠古遺物。","74004302","追加1隻怪物","150","add_shadow"
"莉瑪的闇影變成★6。","74004303","強化闇影","151","star6_shadow"
"強化戰鬥‧遠古遺物的技能。","74004304","強化怪物","152","boss_ub_enhance"
"戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","74004305","開始時展開提升行動速度領域","153","boss_haste"
"隊伍角色的最大HP降低20%。","74004402","降低角色的最大HP","154","max_hp_down"
"戰鬥時間變成75秒。","74004403","戰鬥時間限制","155","limit_time"
"隊伍角色的最大HP降低20%。","74004403","降低角色的最大HP","156","max_hp_down"
"戰鬥時間變成75秒。","74004404","戰鬥時間限制","157","limit_time"
"可以編組的角色變成4個。","74004404","編組角色人數限制","158","limit_chara_num"
"隊伍角色的最大HP降低20%。","74004404","降低角色的最大HP","159","max_hp_down"
"戰鬥時間變成60秒。","74004405","戰鬥時間限制","160","limit_time"
"可以編組的角色變成4個。","74004405","編組角色人數限制","161","limit_chara_num"
"隊伍角色的最大HP降低20%。","74004405","降低角色的最大HP","162","max_hp_down"
"隊伍角色的最大HP降低20%。","74004502","降低角色的最大HP","163","max_hp_down"
"Boss怪物的必殺技與技能會受到強化。","74004503","BossUB、技能強化","164","boss_ub_enhance"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74004503","減少降低Boss TP","165","boss_tp_down_cut"
"隊伍角色的最大HP降低20%。","74004503","降低角色的最大HP","166","max_hp_down"
"追加露娜聚光燈。","74004504","追加1隻怪物","167","add_shadow"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74004504","減少降低Boss TP","168","boss_tp_down_cut"
"隊伍角色的最大HP降低20%。","74004504","降低角色的最大HP","169","max_hp_down"
"追加綾音的闇影。","74004505","追加1隻闇影","170","add_shadow"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74004505","減少降低Boss TP","171","boss_tp_down_cut"
"隊伍角色的最大HP降低20%。","74004505","降低角色的最大HP","172","max_hp_down"
"對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","74005102","強化闇影","173","star6_shadow"
"莉瑪、嘉夜、祈梨的闇影變成★6。","74005103","強化闇影","174","star6_shadow"
"戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","74005103","物理傷害降低","175","boss_physics_cut"
"可以編組的角色變成4個。","74005104","編組角色人數限制","176","limit_chara_num"
"戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","74005104","物理傷害降低","177","boss_physics_cut"
"可以編組的角色變成4個。","74005105","編組角色人數限制","178","limit_chara_num"
"戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","74005105","物理傷害降低","179","boss_physics_cut"
"對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","74005202","強化闇影","180","star6_shadow"
"宮子、怜（新年）、優花梨、初音的闇影變成★6。","74005203","強化闇影","181","star6_shadow"
"戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","74005203","魔法傷害降低","182","boss_magic_cut"
"可以編組的角色變成4個。","74005204","編組角色人數限制","183","limit_chara_num"
"戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","74005204","魔法傷害降低","184","boss_magic_cut"
"可以編組的角色變成4個。","74005205","編組角色人數限制","185","limit_chara_num"
"戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","74005205","魔法傷害降低","186","boss_magic_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005301","傷害值衰減","187","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005301","賦予TP上升的上限","188","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005301","提升物理防禦力（不可降低）","189","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005301","提升魔法防禦力（不可降低）","190","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005301","降低HP吸收","191","9"
"追加軟泥怪、雷雲長老。","74005302","追加怪物","192","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005302","傷害值衰減","193","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005302","賦予TP上升的上限","194","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005302","提升物理防禦力（不可降低）","195","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005302","提升魔法防禦力（不可降低）","196","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005302","降低HP吸收","197","9"
"追加優花梨、帆稀（新年）。","74005303","追加怪物","198","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005303","傷害值衰減","199","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005303","賦予TP上升的上限","200","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005303","提升物理防禦力（不可降低）","201","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005303","提升魔法防禦力（不可降低）","202","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005303","降低HP吸收","203","9"
"追加露娜聚光燈。","74005304","追加怪物","204","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005304","傷害值衰減","205","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005304","賦予TP上升的上限","206","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005304","提升物理防禦力（不可降低）","207","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005304","提升魔法防禦力（不可降低）","208","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005304","降低HP吸收","209","9"
"戰鬥時間變成60秒。","74005305","戰鬥時間限制","210","limit_time"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005305","傷害值衰減","211","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005305","賦予TP上升的上限","212","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005305","提升物理防禦力（不可降低）","213","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005305","提升魔法防禦力（不可降低）","214","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005305","降低HP吸收","215","9"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005401","傷害值衰減","216","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005401","賦予TP上升的上限","217","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005401","提升物理防禦力（不可降低）","218","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005401","提升魔法防禦力（不可降低）","219","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005401","降低HP吸收","220","9"
"追加岩龜暴君、鬼燈螢。","74005402","追加怪物","221","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005402","傷害值衰減","222","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005402","賦予TP上升的上限","223","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005402","提升物理防禦力（不可降低）","224","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005402","提升魔法防禦力（不可降低）","225","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005402","降低HP吸收","226","9"
"追加靜流（黑暗）、可可蘿（夏日）。","74005403","追加怪物","227","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005403","傷害值衰減","228","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005403","賦予TP上升的上限","229","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005403","提升物理防禦力（不可降低）","230","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005403","提升魔法防禦力（不可降低）","231","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005403","降低HP吸收","232","9"
"追加露娜聚光燈。","74005404","追加怪物","233","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005404","傷害值衰減","234","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005404","賦予TP上升的上限","235","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005404","提升物理防禦力（不可降低）","236","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005404","提升魔法防禦力（不可降低）","237","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005404","降低HP吸收","238","9"
"戰鬥時間變成60秒。","74005405","戰鬥時間限制","239","limit_time"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005405","傷害值衰減","240","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005405","賦予TP上升的上限","241","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005405","提升物理防禦力（不可降低）","242","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005405","提升魔法防禦力（不可降低）","243","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005405","降低HP吸收","244","9"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005501","傷害值衰減","245","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005501","賦予TP上升的上限","246","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005501","提升物理防禦力（不可降低）","247","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005501","提升魔法防禦力（不可降低）","248","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005501","降低HP吸收","249","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005501","減少降低TP","250","boss_tp_down_cut"
"追加魔像、烏帕魯帕。","74005502","追加怪物","251","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005502","傷害值衰減","252","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005502","賦予TP上升的上限","253","17"
