bada1efdf28be9f293e49fd721aac1b5048d75a390a4364d2914e22697a4f740,ff2b5378c2ff5d481af416b63b9c7b7ed2135d28ff25778e0abd73e817a74ed7,0bd47d484f8a105bb9d95404a9a9f909a11cc157775a937e9eee94daed2909d9,3267cc1c4cbe1493a407aba16d53b39eefedd34249cb201124cbcd7ac387f36c,eee57589fb127a4094eae5fb418f5cf4fe588b5fee929e3c744311753c3db0f2,7fbd7a47919b24b7c3425b8c5d21ce61cd1544d27b92ab959ff6a1c1bc152c45,e1a02e29611fad882cb9627040084919c192d2bd93ea921e6fd2a798228d00eb,6f1df0ed3df0c1c9cccbd6cc6e26fbedd35de97140408e575a3e1983763294cc,b922dcbbb992a5dbb63920b85b35cf978f7dc82292257cbc2b8e5abfd062c53e,4e8e2aac8349ca5b9c266a64cb6d42249ebab93ce3f788075fa134a8673ce569,6aa0e0fcdb044fda9ae830b56ff9e12bc682808e93f01bf7cab149b14e8acb93
"","","1020029","0","","","","91","2","",""
"","1","1020030","112511","omp_idle_sad","0","","3","2","",""
"","1","1020031","112411","omp_talk_bitter","0","","3","2","",""
"","0","1020032","vo_omp_7002","vo_omp_7002_005","","0","21","2","",""
"","10","1020033","112411","……很、很不得了呢！","","1","11","2","1",""
"","","1020034","0","","","","91","2","",""
"","1","1020035","112411","omp_idle_bitter","0","","3","2","",""
"","1","1020036","112611","omp_talk_joy1","0","","3","2","",""
"","0","1020037","vo_omp_7002","vo_omp_7002_006","","0","21","2","",""
"","10","1020038","112611","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","","1","11","2","1",""
"","","1020039","0","","","","91","2","",""
"","1","1020040","112611","omp_idle_joy1","0","","3","2","",""
"","1","1020041","112511","omp_talk_bitter","0","","3","2","",""
"","0","1020042","vo_omp_7002","vo_omp_7002_007","","0","21","2","",""
"","10","1020043","112511","冒險真是深奧呢……","","1","11","2","1",""
"","","1020044","0","","","","91","2","",""
"","","1020045","0.4","","","","93","2","",""
"omp_talk_joy1","1500","1030001","1","112411","1.8","-140","1","3","-190","0"
"omp_idle_normal","1500","1030002","1","112611","1.8","140","1","3","-190","1"
"","0","1030003","1","1","1","0","31","3","1",""
"","","1030004","1","","","","93","3","",""
"","0","1030005","vo_omp_7003","vo_omp_7003_000","","0","21","3","",""
"","10","1030006","112411","未央！\n這附近有各式各樣的魔物，\n好有趣呢！","","1","11","3","1",""
"","","1030007","0","","","","91","3","",""
"","1","1030008","112411","omp_psn_20","0","","3","3","",""
"","1","1030009","112611","omp_psn_19","0","","3","3","",""
"","0","1030010","vo_omp_7003","vo_omp_7003_001","","0","21","3","",""
"","10","1030011","112611","有、有趣嗎～？","","1","11","3","1",""
"","","1030012","0","","","","91","3","",""
"","1","1030013","112611","omp_psn_18","0","","3","3","",""
"","1","1030014","112411","omp_talk_joy1","0","","3","3","",""
"","0","1030015","vo_omp_7003","vo_omp_7003_002","","0","21","3","",""
"","10","1030016","112411","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！","","1","11","3","1",""
"","","1030017","0","","","","91","3","",""
"","1","1030018","112411","omp_psn_20","0","","3","3","",""
"","1","1030019","112611","omp_talk_joy1","0","","3","3","",""
"","0","1030020","vo_omp_7003","vo_omp_7003_003","","0","21","3","",""
"","10","1030021","112611","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？","","1","11","3","1",""
"","","1030022","1.5","1","","","93","3","",""
"","1","1030023","112611","omp_psn_19","0.2","","3","3","",""
"","","1030024","1030021","","","","91","3","",""
"","1","1030025","112611","omp_psn_18","0","","3","3","",""
"","1","1030026","112411","omp_talk_joy1","0","","3","3","",""
"","0","1030027","vo_omp_7003","vo_omp_7003_004","","0","21","3","",""
"","10","1030028","112411","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？","","1","11","3","1",""
"","","1030029","0","","","","91","3","",""
"","1","1030030","112411","omp_psn_20","0","","3","3","",""
"","1","1030031","112611","omp_psn_19","0","","3","3","",""
"","0","1030032","vo_omp_7003","vo_omp_7003_005","","0","21","3","",""
"","10","1030033","112611","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……","","1","11","3","1",""
"","","1030034","0","","","","91","3","",""
"","1","1030035","112611","omp_psn_18","0","","3","3","",""
"","1","1030036","112411","omp_talk_joy2","0","","3","3","",""
"","0","1030037","vo_omp_7003","vo_omp_7003_006","","0","21","3","",""
"","10","1030038","112411","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪","","1","11","3","1",""
"","","1030039","0","","","","91","3","",""
"","1","1030040","112411","omp_psn_20","0","","3","3","",""
"","1","1030041","112611","omp_talk_sad","0","","3","3","",""
"","0","1030042","vo_omp_7003","vo_omp_7003_007","","0","21","3","",""
"","10","1030043","112611","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！","","1","11","3","1",""
"","","1030044","6","1","","","93","3","",""
"","1","1030045","112611","omp_talk_joy2","0.2","","3","3","",""
"","","1030046","1030043","","","","91","3","",""
"","1","1030047","112611","omp_idle_joy2","0","","3","3","",""
"","1","1030048","112411","omp_talk_joy2","0","","3","3","",""
"","0","1030049","vo_omp_7003","vo_omp_7003_008","","0","21","3","",""
"","10","1030050","112411","好的！\n一起加油吧！","","1","11","3","1",""
"","","1030051","0","","","","91","3","",""
"","","1030052","0.4","","","","93","3","",""
"omp_talk_normal","1600","1040001","1","105831","1.8","-180","1","4","-195","0"
"omp_idle_normal","1500","1040002","1","105931","1.8","20","1","4","-190","1"
"omp_idle_normal","1600","1040003","1","106031","1.8","220","1","4","-205","1"
"","0","1040004","1","1","1","0","31","4","1",""
"","","1040005","1","","","","93","4","",""
"","0","1040006","vo_omp_7004","vo_omp_7004_000","","0","21","4","",""
"","10","1040007","105831","機會難得，\n我們要不要也來\n當當看偶像啊？","","1","11","4","1",""
"","","1040008","0","","","","91","4","",""
"","1","1040009","105831","omp_idle_normal","0","","3","4","",""
"","1","1040010","105931","omp_talk_normal","0","","3","4","",""
"","0","1040011","vo_omp_7004","vo_omp_7004_001","","0","21","4","",""
"","10","1040012","105931","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。","","1","11","4","1",""
"","","1040013","0","","","","91","4","",""
"","","1040014","105931","0","","","4","4","",""
"","1","1040015","105931","omp_idle_normal","0","","3","4","",""
"","0","1040016","106031","omp_surprise","0","omp_idle_surprise1","3","4","1",""
"","0","1040017","vo_omp_7004","vo_omp_7004_002","","0","21","4","",""
"","10","1040018","106031","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？","","1","11","4","1",""
"","","1040019","2","1","","","93","4","",""
"","1","1040020","106031","omp_talk_tsun","0.1","","3","4","",""
"","","1040021","1040018","","","","91","4","",""
"","1","1040022","106031","omp_talk_tsun","0","","3","4","",""
"","0","1040023","vo_omp_7004","vo_omp_7004_003","","0","21","4","",""
"","10","1040024","106031","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？","","1","11","4","1",""
"","","1040025","0","","","","91","4","",""
"","1","1040026","106031","omp_idle_tsun","0","","3","4","",""
"","1","1040027","105931","omp_talk_worry","0","","3","4","",""
"","0","1040028","vo_omp_7004","vo_omp_7004_004","","0","21","4","",""
"","10","1040029","105931","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。","","1","11","4","1",""
"","","1040030","0","","","","91","4","",""
"","","1040031","105931","1","","","4","4","",""
"","1","1040032","105931","omp_idle_worry","0","","3","4","",""
"","1","1040033","105831","omp_talk_joy1","0","","3","4","",""
"","0","1040034","vo_omp_7004","vo_omp_7004_005","","0","21","4","",""
"","10","1040035","105831","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！","","1","11","4","1",""
"","","1040036","5.5","1","","","93","4","",""
"","0","1040037","105831","omp_psn_11","0.2","","3","4","",""
"","","1040038","1040035","","","","91","4","",""
"","1","1040039","105931","omp_talk_normal","0","","3","4","",""
"","0","1040040","vo_omp_7004","vo_omp_7004_006","","0","21","4","",""
"","10","1040041","105931","好的♪\n如此這般，耶……！","","1","11","4","1",""
"","","1040042","1.5","1","","","93","4","",""
"","0","1040043","105931","omp_psn_11","0.2","","3","4","1",""
"","","1040044","1040041","","","","91","4","",""
"","","1040045","105931","0","","","4","4","",""
"","1","1040046","105931","omp_idle_normal","0","","3","4","",""
"","1","1040047","105831","omp_idle_joy1","0.2","","3","4","",""
"","1","1040048","106031","omp_idle_tsun","0","","3","4","",""
"","0","1040049","vo_omp_7004","vo_omp_7004_007","","0","21","4","",""
"","10","1040050","106031","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪","","1","11","4","1",""
"","","1040051","7","1","","","93","4","",""
"","0","1040052","106031","omp_psn_12","0.1","","3","4","",""
"","","1040053","1.5","","","","93","4","",""
"","","1040054","1040050","","","","91","4","",""
"","1","1040055","106031","omp_idle_normal","0.2","","3","4","",""
"","1","1040056","105831","omp_idle_surprise1","0","","3","4","",""
"","0","1040057","vo_omp_7004","vo_omp_7004_008","","0","21","4","",""
"","10","1040058","105831","小、小凱留……","","1","11","4","1",""
"","","1040059","0","","","","91","4","",""
"","1","1040060","105831","omp_idle_surprise1","0","","3","4","",""
"","1","1040061","105931","omp_talk_sad","0","","3","4","",""
"","0","1040062","vo_omp_7004","vo_omp_7004_009","","0","21","4","",""
"","10","1040063","105931","您做得非常專業呢。","","1","11","4","1",""
"","","1040064","0","","","","91","4","",""
"","1","1040065","105931","omp_idle_sad","0","","3","4","",""
"","0","1040066","106031","omp_surprise","0","omp_talk_surprise2","3","4","1","0.1"
"","0","1040067","vo_omp_7004","vo_omp_7004_010","","0","21","4","",""
"","10","1040068","106031","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！","","1","11","4","1",""
"","","1040069","6.5","1","","","93","4","",""
"","1","1040070","106031","omp_talk_tsun","0.2","","3","4","",""
"","","1040071","1040068","","","","91","4","",""
"","","1040072","0.4","","","","93","4","",""
"omp_talk_joy1","1500","1050001","1","112611","1.8","-140","1","5","-190","0"
"omp_idle_normal","1500","1050002","1","112511","1.8","140","1","5","-190","1"
"","0","1050003","1","1","1","0","31","5","1",""
"","","1050004","1","","","","93","5","",""
"","0","1050005","vo_omp_7005","vo_omp_7005_000","","0","21","5","",""
"","10","1050006","112611","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！","","1","11","5","1",""
"","","1050007","0","","","","91","5","",""
"","1","1050008","112611","omp_idle_joy1","0","","3","5","",""
"","1","1050009","112511","omp_talk_normal","0","","3","5","",""
"","0","1050010","vo_omp_7005","vo_omp_7005_001","","0","21","5","",""
"","10","1050011","112511","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。","","1","11","5","1",""
"","","1050012","0","","","","91","5","",""
"","1","1050013","112511","omp_idle_normal","0","","3","5","",""
"","1","1050014","112611","omp_talk_joy1","0","","3","5","",""
"","0","1050015","vo_omp_7005","vo_omp_7005_002","","0","21","5","",""
"","10","1050016","112611","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……","","1","11","5","1",""
"","","1050017","6.2","1","","","93","5","",""
"","1","1050018","112611","omp_talk_thinking","0.2","","3","5","",""
"","","1050019","1050016","","","","91","5","",""
"","1","1050020","112611","omp_idle_thinking","0","","3","5","",""
"","1","1050021","112511","omp_talk_normal2","0","","3","5","",""
"","0","1050022","vo_omp_7005","vo_omp_7005_003","","0","21","5","",""
"","10","1050023","112511","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！","","1","11","5","1",""
"","","1050024","0","","","","91","5","",""
"","1","1050025","112511","omp_idle_calm","0","","3","5","",""
"","1","1050026","112611","omp_talk_sad","0.1","","3","5","",""
"","0","1050027","vo_omp_7005","vo_omp_7005_004","","0","21","5","",""
"","10","1050028","112611","澀…澀…","","1","11","5","1",""
"","","1050029","0","","","","91","5","",""
"","1","1050030","112611","omp_idle_sad","0","","3","5","",""
"","1","1050031","112511","omp_psn_19","0","","3","5","",""
"","0","1050032","vo_omp_7005","vo_omp_7005_005","","0","21","5","",""
"","10","1050033","112511","澀…？","","1","11","5","1",""
"","","1050034","0","","","","91","5","",""
"","1","1050035","112511","omp_psn_18","0","","3","5","",""
"","1","1050036","112611","omp_talk_sad","0","","3","5","",""
"","0","1050037","vo_omp_7005","vo_omp_7005_006","","0","21","5","",""
"","10","1050038","112611","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？","","1","11","5","1",""
"","","1050039","4.5","1","","","93","5","",""
"","1","1050040","112611","omp_talk_surprise2","0.2","","3","5","",""
"","","1050041","1050038","","","","91","5","",""
"","1","1050042","112611","omp_idle_surprise2","0","","3","5","",""
"","1","1050043","112511","omp_talk_normal","0","","3","5","",""
"","0","1050044","vo_omp_7005","vo_omp_7005_007","","0","21","5","",""
"","10","1050045","112511","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……","","1","11","5","1",""
"","","1050046","3.5","1","","","93","5","",""
"","1","1050047","112511","omp_talk_anger","0.2","","3","5","",""
"","","1050048","1050045","","","","91","5","",""
"","1","1050049","112511","omp_idle_anger","0","","3","5","",""
"","1","1050050","112611","omp_talk_joy1","0","","3","5","",""
"","0","1050051","vo_omp_7005","vo_omp_7005_008","","0","21","5","",""
"","10","1050052","112611","欸嘿嘿，抱歉抱歉☆","","1","11","5","1",""
"","","1050053","0","","","","91","5","",""
"","1","1050054","112611","omp_idle_joy1","0","","3","5","",""
"","1","1050055","112511","omp_talk_sad","0","","3","5","",""
"","0","1050056","vo_omp_7005","vo_omp_7005_009","","0","21","5","",""
"","10","1050057","112511","真是的。\n……不過，我剛才說的\n都是真心話哦。","","1","11","5","1",""
"","","1050058","2","1","","","93","5","",""
"","1","1050059","112511","omp_talk_normal","0.2","","3","5","",""
"","","1050060","1050057","","","","91","5","",""
"","1","1050061","112511","omp_idle_normal","0","","3","5","",""
"","1","1050062","112611","omp_talk_joy2","0","","3","5","",""
"","0","1050063","vo_omp_7005","vo_omp_7005_010","","0","21","5","",""
"","10","1050064","112611","嗯！\n謝謝妳，澀凜凜！！","","1","11","5","1",""
"","","1050065","0","","","","91","5","",""
"","","1050066","0.4","","","","93","5","",""
"omp_talk_normal","1600","1060001","1","112511","1.8","-180","1","6","-195","0"
"omp_idle_normal","1500","1060002","1","112411","1.8","20","1","6","-190","1"
"omp_idle_normal","1600","1060003","1","112611","1.8","220","1","6","-205","1"
"","0","1060004","1","1","1","0","31","6","1",""
"","","1060005","1","","","","93","6","",""
"","0","1060006","vo_omp_7006","vo_omp_7006_000","","0","21","6","",""
"","10","1060007","112511","卯月……\n今天的練習，\n妳很有幹勁呢。","","1","11","6","1",""
"","","1060008","0","","","","91","6","",""
"","1","1060009","112511","omp_idle_normal","0","","3","6","",""
"","1","1060010","112611","omp_talk_joy1","0","","3","6","",""
"","0","1060011","vo_omp_7006","vo_omp_7006_001","","0","21","6","",""
"","10","1060012","112611","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？","","1","11","6","1",""
"","","1060013","0","","","","91","6","",""
"","","1060014","112411","0","","","4","6","",""
"","1","1060015","112611","omp_idle_joy1","0","","3","6","",""
"","1","1060016","112411","omp_talk_joy1","0","","3","6","",""
"","0","1060017","vo_omp_7006","vo_omp_7006_002","","0","21","6","",""
"","10","1060018","112411","欸嘿嘿，謝謝妳們！\n嗯……","","1","11","6","1",""
"","","1060019","0","","","","91","6","",""
"","1","1060020","112411","omp_talk_normal","0","","3","6","",""
"","0","1060021","vo_omp_7006","vo_omp_7006_003","","0","21","6","",""
"","10","1060022","112411","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。","","1","11","6","1",""
"","","1060023","0","","","","91","6","",""
"","1","1060024","112411","omp_talk_thinking","0","","3","6","",""
"","0","1060025","vo_omp_7006","vo_omp_7006_004","","0","21","6","",""
"","10","1060026","112411","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。","","1","11","6","1",""
"","","1060027","0","","","","91","6","",""
"","1","1060028","112411","omp_talk_normal2","0","","3","6","",""
"","0","1060029","vo_omp_7006","vo_omp_7006_005","","0","21","6","",""
"","10","1060030","112411","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……","","1","11","6","1",""
"","","1060031","0","","","","91","6","",""
"","1","1060032","112411","omp_idle_calm","0","","3","6","",""
"","1","1060033","112611","omp_talk_sad","0","","3","6","",""
"","0","1060034","vo_omp_7006","vo_omp_7006_006","","0","21","6","",""
"","10","1060035","112611","島村村……！","","1","11","6","1",""
"","","1060036","0","","","","91","6","",""
"","","1060037","112411","1","","","4","6","",""
"","1","1060038","112611","omp_idle_sad","0","","3","6","",""
"","1","1060039","112511","omp_talk_thinking","0","","3","6","",""
"","0","1060040","vo_omp_7006","vo_omp_7006_007","","0","21","6","",""
"","10","1060041","112511","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？","","1","11","6","1",""
"","","1060042","0","","","","91","6","",""
"","","1060043","112411","0","","","4","6","",""
"","1","1060044","112511","omp_idle_thinking","0","","3","6","",""
"","1","1060045","112611","omp_talk_joy1","0","","3","6","",""
"","0","1060046","vo_omp_7006","vo_omp_7006_008","","0","21","6","",""
"","10","1060047","112611","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！","","1","11","6","1",""
"","","1060048","0","","","","91","6","",""
"","","1060049","112411","1","","","4","6","",""
"","1","1060050","112611","omp_idle_joy1","0","","3","6","",""
"","1","1060051","112411","omp_talk_joy2","0","","3","6","",""
"","0","1060052","vo_omp_7006","vo_omp_7006_009","","0","21","6","",""
"","10","1060053","112411","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！","","1","11","6","1",""
"","","1060054","1.2","1","","","93","6","",""
"","","1060055","112411","0","","","4","6","",""
"","","1060056","1060053","","","","91","6","",""
"","-195","1060057","112511","-180","","0","2","6","1",""
"","-190","1060058","112411","0","","0","2","6","1",""
"","-195","1060059","112611","180","","0","2","6","1",""
"","0","1060060","112511","omp_psn_dicision_rin","0.1","","3","6","",""
"","0","1060061","112411","omp_psn_dicision_uduki","0.1","","3","6","",""
"","0","1060062","112611","omp_psn_dicision_mio","0.1","","3","6","",""
"","0","1060063","2","2","1","0","31","6","1",""
"","","1060064","1060062","","","","91","6","",""
"","","1060065","0.6","","","","93","6","",""
"omp_idle_normal","1600","1070001","1","105831","1.8","-100","1","7","-205","0"
"omp_idle_normal","1600","1070002","1","105931","1.8","-390","1","7","-225","0"
"omp_idle_normal","1500","1070003","1","106031","1.8","-260","1","7","-190","0"
"omp_idle_normal","1500","1070004","1","112511","1.8","250","1","7","-185","1"
"omp_idle_normal","1600","1070005","1","112411","1.8","385","1","7","-220","1"
"omp_idle_normal","1600","1070006","1","112611","1.8","100","1","7","-195","1"
"","0","1070007","1","1","1","0","31","7","1",""
"","","1070008","0.2","","","","93","7","",""
"","1","1070009","112611","omp_idle_normal","0.1","","3","7","",""
"","1","1070010","112411","omp_talk_normal","0","","3","7","",""
"","1","1070011","112511","omp_idle_normal","0.1","","3","7","",""
"","1","1070012","105831","omp_idle_normal","0.1","","3","7","",""
"","","1070013","0.1","","","","93","7","",""
"","","1070014","1","","","","93","7","",""
"","0","1070015","vo_omp_7007","vo_omp_7007_000","","0","21","7","",""
"","10","1070016","112411","現在想想……一開始的\n快閃演唱會實在是很緊張呢。","","1","11","7","1",""
"","","1070017","0","","","","91","7","",""
"","1","1070018","112411","omp_idle_normal","0.1","","3","7","",""
"","1","1070019","105831","omp_talk_normal","0.1","","3","7","",""
"","0","1070020","vo_omp_7007","vo_omp_7007_001","","0","21","7","",""
"","10","1070021","105831","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～","","1","11","7","1",""
"","","1070022","0","","","","91","7","",""
"","1","1070023","105831","omp_idle_normal","0","","3","7","",""
"","1","1070024","105931","omp_talk_worry","0","","3","7","",""
"","0","1070025","vo_omp_7007","vo_omp_7007_002","","0","21","7","",""
"","10","1070026","105931","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……","","1","11","7","1",""
"","","1070027","0","","","","91","7","",""
"","1","1070028","105931","omp_idle_worry","0","","3","7","",""
"","1","1070029","106031","omp_talk_normal","0","","3","7","",""
"","0","1070030","vo_omp_7007","vo_omp_7007_003","","0","21","7","",""
"","10","1070031","106031","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！","","1","11","7","1",""
"","","1070032","0","","","","91","7","",""
"","1","1070033","106031","omp_idle_normal","0","","3","7","",""
"","1","1070034","112611","omp_talk_worry","0","","3","7","",""
"","0","1070035","vo_omp_7007","vo_omp_7007_004","","0","21","7","",""
"","10","1070036","112611","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～","","1","11","7","1",""
"","","1070037","0","","","","91","7","",""
"","1","1070038","112611","omp_idle_worry","0","","3","7","",""
"","1","1070039","105931","omp_talk_normal2","0","","3","7","",""
"","0","1070040","vo_omp_7007","vo_omp_7007_005","","0","21","7","",""
"","10","1070041","105931","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。","","1","11","7","1",""
"","","1070042","0","","","","91","7","",""
"","1","1070043","105931","omp_idle_calm","0","","3","7","",""
"","1","1070044","112511","omp_talk_normal2","0","","3","7","",""
"","0","1070045","vo_omp_7007","vo_omp_7007_006","","0","21","7","",""
"","10","1070046","112511","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。","","1","11","7","1",""
"","","1070047","0","","","","91","7","",""
"","1","1070048","112511","omp_idle_calm","0","","3","7","",""
