57f3ee1932ac12b103f9956a9e76b0892a577f45409e3bc28466030d7e94b7b6,00465eb272504e8ffda03316f377106e03b0bd55d298962a1a9c132804ecb934,d5d6154eb483c8c5e5c5c7673c85fdb85cd9d32fd5e6f879f190900ac3e90452,1b6c07e9172742e06a3340db988d0dd4371ccd7fdca13793aca5f082cd1dad58,d66bc03c4de688e056619fd570f7ca14b9dda422e21100d3f84299ce46e36a5b,c4b7f6e2baa3261bb11d7d277581aa42e3122351728ddfae3a9c506d6aedcb41,72a0b5100b73e18349cfb1f26bcd561d05d159cbbe8040a91ede57a13261fa2e,3ca452f85629827d6cb190c0f8df42d71e7455beb66f24f149e405cd345740a4,6608bb2bf3d8a7efa6eed90098c603da8bdafc1560561f44d06128a19e365da2,a17a70e1700638ff5fbe4ac8f00754b9bf9a0c47d1e84716b67ccc5a26103a48,cac484bdbffa857ae8b5ba8e8e64290917519137e51468713514b6f8c6bb1cd0,103d20a3eacea53bd71fc4af7b99f4742312c734faf17cd9d6184968f1e8c1c8,7081fd560a4e984a3e86c210f3a7efff459030903313141701807780b6b29a3b,c46a95a67934cb9fc3c8ca4414b322fbc59189bc995189df3d41404508ab406e,98f2ec4a03d168f283e177f7f329efd3a047d44043fcfe2633733c081b63fdfe
"攻略冒險的話，\n聽說就能得到道具\n能拿的東西，\n我們就要拿到！","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","14004","14","1","0","2099/12/17 14:59:59"
"主人，做好行前準備\n一起完成充實的冒險吧。","-470","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","15001","15","1","0","2099/12/17 14:59:59"
"欸……要不要加入戰隊？\n一個人是很開心，但跟大家\n一起很熱鬧，我覺得很棒","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","16001","16","1","0","2099/12/17 14:59:59"
"要加入戰隊看看嗎？\n和大家一起冒險\n非常開心哦！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","16002","16","1","0","2099/12/17 14:59:59"
"似乎可以加入戰隊哦\n機會難得，加入看看吧？\n好像挺好玩的哦♪","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","16003","16","1","0","2099/12/17 14:59:59"
"在這裡可以加入戰隊，\n有很多厲害的戰隊，\n真令人目不暇給。","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","16004","16","1","0","2099/12/17 14:59:59"
" 在這邊可以回顧\n與同伴一同參加戰隊競賽時\n大顯身手的樣子。","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","17002","17","1","0","2099/12/17 14:59:59"
"模擬戰的戰績裡如果有你\n喜歡的內容在裡面的話，\n可以存檔喔","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","17004","25","1","0","2030/12/17 14:59:59"
"主人，您這次在戰隊競賽的\n活躍表現已存檔\n請用來作為未來戰鬥時的參考吧","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","17005","25","1","0","2030/12/17 14:59:59"
"這次的戰隊競賽\n戰況如何？\n看戰績，或許能活用到\n下次的戰鬥上","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","17006","25","1","0","2030/12/17 14:59:59"
"可以複習一下這次戰隊競賽\n的戰績喔！\n也讓我看看吧☆","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","17007","25","1","0","2030/12/17 14:59:59"
"歡迎！\n在這裡提供主頁或\n公會小屋播放音樂的\n變更與購買服務喔。","-363","0","1","0","0","花凜","190801","1","2019/03/06 16:00:00","18001","18","1","0","2030/12/17 14:59:59"
"BGM的變更與購買\n都可以在這裡進行喔\n我們為您準備了，\n很多動人的樂曲喔！","-363","0","2","0","0","花凜","190801","1","2019/03/06 16:00:00","18002","18","1","0","2030/12/17 14:59:59"
"主頁或公會小屋的BGM\n都可以更改喔\n您喜歡的樂曲，\n也請讓我聽聽看吧。","-470","0","3","0","0","花凜","190801","1","2019/03/06 16:00:00","19001","19","1","0","2030/12/17 14:59:59"
"在這裡，\n可以將BGM更改喔\n您要更改為什麼樂曲呢？\n呵呵呵，我也很期待呢♪","-470","0","4","0","0","花凜","190801","1","2019/03/06 16:00:00","19002","19","1","0","2030/12/17 14:59:59"
"在這裡，\n可以讓您購買BGM喔，\n也可以讓您試聽，\n請仔細挑選吧。","-470","0","5","0","0","花凜","190801","1","2019/03/06 16:00:00","20001","20","1","0","2030/12/17 14:59:59"
"歡迎光臨！\n請到這裡購買BGM\n有很多優秀的樂曲，\n讓人挑得目不暇給呢。","-470","0","6","0","0","花凜","190801","1","2019/03/06 16:00:00","20002","20","1","0","2030/12/17 14:59:59"
"在這裡好像可以用取得的道具\n來製作專用裝備呢\n如果收集到了道具\n就立刻來試做吧！","-363","0","1","0","0","凱留","106001","1","2019/03/06 16:00:00","21001","21","1","0","2030/12/17 14:59:59"
"攻略時有可能\n獲得稀有的道具喔\n有了這類道具\n好像可以用來製作專用裝備。","-363","0","1","0","0","可可蘿","105901","1","2019/03/06 16:00:00","21002","21","1","0","2030/12/17 14:59:59"
"想要專用裝備的話\n就挑戰這個冒險吧\n靠著收集到的素材\n變得更強更強吧","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","21003","21","1","0","2030/12/17 14:59:59"
"好像可以獲得\n製作專用裝備的必要道具\n多多收集、\n越裝就會越強大！","-363","0","1","0","0","貪吃佩可","105801","1","2019/03/06 16:00:00","21004","21","1","0","2030/12/17 14:59:59"
"投票請到這邊。\n請為你支持的女孩\n投下你心意滿滿的\n一票吧！","-430","0","1","0","0","花凜","190801","1","2019/07/24 16:00:00","22001","22","1","0","2030/12/17 14:59:59"
"歡迎！\n你喜愛的女孩\n是哪一位呢？\n請幫她加油吧！","-430","0","2","0","0","花凜","190801","1","2019/07/24 16:00:00","22002","22","1","0","2030/12/17 14:59:59"
"謝謝你們\n踴躍的投票。\n請大家耐心等候，\n敬請期待結果發表喔！","-430","0","3","0","0","花凜","190801","1","2019/07/24 16:00:00","23001","23","1","0","2030/12/17 14:59:59"
"目前正在統計\n人氣投票結果。\n在結果統計完畢之前\n請再稍候一下喔。","-430","0","4","0","0","花凜","190801","1","2019/07/24 16:00:00","23002","23","1","0","2030/12/17 14:59:59"
"有大人您幫忙製作的\n巧克力蛋糕。\n一定會很美味的。","-385","10011","1","8","0","惠理子（情人節）","109001","1","2019/07/01 16:00:00","24001","24","2","4.08","2030/12/17 14:59:59"
"這種失誤絕對不是\n大人您會犯的。\n再挑戰一次看看吧。","-385","10011","2","8","0","惠理子（情人節）","109001","1","2019/07/01 16:00:00","24002","24","2","5","2030/12/17 14:59:59"
"原本要為了大人您而製作的蛋糕，\n結果卻讓您來幫忙……。\n事情竟然變成這樣……嘻嘻嘻嘻。","-385","10011","3","8","0","惠理子（情人節）","109001","1","2019/07/01 16:00:00","24003","24","2","10.11","2030/12/17 14:59:59"
"您不需要太過煩惱。\n今後我會花費許多時間\n來教導您的。","-385","10011","4","8","0","惠理子（情人節）","109001","1","2019/07/01 16:00:00","24004","24","2","4","2030/12/17 14:59:59"
"您這次的狀態不太好……嗎？\n如果是大人您幫忙做的話，\n不論是什麼我都……嘻嘻嘻嘻。","-385","10011","5","8","0","惠理子（情人節）","109001","1","2019/07/01 16:00:00","24005","24","2","6","2030/12/17 14:59:59"
"大人您親自製作的巧克力蛋糕\n對我來說是寶物……\n膽敢取笑你的人是不會有活路的。","0","10011","6","0","0","惠理子（情人節）","109002","1","2019/07/01 16:00:00","24006","24","1","0","2030/12/17 14:59:59"
"這賣相做得實在太完美了！\n做出了非常符合\n大人您氣質的巧克力蛋糕。","0","10011","7","0","0","惠理子（情人節）","109002","1","2019/07/01 16:00:00","24007","24","1","0","2030/12/17 14:59:59"
"幫忙了我的大人您\n已然是我的俘虜了……\n讓我來邀請您蒞臨這甜蜜的世界。","0","10011","8","0","0","惠理子（情人節）","109002","1","2019/07/01 16:00:00","24008","24","1","0","2030/12/17 14:59:59"
"您的愛情我確實地收下了。\n這是……我們第一次的\n共同作業呢……嘻嘻嘻嘻。","0","10011","9","0","0","惠理子（情人節）","109002","1","2019/07/01 16:00:00","24009","24","1","0","2030/12/17 14:59:59"
"這是世界第一的巧克力蛋糕。\n因為這是大人您\n拿出看家本領製作的嘛。","0","10011","10","0","0","惠理子（情人節）","109002","1","2019/07/01 16:00:00","24010","24","1","0","2030/12/17 14:59:59"
"做得不太好覺得很可惜嗎？\n不過，弟弟的心意讓我很開心呢。\n姐姐會一直陪在你身邊的♪","-385","10011","1","8","0","靜流（情人節）","109101","1","2019/07/01 16:00:00","24011","24","2","2.12","2030/12/17 14:59:59"
"嗯，弟弟難得的\n緊張了吧？\n要再挑戰一次看看嗎？","-385","10011","2","8","0","靜流（情人節）","109101","5","2019/07/01 16:00:00","24012","24","2","4.19","2030/12/17 14:59:59"
"你幫了姐姐的忙，\n做得很棒喔！\n啊，還不可以偷吃啦！","-385","10011","3","8","0","靜流（情人節）","109101","2","2019/07/01 16:00:00","24013","24","4","2.3","2030/12/17 14:59:59"
"你看你看！\n海綿蛋糕的顏色烤得很美喔。\n不愧是弟弟呢！","0","10011","4","0","0","靜流（情人節）","109102","1","2019/07/01 16:00:00","24014","24","1","0","2030/12/17 14:59:59"
"好啦好啦，不要沮喪了。\n外觀上……是蠻有個性的，\n不過味道絕對會好吃的！","-385","10011","5","8","0","靜流（情人節）","109101","5","2019/07/01 16:00:00","24015","24","2","5.23","2030/12/17 14:59:59"
"像弟弟一樣可愛\n的蛋糕出爐囉！\n很想快點吃看看吧♪","0","10011","6","0","0","靜流（情人節）","109102","1","2019/07/01 16:00:00","24016","24","1","0","2030/12/17 14:59:59"
"哎呀呀？弟弟，你的手指上\n沾到巧克力囉？\n姐姐來幫你舔乾淨唷，啊呣！","-385","10011","7","8","0","靜流（情人節）","109101","1","2019/07/01 16:00:00","24017","24","2","5.01","2030/12/17 14:59:59"
"做得還挺不錯的嘛？\n不過弟弟還能做得更好！\n姐姐很相信你唷。","0","10011","8","0","0","靜流（情人節）","109102","1","2019/07/01 16:00:00","24018","24","1","0","2030/12/17 14:59:59"
"哇～做得好像非常的美味呢！\n因為弟弟做的很熟練了，\n姐姐能放心交給你製作了呢！","0","10011","9","0","0","靜流（情人節）","109102","1","2019/07/01 16:00:00","24019","24","1","0","2030/12/17 14:59:59"
"呀～是弟弟幫忙做的\n巧克力蛋糕！\n做的看起來非常美味呢♪","0","10011","10","0","0","靜流（情人節）","109102","1","2019/07/01 16:00:00","24020","24","1","0","2030/12/17 14:59:59"
"往前面走好像是個神聖的地方\n那裡究竟沉睡著怎麼樣的寶藏，\n真期待接下來的探索♪","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","26001","26","1","0","2030/12/17 14:59:59"
"往前面走\n好像是個神聖的地方。\n究竟能獲得怎樣的寶藏， \n真令人期待呢！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","26002","26","1","0","2030/12/17 14:59:59"
"前面好像是個神聖的地方。\n雖然能獲得稀有的寶物，\n不過要是不小心一點，\n可能會受到慘痛的教訓喔。","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","26003","26","1","0","2030/12/17 14:59:59"
"往前面走\n是個神聖的地方。\n繃緊神經\n調查寶藏進行探索吧！","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","26004","26","1","0","2030/12/17 14:59:59"
"在這裡好像沉睡著道具，\n能夠讓人得到更強大的力量……\n大家是這麼說的。呵呵，\n那就來挑戰看看吧","-363","0","1","0","2104010","雪菲","106401","2","2015/12/17 15:00:00","27001","27","1","0","2030/12/17 14:59:59"
"在這裡好像沉睡著道具，\n能夠讓人得到\n更強大的力量！　要從哪裡開始挑戰，\n真令人苦惱呢！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","27002","27","1","0","2030/12/17 14:59:59"
"在這裡好像沉睡著道具，\n能夠讓人得到更強大的力量！\n不斷地去挑戰，\n一起變強大吧！","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","27003","27","1","0","2030/12/17 14:59:59"
"在這裡好像沉睡著道具，\n似乎能夠讓人得到\n更強大的力量。主人，您要從哪裡\n開始挑戰呢？","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","27004","27","1","0","2030/12/17 14:59:59"
"歡迎！\n公會管理協會\n會幫助大家\n讓大家有美好的邂逅！","-363","0","1","0","0","花凜","190801","1","2019/12/12 16:00:00","28001","28","1","0","2030/12/17 14:59:59"
"這裡是公會管理協會。\n關於朋友，\n請從這裡確認。","-363","0","2","0","0","花凜","190801","1","2019/12/12 16:00:00","28002","28","1","0","2030/12/17 14:59:59"
"這裡是\n您的朋友。\n請和他們\n建立美好的關係吧！","-409","0","3","0","0","花凜","190801","1","2019/12/12 16:00:00","29001","29","1","0","2030/12/17 14:59:59"
"這裡的一覽表\n可以確認\n朋友的個人頁面喔。","-409","0","4","0","0","花凜","190801","1","2019/12/12 16:00:00","29002","29","1","0","2030/12/17 14:59:59"
"朋友管理\n請至這裡查看。\n敬請期待\n和新朋友的邂逅吧！","-409","0","5","0","0","花凜","190801","1","2019/12/12 16:00:00","30001","30","1","0","2030/12/17 14:59:59"
"可以進行朋友申請\n和接受朋友申請囉。\n希望您能獲得不錯的交流！","-409","0","6","0","0","花凜","190801","1","2019/12/12 16:00:00","30002","30","1","0","2030/12/17 14:59:59"
"進行好友對戰，\n來比一比戰力吧\n，可以測試一下實力呢，\n請多加油！","-409","0","7","0","0","花凜","190801","1","2020/02/18 16:00:00","31001","31","1","0","2030/12/17 14:59:59"
"和你所關注的好友隊伍\n對戰看看吧！\n究竟誰會獲得勝利，\n我也很期待呢。","-409","0","8","0","0","花凜","190801","1","2020/02/18 16:00:00","31002","31","1","0","2030/12/17 14:59:59"
"我們特別為各位\n新手朋友準備了\n特別的任務！\n請務必挑戰看看！","-409","0","1","0","0","花凜","190801","1","2020/04/22 05:00:00","32001","32","1","0","2020/05/15 04:59:59"
"正在舉辦\n期間限定活動！\n一起來\n挑戰任務吧！","-409","0","2","0","0","花凜","190801","1","2020/04/22 05:00:00","32002","32","1","0","2020/05/15 04:59:59"
"成為好友，\n一起支援新手吧！\n有很厲害的獎勵等著你哦！","-409","0","3","0","0","花凜","190801","1","2020/04/22 05:00:00","33001","33","1","0","2020/05/15 04:59:59"
"正在舉辦\n期間限定活動！\n一起來\n挑戰任務吧！","-409","0","4","0","0","花凜","190801","1","2020/04/22 05:00:00","33002","33","1","0","2020/05/15 04:59:59"
"辛苦了！\n可以從這裡\n領取任務獎勵哦！","-409","0","5","0","0","花凜","190801","1","2020/04/22 05:00:00","34001","34","1","0","2020/05/21 04:59:59"
"從這裡領取\n任務獎勵！\n領取獎勵時，\n請注意不要遺漏了！","-409","0","6","0","0","花凜","190801","1","2020/04/22 05:00:00","34002","34","1","0","2020/05/21 04:59:59"
"享受過去的\n劇情活動吧！\n如果有尚未遊玩過的活動，\n就一起玩玩看吧♪","-458","0","1","0","0","貪吃佩可","105801","1","2020/06/18 16:00:00","38001","38","2","5.3","2030/12/17 14:59:59"
"好像還能獲得\n能讓至今活動中登場的\n限定角色成為夥伴的\n記憶碎片哦。太讚了吧☆","-458","0","2","0","0","貪吃佩可","105801","1","2020/06/18 16:00:00","38002","38","2","6.5","2030/12/17 14:59:59"
"","9999","0","0","9999","0","貪吃佩可","105801","3","2023/04/01","39005","39","3","0","2023/04/08 23:59:59"
"可以回顧到目前為止\n出現過的問題。\n複習很重要喔♪","-430","0","2","0","0","花凜","190801","1","2015/12/17 15:00:00","40001","40","1","0","2030/12/17 14:59:59"
"聽說可以在這裡\n試試身手哦。\n正好可以用來\n測試自己的實力呢。","-363","0","1","0","2104010","雪菲","106401","1","2015/12/17 15:00:00","41001","41","1","0","2030/12/17 14:59:59"
"在這裡試試身手吧！\n火力全開，\n好好加油喔～！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","41002","41","1","0","2030/12/17 14:59:59"
"可以在這裡\n試試身手的樣子呢。\n試一下也無妨吧。","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","41003","41","1","0","2030/12/17 14:59:59"
"好像可以試試身手。\n在這裡反覆練習，\n在實戰中靈活運用吧。","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","41004","41","1","0","2030/12/17 14:59:59"
"據說根據訓練的成果，\n可以獲得對應的獎勵。\n我們一起努力吧。","-416.5","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","42001","42","1","0","2030/12/17 14:59:59"
"只要達成目標，\n就能獲得獎勵的樣子。\n值得努力挑戰看看呢。","-416.5","0","1","0","2104010","雪菲","106401","1","2015/12/17 15:00:00","42002","42","1","0","2030/12/17 14:59:59"
"努力通過測試的話，\n可以獲得獎勵喔！\n快來挑戰看看吧☆","-416.5","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","42003","42","1","0","2030/12/17 14:59:59"
"聽說完成任務的話，\n會有獎勵的樣子喔。\n我們一起試試看吧！","-416.5","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","42004","42","1","0","2030/12/17 14:59:59"
"接下來可以\n挑戰競技場喔！\n仔細編組隊伍，\n挑戰敵人吧！","-363","0","1","0","0","貪吃佩可","105801","1","2015/12/17 15:00:00","43001","43","1","0","2030/12/17 14:59:59"
"接下來可以\n挑戰競技場。\n編組出有主人風格的隊伍，\n挑戰敵人吧。","-363","0","1","0","0","可可蘿","105901","1","2015/12/17 15:00:00","43002","43","1","0","2030/12/17 14:59:59"
"接下來可以\n挑戰競技場哦！\n好好思考如何編組隊伍，\n挑戰敵人吧！","-363","0","1","0","0","凱留","106001","1","2015/12/17 15:00:00","43003","43","1","0","2030/12/17 14:59:59"
"完成任務就可以獲得獎勵喔。\n請盡情完成任務，\n賣力進行強化♪","-416.5","0","1","0","0","愛梅斯","123001","1","2015/12/17 15:00:00","43004","44","1","0","2030/12/17 14:59:59"
"現在可不是發呆的時候啊。\n請快點去完成任務，\n領取獎勵！","-416.5","0","2","0","0","愛梅斯","123001","1","2015/12/17 15:00:00","43005","44","1","0","2030/12/17 14:59:59"
"你等一下，不是有獎勵\n可以領取嗎！\n別忘了確認啊。\n這可是與愛梅斯大人的約定喔？","-416.5","0","3","0","0","愛梅斯","123001","1","2015/12/17 15:00:00","43006","45","2","5.79","2030/12/17 14:59:59"
"好了，辛苦了。\n在這裡可以使用\n專精券，取得\n專精強化素材。","-371.5","0","1","0","0","愛梅斯","123001","1","2015/12/17 15:00:00","46001","46","1","0","2030/12/17 14:59:59"
"我是有人喊我就會飛奔而來的姐姐喔♪\n無論是在火中、水中、迷宮中，\n我都會支持弟弟\n攻略這座地下城♪","-416.5","0","1","0","0","靜流","104901","2","2015/12/17 15:00:00","47001","47","2","0","2030/12/17 14:59:59"
"真的是好不可思議的地方呢～\n我來幫哥哥施魔法，\n讓哥哥能努力去冒險。\n加油加油，大、哥、哥♪","-416.5","0","1","0","0","璃乃","101101","1","2015/12/17 15:00:00","47002","47","2","9.32","2030/12/17 14:59:59"
"","-470","0","0","0","0","靜流","104901","2","2015/12/17 15:00:00","48001","48","2","0","2030/12/17 14:59:59"
"","-470","0","0","0","0","璃乃","101101","2","2015/12/17 15:00:00","48002","48","2","0","2030/12/17 14:59:59"
