a28a78c26989ecea0afc7be1469635b7d430c3e4045b70784694fc9c432b4c22,4c8cafdcefcefa69a9f4885cfeabac749b9be910f2ba0481e5ea253140cde71c,5c2625e1bcb4f83333b6a51d44c745297a83d8967647afbe4808ae475bc1c43c,b2ec24f1f6530225de328a2fbe94dda957003049c8d6bcc6f790a7ab66a18670,3fd90cedd8a69c7afd416ae594fd0b903f87ec300e29701e04fdfd6a1ef2c44e
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","24","81001004","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","25","81001005","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","26","81001005","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","27","81001005","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","28","81001005","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","29","81001005","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","30","81001005","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","31","81001006","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","32","81001006","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","33","81001006","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","34","81001006","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","35","81001006","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","36","81001006","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","37","81001007","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","38","81001007","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","39","81001007","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","40","81001007","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","41","81001007","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","42","81001007","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","43","81001008","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","44","81001008","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","45","81001008","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","46","81001008","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","47","81001008","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","48","81001008","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","49","81001009","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","50","81001009","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","51","81001009","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","52","81001009","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","53","81001009","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","54","81001009","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","55","81001010","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","56","81001010","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","57","81001010","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","58","81001010","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","59","81001010","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","60","81001010","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","61","81001010","boss_tp_down_cut"
"戰鬥開始時，使全體角色火傷。","賦予火傷","62","81001010","1"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","63","81001011","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","64","81001011","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","65","81001011","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","66","81001011","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","67","81001011","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","68","81001011","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","69","81001012","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","70","81001012","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","71","81001012","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","72","81001012","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","73","81001012","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","74","81001012","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","75","81001013","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","76","81001013","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","77","81001013","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","78","81001013","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","79","81001013","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","80","81001013","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81","81001014","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82","81001014","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83","81001014","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","84","81001014","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","85","81001014","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","86","81001014","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","87","81001015","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","88","81001015","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","89","81001015","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","90","81001015","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","91","81001015","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","92","81001015","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","93","81001016","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","94","81001016","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","95","81001016","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","96","81001016","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","97","81001016","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","98","81001016","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","99","81001017","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","100","81001017","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","101","81001017","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","102","81001017","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","103","81001017","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","104","81001017","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","105","81001018","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","106","81001018","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","107","81001018","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","108","81001018","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","109","81001018","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","110","81001018","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","111","81001019","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","112","81001019","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","113","81001019","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","114","81001019","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","115","81001019","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","116","81001019","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","117","81001020","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","118","81001020","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","119","81001020","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","120","81001020","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","121","81001020","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","122","81001020","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","123","81001020","boss_tp_down_cut"
"戰鬥開始時，大幅度降低全體角色的物理防禦力。","降低物理防禦力","124","81001020","7"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","125","81001021","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","126","81001021","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","127","81001021","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","128","81001021","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","129","81001021","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","130","81001021","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","131","81001022","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","132","81001022","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","133","81001022","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","134","81001022","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","135","81001022","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","136","81001022","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","137","81001023","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","138","81001023","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","139","81001023","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","140","81001023","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","141","81001023","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","142","81001023","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","143","81001024","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","144","81001024","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","145","81001024","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","146","81001024","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","147","81001024","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","148","81001024","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","149","81001025","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","150","81001025","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","151","81001025","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","152","81001025","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","153","81001025","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","154","81001025","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","155","81001026","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","156","81001026","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","157","81001026","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","158","81001026","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","159","81001026","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","160","81001026","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","161","81001027","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","162","81001027","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","163","81001027","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","164","81001027","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","165","81001027","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","166","81001027","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","167","81001028","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","168","81001028","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","169","81001028","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","170","81001028","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","171","81001028","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","172","81001028","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","173","81001029","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","174","81001029","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","175","81001029","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","176","81001029","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","177","81001029","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","178","81001029","9"
"當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","179","81001030","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","180","81001030","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","181","81001030","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","182","81001030","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","183","81001030","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","184","81001030","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","185","81001030","boss_tp_down_cut"
"戰鬥開始時，特大幅度減少全體角色的HP回復量。","降低HP恢復量","186","81001030","2"
"當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","187","82001001","13"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","188","82001001","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","189","82001001","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","190","82001001","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","191","82001001","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","192","82001001","9"
"當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","193","82001002","13"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","194","82001002","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","195","82001002","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","196","82001002","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","197","82001002","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","198","82001002","9"
"當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","199","82001003","13"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","200","82001003","11"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","201","82001003","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","202","82001003","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","203","82001003","boss_magic_def_lower_limit"
"戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","204","82001003","9"
