fa100cca740a6340ae1a973cbe39f115b3505ea2ce146f98aa14516ddea4ff42,40cf4bfddfe5142b7cad6ebddce06ea3dc85179a9ffdd327dd08b64c6e478fa4,9767a9353aed5747a5e02c286d2fffb0d7a23c34db3ec0a286b5df71aa071773,ee7321d17ab281ce2323a767e175f75c2523ad65b4032d89083b145caf957f83,c299c7f1b7c6c6217ba39dddf147536d3424e421c8cdcc890e6bf3bc41bc9f6b,cb5def15c3ce16c5dc46de00842ee854e8d080edc5e14484dd86d0307e923dd3,586cd6cf3d5e104483767427caa3f92ca09427695ed0e1b3d669c7341ccc15f9
"1028","190011233","190011232","190011231","19001003","210","219"
"1029","190011333","190011332","190011331","19001003","220","229"
"1030","190011433","190011432","190011431","19001003","230","239"
"1031","190011533","190011532","190011531","19001003","240","249"
"1032","190011633","190011632","190011631","19001003","250","259"
"1033","190011733","190011732","190011731","19001003","260","269"
"1034","190011833","190011832","190011831","19001003","270","279"
"1035","190011933","190011932","190011931","19001003","280","289"
"1036","190012033","190012032","190012031","19001003","290","299"
"1037","190012133","190012132","190012131","19001003","300","309"
"1038","190012233","190012232","190012231","19001003","310","-1"
