7eaf074d0a0f47e0e11ab4f8e547b80d1b90c1db1fb7f9b4ca316c6345a8e62b,f36bf50d9ba42df8984e0d776808ab877cd5be549df64833ac724d2b01cc0183,a23737751348de3f10582c10a87a0437de1263746b3bc8aac017eb91fe9d903c,edde89b995a87344ba6039845a3e342ae979591c8898795a36b6cb65d1ca9733,deb3ebb6b48a0be68b16e53a2e3f4a716235bbfaccfceb799410fa8ac3fb1969,2d0f485944c8c778119b36be658b1889d1a96b491c2ebfc350bec8d3cedb9059,b426e725bf3d0cfb2c9faa3556525467c9349c770198d089778934f74af10d8d,6e6c167c78a4182d7ba4445a01e2eb212b64578640cf2b945a864fb13025a48d
"1014","0","0","102001","1","3","11014","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇"
"1015","0","0","129601","1","3","11015","【夥伴】追加投擲骰子直到數字合計為7以上"
"1016","0","0","100401","1","3","11016","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合"
"1017","0","0","127701","1","3","11017","【夥伴】骰子擲出偶數時，多前進1格。"
"1018","0","0","127801","1","3","11018","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合"
"1019","0","0","104801","1","3","11019","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"1020","0","0","104701","1","3","11020","【夥伴】重新擲2次骰子"
"1021","0","0","105001","1","3","11021","【夥伴】追加投擲骰子直到數字合計為7以上"
"1022","0","0","103201","1","3","11022","【夥伴】取得最大2000里程"
"1023","0","0","130901","1","3","11023","【夥伴】取得1張抽獎券"
"1024","0","0","102501","1","3","11024","【夥伴】取得1個料理"
"1025","0","0","100801","1","3","11025","【夥伴】可以選擇使用骰子的正面或背面"
"1026","0","0","123301","1","3","11026","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇"
"1027","0","0","104601","1","3","11027","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）"
"1028","0","0","118101","1","3","11028","【夥伴】重新擲2次骰子"
"1029","0","0","103401","1","3","11029","【夥伴】追加投擲骰子直到數字合計為7以上"
"1030","0","0","118001","1","3","11030","【夥伴】取得最大2000里程"
"1031","0","0","102801","1","3","11031","【夥伴】取得1張抽獎券"
"1032","0","0","100201","1","3","11032","【夥伴】取得1個料理"
