000f98018215620ec70640a8ca7d11b961f2ae3bc0aea9cbca9dca76845d69ee,677343f937eae4333f5912c0095ddbf89723bbb3c386ed2f310f1577fb27db5a,49edb1f913d5049811faccff4773ae2d9166fa6144f354ca6c4de93e7a22a171,e9fbb0a0164f2a9ee4b3de496c6a0faa5563e51f66c790ff539c5ef5db31ba39,6f4852efbece8e27bddea277afb821838e89b174a00950b683ab53cba1974fd1,9776e3500ef94ee99d4bf0304de57609e4f31169e5eba118de964aa952bd2c3f,2098cc11d27f9783f7a4e49184a700f69ae23c4ba16c6709437831009fa44c88,7db687addb59c54df862e333f944c9ab3f5aa783866178e53bc3ceb6bca5b998,7571d34838de0096a6f33f2c41451774af457ddd868bba0ac70d4dbcfee3ff50,0a01e479d196b001ad958237398943050ff783b5d0bf6e4e401b83e0599bd60e,0543416e65ca6ead7ad04c067e2ad4fce6925646768f4f569d9beab5afc7ab15
"0","17","11","妳看妳看！\n我用雲做出了\n噗吉哦～！","1170007","0","10","","","102331",""
"","17","91","","1170008","","","","","0",""
"","17","3","03_uek_talk_joy1","1170009","","1","","","102131","0.2"
"0","17","11","哇，好厲害～！\n我也想\n做點什麼呢……♪","1170010","0","10","","","102131",""
"","17","91","","1170011","","","","","0",""
"","17","3","03_uek_cmn_idol_def_N","1170012","","1","","","102131","0.2"
"229","18","1","112631","1180001","45","100","01_uek_cmn_idol_def_N","0","1","1.3"
"170","18","1","105831","1180002","20","110","01_uek_cmn_idol_def_N","0","1","1.3"
"-85","18","1","105931","1180003","-10","100","01_uek_cmn_idol_def_N","0","1","1.3"
"01_uek_18_mio_loop","18","3","01_uek_18_mio","1180004","1","0","","","112631",""
"0","18","11","已經爬了很高呢～\n來看看底下的\n景色吧！","1180005","0","10","","","112631",""
"","18","91","","1180006","","","","","0",""
"01_uek_18_mio_loop","18","3","01_uek_18_mio","1180007","1","0","","","105831",""
"0","18","11","是啊！\n嗯，我看看…\n唔，哇哇哇哇！","1180008","0","10","","","105831",""
"","18","93","","1180009","","","","","3",""
"2","18","2","170","1180010","1","5","","","105831",""
"","18","91","","1180011","","","","","1180008",""
"01_uek_cmn_idol_def_N","18","3","01_uek_18_kokkoro","1180012","1","0","","","105931",""
"0","18","11","呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","1180013","0","10","","","105931",""
"402","19","1","101231","1190001","110","100","02_uek_19_hatsune","0","1","1.3"
"166","19","1","103831","1190002","30","100","02_uek_talk_surprise2","0","1","1.3"
"","19","3","02_uek_talk_surprise2","1190003","0","1","","","103831","0.2"
"0","19","11","啊！姊姊！\n在這種地方睡著\n很危險的！","1190004","0","10","","","103831",""
"","19","91","","1190005","","","","","0",""
"0","19","11","我好像聽到了\n小栞的聲音……\n呼嚕……☆","1190006","0","10","","","101231",""
"-195","20","1","105831","1200001","-35","100","05_idle","0","2","0.9"
"150","20","1","304602","1200002","30","1000","304602_idle","0","2","1.4"
"50","20","31","17","1200003","1","150","","","102","1"
"400","20","31","18","1200004","1","150","","","103","1"
"185","21","1","105931","1210001","25","110","01_uek_21_kokkoro_loop","0","1","1.3"
"65","21","1","112531","1210002","-5","120","01_uek_21_rin_loop","0","1","1.3"
"-140","21","1","106031","1210003","-35","100","01_uek_cmn_idol_def_N","0","1","1.3"
"0","21","11","風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","1210004","0","10","","","105931",""
"","21","91","","1210005","","","","","0",""
"0","21","11","說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","1210006","0","10","","","112531",""
"","21","91","","1210007","","","","","0",""
"01_uek_cmn_idol_def_N","21","3","01_uek_21_kyaru","1210008","1","0","","","106031",""
"0","21","11","……妳們好像\n在奇妙的地方\n同步了呢。","1210009","0","10","","","106031",""
"","21","91","","1210010","","","","","0",""
"180","22","1","105831","1220001","40","100","01_uek_cmn_idol_def_N","0","1","1.3"
"250","22","31","4","1220002","1.3","420","","","4","1"
"","22","3","01_uek_cmn_pose03","1220003","","1","","","105831","0.2"
"0","22","11","像飯糰的雲\n會是什麼味道呢\n……流口水☆","1220004","0","10","","","105831",""
"","22","91","","1220005","","","","","0",""
"33","23","1","105231","1230001","5","100","03_uek_cmn_idol_def_N","0","1","1.3"
"200","23","1","102631","1230002","40","1010","03_uek_23_rin","0","1","1.3"
"-110","23","1","103331","1230003","-25","100","03_uek_cmn_idol_def_N","0","1","1.3"
"32","23","31","5","1230004","1","220","","","5","1"
"","23","3","03_uek_23_rin","1230005","","1","","","102631","0.2"
"0","23","11","這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","1230006","0","10","","","102631",""
"","23","91","","1230007","","","","","0",""
"45","23","2","1100","1230008","0","40","","","102631",""
"45","23","33","1120","1230009","0","32","","","5",""
"","23","3","03_uek_cmn_pose04","1230010","","1","","","105231","0.2"
"","23","3","03_uek_talk_surprise2","1230011","","1","","","103331","0.2"
"0","23","11","鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","1230012","0","10","","","105231",""
"","23","91","","1230013","","","","","0",""
"0","23","11","乾草比這\n更軟的啦！\n快點回來啦！","1230014","0","10","","","103331",""
"","23","91","","1230015","","","","","0",""
"-240","24","1","105531","1240001","-45","10","03_uek_24_ayumi","0","1","1.3"
"","24","3","03_uek_24_ayumi","1240002","0","1","","","105531",""
"0","24","11","啊，\n前輩在那裡，\n盯……………","1240003","0","10","","","105531",""
"175","25","1","103631","1250001","15","100","03_uek_cmn_idol_def_N","1","1","1.3"
"-36","25","1","100431","1250002","-10","100","03_uek_cmn_idol_def_N","0","1","1.3"
"-158","25","1","102031","1250003","-45","100","03_uek_cmn_idol_def_N","0","1","1.3"
"","25","3","03_uek_cmn_pose06","1250004","0","1","","","102031",""
"0","25","11","在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","1250005","0","10","","","102031",""
"","25","91","","1250006","","","","","0",""
"03_uek_25_misogi_loop","25","3","03_uek_25_misogi","1250007","1","0","","","100431",""
"0","25","11","對啊！鏡華也\n這樣覺得吧？\n……哇！","1250008","0","10","","","100431",""
"03_uek_25_kyouka_loop","25","3","03_uek_25_kyouka","1250009","0","1","","","103631",""
"","25","91","","1250010","","","","","0",""
"0","25","11","慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","1250011","0","10","","","103631",""
"","25","91","","1250012","","","","","0",""
"-179","27","1","104831","1270001","-43","100","01_uek_cmn_idol_def_N","0","1","1.3"
"0","27","1","104631","1270002","-14","100","01_uek_27_tamaki_loop","0","1","1.3"
"200","27","1","103231","1270003","24","100","01_uek_cmn_idol_def_N","1","1","1.3"
"0","27","11","呼呼……\n到、到極限了喵……\n我想回去喵……","1270004","0","10","","","104631",""
"","27","91","","1270005","","","","","0",""
"01_uek_talk_normal","27","3","01_uek_cmn_pose02","1270006","1","0","","","104831",""
"0","27","11","步行只要有效率地\n分配體力，\n這點程度不算什麼。","1270007","0","10","","","104831",""
"","27","91","","1270008","","","","","0",""
"","27","3","01_uek_cmn_idol_def_N","1270009","0","1","","","104831","0.3"
"","27","3","01_uek_27_akino_loop","1270010","0","1","","","103231",""
"0","27","11","喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","1270011","0","10","","","103231",""
"0","28","1","102931","1280001","-10","110","04_uek_cmn_idol_def_N","0","1","1.3"
"-120","28","1","104231","1280002","-30","120","04_uek_cmn_idol_def_N","0","1","1.3"
"120","28","1","105431","1280003","10","100","04_uek_cmn_idol_def_N","0","1","1.3"
"10","28","31","6","1280004","1.3","35","","","6","0"
"-10","28","31","9","1280005","1.3","-85","","","6","0"
"30","28","31","10","1280006","1.3","155","","","6","0"
"","28","3","04_uek_28_nozomi","1280007","","1","","","102931","0.2"
"","28","3","04_uek_28_chika","1280008","","1","","","104231","0.2"
"","28","3","04_uek_28_tsumugi","1280009","","1","","","105431","0.2"
"","28","32","1","1280010","","","","","6",""
"","28","32","1","1280011","","","","","9",""
"","28","32","1","1280012","","","","","10",""
"0","28","11","就算在天空上\n慈樂之音也要…\n站上舞台！","1280013","0","10","","","102931",""
"","28","91","","1280014","","","","","0",""
"0","28","11","風吹得真舒服……！\n精靈們好像\n也很開心！","1280015","0","10","","","104231",""
"","28","91","","1280016","","","","","0",""
"0","28","11","太棒了呢！\n就一路嗨到\n安可吧！","1280017","0","10","","","105431",""
"","28","91","","1280018","","","","","0",""
"-40","29","1","101531","1290001","-10","100","03_uek_cmn_idol_def_N","0","1","1.3"
"95","29","1","101831","1290002","10","100","03_uek_cmn_idol_def_N","1","1","1.3"
"","29","3","03_uek_talk_joy1","1290003","0","1","","","101831",""
"0","29","11","真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","1290004","0","10","","","101831",""
"","29","91","","1290005","","","","","0",""
"","29","3","03_uek_cmn_idol_def_N","1290006","0","1","","","101831","0.3"
"","29","3","03_uek_talk_joy1","1290007","0","1","","","101531","0.3"
"0","29","11","哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","1290008","0","10","","","101531",""
"","29","91","","1290009","","","","","0",""
"","29","3","03_uek_cmn_idol_def_N","1290010","0","1","","","101531","0.3"
"-195","30","1","105831","1300001","-35","100","05_idle","0","2","0.9"
"150","30","1","307505","1300002","-50","1000","307505_idle","0","2","1.5"
"50","30","31","19","1300003","1","150","","","102","1"
"400","30","31","20","1300004","1","150","","","103","1"
"307505_idle","30","3","307505_awake","1300005","1","0","","","307505","0"
"140","31","1","105831","1310001","10","110","01_uek_cmn_idol_def_N","0","1","1.3"
"20","31","1","105931","1310002","0","110","01_uek_cmn_idol_def_N","0","1","1.3"
"-200","31","1","106031","1310003","-55","110","01_uek_26_kyaru_loop","0","1","1.3"
"","31","93","","1310004","","","","","1",""
"","31","4","1","1310005","","","","","105831",""
"","31","3","01_uek_cmn_pose04","1310006","","1","","","105831","0"
"","31","11","妳們快看！\n是星星的世界！\n好棒的景色呢☆","1310007","","10","","","105831",""
"","31","93","","1310008","","","","","2.3",""
"","31","3","01_uek_cmn_idol_def_N","1310009","0","0","","","105831","0.2"
"","31","91","","1310010","","","","","1310007",""
"","31","3","01_uek_cmn_idol_def_N","1310011","0","1","","","105831","0.2"
"","31","3","01_uek_talk_normal","1310012","","1","","","105931",""
"","31","11","真的是\n很棒的地方呢，\n我們好好享受吧。","1310013","","10","","","105931",""
"","31","91","","1310014","","","","","0",""
"","31","3","01_uek_cmn_idol_def_N","1310015","","1","","","105931","0.2"
"","31","11","妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","1310016","","10","","","106031",""
"255","32","1","104531","1320001","91","100","02_uek_32_kuka_loop","1","1","1.3"
"-97","32","1","105331","1320002","-29","100","02_uek_cmn_idol_def_N","0","1","1.3"
"50","32","1","103031","1320003","0","100","02_uek_cmn_idol_def_N","0","1","1.3"
"","32","3","02_uek_32_kuka","1320004","0","0","","","104531","0.5"
"02_uek_talk_surprise2","32","3","02_uek_cmn_shock_def_N","1320005","1","0","","","105331","0.5"
"02_uek_talk_surprise2","32","3","02_uek_cmn_shock_def_N","1320006","1","0","","","103031","0.5"
"","32","91","","1320007","","","","","0",""
"","32","3","02_uek_talk_surprise2","1320008","0","1","","","103031","0.5"
"0","32","11","好不容易找到的\n空花\n又要飛走了！","1320009","0","10","","","103031",""
"","32","91","","1320010","","","","","0",""
"","32","3","02_uek_talk_surprise2","1320011","0","1","","","105331","0.5"
"0","32","11","她果然\n很開心的樣子！？","1320012","0","10","","","105331",""
"0","33","1","100831","1330001","0","100","02_uek_cmn_idol_def_N","1","1","1.3"
"130","33","31","7","1330002","1.3","-120","","","7","1"
"02_uek_33_yuki_loop","33","3","02_uek_33_yuki","1330003","1","0","","","100831","0.2"
"0","33","11","沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","1330004","0","10","","","100831",""
"","33","91","","1330005","","","","","0",""
"10","34","1","100931","1340001","0","110","02_uek_cmn_idol_def_N","1","1","1.3"
"180","34","1","101331","1340002","10","110","02_uek_cmn_idol_def_N","1","1","1.3"
"","34","93","","1340003","","","","","1",""
"02_uek_cmn_idol_def_N","34","3","02_uek_cmn_pose01","1340004","1","1","","0.2","101331","0.2"
"0","34","11","來到宇宙啦！\n人家超嗨\n爆嗨的啦！","1340005","0","10","","","101331",""
"","34","91","","1340006","","","","","0",""
"02_uek_34_anna_loop","34","3","02_uek_34_anna","1340007","1","0","","0","100931","0.2"
"0","34","11","呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","1340008","0","10","","","100931",""
"-200","35","1","100231","1350001","-60","100","01_uek_cmn_idol_def_N","1","1","1.3"
"0","35","1","100331","1350002","10","100","01_uek_cmn_idol_def_N","1","1","1.3"
"200","35","1","100131","1350003","20","100","01_uek_cmn_idol_def_N","1","1","1.3"
"270","35","31","8","1350004","1","0","","","8","1"
"01_uek_35_yui_loop","35","3","01_uek_35_yui","1350005","1","0","","0.2","100231","0.2"
"01_uek_35_rei_loop","35","3","01_uek_35_rei","1350006","1","0","","0.2","100331","0.2"
"","35","3","01_uek_cmn_pose03","1350007","","1","","","100131","0.2"
"0","35","11","快看，是流星…！\n大家一起\n許願吧！","1350008","0","10","","","100231",""
"","35","91","","1350009","","","","","0",""
"0","35","11","嗯，是呀。\n這個情境\n很適合我們呢。","1350010","0","10","","","100331",""
"","35","91","","1350011","","","","","0",""
"0","35","11","贊成！\n那麼我要許……\n嗯、嗯……！","1350012","0","10","","","100131",""
"","35","91","","1350013","","","","","0",""
"105","36","1","102531","1360001","5","110","03_uek_cmn_idol_def_N","0","1","1.3"
