49a0d9977d25b800e592aae94cebee539540cfd9e8e9de3b89db7f88ed4edb53,ba0d078192e6a1c1be66cd5cf4d041de34791ff4722c82692200d2989ae258f7,3070b78c9165240b95a23677950439bbd491f39f64dbca9ffc14d0f63a2e5c79
"全角色 強化狀態異常命中","29","[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]"
"全角色 強化魔法暴擊率","30","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"追加挑戰開始時的迷宮遺物","31","[3C404E]挑戰開始時，可追加獲得與所選擇之公會對應的[-][FFBB00,CE4F00]迷宮遺物[-][3C404E][-]"
"全角色 強化物理暴擊傷害","32","[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化增益","33","[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的強化效果與職階專精共通）[-]"
"全角色 強化魔法暴擊傷害","34","[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]"
"全角色 強化物理造成的傷害","35","[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]"
"全角色 強化減益","36","[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的弱化效果與職階專精共通）[-]"
"全角色 強化魔法造成的傷害","37","[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]"
"全角色 強化ＨＰ","38","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"強化屬性獎勵","39","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"全角色 強化ＨＰ","40","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]"
"增加戰鬥勝利時的獎勵","41","[3C404E]戰鬥勝利時的始源盧幣獲得量增加[-][FFBB00,CE4F00]50％[-][3C404E][-]"
