17c78c249c296d5bf7e0050956be257f5009d33b4d74dc68f5b8b4e64813d2e3,b59468ac1ebd315d19cb19b4b35332e126189fe95a0e8a7033a92396b3278892,5ac016c78031a0929fbd8e8f754e3c6698ff6f8c1a334f37241ae075af28294e,814396fd0e816e51b53e3207e9599e2cfae45d083be31cc978c12c08d6aa1795,cf20e5609f7ef6123132646fd8e0c9d56c6eff5bb805ecf6868728330a35939b,b3b1e2db8660766be5681d1831206cee209183592f43481f605eee456a6082a7,059af0cbb5faa43049e1af7735704dc27e8e9f16e27614478137ecab7f45d5fc
"180010572","180010573","140","180010571","18001007","149","72"
"180010672","180010673","150","180010671","18001007","159","73"
"180010772","180010773","160","180010771","18001007","169","74"
"180010872","180010873","170","180010871","18001007","179","75"
"180010972","180010973","180","180010971","18001007","189","76"
"180011072","180011073","190","180011071","18001007","199","77"
"180011172","180011173","200","180011171","18001007","209","78"
"180011272","180011273","210","180011271","18001007","219","79"
"180011372","180011373","220","180011371","18001007","229","80"
"180011472","180011473","230","180011471","18001007","239","81"
"180011572","180011573","240","180011571","18001007","249","82"
"180011672","180011673","250","180011671","18001007","259","83"
"180011772","180011773","260","180011771","18001007","269","84"
"180011872","180011873","270","180011871","18001007","279","85"
"180011972","180011973","280","180011971","18001007","-1","86"
"180010182","180010183","1","180010181","18001008","59","87"
"180010282","180010283","60","180010281","18001008","99","88"
"180010382","180010383","100","180010381","18001008","119","89"
"180010482","180010483","120","180010481","18001008","139","90"
"180010582","180010583","140","180010581","18001008","149","91"
"180010682","180010683","150","180010681","18001008","159","92"
"180010782","180010783","160","180010781","18001008","169","93"
"180010882","180010883","170","180010881","18001008","179","94"
"180010982","180010983","180","180010981","18001008","189","95"
"180011082","180011083","190","180011081","18001008","199","96"
"180011182","180011183","200","180011181","18001008","209","97"
"180011282","180011283","210","180011281","18001008","219","98"
"180011382","180011383","220","180011381","18001008","229","99"
"180011482","180011483","230","180011481","18001008","239","100"
"180011582","180011583","240","180011581","18001008","249","101"
"180011682","180011683","250","180011681","18001008","259","102"
"180011782","180011783","260","180011781","18001008","269","103"
"180011882","180011883","270","180011881","18001008","279","104"
"180011982","180011983","280","180011981","18001008","289","105"
"180012082","180012083","290","180012081","18001008","-1","106"
"180010192","180010193","1","180010191","18001009","59","107"
"180010292","180010293","60","180010291","18001009","99","108"
"180010392","180010393","100","180010391","18001009","119","109"
"180010492","180010493","120","180010491","18001009","139","110"
"180010592","180010593","140","180010591","18001009","149","111"
"180010692","180010693","150","180010691","18001009","159","112"
"180010792","180010793","160","180010791","18001009","169","113"
"180010892","180010893","170","180010891","18001009","179","114"
"180010992","180010993","180","180010991","18001009","189","115"
"180011092","180011093","190","180011091","18001009","199","116"
"180011192","180011193","200","180011191","18001009","209","117"
"180011292","180011293","210","180011291","18001009","219","118"
"180011392","180011393","220","180011391","18001009","229","119"
"180011492","180011493","230","180011491","18001009","239","120"
"180011592","180011593","240","180011591","18001009","249","121"
"180011692","180011693","250","180011691","18001009","259","122"
"180011792","180011793","260","180011791","18001009","269","123"
"180011892","180011893","270","180011891","18001009","279","124"
"180011992","180011993","280","180011991","18001009","289","125"
"180012092","180012093","290","180012091","18001009","299","126"
"180012192","180012193","300","180012191","18001009","309","127"
"180012292","180012293","310","180012291","18001009","319","128"
"180012392","180012393","320","180012391","18001009","329","129"
"180012492","180012493","330","180012491","18001009","-1","130"
"190010112","190010113","1","190010111","19001001","59","1001"
"190010212","190010213","60","190010211","19001001","99","1002"
"190010312","190010313","100","190010311","19001001","119","1003"
"190010412","190010413","120","190010411","19001001","139","1004"
"190010512","190010513","140","190010511","19001001","149","1005"
"190010612","190010613","150","190010611","19001001","159","1006"
"190010712","190010713","160","190010711","19001001","169","1007"
"190010812","190010813","170","190010811","19001001","-1","1008"
"190010122","190010123","1","190010121","19001002","59","1009"
"190010222","190010223","60","190010221","19001002","99","1010"
"190010322","190010323","100","190010321","19001002","119","1011"
"190010422","190010423","120","190010421","19001002","139","1012"
"190010522","190010523","140","190010521","19001002","149","1013"
"190010622","190010623","150","190010621","19001002","159","1014"
"190010722","190010723","160","190010721","19001002","169","1015"
"190010822","190010823","170","190010821","19001002","-1","1016"
"190010132","190010133","1","190010131","19001003","59","1017"
"190010232","190010233","60","190010231","19001003","99","1018"
"190010332","190010333","100","190010331","19001003","119","1019"
"190010432","190010433","120","190010431","19001003","139","1020"
"190010532","190010533","140","190010531","19001003","149","1021"
"190010632","190010633","150","190010631","19001003","159","1022"
"190010732","190010733","160","190010731","19001003","169","1023"
"190010832","190010833","170","190010831","19001003","179","1024"
"190010932","190010933","180","190010931","19001003","189","1025"
"190011032","190011033","190","190011031","19001003","199","1026"
"190011132","190011133","200","190011131","19001003","209","1027"
"190011232","190011233","210","190011231","19001003","219","1028"
"190011332","190011333","220","190011331","19001003","229","1029"
"190011432","190011433","230","190011431","19001003","239","1030"
"190011532","190011533","240","190011531","19001003","249","1031"
"190011632","190011633","250","190011631","19001003","259","1032"
"190011732","190011733","260","190011731","19001003","269","1033"
"190011832","190011833","270","190011831","19001003","279","1034"
"190011932","190011933","280","190011931","19001003","289","1035"
"190012032","190012033","290","190012031","19001003","299","1036"
"190012132","190012133","300","190012131","19001003","309","1037"
"190012232","190012233","310","190012231","19001003","-1","1038"
"190010142","190010143","1","190010141","19001004","59","1039"
"190010242","190010243","60","190010241","19001004","99","1040"
"190010342","190010343","100","190010341","19001004","119","1041"
"190010442","190010443","120","190010441","19001004","139","1042"
"190010542","190010543","140","190010541","19001004","149","1043"
"190010642","190010643","150","190010641","19001004","159","1044"
"190010742","190010743","160","190010741","19001004","169","1045"
"190010842","190010843","170","190010841","19001004","179","1046"
"190010942","190010943","180","190010941","19001004","189","1047"
"190011042","190011043","190","190011041","19001004","199","1048"
"190011142","190011143","200","190011141","19001004","209","1049"
"190011242","190011243","210","190011241","19001004","219","1050"
"190011342","190011343","220","190011341","19001004","229","1051"
"190011442","190011443","230","190011441","19001004","239","1052"
"190011542","190011543","240","190011541","19001004","249","1053"
"190011642","190011643","250","190011641","19001004","259","1054"
"190011742","190011743","260","190011741","19001004","269","1055"
"190011842","190011843","270","190011841","19001004","279","1056"
"190011942","190011943","280","190011941","19001004","289","1057"
"190012042","190012043","290","190012041","19001004","299","1058"
"190012142","190012143","300","190012141","19001004","309","1059"
"190012242","190012243","310","190012241","19001004","319","1060"
"190012342","190012343","320","190012341","19001004","329","1061"
"190012442","190012443","330","190012441","19001004","339","1062"
"190012542","190012543","340","190012541","19001004","349","1063"
"190012642","190012643","350","190012641","19001004","-1","1064"
